# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.121
metadata : {}


# id : NWRW1800000033.121.1.1
[신나는 공부]고려대 미디어스쿨 2기 수료식 “언론인의 꿈, 가슴에 새겼습니다”

[신나는	[/SS+신나/VV+는/ETM
길을	길/NNG+을/JKO
찾아보라고.	찾/VV+아/EC+보/VX+라고/EF+./SF


# id : NWRW1800000033.121.3.4
전 고려대 미디어스쿨이 물을 끓일 수 있는 단서를 던져줬다고 생각합니다.”(2기 PD반 안지영 양·경기 가온고 2학년)

전	저/NP+ㄴ/JX
고려대	고려대/NNP
미디어스쿨이	미디어스쿨/NNP+이/JKS
물을	물/NNG+을/JKO
끓일	끓이/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
단서를	단서/NNG+를/JKO
던져줬다고	던지/VV+어/EC+주/VX+었/EP+다고/EC
생각합니다.”(2기	생각/NNG+하/XSV+ㅂ니다/EF+./SF+”/SS+(/SS+2/SN+기/NNG
PD반	PD/SL+반/NNG
안지영	안지영/NNP
양·경기	양/NNB+·/SP+경기/NNP
가온고	가온고/NNP
2학년)	2/SN+학년/NNG+)/SS


# id : NWRW1800000033.121.4.1
고려대 미디어스쿨 2기 수료식이 진행된 18일 서울 성북구 고려대 안암캠퍼스 미디어관 4층 시네마트랩.

고려대	고려대/NNP
미디어스쿨	미디어스쿨/NNP
2기	2/SN+기/NNG
수료식이	수료식/NNG+이/JKS
진행된	진행/NNG+되/XSV+ㄴ/ETM
18일	18/SN+일/NNB
서울	서울/NNP
성북구	성북구/NNP
안암캠퍼스	안암캠퍼스/NNP
미디어관	미디어관/NNG
4층	4/SN+층/NNG
시네마트랩.	시네마트랩/NNG+./SF


# id : NWRW1800000033.121.4.2
대표로 소감문을 읽던 학생들은 울먹이며 한동안 말을 잇지 못했다.

대표로	대표/NNG+로/JKB
소감문을	소감문/NNG+을/JKO
읽던	읽/VV+던/ETM
학생들은	학생/NNG+들/XSN+은/JX
울먹이며	울먹이/VV+며/EC
한동안	한/XPN+동안/NNG
말을	말/NNG+을/JKO
잇지	잇/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.121.5.1
이를 지켜보던 학생, 학부모들도 눈시울을 붉히며 박수를 보냈다.

이를	이/NP+를/JKO
지켜보던	지켜보/VV+던/ETM
학생,	학생/NNG+,/SP
학부모들도	학부모/NNG+들/XSN+도/JX
눈시울을	눈시울/NNG+을/JKO
붉히며	붉히/VV+며/EC
박수를	박수/NNG+를/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.121.5.2
그것은 2주간 밤낮을 가리지 않고 기사작성과 영상제작에 몰두한 학생들에게 보내는 격려의 박수였다.

그것은	그것/NP+은/JX
2주간	2/SN+주/NNB+간/XSN
밤낮을	밤낮/NNG+을/JKO
가리지	가리/VV+지/EC
않고	않/VX+고/EC
기사작성과	기사/NNG+작성/NNG+과/JC
영상제작에	영상/NNG+제작/NNG+에/JKB
몰두한	몰두/NNG+하/XSV+ㄴ/ETM
학생들에게	학생/NNG+들/XSN+에게/JKB
보내는	보내/VV+는/ETM
격려의	격려/NNG+의/JKG
박수였다.	박수/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.121.6.1
고려대 미디어스쿨은 고려대 미디어학부와 동아일보 교육법인 ㈜동아이지에듀가 기자·PD를 꿈꾸거나 언론·미디어학과 진학을 희망하는 중고생을 대상으로 진행하는 전공탐색 및 실무교육형 아카데미.

고려대	고려대/NNP
미디어스쿨은	미디어스쿨/NNP+은/JX
미디어학부와	미디어학부/NNG+와/JC
동아일보	동아일보/NNP
교육법인	교육/NNG+법인/NNG
㈜동아이지에듀가	㈜/SW+동아이지에듀/NNP+가/JKS
기자·PD를	기자/NNG+·/SP+PD/SL+를/JKO
꿈꾸거나	꿈꾸/VV+거나/EC
언론·미디어학과	언론/NNG+·/SP+미디어학과/NNG
진학을	진학/NNG+을/JKO
희망하는	희망/NNG+하/XSV+는/ETM
중고생을	중/NNG+고/NNG+생/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
진행하는	진행/NNG+하/XSV+는/ETM
전공탐색	전공/NNG+탐색/NNG
및	및/MAG
실무교육형	실무/NNG+교육/NNG+형/XSN
아카데미.	아카데미/NNG+./SF


# id : NWRW1800000033.121.7.1
6일부터 2주간 고려대 미디어스쿨 2기 과정에 참가한 학생들은 고려대 미디어학부 현직 교수진을 비롯해 현직 일간지 취재기자와 편집기자, MBC ‘무한도전’ 김태호 PD, SBS ‘내 여자친구는 구미호’ 부성철 PD 등 대한민국 대표 언론인들의 강의를 직접 듣고 함께 신문 및 손수제작물(UCC)을 만들었다.

6일부터	6/SN+일/NNB+부터/JX
2주간	2/SN+주/NNB+간/XSN
고려대	고려대/NNP
미디어스쿨	미디어스쿨/NNP
2기	2/SN+기/NNG
과정에	과정/NNG+에/JKB
참가한	참가/NNG+하/XSV+ㄴ/ETM
학생들은	학생/NNG+들/XSN+은/JX
미디어학부	미디어학부/NNG
현직	현직/NNG
교수진을	교수진/NNG+을/JKO
비롯해	비롯하/VV+아/EC
일간지	일간지/NNG
취재기자와	취재/NNG+기자/NNG+와/JC
편집기자,	편집/NNG+기자/NNG+,/SP
MBC	MBC/SL
‘무한도전’	‘/SS+무한/NNG+도전/NNG+’/SS
김태호	김태호/NNP
PD,	PD/SL+,/SP
SBS	SBS/SL
‘내	‘/SS+나/NP+의/JKG
여자친구는	여자/NNG+친구/NNG+는/JX
구미호’	구미호/NNG+’/SS
부성철	부성철/NNP
PD	PD/SL
등	등/NNB
대한민국	대한민국/NNP
대표	대표/NNG
언론인들의	언론인/NNG+들/XSN+의/JKG
강의를	강의/NNG+를/JKO
직접	직접/MAG
듣고	듣/VV+고/EC
함께	함께/MAG
신문	신문/NNG
및	및/MAG
손수제작물(UCC)을	손수/MAG+제작물/NNG+(/SS+UCC/SL+)/SS+을/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.121.8.1
이날 수료식은 △개회사 △고려대 미디어학부장 명의 수료증 수여 △동아일보 사장상 수여 △수상작 소개 △소감문 발표 △기념촬영 순으로 진행됐다.

이날	이날/NNG
수료식은	수료식/NNG+은/JX
△개회사	△/SW+개회사/NNG
△고려대	△/SW+고려대/NNP
미디어학부장	미디어학부장/NNG
명의	명의/NNG
수료증	수료증/NNG
수여	수여/NNG
△동아일보	△/SW+동아일보/NNP
사장상	사장/NNG+상/NNG
△수상작	△/SW+수상작/NNG
소개	소개/NNG
△소감문	△/SW+소감문/NNG
발표	발표/NNG
△기념촬영	△/SW+기념/NNG+촬영/NNG
순으로	순/NNB+으로/JKB
진행됐다.	진행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.121.8.2
최고상인 동아일보 사장상은 기사작성(기자반)과 영상제작(PD반) 과정에서 가장 우수한 성과를 낸 조에 속한 모든 학생에게 주어졌다.

최고상인	최고상/NNG+이/VCP+ㄴ/ETM
동아일보	동아일보/NNP
사장상은	사장/NNG+상/NNG+은/JX
기사작성(기자반)과	기사/NNG+작성/NNG+(/SS+기자/NNG+반/NNG+)/SS+과/JC
영상제작(PD반)	영상/NNG+제작/NNG+(/SS+PD/SL+반/NNG+)/SS
과정에서	과정/NNG+에서/JKB
가장	가장/MAG
우수한	우수/NNG+하/XSA+ㄴ/ETM
성과를	성과/NNG+를/JKO
낸	내/VV+ㄴ/ETM
조에	조/NNG+에/JKB
속한	속하/VV+ㄴ/ETM
모든	모든/MMN
학생에게	학생/NNG+에게/JKB
주어졌다.	주어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.121.9.1
고려대 미디어스쿨은 오는 겨울방학에 한층 업그레이드된 프로그램으로 다시 돌아올 예정이다.

고려대	고려대/NNP
미디어스쿨은	미디어스쿨/NNP+은/JX
오는	오/VV+는/ETM
겨울방학에	겨울/NNG+방학/NNG+에/JKB
한층	한층/MAG
업그레이드된	업그레이드/NNG+되/XSV+ㄴ/ETM
프로그램으로	프로그램/NNG+으로/JKB
다시	다시/MAG
돌아올	돌아오/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


