# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.68
metadata : {}


# id : NWRW1800000048.68.1.1
삼성전자, 백혈병 피해자 30명에 보상금 첫 지급

삼성전자,	삼성전자/NNP+,/SP
걸린다”며	걸리/VV+ㄴ다/EF+”/SS+며/EC
“변호사	“/SS+변호사/NNG
또는	또는/MAG
노무사	노무사/NNG
등이	등/NNB+이/JKS
직접	직접/MAG
발병자를	발병자/NNG+를/JKO
방문해	방문/NNG+하/XSV+아/EC
접수	접수/NNG
등을	등/NNB+을/JKO
도와주고	도와주/VV+고/EC
있어	있/VX+어/EC
보상금을	보상금/NNG+을/JKO
지급받는	지급/NNG+받/XSV+는/ETM
사람은	사람/NNG+은/JX
계속	계속/MAG
늘어날	늘어나/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.68.7.3
이날까지 보상 신청자는 협력사 퇴직자를 포함해 90여명에 이른다.

이날까지	이날/NNG+까지/JX
보상	보상/NNG
신청자는	신청자/NNG+는/JX
협력사	협력사/NNG
퇴직자를	퇴직자/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
90여명에	90/SN+여/XSN+명/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.68.8.1
삼성전자는 또 보상 대상자를 직접 찾아가 권오현 부회장 명의의 사과문을 개별적으로 전달하고 있다.

삼성전자는	삼성전자/NNP+는/JX
또	또/MAG
보상	보상/NNG
대상자를	대상자/NNG+를/JKO
직접	직접/MAG
찾아가	찾아가/VV+아/EC
권오현	권오현/NNP
부회장	부회장/NNG
명의의	명의/NNG+의/JKG
사과문을	사과문/NNG+을/JKO
개별적으로	개별/NNG+적/XSN+으로/JKB
전달하고	전달/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.68.8.2
사과문에는 ‘발병자와 가족의 아픔을 헤아리는 데 소홀한 부분이 있었으며 진작 이 문제를 해결했어야 하는데 그러지 못했다.

사과문에는	사과문/NNG+에/JKB+는/JX
‘발병자와	‘/SS+발병자/NNG+와/JC
가족의	가족/NNG+의/JKG
아픔을	아픔/NNG+을/JKO
헤아리는	헤아리/VV+는/ETM
데	데/NNB
소홀한	소홀/NNG+하/XSA+ㄴ/ETM
부분이	부분/NNG+이/JKS
있었으며	있/VA+었/EP+으며/EC
진작	진작/MAG
이	이/MMD
문제를	문제/NNG+를/JKO
해결했어야	해결/NNG+하/XSV+았/EP+어야/EC
하는데	하/VX+는데/EC
그러지	그러/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.68.8.3
진심으로 사과 드린다’는 내용이 담겼다.

진심으로	진심/NNG+으로/JKB
사과	사과/NNG
드린다’는	드리/VV+ㄴ다/EF+’/SS+는/ETM
내용이	내용/NNG+이/JKS
담겼다.	담기/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.68.9.1
이에 대해 가족대책위원회는 “어려운 여건 속에서 8년이나 끌어온 문제가 첫발을 내딛어 풀리기 시작한 것을 다행으로 생각한다”며 “아쉬운 대목이 없진 않지만 회사가 사과문을 개별적으로 보내줘 피해 당사자와 가족들이 조금이라도 위로를 받을 것으로 본다”고 밝혔다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
가족대책위원회는	가족/NNG+대책/NNG+위원회/NNG+는/JX
“어려운	“/SS+어렵/VA+ㄴ/ETM
여건	여건/NNG
속에서	속/NNG+에서/JKB
8년이나	8/SN+년/NNB+이나/JX
끌어온	끌어오/VV+ㄴ/ETM
문제가	문제/NNG+가/JKS
첫발을	첫발/NNG+을/JKO
내딛어	내딛/VV+어/EC
풀리기	풀리/VV+기/ETN
시작한	시작/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
다행으로	다행/NNG+으로/JKB
생각한다”며	생각/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“아쉬운	“/SS+아쉽/VA+ㄴ/ETM
대목이	대목/NNG+이/JKS
없진	없/VA+지/EC+ㄴ/JX
않지만	않/VX+지만/EC
회사가	회사/NNG+가/JKS
사과문을	사과문/NNG+을/JKO
개별적으로	개별/NNG+적/XSN+으로/JKB
보내줘	보내/VV+어/EC+주/VX+어/EC
피해	피해/NNG
당사자와	당사자/NNG+와/JC
가족들이	가족/NNG+들/XSN+이/JKS
조금이라도	조금/NNG+이라도/JX
위로를	위로/NNG+를/JKO
받을	받/VV+을/ETM
것으로	것/NNB+으로/JKB
본다”고	보/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.68.10.1
그러나 반올림의 공유정옥 간사(의사)는 “사회적 대화 차원에서 구성된 조정위원회에서는 별다른 이유도 없이 조정 보류를 요청하더니, 불과 2주 만에 일부 피해자에 대한 보상금 지급이 완료됐다는 소식이 들려왔다”며 “시민·노동자와 함께 원인을 찾고 재발 방지를 위한 대책을 마련하겠다던 종합적 해결 방안을 거부하겠다는 태도로밖에 보이지 않는다”고 지적했다.

그러나	그러나/MAJ
반올림의	반올림/NNP+의/JKG
공유정옥	공유정옥/NNP
간사(의사)는	간사/NNG+(/SS+의사/NNG+)/SS+는/JX
“사회적	“/SS+사회/NNG+적/XSN
대화	대화/NNG
차원에서	차원/NNG+에서/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
조정위원회에서는	조정/NNG+위원회/NNG+에서/JKB+는/JX
별다른	별다르/VA+ㄴ/ETM
이유도	이유/NNG+도/JX
없이	없이/MAG
조정	조정/NNG
보류를	보류/NNG+를/JKO
요청하더니,	요청/NNG+하/XSV+더니/EC+,/SP
불과	불과/MAG
2주	2/SN+주/NNB
만에	만/NNB+에/JKB
일부	일부/NNG
피해자에	피해자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
보상금	보상금/NNG
지급이	지급/NNG+이/JKS
완료됐다는	완료/NNG+되/XSV+었/EP+다는/ETM
소식이	소식/NNG+이/JKS
들려왔다”며	들려오/VV+았/EP+다/EF+”/SS+며/EC
“시민·노동자와	“/SS+시민/NNG+·/SP+노동자/NNG+와/JKB
함께	함께/MAG
원인을	원인/NNG+을/JKO
찾고	찾/VV+고/EC
재발	재발/NNG
방지를	방지/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
대책을	대책/NNG+을/JKO
마련하겠다던	마련/NNG+하/XSV+겠/EP+다던/ETM
종합적	종합/NNG+적/XSN
해결	해결/NNG
방안을	방안/NNG+을/JKO
거부하겠다는	거부/NNG+하/XSV+겠/EP+다는/ETM
태도로밖에	태도/NNG+로/JKB+밖에/JX
보이지	보이/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


