# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.386
metadata : {}


# id : NWRW1800000024.386.1.1
효성회장 셋째도 ‘하와이 고급콘도’ 샀다

효성회장	효성/NNP+회장/NNG
되는데,	되/VV+는데/EC+,/SP
안씨는	안/NNP+씨/NNB+는/JX
저당권	저당/NNG+권/XSN
설정을	설정/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
융자서류가	융자/NNG+서류/NNG+가/JKS
제출된	제출/NNG+되/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
없다고	없/VA+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.386.3.2
호놀룰루 세무국 재산세 부과 서류에는 조 전무의 주소가 뉴욕의 효성아메리카로 돼 있다.

호놀룰루	호놀룰루/NNP
세무국	세무국/NNG
재산세	재산세/NNG
부과	부과/NNG
서류에는	서류/NNG+에/JKB+는/JX
조	조/NNP
전무의	전무/NNG+의/JKG
주소가	주소/NNG+가/JKS
뉴욕의	뉴욕/NNP+의/JKG
효성아메리카로	효성아메리카/NNP+로/JKB
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.386.3.3
안씨는 노태우 전 대통령의 아들 노재헌(미국 변호사)씨 부부도 지난해 6월 123만4000달러에 이 콘도 한 채를 매입했다고 전했다.

안씨는	안/NNP+씨/NNB+는/JX
노태우	노태우/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
아들	아들/NNG
노재헌(미국	노재헌/NNP+(/SS+미국/NNP
변호사)씨	변호사/NNG+)/SS+씨/NNB
부부도	부부/NNG+도/JX
지난해	지난해/NNG
6월	6/SN+월/NNB
123만4000달러에	123/SN+만/NR+4000/SN+달러/NNB+에/JKB
이	이/MMD
콘도	콘도/NNG
한	한/MMN
채를	채/NNB+를/JKO
매입했다고	매입/NNG+하/XSV+았/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.386.4.1
안씨는 “해외투자한도를 어긴 것은 아니지만, 해외부동산을 구입하면 그 다음해 5월까지 한국 주소지 관할 세무서에 신고해야 하며, 본인이 거주하지 않을 경우 임대소득을 신고하고 종합소득세를 납부해야 한다”고 설명했다.

안씨는	안/NNP+씨/NNB+는/JX
“해외투자한도를	“/SS+해외/NNG+투자/NNG+한도/NNG+를/JKO
어긴	어기/VV+ㄴ/ETM
것은	것/NNB+은/JX
아니지만,	아니/VCN+지만/EC+,/SP
해외부동산을	해외/NNG+부동산/NNG+을/JKO
구입하면	구입/NNG+하/XSV+면/EC
그	그/MMD
다음해	다음/NNG+해/NNG
5월까지	5/SN+월/NNB+까지/JX
한국	한국/NNP
주소지	주소지/NNG
관할	관할/NNG
세무서에	세무서/NNG+에/JKB
신고해야	신고/NNG+하/XSV+아야/EC
하며,	하/VX+며/EC+,/SP
본인이	본인/NNG+이/JKS
거주하지	거주/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
경우	경우/NNG
임대소득을	임대/NNG+소득/NNG+을/JKO
신고하고	신고/NNG+하/XSV+고/EC
종합소득세를	종합/NNG+소득세/NNG+를/JKO
납부해야	납부/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.386.4.2
이에 대해 ㈜효성 쪽 인사는 “조 전무가 지난주 결혼한 뒤 현재 신혼여행 중이라서 콘도와 관련한 사실 여부를 확인하기 어렵다”고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
㈜효성	㈜/SW+효성/NNP
쪽	쪽/NNB
인사는	인사/NNG+는/JX
“조	“/SS+조/NNP
전무가	전무/NNG+가/JKS
지난주	지난주/NNG
결혼한	결혼/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
현재	현재/MAG
신혼여행	신혼여행/NNG
중이라서	중/NNB+이/VCP+라서/EC
콘도와	콘도/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
사실	사실/NNG
여부를	여부/NNG+를/JKO
확인하기	확인/NNG+하/XSV+기/ETN
어렵다”고	어렵/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


