# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.104
metadata : {}


# id : NWRW1800000029.104.1.1
“명품 향수 70% 싸게 팝니다”

“명품	“/SS+명품/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.104.6.1
해외 명품 브랜드 병행수입에 가장 적극적인 곳은 홈플러스다.

해외	해외/NNG
명품	명품/NNG
브랜드	브랜드/NNG
병행수입에	병행/NNG+수입/NNG+에/JKB
가장	가장/MAG
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
곳은	곳/NNG+은/JX
홈플러스다.	홈플러스/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000029.104.6.2
홈플러스는 지난해 8월 잠실점에 프라다, 샤넬, 구치, 페라가모 등 해외 명품 브랜드를 파는 오르루체 명품관을 열었다.

홈플러스는	홈플러스/NNP+는/JX
지난해	지난해/NNG
8월	8/SN+월/NNB
잠실점에	잠실점/NNG+에/JKB
프라다,	프라다/NNP+,/SP
샤넬,	샤넬/NNP+,/SP
구치,	구치/NNP+,/SP
페라가모	페라가모/NNP
등	등/NNB
해외	해외/NNG
명품	명품/NNG
브랜드를	브랜드/NNG+를/JKO
파는	팔/VV+는/ETM
오르루체	오르루체/NNP
명품관을	명품관/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.104.6.3
직수입으로 유통마진과 판매수수료를 낮춰 백화점보다 20∼30% 싸게 제품을 선보여 개점 당시 샤넬 빈티지 2.55 백은 매장에 진열된 3점이 개장 1시간 만에 다 팔리기도 했다.

직수입으로	직수입/NNG+으로/JKB
유통마진과	유통/NNG+마진/NNG+과/JC
판매수수료를	판매/NNG+수수료/NNG+를/JKO
낮춰	낮추/VV+어/EC
백화점보다	백화점/NNG+보다/JKB
20∼30%	20/SN+∼/SO+30/SN+%/SW
싸게	싸/VA+게/EC
제품을	제품/NNG+을/JKO
선보여	선보이/VV+어/EC
개점	개점/NNG
당시	당시/NNG
샤넬	샤넬/NNP
빈티지	빈티지/NNG
2.55	2/SN+./SP+55/SN
백은	백/NNG+은/JX
매장에	매장/NNG+에/JKB
진열된	진열/NNG+되/XSV+ㄴ/ETM
3점이	3/SN+점/NNB+이/JKS
개장	개장/NNG
1시간	1/SN+시간/NNB
만에	만/NNB+에/JKB
다	다/MAG
팔리기도	팔리/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.104.7.1
현재 오르루체 명품관은 부천상동점, 일산킨텍스점 등 12개 점포로 늘어났다.

현재	현재/MAG
오르루체	오르루체/NNP
명품관은	명품관/NNG+은/JX
부천상동점,	부천/NNP+상동점/NNG+,/SP
일산킨텍스점	일산/NNP+킨텍스점/NNG
등	등/NNB
12개	12/SN+개/NNB
점포로	점포/NNG+로/JKB
늘어났다.	늘어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.104.7.2
앞으로 마트에 추가로 입점시킬 계획이다.

앞으로	앞/NNG+으로/JKB
마트에	마트/NNG+에/JKB
추가로	추가/NNG+로/JKB
입점시킬	입점/NNG+시키/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.104.7.3
홈플러스는 오르루체명품관의 인기에 힘입어 올해 1월에는 잠실점에 오르루체 키즈관도 열었다.

홈플러스는	홈플러스/NNP+는/JX
오르루체명품관의	오르루체/NNP+명품관/NNG+의/JKG
인기에	인기/NNG+에/JKB
힘입어	힘입/VV+어/EC
올해	올해/NNG
1월에는	1/SN+월/NNB+에/JKB+는/JX
잠실점에	잠실점/NNG+에/JKB
오르루체	오르루체/NNP
키즈관도	키즈관/NNG+도/JX
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.104.7.4
잠실점의 경우 월 최고 매출 1억8000만 원을 기록하는 등 올 상반기(1∼6월) 오르루체 명품관 12곳의 매출이 30억 원에 달해 홈플러스는 ‘명품 장사’로 꽤 쏠쏠한 재미를 봤다.

잠실점의	잠실점/NNG+의/JKG
경우	경우/NNG
월	월/NNG
최고	최고/NNG
매출	매출/NNG
1억8000만	1/SN+억/NR+8000/SN+만/NR
원을	원/NNB+을/JKO
기록하는	기록/NNG+하/XSV+는/ETM
등	등/NNB
올	올/NNG
상반기(1∼6월)	상반기/NNG+(/SS+1/SN+∼/SO+6/SN+월/NNB+)/SS
오르루체	오르루체/NNP
명품관	명품관/NNG
12곳의	12/SN+곳/NNG+의/JKG
매출이	매출/NNG+이/JKS
30억	30/SN+억/NR
원에	원/NNB+에/JKB
달해	달하/VV+아/EC
홈플러스는	홈플러스/NNP+는/JX
‘명품	‘/SS+명품/NNG
장사’로	장사/NNG+’/SS+로/JKB
꽤	꽤/MAG
쏠쏠한	쏠쏠하/VA+ㄴ/ETM
재미를	재미/NNG+를/JKO
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.104.8.1
롯데마트 역시 지난해 말 병행수입으로 미국 명품 브랜드인 ‘코치’ 상품을 매장에 선보였다.

롯데마트	롯데마트/NNP
역시	역시/MAG
지난해	지난해/NNG
말	말/NNB
병행수입으로	병행/NNG+수입/NNG+으로/JKB
미국	미국/NNP
명품	명품/NNG
브랜드인	브랜드/NNG+이/VCP+ㄴ/ETM
‘코치’	‘/SS+코치/NNP+’/SS
상품을	상품/NNG+을/JKO
매장에	매장/NNG+에/JKB
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.104.8.2
당시 코치 핸드백을 시중 가격보다 50% 싼 19만8000원에 내놓아 수입했던 물량 1000개가 일주일 만에 모두 판매됐다.

당시	당시/NNG
코치	코치/NNP
핸드백을	핸드백/NNG+을/JKO
시중	시중/NNG
가격보다	가격/NNG+보다/JKB
50%	50/SN+%/SW
싼	싸/VA+ㄴ/ETM
19만8000원에	19/SN+만/NR+8000/SN+원/NNB+에/JKB
내놓아	내놓/VV+아/EC
수입했던	수입/NNG+하/XSV+았/EP+던/ETM
물량	물량/NNG
1000개가	1000/SN+개/NNB+가/JKS
일주일	일주일/NNG
만에	만/NNB+에/JKB
모두	모두/MAG
판매됐다.	판매/NNG+되/XSV+었/EP+다/EF+./SF


