# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.105
metadata : {}


# id : NWRW1800000053.105.1.1
“이 작품 아니면 극단 문 닫을 뻔했죠”

“이	“/SS+이/MMD
작품은 소아성애가 있는 사이코패스 연쇄살인범 랄프(이석준 박호산 이창훈)와 그에 의해 딸을 잃은 낸시(우현주), 연쇄살인범을 연구하는 정신과 의사 아그네샤(정수영)가 출연해 극한의 감정을 오가며 상실과 트라우마, 복수와 용서, 인간의 본성에 대해 밀도 있게 고찰했다.

작품은	작품/NNG+은/JX
소아성애가	소아/NNG+성애/NNG+가/JKS
있는	있/VA+는/ETM
사이코패스	사이코패스/NNG
연쇄살인범	연쇄/NNG+살인범/NNG
랄프(이석준	랄프/NNP+(/SS+이석준/NNP
박호산	박호산/NNP
이창훈)와	이창훈/NNP+)/SS+와/JC
그에	그/NP+에/JKB
의해	의하/VV+아/EC
딸을	딸/NNG+을/JKO
잃은	잃/VV+은/ETM
낸시(우현주),	낸시/NNP+(/SS+우현주/NNP+)/SS+,/SP
연쇄살인범을	연쇄/NNG+살인범/NNG+을/JKO
연구하는	연구/NNG+하/XSV+는/ETM
정신과	정신과/NNG
의사	의사/NNG
아그네샤(정수영)가	아그네샤/NNP+(/SS+정수영/NNP+)/SS+가/JKS
출연해	출연/NNG+하/XSV+아/EC
극한의	극한/NNG+의/JKG
감정을	감정/NNG+을/JKO
오가며	오가/VV+며/EC
상실과	상실/NNG+과/JC
트라우마,	트라우마/NNG+,/SP
복수와	복수/NNG+와/JC
용서,	용서/NNG+,/SP
인간의	인간/NNG+의/JKG
본성에	본성/NNG+에/JKB
대해	대하/VV+아/EC
밀도	밀도/NNG
있게	있/VA+게/EC
고찰했다.	고찰/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.105.7.1
초연 때도 랄프 역을 했던 이 씨는 “센 작품을 많이 했지만 그중에서도 ‘프로즌’은 단연 ‘멘털 갑’이다.

초연	초연/NNG
때도	때/NNG+도/JX
랄프	랄프/NNP
역을	역/NNG+을/JKO
했던	하/VV+았/EP+던/ETM
이	이/NNP
씨는	씨/NNB+는/JX
“센	“/SS+세/VA+ㄴ/ETM
작품을	작품/NNG+을/JKO
많이	많이/MAG
했지만	하/VV+았/EP+지만/EC
그중에서도	그중/NNG+에서/JKB+도/JX
‘프로즌’은	‘/SS+프로즌/NNP+’/SS+은/JX
단연	단연/MAG
‘멘털	‘/SS+멘털/NNG
갑’이다.	갑/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000053.105.7.2
어릴 적 얼마나 학대를 받으면 아무렇지도 않게 아이를 죽일까 가늠해 보려 하지만 상상력의 한계치를 넘어선다”고 말했다.

어릴	어리/VA+ㄹ/ETM
적	적/NNB
얼마나	얼마나/MAG
학대를	학대/NNG+를/JKO
받으면	받/VV+으면/EC
아무렇지도	아무렇/VA+지/EC+도/JX
않게	않/VX+게/EC
아이를	아이/NNG+를/JKO
죽일까	죽이/VV+ㄹ까/EF
가늠해	가늠/NNG+하/XSV+아/EC
보려	보/VX+려/EC
하지만	하/VX+지만/EC
상상력의	상상력/NNG+의/JKG
한계치를	한계/NNG+치/XSN+를/JKO
넘어선다”고	넘어서/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.105.8.1
두 아들의 엄마인 우 대표는 낸시의 아픔에 너무나 공감하기에 감정을 절제하느라 애쓰고 있다.

두	두/MMN
아들의	아들/NNG+의/JKG
엄마인	엄마/NNG+이/VCP+ㄴ/ETM
우	우/NNP
대표는	대표/NNG+는/JX
낸시의	낸시/NNP+의/JKG
아픔에	아픔/NNG+에/JKB
너무나	너무나/MAG
공감하기에	공감/NNG+하/XSV+기에/EC
감정을	감정/NNG+을/JKO
절제하느라	절제/NNG+하/XSV+느라/EC
애쓰고	애쓰/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.105.8.2
“절대 겪고 싶지 않은 일을, 극 중이지만 매일 마주하다 보니 고통에서 빠져나오기가 쉽지 않아요.

“절대	“/SS+절대/MAG
겪고	겪/VV+고/EC
싶지	싶/VX+지/EC
않은	않/VX+은/ETM
일을,	일/NNG+을/JKO+,/SP
극	극/NNG
중이지만	중/NNB+이/VCP+지만/EC
매일	매일/MAG
마주하다	마주/MAG+하/XSV+다/EC
보니	보/VX+니/EC
고통에서	고통/NNG+에서/JKB
빠져나오기가	빠져나오/VV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않아요.	않/VX+아요/EF+./SF


# id : NWRW1800000053.105.8.3
김광보 연출가가 ‘더 깊이 들어가라’고 요구하는데 ‘그러면 난 죽어요’라고 말했을 정도라니까요.”

김광보	김광보/NNP
연출가가	연출가/NNG+가/JKS
‘더	‘/SS+더/MAG
깊이	깊이/MAG
들어가라’고	들어가/VV+라/EF+’/SS+고/JKQ
요구하는데	요구/NNG+하/XSV+는데/EC
‘그러면	‘/SS+그러면/MAJ
난	나/NP+ㄴ/JX
죽어요’라고	죽/VV+어요/EF+’/SS+라고/JKQ
말했을	말/NNG+하/XSV+았/EP+을/ETM
정도라니까요.”	정도/NNG+이/VCP+라니까/EF+요/JX+./SF+”/SS


# id : NWRW1800000053.105.9.1
이 씨는 초연 때 학대당하는 연기에 몰입한 나머지, 자기 뺨을 너무 세게 쳐서 턱관절이 빠지는 바람에 한동안 병원 치료를 받아야 했다.

이	이/NNP
씨는	씨/NNB+는/JX
초연	초연/NNG
때	때/NNG
학대당하는	학대/NNG+당하/XSV+는/ETM
연기에	연기/NNG+에/JKB
몰입한	몰입/NNG+하/XSV+ㄴ/ETM
나머지,	나머지/NNG+,/SP
자기	자기/NP
뺨을	뺨/NNG+을/JKO
너무	너무/MAG
세게	세/VA+게/EC
쳐서	치/VV+어서/EC
턱관절이	턱관절/NNG+이/JKS
빠지는	빠지/VV+는/ETM
바람에	바람/NNB+에/JKB
한동안	한/XPN+동안/NNG
병원	병원/NNG
치료를	치료/NNG+를/JKO
받아야	받/VV+아야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.105.9.2
“이번에는 사이코패스의 심리로 완전히 넘어가보려 애쓰고 있어요.

“이번에는	“/SS+이번/NNG+에/JKB+는/JX
사이코패스의	사이코패스/NNG+의/JKG
심리로	심리/NNG+로/JKB
완전히	완전히/MAG
넘어가보려	넘어가/VV+아/EC+보/VX+려/EC
애쓰고	애쓰/VV+고/EC
있어요.	있/VX+어요/EF+./SF


# id : NWRW1800000053.105.9.3
완벽한 고통을 맛보겠지만 진심을 담은 연기를 보여드리고 싶거든요.”

완벽한	완벽/NNG+하/XSA+ㄴ/ETM
고통을	고통/NNG+을/JKO
맛보겠지만	맛보/VV+겠/EP+지만/EC
진심을	진심/NNG+을/JKO
담은	담/VV+은/ETM
연기를	연기/NNG+를/JKO
보여드리고	보이/VV+어/EC+드리/VX+고/EC
싶거든요.”	싶/VX+거든/EF+요/JX+./SF+”/SS


# id : NWRW1800000053.105.10.1
맨씨어터는 연출가가 아닌 배우가 만든 극단이기에 배우 중심으로 운영된다.

맨씨어터는	맨씨어터/NNP+는/JX
연출가가	연출가/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
배우가	배우/NNG+가/JKS
만든	만들/VV+ㄴ/ETM
극단이기에	극단/NNG+이/VCP+기에/EC
배우	배우/NNG
중심으로	중심/NNG+으로/JKB
운영된다.	운영/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.105.10.2
이 씨를 비롯해 전미도 박호산 등 모두 19명이 활동하고 있다.

이	이/NNP
씨를	씨/NNB+를/JKO
비롯해	비롯하/VV+아/EC
전미도	전미도/NNP
박호산	박호산/NNP
등	등/NNB
모두	모두/MAG
19명이	19/SN+명/NNB+이/JKS
활동하고	활동/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.105.10.3
남녀 비율은 반반이다.

남녀	남녀/NNG
비율은	비율/NNG+은/JX
반반이다.	반반/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.105.10.4
실력파 배우들이 모인 단단한 극단이 된 데에는 동호회처럼 편하면서도 성실하게 연습하는 분위기를 만든 우 대표의 리더십이 한몫했다.

실력파	실력파/NNG
배우들이	배우/NNG+들/XSN+이/JKS
모인	모이/VV+ㄴ/ETM
단단한	단단하/VA+ㄴ/ETM
극단이	극단/NNG+이/JKC
된	되/VV+ㄴ/ETM
데에는	데/NNB+에/JKB+는/JX
동호회처럼	동호회/NNG+처럼/JKB
편하면서도	편하/VA+면서/EC+도/JX
성실하게	성실/NNG+하/XSA+게/EC
연습하는	연습/NNG+하/XSV+는/ETM
분위기를	분위기/NNG+를/JKO
만든	만들/VV+ㄴ/ETM
우	우/NNP
대표의	대표/NNG+의/JKG
리더십이	리더십/NNG+이/JKS
한몫했다.	한몫/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.105.10.5
스타 연출가인 김광보 씨가 한 해에 작품 하나는 꼭 맨씨어터와 하겠다고 약속했을 정도다.

스타	스타/NNG
연출가인	연출가/NNG+이/VCP+ㄴ/ETM
김광보	김광보/NNP
씨가	씨/NNB+가/JKS
한	한/MMN
해에	해/NNG+에/JKB
작품	작품/NNG
하나는	하나/NR+는/JX
꼭	꼭/MAG
맨씨어터와	맨씨어터/NNP+와/JKB
하겠다고	하/VV+겠/EP+다고/EC
약속했을	약속/NNG+하/XSV+았/EP+을/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.105.11.1
“‘썸걸즈’를 하며 연극배우로서 행복을 맛봤어요.

“‘썸걸즈’를	“/SS+‘/SS+썸걸즈/NNP+’/SS+를/JKO
하며	하/VV+며/EC
연극배우로서	연극배우/NNG+로서/JKB
행복을	행복/NNG+을/JKO
맛봤어요.	맛보/VV+았/EP+어요/EF+./SF


# id : NWRW1800000053.105.11.2
맨씨어터는 배우로 성장할 수 있게 길을 터주고, 배우 인생을 새로 쓰게 해준 곳이에요.

맨씨어터는	맨씨어터/NNP+는/JX
배우로	배우/NNG+로/JKB
성장할	성장/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
길을	길/NNG+을/JKO
터주고,	트/VV+어/EC+주/VX+고/EC+,/SP
배우	배우/NNG
인생을	인생/NNG+을/JKO
새로	새로/MAG
쓰게	쓰/VV+게/EC
해준	하/VX+아/EC+주/VX+ㄴ/ETM
곳이에요.	곳/NNG+이/VCP+에요/EF+./SF


# id : NWRW1800000053.105.11.3
평생 갚아야 할 것을 받았어요.”(이 씨)

평생	평생/NNG
갚아야	갚/VV+아야/EC
할	하/VX+ㄹ/ETM
것을	것/NNB+을/JKO
받았어요.”(이	받/VV+았/EP+어요/EF+./SF+”/SS+(/SS+이/NNP
씨)	씨/NNB+)/SS


# id : NWRW1800000053.105.12.1
이 말에 우 대표의 눈이 빨개지더니 결국 눈물이 주르륵 흘러내렸다.

이	이/MMD
말에	말/NNG+에/JKB
우	우/NNP
대표의	대표/NNG+의/JKG
눈이	눈/NNG+이/JKS
빨개지더니	빨개지/VV+더니/EC
결국	결국/MAG
눈물이	눈물/NNG+이/JKS
주르륵	주르륵/MAG
흘러내렸다.	흘러내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.105.12.2
카리스마 넘치던 무대 위의 그와는 전혀 다른 모습이었다.

카리스마	카리스마/NNG
넘치던	넘치/VV+던/ETM
무대	무대/NNG
위의	위/NNG+의/JKG
그와는	그/NP+와/JKB+는/JX
전혀	전혀/MAG
다른	다르/VA+ㄴ/ETM
모습이었다.	모습/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.105.12.3
“아, 너무 고마워서 뭐라고 말해야 할지 모르겠어요.

“아,	“/SS+아/IC+,/SP
너무	너무/MAG
고마워서	고맙/VA+어서/EC
뭐라고	뭐/NP+이/VCP+라고/EC
말해야	말/NNG+하/XSV+아야/EC
할지	하/VX+ㄹ지/EC
모르겠어요.	모르/VV+겠/EP+어요/EF+./SF


# id : NWRW1800000053.105.12.4
신진 작가와 함께 성장하며 창작극을 더 많이 올리려고 해요.

신진	신진/NNG
작가와	작가/NNG+와/JKB
함께	함께/MAG
성장하며	성장/NNG+하/XSV+며/EC
창작극을	창작극/NNG+을/JKO
더	더/MAG
많이	많이/MAG
올리려고	올리/VV+려고/EC
해요.	하/VX+아요/EF+./SF


# id : NWRW1800000053.105.12.5
시대정신을 반영할 수 있는, 새로운 10년을 보내고 싶어요.”(우 대표)

시대정신을	시대정신/NNG+을/JKO
반영할	반영/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는,	있/VA+는/ETM+,/SP
새로운	새롭/VA+ㄴ/ETM
10년을	10/SN+년/NNB+을/JKO
보내고	보내/VV+고/EC
싶어요.”(우	싶/VX+어요/EF+./SF+”/SS+(/SS+우/NNP
대표)	대표/NNG+)/SS


# id : NWRW1800000053.105.12.6
“지난 10년간 참 즐거웠어요.

“지난	“/SS+지나/VV+ㄴ/ETM
10년간	10/SN+년/NNB+간/XSN
참	참/MAG
즐거웠어요.	즐겁/VA+었/EP+어요/EF+./SF


# id : NWRW1800000053.105.12.7
작품의 무게에 짓눌리지 않고, 삶과 사회를 들여다보게 만드는 연기를 할 수 있도록 노력할게요.”(이 씨)

작품의	작품/NNG+의/JKG
무게에	무게/NNG+에/JKB
짓눌리지	짓눌리/VV+지/EC
않고,	않/VX+고/EC+,/SP
삶과	삶/NNG+과/JC
사회를	사회/NNG+를/JKO
들여다보게	들여다보/VV+게/EC
만드는	만들/VV+는/ETM
연기를	연기/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
노력할게요.”(이	노력/NNG+하/XSV+ㄹ게/EF+요/JX+./SF+”/SS+(/SS+이/NNP
씨)	씨/NNB+)/SS


# id : NWRW1800000053.105.13.1
6월 6일∼7월 16일 서울 대학로 예그린씨어터.

6월	6/SN+월/NNB
6일∼7월	6/SN+일/NNB+∼/SO+7/SN+월/NNB
16일	16/SN+일/NNB
서울	서울/NNP
대학로	대학로/NNP
예그린씨어터.	예그린씨어터/NNP+./SF


# id : NWRW1800000053.105.13.2
5만 원.

5만	5/SN+만/NR
원.	원/NNB+./SF


# id : NWRW1800000053.105.13.3
1577-3363

1577-3363	1577/SN+-/SO+3363/SN


