# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.249
metadata : {}


# id : NWRW1800000038.249.1.1
"패기와 열정… 청룡에서 맘껏 뿜어라"

"패기와	"/SS+패기/NNG+와/JC
최고(最古) 전통과 최고(最高) 권위의 청룡기 개막을 맞아 국내 프로야구 9개 구단 감독과 대표 선수가 31개 출전 고교의 후배들에게 응원 메시지를 보냈다.

최고(最古)	최고/NNG+(/SS+最古/SH+)/SS
전통과	전통/NNG+과/JC
최고(最高)	최고/NNG+(/SS+最高/SH+)/SS
권위의	권위/NNG+의/JKG
청룡기	청룡기/NNG
개막을	개막/NNG+을/JKO
맞아	맞/VV+아/EC
국내	국내/NNG
프로야구	프로/NNG+야구/NNG
9개	9/SN+개/NNB
구단	구단/NNG
감독과	감독/NNG+과/JC
대표	대표/NNG
선수가	선수/NNG+가/JKS
31개	31/SN+개/NNB
출전	출전/NNG
고교의	고교/NNG+의/JKG
후배들에게	후배/NNG+들/XSN+에게/JKB
응원	응원/NNG
메시지를	메시지/NNG+를/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.249.5.1
올해 LG의 마무리투수로 활약하는 봉중근(33)은 "청룡기 참가 선수 모두가 멋진 플레이를 펼치길 기대한다"고 전했다.

올해	올해/NNG
LG의	LG/SL+의/JKG
마무리투수로	마무리/NNG+투수/NNG+로/JKB
활약하는	활약/NNG+하/XSV+는/ETM
봉중근(33)은	봉중근/NNP+(/SS+33/SN+)/SS+은/JX
"청룡기	"/SS+청룡기/NNG
참가	참가/NNG
선수	선수/NNG
모두가	모두/NNG+가/JKS
멋진	멋지/VA+ㄴ/ETM
플레이를	플레이/NNG+를/JKO
펼치길	펼치/VV+기/ETN+ㄹ/JKO
기대한다"고	기대/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.249.5.2
봉중근은 1997년 신일고의 청룡기 첫 우승 주역이었다.

봉중근은	봉중근/NNP+은/JX
1997년	1997/SN+년/NNB
신일고의	신일고/NNP+의/JKG
청룡기	청룡기/NNG
첫	첫/MMN
우승	우승/NNG
주역이었다.	주역/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.249.5.3
2학년이었던 그는 팀의 중심 타자와 에이스 투수를 동시에 맡았다.

2학년이었던	2/SN+학년/NNG+이/VCP+었/EP+던/ETM
그는	그/NP+는/JX
팀의	팀/NNG+의/JKG
중심	중심/NNG
타자와	타자/NNG+와/JC
에이스	에이스/NNG
투수를	투수/NNG+를/JKO
동시에	동시/NNG+에/JKB
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.249.5.4
당시 그는 타율 0.688(16타수 11안타), 평균자책점 1.98로 펄펄 날았다.

당시	당시/NNG
그는	그/NP+는/JX
타율	타율/NNG
0.688(16타수	0/SN+./SP+688/SN+(/SS+16/SN+타수/NNG
11안타),	11/SN+안타/NNG+)/SS+,/SP
평균자책점	평균/NNG+자책점/NNG
1.98로	1/SN+./SP+98/SN+로/JKB
펄펄	펄펄/MAG
날았다.	날/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.249.5.5
타점은 9개를 쓸어담았다.

타점은	타점/NNG+은/JX
9개를	9/SN+개/NNB+를/JKO
쓸어담았다.	쓸/VV+어/EC+담/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.249.5.6
봉중근은 배명고와 치른 결승전에선 4타수 4안타 3타점 맹타로 대회 MVP(최우수선수)로 뽑혔다.

봉중근은	봉중근/NNP+은/JX
배명고와	배명고/NNP+와/JKB
치른	치르/VV+ㄴ/ETM
결승전에선	결승전/NNG+에서/JKB+ㄴ/JX
4타수	4/SN+타수/NNG
4안타	4/SN+안타/NNG
3타점	3/SN+타점/NNG
맹타로	맹타/NNG+로/JKB
대회	대회/NNG
MVP(최우수선수)로	MVP/SL+(/SS+최/XPN+우수/NNG+선수/NNG+)/SS+로/JKB
뽑혔다.	뽑히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.249.6.1
'국가대표 유격수' 강정호(26·넥센)는 "부상 없이 멋진 경기 기대합니다"라고 메시지를 남겼다.

'국가대표	'/SS+국가/NNG+대표/NNG
유격수'	유격수/NNG+'/SS
강정호(26·넥센)는	강정호/NNP+(/SS+26/SN+·/SP+넥센/NNP+)/SS+는/JX
"부상	"/SS+부상/NNG
없이	없이/MAG
멋진	멋지/VA+ㄴ/ETM
경기	경기/NNG
기대합니다"라고	기대/NNG+하/XSV+ㅂ니다/EF+"/SS+라고/JKQ
메시지를	메시지/NNG+를/JKO
남겼다.	남기/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.249.6.2
호남의 야구 명문 광주일고 출신인 강정호는 2학년 때 출전한 2004년 대회에서 천재적인 야구 재능을 과시했다.

호남의	호남/NNP+의/JKG
야구	야구/NNG
명문	명문/NNG
광주일고	광주일고/NNP
출신인	출신/NNG+이/VCP+ㄴ/ETM
강정호는	강정호/NNP+는/JX
2학년	2/SN+학년/NNG
때	때/NNG
출전한	출전/NNG+하/XSV+ㄴ/ETM
2004년	2004/SN+년/NNB
대회에서	대회/NNG+에서/JKB
천재적인	천재/NNG+적/XSN+이/VCP+ㄴ/ETM
재능을	재능/NNG+을/JKO
과시했다.	과시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.249.6.3
그는 포수·내야수·투수 등 서너개 포지션을 소화하면서 타율 0.688(16타수 11안타)의 불방망이를 휘둘렀다.

그는	그/NP+는/JX
포수·내야수·투수	포수/NNG+·/SP+내야수/NNG+·/SP+투수/NNG
등	등/NNB
서너개	서너/MMN+개/NNB
포지션을	포지션/NNG+을/JKO
소화하면서	소화/NNG+하/XSV+면서/EC
타율	타율/NNG
0.688(16타수	0/SN+./SP+688/SN+(/SS+16/SN+타수/NNG
11안타)의	11/SN+안타/NNG+)/SS+의/JKG
불방망이를	불방망이/NNG+를/JKO
휘둘렀다.	휘두르/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.249.7.1
강정호의 8년 선배 최희섭(34·KIA)은 "한국야구 파이팅, 광주일고 파이팅"이라며 광주일고의 영광 재현을 바랐다.

강정호의	강정호/NNP+의/JKG
8년	8/SN+년/NNB
선배	선배/NNG
최희섭(34·KIA)은	최희섭/NNP+(/SS+34/SN+·/SP+KIA/SL+)/SS+은/JX
"한국야구	"/SS+한국/NNP+야구/NNG
파이팅,	파이팅/IC+,/SP
광주일고	광주일고/NNP
파이팅"이라며	파이팅/IC+"/SS+이/VCP+라며/EC
광주일고의	광주일고/NNP+의/JKG
영광	영광/NNG
재현을	재현/NNG+을/JKO
바랐다.	바라/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.249.7.2
최희섭은 1995년 대회에서 김병현(넥센), 서재응(KIA)과 함께 대회 타이틀을 차지했다.

최희섭은	최희섭/NNP+은/JX
1995년	1995/SN+년/NNB
대회에서	대회/NNG+에서/JKB
김병현(넥센),	김병현/NNP+(/SS+넥센/NNP+)/SS+,/SP
서재응(KIA)과	서재응/NNP+(/SS+KIA/SL+)/SS+과/JKB
함께	함께/MAG
대회	대회/NNG
타이틀을	타이틀/NNG+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.249.7.3
최희섭은 당시 4번 타자로 타율 0.380(5타점, 1홈런)을 쳤다.

최희섭은	최희섭/NNP+은/JX
당시	당시/NNG
4번	4/SN+번/NNB
타자로	타자/NNG+로/JKB
타율	타율/NNG
0.380(5타점,	0/SN+./SP+380/SN+(/SS+5/SN+타점/NNG+,/SP
1홈런)을	1/SN+홈런/NNG+)/SS+을/JKO
쳤다.	치/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.249.7.4
서재응·김병현·최희섭은 모두 메이저리그 무대를 밟았다.

서재응·김병현·최희섭은	서재응/NNP+·/SP+김병현/NNP+·/SP+최희섭/NNP+은/JX
모두	모두/MAG
메이저리그	메이저리그/NNG
무대를	무대/NNG+를/JKO
밟았다.	밟/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.249.8.1
정근우(31·SK)도 "부산고 파이팅!! 우승 GoGo"라면서 모교(母校)의 선전을 기원했다.

정근우(31·SK)도	정근우/NNP+(/SS+31/SN+·/SP+SK/SL+)/SS+도/JX
"부산고	"/SS+부산고/NNP
파이팅!!	파이팅/IC+!/SF+!/SF
우승	우승/NNG
GoGo"라면서	GoGo/SL+"/SS+이/VCP+라면서/EC
모교(母校)의	모교/NNG+(/SS+母校/SH+)/SS+의/JKG
선전을	선전/NNG+을/JKO
기원했다.	기원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.249.8.2
부산고의 청룡기 우승은 1978·1979년 2연패가 마지막이었다.

부산고의	부산고/NNP+의/JKG
청룡기	청룡기/NNG
우승은	우승/NNG+은/JX
1978·1979년	1978/SN+·/SP+1979/SN+년/NNB
2연패가	2/SN+연패/NNG+가/JKS
마지막이었다.	마지막/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.249.8.3
정근우가 다니던 때도 아쉬웠다.

정근우가	정근우/NNP+가/JKS
다니던	다니/VV+던/ETM
때도	때/NNG+도/JX
아쉬웠다.	아쉽/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.249.8.4
그는 부산고 동창 추신수와 같이 1999년 대회에 나섰지만 8강에서 탈락했다.

그는	그/NP+는/JX
부산고	부산고/NNP
동창	동창/NNG
추신수와	추신수/NNP+와/JKB
같이	같이/MAG
1999년	1999/SN+년/NNB
대회에	대회/NNG+에/JKB
나섰지만	나서/VV+었/EP+지만/EC
8강에서	8/SN+강/NNB+에서/JKB
탈락했다.	탈락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.249.8.5
당시 정근우는 타율 0.462(13타수 6안타)의 날카로운 방망이 솜씨를 자랑했다.

당시	당시/NNG
정근우는	정근우/NNP+는/JX
타율	타율/NNG
0.462(13타수	0/SN+./SP+462/SN+(/SS+13/SN+타수/NNG
6안타)의	6/SN+안타/NNG+)/SS+의/JKG
날카로운	날카롭/VA+ㄴ/ETM
방망이	방망이/NNG
솜씨를	솜씨/NNG+를/JKO
자랑했다.	자랑/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.249.9.1
2003년 대회에 포철공고 유니폼을 입고 출전했던 롯데 안방마님 강민호(28)는 "선전을 기원합니다"라고 축하 메시지를 전했다.

2003년	2003/SN+년/NNB
대회에	대회/NNG+에/JKB
포철공고	포철공고/NNP
유니폼을	유니폼/NNG+을/JKO
입고	입/VV+고/EC
출전했던	출전/NNG+하/XSV+았/EP+던/ETM
롯데	롯데/NNP
안방마님	안방마님/NNG
강민호(28)는	강민호/NNP+(/SS+28/SN+)/SS+는/JX
"선전을	"/SS+선전/NNG+을/JKO
기원합니다"라고	기원/NNG+하/XSV+ㅂ니다/EF+"/SS+라고/JKQ
축하	축하/NNG
메시지를	메시지/NNG+를/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.249.9.2
강민호는 뛰어난 수비력과 준수한 타격을 선보이면서 "신체조건(185㎝, 84㎏)과 강한 어깨를 바탕으로 한 송구능력이 좋아 충분히 프로에서 통할 재목"이란 평가를 받았다.

강민호는	강민호/NNP+는/JX
뛰어난	뛰어나/VA+ㄴ/ETM
수비력과	수비력/NNG+과/JKB
준수한	준수/NNG+하/XSV+ㄴ/ETM
타격을	타격/NNG+을/JKO
선보이면서	선보이/VV+면서/EC
"신체조건(185㎝,	"/SS+신체/NNG+조건/NNG+(/SS+185/SN+㎝/SW+,/SP
84㎏)과	84/SN+㎏/SW+)/SS+과/JC
강한	강하/VA+ㄴ/ETM
어깨를	어깨/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
한	하/VV+ㄴ/ETM
송구능력이	송구/NNG+능력/NNG+이/JKS
좋아	좋/VA+아/EC
충분히	충분히/MAG
프로에서	프로/NNG+에서/JKB
통할	통하/VV+ㄹ/ETM
재목"이란	재목/NNG+"/SS+이/VCP+란/ETM
평가를	평가/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.249.10.1
"학생다운 열정과 패기를 보여달라"고 당부한 삼성 류중일(50) 감독은 청룡기 역대 최고 명승부로 꼽히는 1981년 결승전을 연출했다.

"학생다운	"/SS+학생/NNG+답/XSA+ㄴ/ETM
열정과	열정/NNG+과/JC
패기를	패기/NNG+를/JKO
보여달라"고	보이/VV+어/EC+달/VX+라/EF+"/SS+고/JKQ
당부한	당부/NNG+하/XSV+ㄴ/ETM
삼성	삼성/NNP
류중일(50)	류중일/NNP+(/SS+50/SN+)/SS
감독은	감독/NNG+은/JX
청룡기	청룡기/NNG
역대	역대/NNG
최고	최고/NNG
명승부로	명승부/NNG+로/JKB
꼽히는	꼽히/VV+는/ETM
1981년	1981/SN+년/NNB
결승전을	결승전/NNG+을/JKO
연출했다.	연출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.249.10.2
프로야구 출범(1982년) 1년 전이었던 1981년은 고교 야구가 황금기를 구가하던 시절이었다.

프로야구	프로/NNG+야구/NNG
출범(1982년)	출범/NNG+(/SS+1982/SN+년/NNB+)/SS
1년	1/SN+년/NNB
전이었던	전/NNG+이/VCP+었/EP+던/ETM
1981년은	1981/SN+년/NNB+은/JX
고교	고교/NNG
야구가	야구/NNG+가/JKS
황금기를	황금기/NNG+를/JKO
구가하던	구가/NNG+하/XSV+던/ETM
시절이었다.	시절/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.249.10.3
1981년 대회에서 류 감독이 속한 경북고는 고교 야구 최고 스타 박노준(현 대한야구협회 이사)이 버틴 선린상고를 연장 11회 승부 끝에 6대5로 꺾고 정상에 올랐다.

1981년	1981/SN+년/NNB
대회에서	대회/NNG+에서/JKB
류	류/NNP
감독이	감독/NNG+이/JKS
속한	속하/VV+ㄴ/ETM
경북고는	경북고/NNP+는/JX
고교	고교/NNG
야구	야구/NNG
최고	최고/NNG
스타	스타/NNG
박노준(현	박노준/NNP+(/SS+현/MMD
대한야구협회	대한야구협회/NNP
이사)이	이사/NNG+)/SS+이/JKS
버틴	버티/VV+ㄴ/ETM
선린상고를	선린상고/NNP+를/JKO
연장	연장/NNG
11회	11/SN+회/NNB
승부	승부/NNG
끝에	끝/NNG+에/JKB
6대5로	6/SN+대/NNB+5/SN+로/JKB
꺾고	꺾/VV+고/EC
정상에	정상/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


