# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.376
metadata : {}


# id : NWRW1800000049.376.1.1
외신들 “아이들 손잡고 평화시위 인상적”

외신들	외신/NNG+들/XSN
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.376.6.1
최순실 게이트가 한국의 외교정책에 부담이 될 것이라는 보도도 이어졌다.

최순실	최순실/NNP
게이트가	게이트/NNG+가/JKS
한국의	한국/NNP+의/JKG
외교정책에	외교/NNG+정책/NNG+에/JKB
부담이	부담/NNG+이/JKS
될	되/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
보도도	보도/NNG+도/JX
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.376.6.2
월스트리트저널은 “눈덩이처럼 불어나는 한국의 정치 드라마가 정부를 마비시키고 있다”며 “박 대통령이 살아남는다 하더라도 한국이 미국 도널드 트럼프 행정부의 외교정책에 대응하는 데 어려움을 겪을 것”이라고 보도했다.

월스트리트저널은	월스트리트저널/NNP+은/JX
“눈덩이처럼	“/SS+눈덩이/NNG+처럼/JKB
불어나는	불어나/VV+는/ETM
한국의	한국/NNP+의/JKG
정치	정치/NNG
드라마가	드라마/NNG+가/JKS
정부를	정부/NNG+를/JKO
마비시키고	마비/NNG+시키/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“박	“/SS+박/NNP
대통령이	대통령/NNG+이/JKS
살아남는다	살아남/VV+는다/EF
하더라도	하/VV+더라도/EC
한국이	한국/NNP+이/JKS
미국	미국/NNP
도널드	도널드/NNP
트럼프	트럼프/NNP
행정부의	행정부/NNG+의/JKG
외교정책에	외교/NNG+정책/NNG+에/JKB
대응하는	대응/NNG+하/XSV+는/ETM
데	데/NNB
어려움을	어려움/NNG+을/JKO
겪을	겪/VV+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


