# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.45
metadata : {}


# id : NWRW1800000028.45.1.1
“대자본의 국가지배 삼성을 보면 알게돼”

“대자본의	“/SS+대/XPN+자본/NNG+의/JKG
경합과	경합/NNG+과/JC
각축이라는	각축/NNG+이/VCP+라는/ETM
틀을	틀/NNG+을/JKO
통해	통하/VV+아/EC
파헤치려는	파헤치/VV+려는/ETM
시도다.	시도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.45.2.6
최근 논문심사를 통과한 뒤 책 출간을 준비중인 이씨를 3일 서울 <한겨레> 사옥에서 만났다.

최근	최근/NNG
논문심사를	논문/NNG+심사/NNG+를/JKO
통과한	통과/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
책	책/NNG
출간을	출간/NNG+을/JKO
준비중인	준비/NNG+중/NNB+이/VCP+ㄴ/ETM
이씨를	이/NNP+씨/NNB+를/JKO
3일	3/SN+일/NNB
서울	서울/NNP
<한겨레>	</SS+한겨레/NNP+>/SS
사옥에서	사옥/NNG+에서/JKB
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.45.3.1
-왜 삼성에 주목했는가?

-왜	-/SO+왜/MAG
삼성에	삼성/NNP+에/JKB
주목했는가?	주목/NNG+하/XSV+았/EP+는가/EF+?/SF


# id : NWRW1800000028.45.4.1
“현대 자본주의 사회에서 대자본의 권력이 어떻게 작동하는지를 알려면 삼성을 보면 된다.

“현대	“/SS+현대/NNG
자본주의	자본주의/NNG
사회에서	사회/NNG+에서/JKB
대자본의	대/XPN+자본/NNG+의/JKG
권력이	권력/NNG+이/JKS
어떻게	어떻/VA+게/EC
작동하는지를	작동/NNG+하/XSV+는지/EF+를/JKO
알려면	알/VV+려면/EC
삼성을	삼성/NNP+을/JKO
보면	보/VV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.45.4.2
강압과 매수라는 전근대적 전략에서 담론·이데올로기를 통한 동의 확보라는 선진적 수단에 이르기까지, 지배의 모든 전략이 삼성에게서 드러난다.”

강압과	강압/NNG+과/JC
매수라는	매수/NNG+이/VCP+라는/ETM
전근대적	전근대/NNG+적/XSN
전략에서	전략/NNG+에서/JKB
담론·이데올로기를	담론/NNG+·/SP+이데올로기/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
동의	동의/NNG
확보라는	확보/NNG+이/VCP+라는/ETM
선진적	선진/NNG+적/XSN
수단에	수단/NNG+에/JKB
이르기까지,	이르/VV+기/ETN+까지/JX+,/SP
지배의	지배/NNG+의/JKG
모든	모든/MMN
전략이	전략/NNG+이/JKS
삼성에게서	삼성/NNP+에게서/JKB
드러난다.”	드러나/VV+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000028.45.5.1
-삼성의 지배전략이 제도정치권과 국가기구, 시민사회 영역에서 각기 다른 형태로 구사된다고 했다.

-삼성의	-/SO+삼성/NNP+의/JKG
지배전략이	지배/NNG+전략/NNG+이/JKS
제도정치권과	제도/NNG+정치/NNG+권/XSN+과/JC
국가기구,	국가/NNG+기구/NNG+,/SP
시민사회	시민/NNG+사회/NNG
영역에서	영역/NNG+에서/JKB
각기	각기/MAG
다른	다르/VA+ㄴ/ETM
형태로	형태/NNG+로/JKB
구사된다고	구사/NNG+되/XSV+ㄴ다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.45.5.2
구체적으로 어떤 방식인가?

구체적으로	구체/NNG+적/XSN+으로/JKB
어떤	어떤/MMD
방식인가?	방식/NNG+이/VCP+ㄴ가/EF+?/SF


# id : NWRW1800000028.45.6.1
“선거를 치러야 하는 정치권에 대해서는 여야, 보수·진보를 막론하고 정치자금을 통해 포획하거나 관료와의 대립구도를 활용해 주변화시키는 전략을 취한다.

“선거를	“/SS+선거/NNG+를/JKO
치러야	치르/VV+어야/EC
하는	하/VX+는/ETM
정치권에	정치/NNG+권/XSN+에/JKB
대해서는	대하/VV+아서/EC+는/JX
여야,	여야/NNG+,/SP
보수·진보를	보수/NNG+·/SP+진보/NNG+를/JKO
막론하고	막론하/VV+고/EC
정치자금을	정치/NNG+자금/NNG+을/JKO
통해	통하/VV+아/EC
포획하거나	포획/NNG+하/XSV+거나/EC
관료와의	관료/NNG+와/JKB+의/JKG
대립구도를	대립/NNG+구도/NNG+를/JKO
활용해	활용/NNG+하/XSV+아/EC
주변화시키는	주변/NNG+화/XSN+시키/XSV+는/ETM
전략을	전략/NNG+을/JKO
취한다.	취하/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.45.6.2
국가의 행정·사법 관료들 역시 매수·포획의 방식이 사용된다.

국가의	국가/NNG+의/JKG
행정·사법	행정/NNG+·/SP+사법/NNG
관료들	관료/NNG+들/XSN
역시	역시/MAG
매수·포획의	매수/NNG+·/SP+포획/NNG+의/JKG
방식이	방식/NNG+이/JKS
사용된다.	사용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.45.6.3
주목할 만한 건 대(對)시민사회 전략이다.

주목할	주목/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
건	거/NNB+ㄴ/JX
대(對)시민사회	대/NA+(/SS+對/SH+)/SS+시민/NNG+사회/NNG
전략이다.	전략/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.45.6.4
가능한 모든 전략이 동원되는데, 삼성 사회봉사단 같은 조직을 통해 시민사회의 비판에 효과적으로 대응할 수 있는 시스템을 만드는 건 기본이다.

가능한	가능/NNG+하/XSA+ㄴ/ETM
모든	모든/MMN
전략이	전략/NNG+이/JKS
동원되는데,	동원/NNG+되/XSV+는데/EC+,/SP
삼성	삼성/NNP
사회봉사단	사회/NNG+봉사단/NNG
같은	같/VA+은/ETM
조직을	조직/NNG+을/JKO
통해	통하/VV+아/EC
시민사회의	시민/NNG+사회/NNG+의/JKG
비판에	비판/NNG+에/JKB
효과적으로	효과/NNG+적/XSN+으로/JKB
대응할	대응/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시스템을	시스템/NNG+을/JKO
만드는	만들/VV+는/ETM
건	거/NNB+ㄴ/JX
기본이다.	기본/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.45.6.5
학계·언론계·시민운동단체 등에서 활동하는 주요 인물들에 대해선 임원 특채나 사외이사 기용, 기금지원, 상찬사업 등을 통해 유인·포획하거나 영향력을 약화시키고, ‘기업 하기 좋은 나라’나 ‘2만달러 시대’ 같은 담론을 유포해 시민사회 내부의 동의를 확보하거나, 노조 세력에 대해선 강압과 파괴공작도 서슴지 않는다.”

학계·언론계·시민운동단체	학계/NNG+·/SP+언론/NNG+계/XSN+·/SP+시민운동/NNG+단체/NNG
등에서	등/NNB+에서/JKB
활동하는	활동/NNG+하/XSV+는/ETM
주요	주요/NNG
인물들에	인물/NNG+들/XSN+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
임원	임원/NNG
특채나	특채/NNG+나/JC
사외이사	사외/NNG+이사/NNG
기용,	기용/NNG+,/SP
기금지원,	기금/NNG+지원/NNG+,/SP
상찬사업	상찬/NNG+사업/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
유인·포획하거나	유인/NNG+·/SP+포획/NNG+하/XSV+거나/EC
영향력을	영향력/NNG+을/JKO
약화시키고,	약화/NNG+시키/XSV+고/EC+,/SP
‘기업	‘/SS+기업/NNG
하기	하/VV+기/ETN
좋은	좋/VA+은/ETM
나라’나	나라/NNG+’/SS+나/JC
‘2만달러	‘/SS+2/SN+만/NR+달러/NNB
시대’	시대/NNG+’/SS
같은	같/VA+은/ETM
담론을	담론/NNG+을/JKO
유포해	유포/NNG+하/XSV+아/EC
시민사회	시민/NNG+사회/NNG
내부의	내부/NNG+의/JKG
동의를	동의/NNG+를/JKO
확보하거나,	확보/NNG+하/XSV+거나/EC+,/SP
노조	노조/NNG
세력에	세력/NNG+에/JKB
강압과	강압/NNG+과/JC
파괴공작도	파괴/NNG+공작/NNG+도/JX
서슴지	서슴/VV+지/EC
않는다.”	않/VX+는다/EF+./SF+”/SS


# id : NWRW1800000028.45.7.1
-하지만 엑스파일 사태나 경영권 편법승계에 대한 집요한 문제제기에서 보듯 대시민사회 전략이 전적으로 성공한 것 같지는 않다.

-하지만	-/SO+하지만/MAJ
엑스파일	엑스파일/NNG
사태나	사태/NNG+나/JC
경영권	경영/NNG+권/XSN
편법승계에	편법/NNG+승계/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
집요한	집요하/VA+ㄴ/ETM
문제제기에서	문제/NNG+제기/NNG+에서/JKB
보듯	보/VV+듯/EC
대시민사회	대시민/NNG+사회/NNG
전략이	전략/NNG+이/JKS
전적으로	전적/NNG+으로/JKB
성공한	성공/NNG+하/XSV+ㄴ/ETM
것	것/NNB
같지는	같/VA+지/EC+는/JX
않다.	않/VX+다/EF+./SF


# id : NWRW1800000028.45.8.1
“물론이다.

“물론이다.	“/SS+물론/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.45.8.2
자본의 지배전략이 일방적으로 관철될 수는 없다.

자본의	자본/NNG+의/JKG
지배전략이	지배/NNG+전략/NNG+이/JKS
일방적으로	일방/NNG+적/XSN+으로/JKB
관철될	관철/NNG+되/XSV+ㄹ/ETM
수는	수/NNB+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000028.45.8.3
민주주의 체제는 자본이 민중세력의 저항과 상호작용하면서 내적 긴장을 만들어내는 체제이기 때문이다.

민주주의	민주주의/NNG
체제는	체제/NNG+는/JX
자본이	자본/NNG+이/JKS
민중세력의	민중/NNG+세력/NNG+의/JKG
저항과	저항/NNG+과/JKB
상호작용하면서	상호/NNG+작용/NNG+하/XSV+면서/EC
내적	내/NNB+적/XSN
긴장을	긴장/NNG+을/JKO
만들어내는	만들/VV+어/EC+내/VX+는/ETM
체제이기	체제/NNG+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.45.8.4
이 과정에서 지배블록과 저항블록의 모순은 심화되고 결국 정치·사회적 갈등은 의회의 영역을 넘어 사법기구로 확대된다.

이	이/MMD
과정에서	과정/NNG+에서/JKB
지배블록과	지배/NNG+블록/NNG+과/JC
저항블록의	저항/NNG+블록/NNG+의/JKG
모순은	모순/NNG+은/JX
심화되고	심화/NNG+되/XSV+고/EC
결국	결국/MAG
정치·사회적	정치/NNG+·/SP+사회/NNG+적/XSN
갈등은	갈등/NNG+은/JX
의회의	의회/NNG+의/JKG
영역을	영역/NNG+을/JKO
넘어	넘/VV+어/EC
사법기구로	사법/NNG+기구/NNG+로/JKB
확대된다.	확대/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.45.8.5
최근의 ‘사법전쟁’이 이를 잘 보여준다.”

최근의	최근/NNG+의/JKG
‘사법전쟁’이	‘/SS+사법/NNG+전쟁/NNG+’/SS+이/JKS
이를	이/NP+를/JKO
잘	잘/MAG
보여준다.”	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000028.45.9.1
-김대중·노무현 정부의 민주주의를 ‘테이블 민주주의’로 규정했다.

-김대중·노무현	-/SO+김대중/NNP+·/SP+노무현/NNP
정부의	정부/NNG+의/JKG
민주주의를	민주주의/NNG+를/JKO
‘테이블	‘/SS+테이블/NNG
민주주의’로	민주주의/NNG+’/SS+로/JKB
규정했다.	규정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.45.9.2
테이블 민주주의가 삼성공화국을 불렀다는 얘기인가?

테이블	테이블/NNG
민주주의가	민주주의/NNG+가/JKS
삼성공화국을	삼성/NNP+공화국/NNG+을/JKO
불렀다는	부르/VV+었/EP+다는/ETM
얘기인가?	얘기/NNG+이/VCP+ㄴ가/EF+?/SF


# id : NWRW1800000028.45.10.1
“테이블 민주주의는 개혁의 대상이 되어야 할 세력조차 대화 테이블로 끌어앉혀 개혁의 방향성과 방법론을 논하는 형식적 민주주의의 한계를 꼬집기 위한 말이다.

“테이블	“/SS+테이블/NNG
민주주의는	민주주의/NNG+는/JX
개혁의	개혁/NNG+의/JKG
대상이	대상/NNG+이/JKC
되어야	되/VV+어야/EC
할	하/VX+ㄹ/ETM
세력조차	세력/NNG+조차/JX
대화	대화/NNG
테이블로	테이블/NNG+로/JKB
끌어앉혀	끌/VV+어/EC+앉히/VV+어/EC
방향성과	방향/NNG+성/XSN+과/JC
방법론을	방법/NNG+론/XSN+을/JKO
논하는	논하/VV+는/ETM
형식적	형식/NNG+적/XSN
민주주의의	민주주의/NNG+의/JKG
한계를	한계/NNG+를/JKO
꼬집기	꼬집/VV+기/ETN
위한	위하/VV+ㄴ/ETM
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.45.10.2
이런 민주주의는 테이블상에 엄존하는 쌍방 간 힘의 차이와 불평등을 간과함으로써 결국은 지배와 불평등을 지속시키는 데 일조할 뿐이다.

이런	이런/MMD
민주주의는	민주주의/NNG+는/JX
테이블상에	테이블/NNG+상/XSN+에/JKB
엄존하는	엄존/NNG+하/XSV+는/ETM
쌍방	쌍방/NNG
간	간/NNB
힘의	힘/NNG+의/JKG
차이와	차이/NNG+와/JC
불평등을	불/XPN+평등/NNG+을/JKO
간과함으로써	간과/NNG+하/XSV+ㅁ/ETN+으로써/JKB
결국은	결국/NNG+은/JX
지배와	지배/NNG+와/JC
지속시키는	지속/NNG+시키/XSV+는/ETM
데	데/NNB
일조할	일조/NNG+하/XSV+ㄹ/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.45.10.3
방법은 하나다.

방법은	방법/NNG+은/JX
하나다.	하나/NR+이/VCP+다/EF+./SF


# id : NWRW1800000028.45.10.4
기존의 형식화된 민주주의의 틀을 넘어 ‘제도정치’와 ‘운동정치’의 결합을 통해 민주주의의 실질적 진전을 모색하는 것이다.

기존의	기존/NNG+의/JKG
형식화된	형식/NNG+화/XSN+되/XSV+ㄴ/ETM
민주주의의	민주주의/NNG+의/JKG
틀을	틀/NNG+을/JKO
넘어	넘/VV+어/EC
‘제도정치’와	‘/SS+제도/NNG+정치/NNG+’/SS+와/JC
‘운동정치’의	‘/SS+운동/NNG+정치/NNG+’/SS+의/JKG
결합을	결합/NNG+을/JKO
통해	통하/VV+아/EC
실질적	실질/NNG+적/XSN
진전을	진전/NNG+을/JKO
모색하는	모색/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.45.10.5
그래야 삼성공화국의 오명에서 벗어날 희망도 생긴다.”

그래야	그렇/VA+어야/EC
삼성공화국의	삼성/NNP+공화국/NNG+의/JKG
오명에서	오명/NNG+에서/JKB
벗어날	벗어나/VV+ㄹ/ETM
희망도	희망/NNG+도/JX
생긴다.”	생기/VV+ㄴ다/EF+./SF+”/SS


