# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.34
metadata : {}


# id : NWRW1800000033.34.1.1
칼-총-활 금메달 행진 뒤엔 ‘음지의 밑거름’ 있었네

칼-총-활	칼/NNG+-/SO+총/NNG+-/SO+활/NNG
경기를	경기/NNG+를/JKO
모두	모두/MAG
TV	TV/SL
중계로	중계/NNG+로/JKB
관전하고	관전/NNG+하/XSV+고/EC
현지에	현지/NNG+에/JKB
전화를	전화/NNG+를/JKO
걸어	걸/VV+어/EC
격려했다”며	격려/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“저녁식사	“/SS+저녁/NNG+식사/NNG
메뉴를	메뉴/NNG+를/JKO
직접	직접/MAG
챙길	챙기/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
지원에	지원/NNG+에/JKB
정성을	정성/NNG+을/JKO
기울이고	기울이/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.34.6.1
한국 대표팀이 양궁과 펜싱 등 비인기 종목에서 예상치 못한 금메달을 따는 등 연일 낭보를 전하면서 이들 종목을 음지에서 꾸준히 지원해 온 대기업의 역할이 다시 조명을 받고 있다.

한국	한국/NNP
대표팀이	대표/NNG+팀/NNG+이/JKS
양궁과	양궁/NNG+과/JC
펜싱	펜싱/NNG
등	등/NNB
비인기	비/XPN+인기/NNG
종목에서	종목/NNG+에서/JKB
예상치	예상/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
금메달을	금메달/NNG+을/JKO
따는	따/VV+는/ETM
연일	연일/MAG
낭보를	낭보/NNG+를/JKO
전하면서	전하/VV+면서/EC
이들	이/NP+들/XSN
종목을	종목/NNG+을/JKO
음지에서	음지/NNG+에서/JKB
꾸준히	꾸준히/MAG
지원해	지원/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
대기업의	대/XPN+기업/NNG+의/JKG
역할이	역할/NNG+이/JKS
다시	다시/MAG
조명을	조명/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.34.6.2
국내 주요 그룹은 육상 사격 양궁 레슬링 등 평소에는 빛을 보지 못하는 비인기 종목에 매년 수십억 원을 지원하며 스포츠 강국의 밑거름을 만들어 왔다.

국내	국내/NNG
주요	주요/NNG
그룹은	그룹/NNG+은/JX
육상	육상/NNG
사격	사격/NNG
양궁	양궁/NNG
레슬링	레슬링/NNG
등	등/NNB
평소에는	평소/NNG+에/JKB+는/JX
빛을	빛/NNG+을/JKO
보지	보/VV+지/EC
못하는	못하/VX+는/ETM
비인기	비/XPN+인기/NNG
종목에	종목/NNG+에/JKB
매년	매년/MAG
수십억	수십억/NR
원을	원/NNB+을/JKO
지원하며	지원/NNG+하/XSV+며/EC
스포츠	스포츠/NNG
강국의	강국/NNG+의/JKG
밑거름을	밑거름/NNG+을/JKO
만들어	만들/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.34.7.1
○ 비인기 종목 꾸준히 키운 기업들

○	○/SW
비인기	비/XPN+인기/NNG
종목	종목/NNG
꾸준히	꾸준히/MAG
키운	키우/VV+ㄴ/ETM
기업들	기업/NNG+들/XSN


# id : NWRW1800000033.34.8.1
이번 올림픽에서 4개의 금메달 중 3개를 획득하는 쾌거를 이룬 양궁 대표팀의 뒤에는 27년간 대를 이어 양궁을 후원해 온 현대자동차그룹의 ‘통 큰’ 지원이 있었다.

이번	이번/NNG
올림픽에서	올림픽/NNG+에서/JKB
4개의	4/SN+개/NNB+의/JKG
금메달	금메달/NNG
중	중/NNB
3개를	3/SN+개/NNB+를/JKO
획득하는	획득/NNG+하/XSV+는/ETM
쾌거를	쾌거/NNG+를/JKO
이룬	이루/VV+ㄴ/ETM
양궁	양궁/NNG
대표팀의	대표/NNG+팀/NNG+의/JKG
뒤에는	뒤/NNG+에/JKB+는/JX
27년간	27/SN+년/NNB+간/XSN
대를	대/NNG+를/JKO
이어	잇/VV+어/EC
양궁을	양궁/NNG+을/JKO
후원해	후원/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
현대자동차그룹의	현대자동차그룹/NNP+의/JKG
‘통	‘/SS+통/NNG
큰’	크/VA+ㄴ/ETM+’/SS
지원이	지원/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.34.8.2
1985년에서 1997년까지 대한양궁협회장을 네 차례 연임한 정몽구 회장에 이어 2005년 아들인 정의선 부회장이 바통을 이어받아 협회를 이끌고 있다.

1985년에서	1985/SN+년/NNB+에서/JKB
1997년까지	1997/SN+년/NNB+까지/JX
대한양궁협회장을	대한/NNP+양궁/NNG+협회장/NNG+을/JKO
네	네/MMN
차례	차례/NNG
연임한	연임/NNG+하/XSV+ㄴ/ETM
정몽구	정몽구/NNP
회장에	회장/NNG+에/JKB
이어	잇/VV+어/EC
2005년	2005/SN+년/NNB
아들인	아들/NNG+이/VCP+ㄴ/ETM
정의선	정의선/NNP
부회장이	부회장/NNG+이/JKS
바통을	바통/NNG+을/JKO
이어받아	이어받/VV+아/EC
협회를	협회/NNG+를/JKO
이끌고	이끌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.34.8.3
현대차그룹이 양궁에 쏟아 부은 돈은 지금까지 약 300억 원에 이른다.

현대차그룹이	현대차그룹/NNP+이/JKS
양궁에	양궁/NNG+에/JKB
쏟아	쏟/VV+아/EC
부은	붓/VV+은/ETM
돈은	돈/NNG+은/JX
지금까지	지금/NNG+까지/JX
약	약/MMA
300억	300/SN+억/NR
원에	원/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.34.9.1
남자 사브르 단체전에서 깜짝 금메달을 따는 등 총 6개의 메달을 따낸 펜싱 선수단의 뒤에는 SK텔레콤이 있었다.

남자	남자/NNG
사브르	사브르/NNG
단체전에서	단체전/NNG+에서/JKB
깜짝	깜짝/MAG
금메달을	금메달/NNG+을/JKO
따는	따/VV+는/ETM
등	등/NNB
총	총/MMA
6개의	6/SN+개/NNB+의/JKG
메달을	메달/NNG+을/JKO
따낸	따내/VV+ㄴ/ETM
펜싱	펜싱/NNG
선수단의	선수단/NNG+의/JKG
뒤에는	뒤/NNG+에/JKB+는/JX
SK텔레콤이	SK텔레콤/NNP+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.34.9.2
SK텔레콤은 2003년부터 대한펜싱협회에 매년 4억∼6억 원을 지원했으며, 손길승 명예회장이 협회장을 맡은 2009년부터는 후원금을 12억 원으로 늘렸다.

SK텔레콤은	SK텔레콤/NNP+은/JX
2003년부터	2003/SN+년/NNB+부터/JX
대한펜싱협회에	대한펜싱협회/NNP+에/JKB
매년	매년/MAG
4억∼6억	4/SN+억/NR+∼/SO+6/SN+억/NR
원을	원/NNB+을/JKO
지원했으며,	지원/NNG+하/XSV+았/EP+으며/EC+,/SP
손길승	손길승/NNP
명예회장이	명예/NNG+회장/NNG+이/JKS
협회장을	협회장/NNG+을/JKO
맡은	맡/VV+은/ETM
2009년부터는	2009/SN+년/NNB+부터/JX+는/JX
후원금을	후원금/NNG+을/JKO
12억	12/SN+억/NR
원으로	원/NNB+으로/JKB
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.34.10.1
삼성그룹은 육상 레슬링 빙상 등 3개 종목의 회장(명예회장 포함)을 맡으며 선수단을 지원하고 있다.

삼성그룹은	삼성그룹/NNP+은/JX
육상	육상/NNG
레슬링	레슬링/NNG
빙상	빙상/NNG
등	등/NNB
3개	3/SN+개/NNB
종목의	종목/NNG+의/JKG
회장(명예회장	회장/NNG+(/SS+명예/NNG+회장/NNG
포함)을	포함/NNG+)/SS+을/JKO
맡으며	맡/VV+으며/EC
선수단을	선수단/NNG+을/JKO
지원하고	지원/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.34.10.2
또 육상 탁구 레슬링 배드민턴 태권도 테니스 럭비 등 여러 종목의 선수단을 운영하며 비인기 종목을 후원하고 있다.

또	또/MAG
육상	육상/NNG
탁구	탁구/NNG
레슬링	레슬링/NNG
배드민턴	배드민턴/NNG
태권도	태권도/NNG
테니스	테니스/NNG
럭비	럭비/NNG
등	등/NNB
여러	여러/MMN
종목의	종목/NNG+의/JKG
선수단을	선수단/NNG+을/JKO
운영하며	운영/NNG+하/XSV+며/EC
비인기	비/XPN+인기/NNG
종목을	종목/NNG+을/JKO
후원하고	후원/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.34.10.3
이번 대회에서도 삼성은 이건희 삼성전자 회장과 김재열 삼성엔지니어링 사장이 현지를 방문해 선수단을 격려했다.

이번	이번/NNG
대회에서도	대회/NNG+에서/JKB+도/JX
삼성은	삼성/NNP+은/JX
이건희	이건희/NNP
삼성전자	삼성전자/NNP
회장과	회장/NNG+과/JC
김재열	김재열/NNP
삼성엔지니어링	삼성엔지니어링/NNP
사장이	사장/NNG+이/JKS
현지를	현지/NNG+를/JKO
방문해	방문/NNG+하/XSV+아/EC
선수단을	선수단/NNG+을/JKO
격려했다.	격려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.34.11.1
이 밖에 한화그룹은 사격과 승마에 매년 10억∼11억 원을 지원하고 있으며, 회장배 사격 대회를 개최하는 등 사격 대중화에도 힘을 쏟고 있다.

이	이/NP
밖에	밖/NNG+에/JKB
한화그룹은	한화그룹/NNP+은/JX
사격과	사격/NNG+과/JC
승마에	승마/NNG+에/JKB
매년	매년/MAG
10억∼11억	10/SN+억/NR+∼/SO+11/SN+억/NR
원을	원/NNB+을/JKO
지원하고	지원/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
회장배	회장/NNG+배/NNB
사격	사격/NNG
대회를	대회/NNG+를/JKO
개최하는	개최/NNG+하/XSV+는/ETM
등	등/NNB
대중화에도	대중/NNG+화/XSN+에/JKB+도/JX
힘을	힘/NNG+을/JKO
쏟고	쏟/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.34.11.2
포스코는 체조협회를 후원하고, 체조 선수단을 운영하고 있다.

포스코는	포스코/NNP+는/JX
체조협회를	체조협회/NNP+를/JKO
후원하고,	후원/NNG+하/XSV+고/EC+,/SP
체조	체조/NNG
선수단을	선수단/NNG+을/JKO
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.34.12.1
○ 기업과 스포츠 만나 경쟁력 1위

○	○/SW
기업과	기업/NNG+과/JC
스포츠	스포츠/NNG
만나	만나/VV+아/EC
경쟁력	경쟁력/NNG
1위	1/SN+위/NNB


# id : NWRW1800000033.34.13.1
기업과 스포츠의 만남은 선수들이 세계 1위의 경쟁력을 갖추는 데 큰 영향을 미쳤다는 분석이 나온다.

기업과	기업/NNG+과/JC
스포츠의	스포츠/NNG+의/JKG
만남은	만남/NNG+은/JX
선수들이	선수/NNG+들/XSN+이/JKS
세계	세계/NNG
1위의	1/SN+위/NNB+의/JKG
경쟁력을	경쟁력/NNG+을/JKO
갖추는	갖추/VV+는/ETM
데	데/NNB
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미쳤다는	미치/VV+었/EP+다는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.34.13.2
특히 최근 올림픽에선 ‘경제력이 강한 국가가 메달을 많이 딴다’는 공식이 성립될 정도로 기업과 스포츠의 거리는 좁혀졌다.

특히	특히/MAG
최근	최근/NNG
올림픽에선	올림픽/NNG+에서/JKB+ㄴ/JX
‘경제력이	‘/SS+경제력/NNG+이/JKS
강한	강하/VA+ㄴ/ETM
국가가	국가/NNG+가/JKS
메달을	메달/NNG+을/JKO
많이	많이/MAG
딴다’는	따/VV+ㄴ다/EF+’/SS+는/ETM
공식이	공식/NNG+이/JKS
성립될	성립/NNG+되/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
기업과	기업/NNG+과/JC
스포츠의	스포츠/NNG+의/JKG
거리는	거리/NNG+는/JX
좁혀졌다.	좁히/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.34.13.3
기업은 경기력 향상과 체육 행정의 세계화에 직접 개입하기도 한다.

기업은	기업/NNG+은/JX
경기력	경기력/NNG
향상과	향상/NNG+과/JC
체육	체육/NNG
행정의	행정/NNG+의/JKG
세계화에	세계/NNG+화/XSN+에/JKB
직접	직접/MAG
개입하기도	개입/NNG+하/XSV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.34.14.1
2008년 탁구협회장을 맡은 조양호 한진그룹 회장은 매년 10억 원을 지원하며 탁구인들의 숙원사업을 풀어줬다.

2008년	2008/SN+년/NNB
탁구협회장을	탁구/NNG+협회장/NNG+을/JKO
맡은	맡/VV+은/ETM
조양호	조양호/NNP
한진그룹	한진그룹/NNP
회장은	회장/NNG+은/JX
매년	매년/MAG
10억	10/SN+억/NR
원을	원/NNB+을/JKO
지원하며	지원/NNG+하/XSV+며/EC
탁구인들의	탁구인/NNG+들/XSN+의/JKG
숙원사업을	숙원/NNG+사업/NNG+을/JKO
풀어줬다.	풀/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.34.14.2
예산 부족을 이유로 몇 차례 무산됐던 전임 감독제 도입은 지난해 조 회장이 “예산은 걱정 말고 실행하라”는 지시를 내리면서 일사천리로 진행됐다는 후문이다.

예산	예산/NNG
부족을	부족/NNG+을/JKO
이유로	이유/NNG+로/JKB
몇	몇/NR
차례	차례/NNG
무산됐던	무산/NNG+되/XSV+었/EP+던/ETM
전임	전임/NNG
감독제	감독/NNG+제/XSN
도입은	도입/NNG+은/JX
지난해	지난해/NNG
조	조/NNP
회장이	회장/NNG+이/JKS
“예산은	“/SS+예산/NNG+은/JX
걱정	걱정/NNG
말고	말/VV+고/EC
실행하라”는	실행/NNG+하/XSV+라/EF+”/SS+는/ETM
지시를	지시/NNG+를/JKO
내리면서	내리/VV+면서/EC
일사천리로	일사천리/NNG+로/JKB
진행됐다는	진행/NNG+되/XSV+었/EP+다는/ETM
후문이다.	후문/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.34.14.3
조 회장의 후원으로 작년 5월 탁구 전용 훈련장이 생겼고, 세계 랭킹 20위 안에 드는 선수들은 국제대회에 나갈 때 비행기의 비즈니스 클래스 좌석을 이용한다.

조	조/NNP
회장의	회장/NNG+의/JKG
후원으로	후원/NNG+으로/JKB
작년	작년/NNG
5월	5/SN+월/NNB
탁구	탁구/NNG
전용	전용/NNG
훈련장이	훈련장/NNG+이/JKS
생겼고,	생기/VV+었/EP+고/EC+,/SP
세계	세계/NNG
랭킹	랭킹/NNG
20위	20/SN+위/NNB
안에	안/NNG+에/JKB
드는	들/VV+는/ETM
선수들은	선수/NNG+들/XSN+은/JX
국제대회에	국제/NNG+대회/NNG+에/JKB
나갈	나가/VV+ㄹ/ETM
때	때/NNG
비행기의	비행기/NNG+의/JKG
비즈니스	비즈니스/NNG
클래스	클래스/NNG
좌석을	좌석/NNG+을/JKO
이용한다.	이용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.34.15.1
현대차그룹은 선수들의 현지 적응을 위해 7월 초 강원 원주시의 한 군부대에 런던 올림픽 공식 양궁장인 로즈 크리켓 그라운드와 비슷한 환경을 조성해 실전훈련을 하도록 지원했다.

현대차그룹은	현대차그룹/NNP+은/JX
선수들의	선수/NNG+들/XSN+의/JKG
현지	현지/NNG
적응을	적응/NNG+을/JKO
위해	위하/VV+아/EC
7월	7/SN+월/NNB
초	초/NNB
강원	강원/NNP
원주시의	원주시/NNP+의/JKG
한	한/MMN
군부대에	군부대/NNG+에/JKB
런던	런던/NNP
올림픽	올림픽/NNG
공식	공식/NNG
양궁장인	양궁장/NNG+이/VCP+ㄴ/ETM
로즈	로즈/NNP
크리켓	크리켓/NNP
그라운드와	그라운드/NNP+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
환경을	환경/NNG+을/JKO
조성해	조성/NNG+하/XSV+아/EC
실전훈련을	실전/NNG+훈련/NNG+을/JKO
하도록	하/VV+도록/EC
지원했다.	지원/NNG+하/XSV+았/EP+다/EF+./SF


