# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.339
metadata : {}


# id : NWRW1800000030.339.1.1
[서울시장 보선 D-9] 초박빙… 朴측 "野 숨은 표 7% 이상 있다"

[서울시장	[/SS+서울시장/NNG
연결시키려면	연결/NNG+시키/XSV+려면/EC
확실한	확실하/VA+ㄴ/ETM
한	한/MMN
방이	방/NNB+이/JKS
필요하다"고	필요/NNG+하/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.339.11.3
반면 박 후보 캠프 관계자는 "이런 상황은 이미 예상했다"면서 "이제 최저점을 지나 다시 올라가기 시작했다고 본다"고 했다.

반면	반면/NNG
박	박/NNP
후보	후보/NNG
캠프	캠프/NNG
관계자는	관계자/NNG+는/JX
"이런	"/SS+이런/MMD
상황은	상황/NNG+은/JX
이미	이미/MAG
예상했다"면서	예상/NNG+하/XSV+았/EP+다/EF+"/SS+면서/EC
"이제	"/SS+이제/MAG
최저점을	최저점/NNG+을/JKO
지나	지나/VV+아/EC
다시	다시/MAG
올라가기	올라가/VV+기/ETN
시작했다고	시작/NNG+하/XSV+았/EP+다고/EC
본다"고	보/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.339.11.4
박 후보측은 네거티브 공세에 법적 대응하면서 이명박 대통령 사저문제 등을 크게 부각시킨다는 방침이다.

박	박/NNP
후보측은	후보/NNG+측/NNB+은/JX
네거티브	네거티브/NNG
공세에	공세/NNG+에/JKB
법적	법/NNG+적/XSN
대응하면서	대응/NNG+하/XSV+면서/EC
이명박	이명박/NNP
대통령	대통령/NNG
사저문제	사저/NNG+문제/NNG
등을	등/NNB+을/JKO
크게	크/VA+게/EC
부각시킨다는	부각/NNG+시키/XSV+ㄴ다는/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.339.12.1
박근혜 전 대표와 안철수 서울대 융합과학기술대학원장의 지원효과도 변수다.

박근혜	박근혜/NNP
전	전/MMD
대표와	대표/NNG+와/JC
안철수	안철수/NNP
서울대	서울대/NNP
융합과학기술대학원장의	융합/NNG+과학/NNG+기술/NNG+대학원장/NNG+의/JKG
지원효과도	지원/NNG+효과/NNG+도/JX
변수다.	변수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.339.12.2
나 후보측은 "박 전 대표가 나서면서 보수층이 뭉치며 투표율이 올라갈 것"이라고 했다.

나	나/NNP
후보측은	후보/NNG+측/NNB+은/JX
"박	"/SS+박/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
나서면서	나서/VV+면서/EC
보수층이	보수/NNG+층/XSN+이/JKS
뭉치며	뭉치/VV+며/EC
투표율이	투표/NNG+율/XSN+이/JKS
올라갈	올라가/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.339.12.3
반면 박 후보측은 "아직 안 원장에게 구원(SOS)을 요청할 상황은 아니지만 때가 되면 나서지 않겠느냐"고 했다.

반면	반면/NNG
박	박/NNP
후보측은	후보/NNG+측/NNB+은/JX
"아직	"/SS+아직/MAG
안	안/NNP
원장에게	원장/NNG+에게/JKB
구원(SOS)을	구원/NNG+(/SS+SOS/SL+)/SS+을/JKO
요청할	요청/NNG+하/XSV+ㄹ/ETM
상황은	상황/NNG+은/JX
아니지만	아니/VCN+지만/EC
때가	때/NNG+가/JKC
되면	되/VV+면/EC
나서지	나서/VV+지/EC
않겠느냐"고	않/VX+겠/EP+느냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.339.13.1
◇투표율이 관건

◇투표율이	◇/SW+투표/NNG+율/XSN+이/JKS
관건	관건/NNG


# id : NWRW1800000030.339.14.1
정치권에선 결국 투표율이 승부를 가를 것으로 보고 있다.

정치권에선	정치/NNG+권/XSN+에서/JKB+ㄴ/JX
결국	결국/MAG
투표율이	투표/NNG+율/XSN+이/JKS
승부를	승부/NNG+를/JKO
가를	가르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.339.14.2
젊은 층의 적극적 투표 참여로 투표율이 45~47%를 넘기면 박 후보가, 그 이하면 나 후보가 유리할 것이란 얘기다.

젊은	젊/VA+은/ETM
층의	층/NNG+의/JKG
적극적	적극/NNG+적/XSN
투표	투표/NNG
참여로	참여/NNG+로/JKB
투표율이	투표/NNG+율/XSN+이/JKS
45~47%를	45/SN+~/SO+47/SN+%/SW+를/JKO
넘기면	넘기/VV+면/EC
박	박/NNP
후보가,	후보/NNG+가/JKS+,/SP
그	그/MMD
이하면	이하/NNG+이/VCP+면/EC
나	나/NNP
후보가	후보/NNG+가/JKS
유리할	유리/NNG+하/XSA+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.339.14.3
한나라당만의 '반쪽 선거'로 치러진 지난 8·24 서울시 주민투표는 25.7%였고, 4·27 경기 분당을 보궐선거는 49.1%였다.

한나라당만의	한나라당/NNP+만/JX+의/JKG
'반쪽	'/SS+반쪽/NNG
선거'로	선거/NNG+'/SS+로/JKB
치러진	치르/VV+어/EC+지/VX+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
8·24	8/SN+·/SP+24/SN
서울시	서울시/NNP
주민투표는	주민/NNG+투표/NNG+는/JX
25.7%였고,	25/SN+./SP+7/SN+%/SW+이/VCP+었/EP+고/EC+,/SP
4·27	4/SN+·/SP+27/SN
경기	경기/NNP
분당을	분당을/NNP
보궐선거는	보궐/NNG+선거/NNG+는/JX
49.1%였다.	49/SN+./SP+1/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.339.14.4
미디어리서치 김지연 상무는 "분당 보궐선거처럼 젊은 층의 투표 러시가 일어나느냐가 관건"이라고 했다.

미디어리서치	미디어리서치/NNP
김지연	김지연/NNP
상무는	상무/NNG+는/JX
"분당	"/SS+분당/NNP
보궐선거처럼	보궐/NNG+선거/NNG+처럼/JKB
젊은	젊/VA+은/ETM
층의	층/NNG+의/JKG
투표	투표/NNG
러시가	러시/NNG+가/JKS
일어나느냐가	일어나/VV+느냐/EF+가/JKS
관건"이라고	관건/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


