# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.101
metadata : {}


# id : NWRW1800000052.101.1.1
‘대선 풍향계’ 오하이오, 클린턴 9%p 앞섰다

‘대선	‘/SS+대선/NNG
22%를	22/SN+%/SW+를/JKO
얻어	얻/VV+어/EC
트럼프의	트럼프/NNP+의/JKG
표를	표/NNG+를/JKO
분산한	분산/NNG+하/XSV+ㄴ/ETM
탓이	탓/NNG+이/JKS
크지만,	크/VA+지만/EC+,/SP
8월까지만	8/SN+월/NNB+까지/JX+만/JX
해도	하/VV+아도/EC
트럼프	트럼프/NNP
45%,	45/SN+%/SW+,/SP
클린턴	클린턴/NNP
27%의	27/SN+%/SW+의/JKG
지지율을	지지/NNG+율/XSN+을/JKO
기록했던	기록/NNG+하/XSV+았/EP+던/ETM
것과	것/NNB+과/JKB
비교하면	비교/NNG+하/XSV+면/EC
놀라운	놀랍/VA+ㄴ/ETM
수치다.	수치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.101.7.5
공화당 성향이 강한 애리조나, 네바다도 경합으로 돌아섰다.

공화당	공화당/NNP
성향이	성향/NNG+이/JKS
강한	강하/VA+ㄴ/ETM
애리조나,	애리조나/NNP+,/SP
네바다도	네바다/NNP+도/JX
경합으로	경합/NNG+으로/JKB
돌아섰다.	돌아서/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.101.8.1
민주당전국위원회(DNC)도 이들주에도 선거 지부를 설치하며 공세를 강화하고 있다.

민주당전국위원회(DNC)도	민주당전국위원회/NNP+(/SS+DNC/SL+)/SS+도/JX
이들주에도	이/NP+들/XSN+주/NNG+에/JKB+도/JX
선거	선거/NNG
지부를	지부/NNG+를/JKO
설치하며	설치/NNG+하/XSV+며/EC
공세를	공세/NNG+를/JKO
강화하고	강화/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.101.8.2
민주당은 애리조나, 조지아, 유타주에 지부를 설치한 데 이어, 지난달 28일에는 공화당의 텃밭 중 텃밭인 텍사스주에까지 지부를 확장했다.

민주당은	민주당/NNP+은/JX
애리조나,	애리조나/NNP+,/SP
조지아,	조지아/NNP+,/SP
유타주에	유타주/NNP+에/JKB
지부를	지부/NNG+를/JKO
설치한	설치/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어,	잇/VV+어/EC+,/SP
지난달	지난달/NNG
28일에는	28/SN+일/NNB+에/JKB+는/JX
공화당의	공화당/NNP+의/JKG
텃밭	텃밭/NNG
중	중/NNB
텃밭인	텃밭/NNG+이/VCP+ㄴ/ETM
텍사스주에까지	텍사스주/NNP+에/JKB+까지/JX
확장했다.	확장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.101.8.3
브렌던 데이비스 민주당전국위원회 조직국장은 “조지아와 텍사스 등에도 인구·정치 성향이 매우 빨리 바뀌고 있다”며 “민주당은 적극적으로 이 지역에 투자할 것”이라 말했다.

브렌던	브렌던/NNP
데이비스	데이비스/NNP
민주당전국위원회	민주당전국위원회/NNP
조직국장은	조직국장/NNG+은/JX
“조지아와	“/SS+조지아/NNP+와/JC
텍사스	텍사스/NNP
등에도	등/NNB+에/JKB+도/JX
인구·정치	인구/NNG+·/SP+정치/NNG
성향이	성향/NNG+이/JKS
매우	매우/MAG
빨리	빨리/MAG
바뀌고	바뀌/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“민주당은	“/SS+민주당/NNP+은/JX
적극적으로	적극/NNG+적/XSN+으로/JKB
이	이/MMD
지역에	지역/NNG+에/JKB
투자할	투자/NNG+하/XSV+ㄹ/ETM
것”이라	것/NNB+”/SS+이/VCP+라/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


