# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.141
metadata : {}


# id : NWRW1800000022.141.1.1
부풀려지는 무역흑자 무리한 수출독려 탓?

부풀려지는	부풀리/VV+어/EC+지/VX+는/ETM
# id : NWRW1800000022.141.5.1
정부는 지난달 초 "2월 흑자가 30억달러를 넘었다"는 점을 유난히 강조했고, 이례적으로 3월 중순에 "3월 전체 흑자가 사상 최대인 40억달러를 넘을 것"이라고 예고까지 했다.

정부는	정부/NNG+는/JX
지난달	지난달/NNG
초	초/NNB
"2월	"/SS+2/SN+월/NNB
흑자가	흑자/NNG+가/JKS
30억달러를	30/SN+억/NR+달러/NNB+를/JKO
넘었다"는	넘/VV+었/EP+다/EF+"/SS+는/ETM
점을	점/NNG+을/JKO
유난히	유난히/MAG
강조했고,	강조/NNG+하/XSV+았/EP+고/EC+,/SP
이례적으로	이례/NNG+적/XSN+으로/JKB
3월	3/SN+월/NNB
중순에	중순/NNG+에/JKB
"3월	"/SS+3/SN+월/NNB
전체	전체/NNG
사상	사상/NNG
최대인	최대/NNG+이/VCP+ㄴ/ETM
40억달러를	40/SN+억/NR+달러/NNB+를/JKO
넘을	넘/VV+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
예고까지	예고/NNG+까지/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.141.6.1
실제로 외환위기 전후에는 정부가 수출 및 무역흑자 실적을 높이려고 과도하게 '밀어내기식 수출'을 하는 바람에 최대 11억달러(1998년 12월)까지 수출액이 부풀려지기도 했다.

실제로	실제로/MAG
외환위기	외환/NNG+위기/NNG
전후에는	전후/NNG+에/JKB+는/JX
정부가	정부/NNG+가/JKS
수출	수출/NNG
및	및/MAG
무역흑자	무역/NNG+흑자/NNG
실적을	실적/NNG+을/JKO
높이려고	높이/VV+려고/EC
과도하게	과도/NNG+하/XSA+게/EC
'밀어내기식	'/SS+밀/VV+어/EC+내/VX+기/ETN+식/NNB
수출'을	수출/NNG+'/SS+을/JKO
하는	하/VV+는/ETM
바람에	바람/NNB+에/JKB
최대	최대/NNG
11억달러(1998년	11/SN+억/NR+달러/NNB+(/SS+1998/SN+년/NNB
12월)까지	12/SN+월/NNB+)/SS+까지/JX
수출액이	수출액/NNG+이/JKS
부풀려지기도	부풀리/VV+어/EC+지/VX+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.141.7.1
지경부 관계자는 그러나 "정부가 수출 실적치를 부풀려 잡은 것은 아니다"라며 "세계 경제의 불확실성이 높아져 우리 수출도 가변성이 높아진 것"이라고 했다.

지경부	지경부/NNG
관계자는	관계자/NNG+는/JX
그러나	그러나/MAJ
"정부가	"/SS+정부/NNG+가/JKS
수출	수출/NNG
실적치를	실적/NNG+치/XSN+를/JKO
부풀려	부풀리/VV+어/EC
잡은	잡/VV+은/ETM
것은	것/NNB+은/JX
아니다"라며	아니/VCN+다/EF+"/SS+이/VCP+라며/EC
"세계	"/SS+세계/NNG
경제의	경제/NNG+의/JKG
불확실성이	불확실/NNG+성/XSN+이/JKS
높아져	높아지/VV+어/EC
우리	우리/NP
수출도	수출/NNG+도/JX
가변성이	가변/NNG+성/XSN+이/JKS
높아진	높아지/VV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


