# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.359
metadata : {}


# id : NWRW1800000028.359.1.1
미, 지난달 핵폭발 없는 ‘임계전 핵실험’ 실시

미,	미/NNP+,/SP
이뤄졌다고	이뤄지/VV+었/EP+다고/EC
12일	12/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.359.3.2
지난 1997년 이래 미국이 실시한 24번째 임계전 핵실험이자 조지 부시 전 대통령 재직 시절이던 2006년 8월 이후론 첫 실험이다.

지난	지나/VV+ㄴ/ETM
1997년	1997/SN+년/NNB
이래	이래/NNB
미국이	미국/NNP+이/JKS
실시한	실시/NNG+하/XSV+ㄴ/ETM
24번째	24/SN+번/NNB+째/XSN
임계전	임계/NNG+전/NNG
핵실험이자	핵/NNG+실험/NNG+이/VCP+자/EC
조지	조지/NNP
부시	부시/NNP
전	전/MMD
대통령	대통령/NNG
재직	재직/NNG
시절이던	시절/NNG+이/VCP+던/ETM
2006년	2006/SN+년/NNB
8월	8/SN+월/NNB
이후론	이후/NNG+로/JKB+ㄴ/JX
첫	첫/MMN
실험이다.	실험/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.359.4.1
핵무기 연구의 산실로 꼽히는 뉴멕시코 로스앨러모스 국립연구소 연구원들이 참여한 이번 실험은 지표면으로부터 300m 깊이의 지하에서 진행됐으며, 핵폭발 원료인 플루토늄이 연쇄 핵분열 반응을 일으키는 임계 상태에 이르기 전에 폭발을 중지시키는 방법으로 진행됐다.

핵무기	핵무기/NNG
연구의	연구/NNG+의/JKG
산실로	산실/NNG+로/JKB
꼽히는	꼽히/VV+는/ETM
뉴멕시코	뉴멕시코/NNP
로스앨러모스	로스앨러모스/NNP
국립연구소	국립/NNG+연구소/NNG
연구원들이	연구원/NNG+들/XSN+이/JKS
참여한	참여/NNG+하/XSV+ㄴ/ETM
이번	이번/NNG
실험은	실험/NNG+은/JX
지표면으로부터	지표면/NNG+으로부터/JKB
300m	300/SN+m/SW
깊이의	깊이/NNG+의/JKG
지하에서	지하/NNG+에서/JKB
진행됐으며,	진행/NNG+되/XSV+었/EP+으며/EC+,/SP
핵폭발	핵폭발/NNG
원료인	원료/NNG+이/VCP+ㄴ/ETM
플루토늄이	플루토늄/NNG+이/JKS
연쇄	연쇄/NNG
핵분열	핵분열/NNG
반응을	반응/NNG+을/JKO
일으키는	일으키/VV+는/ETM
임계	임계/NNG
상태에	상태/NNG+에/JKB
이르기	이르/VV+기/ETN
전에	전/NNG+에/JKB
폭발을	폭발/NNG+을/JKO
중지시키는	중지/NNG+시키/XSV+는/ETM
방법으로	방법/NNG+으로/JKB
진행됐다.	진행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.359.4.2
국가핵안보국은 ‘바커스’로 명명된 이번 실험이 미국 핵무기고의 안정성을 확보하기 위해 필요한 정보를 수집하는 것과 안전한 보관이라는 측면에서 필요한 것이었다고 설명했다.

국가핵안보국은	국가/NNG+핵/NNG+안보국/NNG+은/JX
‘바커스’로	‘/SS+바커스/NNG+’/SS+로/JKB
명명된	명명/NNG+되/XSV+ㄴ/ETM
이번	이번/NNG
실험이	실험/NNG+이/JKS
미국	미국/NNP
핵무기고의	핵무기고/NNG+의/JKG
안정성을	안정/NNG+성/XSN+을/JKO
확보하기	확보/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
필요한	필요/NNG+하/XSA+ㄴ/ETM
정보를	정보/NNG+를/JKO
수집하는	수집/NNG+하/XSV+는/ETM
것과	것/NNB+과/JC
안전한	안전/NNG+하/XSA+ㄴ/ETM
보관이라는	보관/NNG+이/VCP+라는/ETM
측면에서	측면/NNG+에서/JKB
것이었다고	것/NNB+이/VCP+었/EP+다고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.359.4.3
미국은 2011년 9월까지 2차례를 더 실험할 예정이다.

미국은	미국/NNP+은/JX
2011년	2011/SN+년/NNB
9월까지	9/SN+월/NNB+까지/JX
2차례를	2/SN+차례/NNG+를/JKO
더	더/MAG
실험할	실험/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.359.4.4
핵무기에 반대하는 단체들은 임계전 핵실험이 지난 1996년 유엔총회에서 채택된 ‘포괄적 핵실험 금지조약’(CTBT)에 위배된다며 미국을 비난해왔으나 미국은 조약을 비준하지 않았고 임계전 핵실험이 조약의 내용에도 반하지 않는다고 주장해왔다.

핵무기에	핵무기/NNG+에/JKB
반대하는	반대/NNG+하/XSV+는/ETM
단체들은	단체/NNG+들/XSN+은/JX
임계전	임계/NNG+전/NNG
핵실험이	핵/NNG+실험/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
1996년	1996/SN+년/NNB
유엔총회에서	유엔/NNP+총회/NNG+에서/JKB
채택된	채택/NNG+되/XSV+ㄴ/ETM
‘포괄적	‘/SS+포괄/NNG+적/XSN
핵실험	핵/NNG+실험/NNG
금지조약’(CTBT)에	금지/NNG+조약/NNG+’/SS+(/SS+CTBT/SL+)/SS+에/JKB
위배된다며	위배/NNG+되/XSV+ㄴ다며/EC
미국을	미국/NNP+을/JKO
비난해왔으나	비난/NNG+하/XSV+아/EC+오/VX+았/EP+으나/EC
미국은	미국/NNP+은/JX
조약을	조약/NNG+을/JKO
비준하지	비준/NNG+하/XSV+지/EC
않았고	않/VX+았/EP+고/EC
조약의	조약/NNG+의/JKG
내용에도	내용/NNG+에/JKB+도/JX
반하지	반하/VV+지/EC
않는다고	않/VX+는다고/EC
주장해왔다.	주장/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.359.5.1
이 소식에 피폭지인 일본 히로시마와 나가사키에서는 13일 항의시위가 벌어지는 등 낙담과 분노의 목소리가 터져나왔다.

이	이/MMD
소식에	소식/NNG+에/JKB
피폭지인	피폭지/NNG+이/VCP+ㄴ/ETM
일본	일본/NNP
히로시마와	히로시마/NNP+와/JC
나가사키에서는	나가사키/NNP+에서/JKB+는/JX
13일	13/SN+일/NNB
항의시위가	항의/NNG+시위/NNG+가/JKS
벌어지는	벌어지/VV+는/ETM
등	등/NNB
낙담과	낙담/NNG+과/JC
분노의	분노/NNG+의/JKG
목소리가	목소리/NNG+가/JKS
터져나왔다.	터지/VV+어/EC+나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.359.5.2
이날 오후 나가사키 평화기념상 앞에서는 피폭자들이 ‘핵실험 강행에 분노한다’는 펼침막을 앞세우고 연좌시위를 벌였다.

이날	이날/NNG
오후	오후/NNG
나가사키	나가사키/NNP
평화기념상	평화/NNG+기념상/NNG
앞에서는	앞/NNG+에서/JKB+는/JX
피폭자들이	피폭자/NNG+들/XSN+이/JKS
‘핵실험	‘/SS+핵/NNG+실험/NNG
강행에	강행/NNG+에/JKB
분노한다’는	분노/NNG+하/XSV+ㄴ다/EF+’/SS+는/ETM
펼침막을	펼침막/NNG+을/JKO
앞세우고	앞세우/VV+고/EC
연좌시위를	연좌시위/NNG+를/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.359.5.3
지난 5월 미국 뉴욕에서 열린 핵확산방지조약 재검토회의에도 참석했던 다니구치 스미테루(81) 나가사키 원폭피해자협의회장은 “핵무기 철폐운동을 해온 피폭자들에 대한 배신”이라며 “노벨평화상까지 받았는데 도대체 뭐냐”고 비판했다.

지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
미국	미국/NNP
뉴욕에서	뉴욕/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
핵확산방지조약	핵/NNG+확산/NNG+방지/NNG+조약/NNG
재검토회의에도	재/XPN+검토/NNG+회의/NNG+에/JKB+도/JX
참석했던	참석/NNG+하/XSV+았/EP+던/ETM
다니구치	다니구치/NNP
스미테루(81)	스미테루/NNP+(/SS+81/SN+)/SS
나가사키	나가사키/NNP
원폭피해자협의회장은	원폭/NNG+피해자/NNG+협의회장/NNG+은/JX
“핵무기	“/SS+핵무기/NNG
철폐운동을	철폐/NNG+운동/NNG+을/JKO
해온	하/VV+아/EC+오/VX+ㄴ/ETM
피폭자들에	피폭자/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
배신”이라며	배신/NNG+”/SS+이/VCP+라며/EC
“노벨평화상까지	“/SS+노벨/NNP+평화상/NNG+까지/JX
받았는데	받/VV+았/EP+는데/EC
도대체	도대체/MAG
뭐냐”고	뭐/NP+이/VCP+냐/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


