# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.202
metadata : {}


# id : NWRW1800000044.202.1.1
민간잠수사 1명, 구조작업 참여한 첫날 숨져

민간잠수사	민간/NNG+잠수사/NNG
병원으로	병원/NNG+으로/JKB
이송해	이송/NNG+하/XSV+아/EC
응급처치를	응급/NNG+처치/NNG+를/JKO
했으나	하/VV+았/EP+으나/EC
7시36분께	7/SN+시/NNB+36/SN+분/NNB+께/XSN
사망했다”고	사망/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.202.7.2
사고 당시 이씨는 수심 22m 지점에서 유도줄(가이드라인)에 공기호스가 걸린 상태에서 마스크를 벗고 엎드린 채 발견됐다.

사고	사고/NNG
당시	당시/NNG
이씨는	이/NNP+씨/NNB+는/JX
수심	수심/NNG
22m	22/SN+m/SW
지점에서	지점/NNG+에서/JKB
유도줄(가이드라인)에	유도/NNG+줄/NNG+(/SS+가이드라인/NNG+)/SS+에/JKB
공기호스가	공기/NNG+호스/NNG+가/JKS
걸린	걸리/VV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
마스크를	마스크/NNG+를/JKO
벗고	벗/VV+고/EC
엎드린	엎드리/VV+ㄴ/ETM
채	채/NNB
발견됐다.	발견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.202.7.3
이씨의 주검이 안치된 목포한국병원 관계자는 기뇌증이 사인으로 보인다고 밝혔다.

이씨의	이/NNP+씨/NNB+의/JKG
주검이	주검/NNG+이/JKS
안치된	안치/NNG+되/XSV+ㄴ/ETM
목포한국병원	목포한국병원/NNP
관계자는	관계자/NNG+는/JX
기뇌증이	기뇌증/NNG+이/JKS
사인으로	사인/NNG+으로/JKB
보인다고	보이/VV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.202.7.4
기뇌증은 압력 차이 때문에 뇌에 공기가 들어가 뇌혈관이 막히는 증상으로, 이씨에게 왜 이런 증상이 생겼는지는 확인되지 않았다.

기뇌증은	기뇌증/NNG+은/JX
압력	압력/NNG
차이	차이/NNG
때문에	때문/NNB+에/JKB
뇌에	뇌/NNG+에/JKB
공기가	공기/NNG+가/JKS
들어가	들어가/VV+아/EC
뇌혈관이	뇌혈관/NNG+이/JKS
막히는	막히/VV+는/ETM
증상으로,	증상/NNG+으로/JKB+,/SP
이씨에게	이/NNP+씨/NNB+에게/JKB
왜	왜/MAG
이런	이런/MMD
증상이	증상/NNG+이/JKS
생겼는지는	생기/VV+었/EP+는지/EF+는/JX
확인되지	확인/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.202.8.1
대책본부는 민간 구난업체인 언딘인더스트리가 한 구조업체의 추천을 받아 이씨를 구조작업에 투입했으나 언딘 소속은 아니라고 밝혔다.

대책본부는	대책/NNG+본부/NNG+는/JX
민간	민간/NNG
구난업체인	구난/NNG+업체/NNG+이/VCP+ㄴ/ETM
언딘인더스트리가	언딘인더스트리/NNP+가/JKS
한	한/MMN
구조업체의	구조/NNG+업체/NNG+의/JKG
추천을	추천/NNG+을/JKO
받아	받/VV+아/EC
이씨를	이/NNP+씨/NNB+를/JKO
구조작업에	구조/NNG+작업/NNG+에/JKB
투입했으나	투입/NNG+하/XSV+았/EP+으나/EC
언딘	언딘/NNP
소속은	소속/NNG+은/JX
아니라고	아니/VCN+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.202.8.2
이씨는 동료 양아무개씨와 함께 5일 오전 10시35분께 잠수사들이 대기하는 바지선에 도착했으며, 당일 저녁 언딘 쪽 작업감독관으로부터 안전교육을 받은 뒤 6일 오전 처음으로 입수했다.

이씨는	이/NNP+씨/NNB+는/JX
동료	동료/NNG
양아무개씨와	양/NNP+아무개/NP+씨/NNB+와/JKB
함께	함께/MAG
5일	5/SN+일/NNB
오전	오전/NNG
10시35분께	10/SN+시/NNB+35/SN+분/NNB+께/XSN
잠수사들이	잠수사/NNG+들/XSN+이/JKS
대기하는	대기/NNG+하/XSV+는/ETM
바지선에	바지선/NNG+에/JKB
도착했으며,	도착/NNG+하/XSV+았/EP+으며/EC+,/SP
당일	당일/NNG
저녁	저녁/NNG
언딘	언딘/NNP
쪽	쪽/NNB
작업감독관으로부터	작업/NNG+감독관/NNG+으로부터/JKB
안전교육을	안전/NNG+교육/NNG+을/JKO
받은	받/VV+은/ETM
뒤	뒤/NNG
6일	6/SN+일/NNB
처음으로	처음/NNG+으로/JKB
입수했다.	입수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.202.9.1
통상 두 사람이 함께 입수하는 것과 달리 이씨는 혼자 잠수를 한 상태였다.

통상	통상/MAG
두	두/MMN
사람이	사람/NNG+이/JKS
함께	함께/MAG
입수하는	입수/NNG+하/XSV+는/ETM
것과	것/NNB+과/JKB
달리	달리/MAG
이씨는	이/NNP+씨/NNB+는/JX
혼자	혼자/MAG
잠수를	잠수/NNG+를/JKO
한	한/MMN
상태였다.	상태/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.202.9.2
대책본부는 “고인이 현장에 처음 투입됐기 때문에 테스트를 겸해 수심이 얕은(24m) 곳에서 통상 단독으로 수행하는 가이드라인 이전 작업을 하도록 했다.

대책본부는	대책/NNG+본부/NNG+는/JX
“고인이	“/SS+고인/NNG+이/JKS
현장에	현장/NNG+에/JKB
처음	처음/NNG
투입됐기	투입/NNG+되/XSV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
테스트를	테스트/NNG+를/JKO
겸해	겸/NNB+하/XSV+아/EC
수심이	수심/NNG+이/JKS
얕은(24m)	얕/VA+은/ETM+(/SS+24/SN+m/SW+)/SS
곳에서	곳/NNG+에서/JKB
통상	통상/MAG
단독으로	단독/NNG+으로/JKB
수행하는	수행/NNG+하/XSV+는/ETM
가이드라인	가이드라인/NNG
이전	이전/NNG
작업을	작업/NNG+을/JKO
하도록	하/VV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.202.9.3
수면에는 동료 다이버가 대기하고 있었다”고 설명했다.

수면에는	수면/NNG+에/JKB+는/JX
동료	동료/NNG
다이버가	다이버/NNG+가/JKS
대기하고	대기/NNG+하/XSV+고/EC
있었다”고	있/VX+었/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.202.10.1
5일까지 투입된 연인원 600여명의 잠수사 가운데 해경·해군 소속을 뺀 민간 잠수사는 91명이다.

5일까지	5/SN+일/NNB+까지/JX
투입된	투입/NNG+되/XSV+ㄴ/ETM
연인원	연인원/NNG
600여명의	600/SN+여/XSN+명/NNB+의/JKG
잠수사	잠수사/NNG
가운데	가운데/NNG
해경·해군	해경/NNG+·/SP+해군/NNG
소속을	소속/NNG+을/JKO
뺀	빼/VV+ㄴ/ETM
민간	민간/NNG
잠수사는	잠수사/NNG+는/JX
91명이다.	91/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.202.10.2
해경은 4월 말께 언딘 쪽에 이들의 대체인력으로 50여명 정도를 추가 확보하라고 요청한 바 있다.

해경은	해경/NNG+은/JX
4월	4/SN+월/NNB
말께	말/NNB+께/XSN
언딘	언딘/NNP
쪽에	쪽/NNB+에/JKB
이들의	이/NP+들/XSN+의/JKG
대체인력으로	대체/NNG+인력/NNG+으로/JKB
50여명	50/SN+여/XSN+명/NNB
정도를	정도/NNG+를/JKO
추가	추가/NNG
확보하라고	확보/NNG+하/XSV+라고/EC
요청한	요청/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


