# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.413
metadata : {}


# id : NWRW1800000048.413.1.1
‘6·15 남북공동행사’ 사실상 무산

‘6·15	‘/SS+6/SN+·/SP+15/SN
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.413.6.3
6·15와 8·15 공동행사 개최지를 두고 북쪽은 각각 서울과 평양, 남쪽은 평양과 서울을 주장했다.

6·15와	6/SN+·/SP+15/SN+와/JC
8·15	8/SN+·/SP+15/SN
공동행사	공동/NNG+행사/NNG
개최지를	개최지/NNG+를/JKO
두고	두/VV+고/EC
북쪽은	북쪽/NNG+은/JX
각각	각각/MAG
서울과	서울/NNP+과/JC
평양,	평양/NNP+,/SP
남쪽은	남쪽/NNG+은/JX
평양과	평양/NNP+과/JC
서울을	서울/NNP+을/JKO
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.413.6.4
양쪽 모두 상징성이 큰 8·15 70돌 행사를 서로 치르려 한 것이다.

양쪽	양쪽/NNG
모두	모두/MAG
상징성이	상징/NNG+성/XSN+이/JKS
큰	크/VA+ㄴ/ETM
8·15	8/SN+·/SP+15/SN
70돌	70/SN+돌/NNB
행사를	행사/NNG+를/JKO
서로	서로/MAG
치르려	치르/VV+려/EC
한	하/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.413.7.1
남쪽위와 북쪽위는 지난달 5~7일 중국 선양에서 만나 6·15공동행사를 6월14~16일 서울에서 열자고 잠정 합의했다.

남쪽위와	남쪽위/NNG+와/JC
북쪽위는	북쪽위/NNG+는/JX
지난달	지난달/NNG
5~7일	5/SN+~/SO+7/SN+일/NNB
중국	중국/NNP
선양에서	선양/NNP+에서/JKB
만나	만나/VV+아/EC
6·15공동행사를	6/SN+·/SP+15/SN+공동/NNG+행사/NNG+를/JKO
6월14~16일	6/SN+월/NNB+14/SN+~/SO+16/SN+일/NNB
서울에서	서울/NNP+에서/JKB
열자고	열/VV+자고/EC
잠정	잠정/NNG
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.413.7.2
남쪽 당국이 남북 준비위의 사전접촉을 승인해준 것은 2010년 이후 5년만이라 올해는 6·15와 8·15 공동행사가 성사되는 것 아니냐는 기대감이 일었다.

남쪽	남쪽/NNG
당국이	당국/NNG+이/JKS
남북	남북/NNP
준비위의	준비위/NNG+의/JKG
사전접촉을	사전/NNG+접촉/NNG+을/JKO
승인해준	승인/NNG+하/XSV+아/EC+주/VX+ㄴ/ETM
것은	것/NNB+은/JX
2010년	2010/SN+년/NNB
이후	이후/NNG
5년만이라	5/SN+년/NNB+만/NNB+이/VCP+라/EC
올해는	올해/NNG+는/JX
6·15와	6/SN+·/SP+15/SN+와/JC
8·15	8/SN+·/SP+15/SN
공동행사가	공동/NNG+행사/NNG+가/JKS
성사되는	성사/NNG+되/XSV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
기대감이	기대감/NNG+이/JKS
일었다.	일/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.413.7.3
그러나 장소 문제가 불거진 뒤, 북쪽위는 후속 실무협의를 갖자는 남쪽위의 제안에 침묵하면서 지난 5월15일 남쪽 당국을 비판하는 대변인 담화를 내보낸 바 있다.

그러나	그러나/MAJ
장소	장소/NNG
문제가	문제/NNG+가/JKS
불거진	불거지/VV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
북쪽위는	북쪽위/NNG+는/JX
후속	후속/NNG
실무협의를	실무/NNG+협의/NNG+를/JKO
갖자는	갖/VV+자는/ETM
남쪽위의	남쪽위/NNG+의/JKG
제안에	제안/NNG+에/JKB
침묵하면서	침묵/NNG+하/XSV+면서/EC
지난	지나/VV+ㄴ/ETM
5월15일	5/SN+월/NNB+15/SN+일/NNB
남쪽	남쪽/NNG
당국을	당국/NNG+을/JKO
비판하는	비판/NNG+하/XSV+는/ETM
대변인	대변인/NNG
담화를	담화/NNG+를/JKO
내보낸	내보내/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.413.8.1
박근혜 대통령이 지난달 현영철 인민무력부장 숙청과 북핵·인권 문제를 반복적으로 거론하고, 북한도 박 대통령을 원색 비난하는 상황이 6·15공동행사 불발의 근본 원인이라는 분석이 나온다.

박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
지난달	지난달/NNG
현영철	현영철/NNP
인민무력부장	인민무력부장/NNG
숙청과	숙청/NNG+과/JC
북핵·인권	북핵/NNG+·/SP+인권/NNG
문제를	문제/NNG+를/JKO
반복적으로	반복/NNG+적/XSN+으로/JKB
거론하고,	거론/NNG+하/XSV+고/EC+,/SP
북한도	북한/NNP+도/JX
박	박/NNP
대통령을	대통령/NNG+을/JKO
원색	원색/NNG
비난하는	비난/NNG+하/XSV+는/ETM
상황이	상황/NNG+이/JKS
6·15공동행사	6/SN+·/SP+15/SN+공동/NNG+행사/NNG
불발의	불발/NNG+의/JKG
근본	근본/NNG
원인이라는	원인/NNG+이/VCP+라는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.413.8.2
양무진 북한대학원대학교 교수는 “남북한 최고지도자들이 남북관계를 풀어나갈 전략 없이 자신의 원칙만 주장하는 상황에서 6·15 행사는 물론, 광복 70주년 공동행사도 성사되기 어렵다고 본다”며 “내년은 총선, 내후년은 대선이라 박 대통령 임기 중 남북관계 전망은 매우 불투명하다”고 말했다.

양무진	양무진/NNP
북한대학원대학교	북한대학원대학교/NNP
교수는	교수/NNG+는/JX
“남북한	“/SS+남북한/NNP
최고지도자들이	최고/NNG+지도자/NNG+들/XSN+이/JKS
남북관계를	남북/NNP+관계/NNG+를/JKO
풀어나갈	풀/VV+어/EC+나가/VX+ㄹ/ETM
전략	전략/NNG
없이	없이/MAG
자신의	자신/NNG+의/JKG
원칙만	원칙/NNG+만/JX
주장하는	주장/NNG+하/XSV+는/ETM
상황에서	상황/NNG+에서/JKB
6·15	6/SN+·/SP+15/SN
행사는	행사/NNG+는/JX
물론,	물론/MAG+,/SP
광복	광복/NNG
70주년	70/SN+주년/NNB
공동행사도	공동/NNG+행사/NNG+도/JX
성사되기	성사/NNG+되/XSV+기/ETN
어렵다고	어렵/VA+다고/EC
본다”며	보/VV+ㄴ다/EF+”/SS+며/EC
“내년은	“/SS+내년/NNG+은/JX
총선,	총선/NNG+,/SP
내후년은	내후년/NNG+은/JX
대선이라	대선/NNG+이/VCP+라/EC
박	박/NNP
대통령	대통령/NNG
임기	임기/NNG
중	중/NNB
남북관계	남북/NNP+관계/NNG
전망은	전망/NNG+은/JX
매우	매우/MAG
불투명하다”고	불/XPN+투명/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.413.9.1
다만, 이승환 남쪽 준비위 대변인은 “6·15 행사 분산 개최가 광복 70주년 공동행사 성사에 미치는 영향이 없을 순 없겠지만, 남북 당국이 여러 가능성을 고려하고 있다는 점에서 아직 비관하기는 이르다”며 희망을 접지는 않았다.

다만,	다만/MAG+,/SP
이승환	이승환/NNP
남쪽	남쪽/NNG
준비위	준비위/NNG
대변인은	대변인/NNG+은/JX
“6·15	“/SS+6/SN+·/SP+15/SN
행사	행사/NNG
분산	분산/NNG
개최가	개최/NNG+가/JKS
광복	광복/NNG
70주년	70/SN+주년/NNB
공동행사	공동/NNG+행사/NNG
성사에	성사/NNG+에/JKB
미치는	미치/VV+는/ETM
영향이	영향/NNG+이/JKS
없을	없/VA+을/ETM
순	수/NNB+ㄴ/JX
없겠지만,	없/VA+겠/EP+지만/EC+,/SP
남북	남북/NNP
당국이	당국/NNG+이/JKS
여러	여러/MMN
가능성을	가능/NNG+성/XSN+을/JKO
고려하고	고려/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
점에서	점/NNG+에서/JKB
아직	아직/MAG
비관하기는	비관/NNG+하/XSV+기/ETN+는/JX
이르다”며	이르/VA+다/EF+”/SS+며/EC
희망을	희망/NNG+을/JKO
접지는	접/VV+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


