# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.361
metadata : {}


# id : NWRW1800000049.361.1.1
[경제 카페]석달 넘도록 소식 없는 産銀-輸銀 쇄신안

[경제	[/SS+경제/NNG
하지만 당시 외부 인사가 한 달 만에 복마전처럼 얽힌 산은의 개혁 방안을 내놓기 쉽지 않을 것이라는 전망이 적지 않았다.

하지만	하지만/MAJ
당시	당시/NNG
외부	외부/NNG
인사가	인사/NNG+가/JKS
한	한/MMN
달	달/NNB
만에	만/NNB+에/JKB
복마전처럼	복마전/NNG+처럼/JKB
얽힌	얽히/VV+ㄴ/ETM
산은의	산은/NNP+의/JKG
개혁	개혁/NNG
방안을	방안/NNG+을/JKO
내놓기	내놓/VV+기/ETN
쉽지	쉽/VA+지/EC
않을	않/VX+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
전망이	전망/NNG+이/JKS
적지	적/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.361.6.1
쇄신에 대한 내부 직원들의 공감대도 떨어져 있다.

쇄신에	쇄신/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
내부	내부/NNG
직원들의	직원/NNG+들/XSN+의/JKG
공감대도	공감대/NNG+도/JX
떨어져	떨어지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.361.6.2
산은 고위 관계자는 “외부 인사들의 의견을 취합해 쇄신에 필요한 우선과제도 도출했지만 직원들을 설득할 일이 만만치 않다”고 말했다.

산은	산은/NNP
고위	고위/NNG
관계자는	관계자/NNG+는/JX
“외부	“/SS+외부/NNG
인사들의	인사/NNG+들/XSN+의/JKG
의견을	의견/NNG+을/JKO
취합해	취합/NNG+하/XSV+아/EC
쇄신에	쇄신/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
우선과제도	우선/NNG+과제/NNG+도/JX
도출했지만	도출/NNG+하/XSV+았/EP+지만/EC
직원들을	직원/NNG+들/XSN+을/JKO
설득할	설득/NNG+하/XSV+ㄹ/ETM
일이	일/NNG+이/JKS
만만치	만만하/VA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.361.6.3
낙하산 강력 제재나 전문성 강화 같은 강력한 쇄신안이 없다면 “알맹이가 없다”는 비판을 받을 것도 뻔하다.

낙하산	낙하산/NNG
강력	강력/NNG
제재나	제재/NNG+나/JC
전문성	전문/NNG+성/XSN
강화	강화/NNG
같은	같/VA+은/ETM
강력한	강력/NNG+하/XSA+ㄴ/ETM
쇄신안이	쇄신안/NNG+이/JKS
없다면	없/VA+다면/EC
“알맹이가	“/SS+알맹이/NNG+가/JKS
없다”는	없/VA+다/EF+”/SS+는/ETM
비판을	비판/NNG+을/JKO
받을	받/VV+을/ETM
것도	것/NNB+도/JX
뻔하다.	뻔하/VA+다/EF+./SF


# id : NWRW1800000049.361.6.4
6일 금융위원회 국감에서 임종룡 금융위원장은 “산은이 시안을 가져왔는데 좀 더 잘해야 한다고 생각해 ‘보완하자’며 돌려보냈다”고 말한 적도 있다.

6일	6/SN+일/NNB
금융위원회	금융/NNG+위원회/NNG
국감에서	국감/NNG+에서/JKB
임종룡	임종룡/NNP
금융위원장은	금융/NNG+위원장/NNG+은/JX
“산은이	“/SS+산은/NNP+이/JKS
시안을	시안/NNG+을/JKO
가져왔는데	가져오/VV+았/EP+는데/EC
좀	좀/MAG
더	더/MAG
잘해야	잘/MAG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
생각해	생각/NNG+하/XSV+아/EC
‘보완하자’며	‘/SS+보완/NNG+하/XSV+자/EF+’/SS+며/EC
돌려보냈다”고	돌려보내/VV+었/EP+다/EF+”/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
적도	적/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.361.7.1
더 큰 문제는 수은이다.

더	더/MAG
큰	크/VA+ㄴ/ETM
문제는	문제/NNG+는/JX
수은이다.	수은/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000049.361.7.2
수은은 상반기(1∼6월)에 9400억 원 적자를 냈다.

수은은	수은/NNP+은/JX
상반기(1∼6월)에	상반기/NNG+(/SS+1/SN+∼/SO+6/SN+월/NNB+)/SS+에/JKB
9400억	9400/SN+억/NR
원	원/NNB
적자를	적자/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.361.7.3
40년 만의 첫 적자다.

40년	40/SN+년/NNB
만의	만/NNB+의/JKG
첫	첫/MMN
적자다.	적자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.361.7.4
수은의 국제결제은행(BIS) 기준 자기자본비율은 6월 말 현재 10.01%로 시중은행보다 낮다.

수은의	수은/NNP+의/JKG
국제결제은행(BIS)	국제결제은행/NNP+(/SS+BIS/SL+)/SS
기준	기준/NNG
자기자본비율은	자기/NNG+자본/NNG+비율/NNG+은/JX
6월	6/SN+월/NNB
말	말/NNB
현재	현재/MAG
10.01%로	10/SN+./SP+01/SN+%/SW+로/JKB
시중은행보다	시중/NNG+은행/NNG+보다/JKB
낮다.	낮/VA+다/EF+./SF


# id : NWRW1800000049.361.7.5
더구나 산은과 달리 수은은 정부로부터 1조 원 출자(9350억 원 완료, 나머지는 연내)까지 받았다.

더구나	더구나/MAG
산은과	산은/NNP+과/JKB
달리	달리/MAG
수은은	수은/NNP+은/JX
정부로부터	정부/NNG+로부터/JKB
1조	1/SN+조/NR
원	원/NNB
출자(9350억	출자/NNG+(/SS+9350/SN+억/NR
완료,	완료/NNG+,/SP
나머지는	나머지/NNG+는/JX
연내)까지	연내/NNG+)/SS+까지/JX
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.361.7.6
현재 9개인 본부를 8개로 줄이고 임금도 삭감하는 강도 높은 구조조정도 해야 한다.

현재	현재/MAG
9개인	9/SN+개/NNB+이/VCP+ㄴ/ETM
본부를	본부/NNG+를/JKO
8개로	8/SN+개/NNB+로/JKB
줄이고	줄이/VV+고/EC
임금도	임금/NNG+도/JX
삭감하는	삭감/NNG+하/XSV+는/ETM
강도	강도/NNG
높은	높/VA+은/ETM
구조조정도	구조/NNG+조정/NNG+도/JX
해야	하/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.361.8.1
그러나 혁신방안에 참고하기 위해 베인앤드컴퍼니에 맡겼던 컨설팅 결과는 6개월이 다 되도록 나오지 않았다.

그러나	그러나/MAJ
혁신방안에	혁신/NNG+방안/NNG+에/JKB
참고하기	참고/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
베인앤드컴퍼니에	베인앤드컴퍼니/NNP+에/JKB
맡겼던	맡기/VV+었/EP+던/ETM
컨설팅	컨설팅/NNG
결과는	결과/NNG+는/JX
6개월이	6/SN+개월/NNB+이/JKS
다	다/MAG
되도록	되/VV+도록/EC
나오지	나오/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.361.8.2
6월 추진방향 발표 때 언급했던 외부 전문가 자문단과 외부혁신위원 구성도 예정보다 늦어진 것으로 알려졌다.

6월	6/SN+월/NNB
추진방향	추진/NNG+방향/NNG
발표	발표/NNG
때	때/NNG
언급했던	언급/NNG+하/XSV+았/EP+던/ETM
외부	외부/NNG
전문가	전문가/NNG
자문단과	자문단/NNG+과/JC
외부혁신위원	외부/NNG+혁신/NNG+위원/NNG
구성도	구성/NNG+도/JX
예정보다	예정/NNG+보다/JKB
늦어진	늦어지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.361.8.3
이대로라면 이덕훈 수은 행장 역시 11일로 예정된 국회 기획재정위원회 국감에서 질타를 받을 게 확실해 보인다.

이대로라면	이대로/MAG+이/VCP+라면/EC
이덕훈	이덕훈/NNP
수은	수은/NNP
행장	행장/NNG
역시	역시/MAG
11일로	11/SN+일/NNB+로/JKB
예정된	예정/NNG+되/XSV+ㄴ/ETM
국회	국회/NNG
기획재정위원회	기획/NNG+재정/NNG+위원회/NNG
국감에서	국감/NNG+에서/JKB
질타를	질타/NNG+를/JKO
받을	받/VV+을/ETM
게	거/NNB+이/JKS
확실해	확실하/VA+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.361.9.1
구조조정은 상대가 있는 작업이다.

구조조정은	구조/NNG+조정/NNG+은/JX
상대가	상대/NNG+가/JKS
있는	있/VA+는/ETM
작업이다.	작업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.361.9.2
채권단이 제 머리를 깎지 못하면서 기업들에 구조조정을 요구할 수는 없을 것이다.

채권단이	채권단/NNG+이/JKS
제	저/NP+의/JKG
머리를	머리/NNG+를/JKO
깎지	깎/VV+지/EC
못하면서	못하/VX+면서/EC
기업들에	기업/NNG+들/XSN+에/JKB
구조조정을	구조/NNG+조정/NNG+을/JKO
요구할	요구/NNG+하/XSV+ㄹ/ETM
수는	수/NNB+는/JX
없을	없/VA+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.361.9.3
산은과 수은의 더딘 대응이 아쉽기만 하다.

산은과	산은/NNP+과/JC
수은의	수은/NNP+의/JKG
더딘	더디/VA+ㄴ/ETM
대응이	대응/NNG+이/JKS
아쉽기만	아쉽/VA+기/ETN+만/JX
하다.	하/VX+다/EF+./SF


