# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.180
metadata : {}


# id : NWRW1800000030.180.1.1
"北에서 결혼했답디까?" 76세 아내는 눈물을 떨궜다

"北에서	"/SS+北/SH+에서/JKB
결혼했답디까?"	결혼/NNG+하/XSV+았/EP+답디까/EF+?/SF+"/SS
권씨는 납북 이후 생사가 전혀 확인되지 않다가 최근 입수된 평양시민 신상자료를 통해 평양에 거주하는 것으로 확인됐다.

권씨는	권/NNP+씨/NNB+는/JX
납북	납북/NNG
이후	이후/NNG
생사가	생사/NNG+가/JKS
전혀	전혀/MAG
확인되지	확인/NNG+되/XSV+지/EC
않다가	않/VX+다가/EC
최근	최근/NNG
입수된	입수/NNG+되/XSV+ㄴ/ETM
평양시민	평양/NNP+시민/NNG
신상자료를	신상/NNG+자료/NNG+를/JKO
통해	통하/VV+아/EC
평양에	평양/NNP+에/JKB
거주하는	거주/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000030.180.4.4
딱지가 앉아 아문 준 알았던 상처에서 다시 피가 나듯이 아내는 남편의 소식을 들었다.

딱지가	딱지/NNG+가/JKS
앉아	앉/VV+아/EC
아문	아물/VV+ㄴ/ETM
준	준/NNB
알았던	알/VV+았/EP+던/ETM
상처에서	상처/NNG+에서/JKB
다시	다시/MAG
피가	피/NNG+가/JKS
나듯이	나/VV+듯이/EC
아내는	아내/NNG+는/JX
남편의	남편/NNG+의/JKG
소식을	소식/NNG+을/JKO
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.180.5.1
남편이 1979년 4월 '리복성'이란 여성과 결혼했다는 소식을 들은 김씨는 "바다에서 풍랑 만나 죽은 줄만 알고 제사까지 모셨는데 살아 있으면 됐다"며 "(2009년 사망한) 큰아들이 아버지 소식이라도 듣고 눈을 감았으면 좋았을걸…"이라며 말을 잇지 못했다.

남편이	남편/NNG+이/JKS
1979년	1979/SN+년/NNB
4월	4/SN+월/NNB
'리복성'이란	'/SS+리복성/NNP+'/SS+이란/ETM
여성과	여성/NNG+과/JKB
결혼했다는	결혼/NNG+하/XSV+았/EP+다는/ETM
소식을	소식/NNG+을/JKO
들은	듣/VV+은/ETM
김씨는	김/NNP+씨/NNB+는/JX
"바다에서	"/SS+바다/NNG+에서/JKB
풍랑	풍랑/NNG
만나	만나/VV+아/EC
죽은	죽/VV+은/ETM
줄만	줄/NNB+만/JX
알고	알/VV+고/EC
제사까지	제사/NNG+까지/JX
모셨는데	모시/VV+었/EP+는데/EC
살아	살/VV+아/EC
있으면	있/VX+으면/EC
됐다"며	되/VV+었/EP+다/EF+"/SS+며/EC
"(2009년	"/SS+(/SS+2009/SN+년/NNB
사망한)	사망/NNG+하/XSV+ㄴ/ETM+)/SS
큰아들이	큰아들/NNG+이/JKS
아버지	아버지/NNG
소식이라도	소식/NNG+이/VCP+라도/EC
듣고	듣/VV+고/EC
눈을	눈/NNG+을/JKO
감았으면	감/VV+았/EP+으면/EC
좋았을걸…"이라며	좋/VA+았/EP+을걸/EF+…/SE+"/SS+이/VCP+라며/EC
말을	말/NNG+을/JKO
잇지	잇/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.180.6.1
남편 권씨는 대구지역 상호신용금고에서 중역으로 일하다가 친구 보증을 잘못 선 탓에 전 재산을 날렸다.

남편	남편/NNG
권씨는	권/NNP+씨/NNB+는/JX
대구지역	대구/NNP+지역/NNG
상호신용금고에서	상호/NNG+신용/NNG+금고/NNG+에서/JKB
중역으로	중역/NNG+으로/JKB
일하다가	일/NNG+하/XSV+다가/EC
친구	친구/NNG
보증을	보증/NNG+을/JKO
잘못	잘못/MAG
선	서/VV+ㄴ/ETM
탓에	탓/NNG+에/JKB
전	전/MMN
재산을	재산/NNG+을/JKO
날렸다.	날리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.180.6.2
위장병까지 얻어 직장을 휴직하고 1974년 경북 영덕으로 요양을 떠났다.

위장병까지	위장병/NNG+까지/JX
얻어	얻/VV+어/EC
직장을	직장/NNG+을/JKO
휴직하고	휴직/NNG+하/XSV+고/EC
1974년	1974/SN+년/NNB
경북	경북/NNP
영덕으로	영덕/NNP+으로/JKB
요양을	요양/NNG+을/JKO
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.180.6.3
권씨는 1975년 8월 초 갑자기 주문진이라며 김씨에게 옷가지를 챙겨 오라고 했다.

권씨는	권/NNP+씨/NNB+는/JX
1975년	1975/SN+년/NNB
8월	8/SN+월/NNB
초	초/NNB
갑자기	갑자기/MAG
주문진이라며	주문진/NNP+이/VCP+라며/EC
김씨에게	김/NNP+씨/NNB+에게/JKB
옷가지를	옷가지/NNG+를/JKO
챙겨	챙기/VV+어/EC
오라고	오/VV+라고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.180.6.4
김씨는 "배 타기 전날 말렸는데도 '바닷바람이나 한 번 쐬고 오겠다'며 고집을 피웠다"며 "그때 끝까지 말리지 못한 게 한이 된다"고 했다.

김씨는	김/NNP+씨/NNB+는/JX
"배	"/SS+배/NNG
타기	타/VV+기/ETN
전날	전날/NNG
말렸는데도	말리/VV+었/EP+는데/EC+도/JX
'바닷바람이나	'/SS+바닷바람/NNG+이나/JC
한	한/MMN
번	번/NNB
쐬고	쐬/VV+고/EC
오겠다'며	오/VV+겠/EP+다/EF+'/SS+며/EC
고집을	고집/NNG+을/JKO
피웠다"며	피우/VV+었/EP+다/EF+"/SS+며/EC
"그때	"/SS+그때/NNG
끝까지	끝/NNG+까지/JX
말리지	말리/VV+지/EC
못한	못하/VX+ㄴ/ETM
게	거/NNB+이/JKS
한이	한/NNG+이/JKC
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.180.7.1
일주일 만에 돌아온다던 남편은 바다에서 천왕호에 탄 다른 선원 32명과 함께 흔적도 없이 사라졌다.

일주일	일주일/NNG
만에	만/NNB+에/JKB
돌아온다던	돌아오/VV+ㄴ다던/ETM
남편은	남편/NNG+은/JX
바다에서	바다/NNG+에서/JKB
천왕호에	천왕호/NNP+에/JKB
탄	타/VV+ㄴ/ETM
다른	다른/MMD
선원	선원/NNG
32명과	32/SN+명/NNB+과/JKB
함께	함께/MAG
흔적도	흔적/NNG+도/JX
없이	없이/MAG
사라졌다.	사라지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.180.7.2
40세에 남편을 잃은 아내는 대구에서 올라와 실성한 사람처럼 동해 바닷가를 샅샅이 헤맸다.

40세에	40/SN+세/NNB+에/JKB
남편을	남편/NNG+을/JKO
잃은	잃/VV+은/ETM
아내는	아내/NNG+는/JX
대구에서	대구/NNP+에서/JKB
올라와	올라오/VV+아/EC
실성한	실성/NNG+하/XSV+ㄴ/ETM
사람처럼	사람/NNG+처럼/JKB
동해	동해/NNP
바닷가를	바닷가/NNG+를/JKO
샅샅이	샅샅이/MAG
헤맸다.	헤매/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.180.7.3
집으로 돌아올 땐 노숙자 행색이 돼 있었다.

집으로	집/NNG+으로/JKB
돌아올	돌아오/VV+ㄹ/ETM
땐	때/NNG+ㄴ/JX
노숙자	노숙자/NNG
행색이	행색/NNG+이/JKC
돼	되/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.180.7.4
그때부터 멀거니 허공을 바라보거나 혼자 중얼거리기 시작했다.

그때부터	그때/NNG+부터/JX
멀거니	멀거니/MAG
허공을	허공/NNG+을/JKO
바라보거나	바라보/VV+거나/EC
혼자	혼자/MAG
중얼거리기	중얼거리/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.180.8.1
권씨의 딸 혜정(52)씨는 "그땐 엄마가 충격 때문에 정신적으로 문제가 생겼다는 걸 몰랐다"고 말했다.

권씨의	권/NNP+씨/NNB+의/JKG
딸	딸/NNG
혜정(52)씨는	혜정/NNP+(/SS+52/SN+)/SS+씨/NNB+는/JX
"그땐	"/SS+그때/NNG+ㄴ/JX
엄마가	엄마/NNG+가/JKS
충격	충격/NNG
때문에	때문/NNB+에/JKB
정신적으로	정신/NNG+적/XSN+으로/JKB
문제가	문제/NNG+가/JKS
생겼다는	생기/VV+었/EP+다는/ETM
걸	거/NNB+ㄹ/JKO
몰랐다"고	모르/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.180.9.1
남편 대신 가장 노릇을 하던 장남이 암으로 세상을 떠난 뒤 김씨의 속병은 더 깊어졌다.

남편	남편/NNG
대신	대신/NNG
가장	가장/NNG
노릇을	노릇/NNG+을/JKO
하던	하/VV+던/ETM
장남이	장남/NNG+이/JKS
암으로	암/NNG+으로/JKB
세상을	세상/NNG+을/JKO
떠난	떠나/VV+ㄴ/ETM
뒤	뒤/NNG
김씨의	김/NNP+씨/NNB+의/JKG
속병은	속병/NNG+은/JX
더	더/MAG
깊어졌다.	깊어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.180.9.2
김씨는 "약값과 병원비는 비싼데 듣는 약이 별로 없다"고 했다.

김씨는	김/NNP+씨/NNB+는/JX
"약값과	"/SS+약값/NNG+과/JC
병원비는	병원비/NNG+는/JX
비싼데	비싸/VA+ㄴ데/EC
듣는	듣/VV+는/ETM
약이	약/NNG+이/JKS
별로	별로/MAG
없다"고	없/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.180.10.1
권씨가 살아 있다는 사실을 알게 된 가족은 지난 2007년에 탈북해 한국에 돌아온 천왕호 사무장 최욱일(71)씨를 지난 11일에야 처음 만났다.

권씨가	권/NNP+씨/NNB+가/JKS
살아	살/VV+아/EC
있다는	있/VX+다는/ETM
사실을	사실/NNG+을/JKO
알게	알/VV+게/EC
된	되/VV+ㄴ/ETM
가족은	가족/NNG+은/JX
지난	지나/VV+ㄴ/ETM
2007년에	2007/SN+년/NNB+에/JKB
탈북해	탈북/NNG+하/XSV+아/EC
한국에	한국/NNP+에/JKB
돌아온	돌아오/VV+ㄴ/ETM
천왕호	천왕호/NNP
사무장	사무장/NNG
최욱일(71)씨를	최욱일/NNP+(/SS+71/SN+)/SS+씨/NNB+를/JKO
11일에야	11/SN+일/NNB+에/JKB+야/JX
처음	처음/NNG
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.180.10.2
그동안 연로한 권씨가 숨졌을 것이라 생각해 최씨에게 연락하거나 이산가족 상봉을 신청할 생각도 못했다고 한다.

그동안	그동안/NNG
연로한	연로/NNG+하/XSA+ㄴ/ETM
권씨가	권/NNP+씨/NNB+가/JKS
숨졌을	숨지/VV+었/EP+을/ETM
것이라	것/NNB+이/VCP+라/EC
생각해	생각/NNG+하/XSV+아/EC
최씨에게	최/NNP+씨/NNB+에게/JKB
연락하거나	연락/NNG+하/XSV+거나/EC
이산가족	이산가족/NNG
상봉을	상봉/NNG+을/JKO
신청할	신청/NNG+하/XSV+ㄹ/ETM
생각도	생각/NNG+도/JX
못했다고	못하/VX+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.180.10.3
사무장 최씨는 "1978년과 1982년 북한 원산 중앙당강습소에서 3개월간 강습을 받을 때 권씨를 만났다"고 소식을 전했다.

사무장	사무장/NNG
최씨는	최/NNP+씨/NNB+는/JX
"1978년과	"/SS+1978/SN+년/NNB+과/JC
1982년	1982/SN+년/NNB
북한	북한/NNP
원산	원산/NNP
중앙당강습소에서	중앙당/NNG+강습소/NNG+에서/JKB
3개월간	3/SN+개월/NNB+간/XSN
강습을	강습/NNG+을/JKO
받을	받/VV+을/ETM
때	때/NNG
권씨를	권/NNP+씨/NNB+를/JKO
만났다"고	만나/VV+았/EP+다/EF+"/SS+고/JKQ
소식을	소식/NNG+을/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.180.10.4
아내는 "선생을 보니 우리 남편을 보는 듯하다"며 "남편은 위장병이 심했는데 북에선 아프다고 하지 않더냐"고 했다.

아내는	아내/NNG+는/JX
"선생을	"/SS+선생/NNG+을/JKO
보니	보/VV+니/EC
우리	우리/NP
남편을	남편/NNG+을/JKO
보는	보/VV+는/ETM
듯하다"며	듯/NNB+하/XSA+다/EF+"/SS+며/EC
"남편은	"/SS+남편/NNG+은/JX
위장병이	위장병/NNG+이/JKS
심했는데	심하/VA+았/EP+는데/EC
북에선	북/NNP+에서/JKB+ㄴ/JX
아프다고	아프/VA+다고/EC
하지	하/VV+지/EC
않더냐"고	않/VX+더냐/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.180.10.5
아내는 아직도 남편 걱정이었다.

아내는	아내/NNG+는/JX
아직도	아직/MAG+도/JX
남편	남편/NNG
걱정이었다.	걱정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.180.11.1
이날 딸 혜정씨와 최성용(59) 납북자가족모임 대표는 이명박 대통령에게 쓴 편지를 청와대에 전달했다.

이날	이날/NNG
딸	딸/NNG
혜정씨와	혜정/NNP+씨/NNB+와/JC
최성용(59)	최성용/NNP+(/SS+59/SN+)/SS
납북자가족모임	납북자가족모임/NNP
대표는	대표/NNG+는/JX
이명박	이명박/NNP
대통령에게	대통령/NNG+에게/JKB
쓴	쓰/VV+ㄴ/ETM
편지를	편지/NNG+를/JKO
청와대에	청와대/NNP+에/JKB
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.180.11.2
혜정씨는 편지에서 "납북자들이 조속히 돌아와 여생을 편안히 살아갈 수 있도록 도와달라"고 호소했다.

혜정씨는	혜정/NNP+씨/NNB+는/JX
편지에서	편지/NNG+에서/JKB
"납북자들이	"/SS+납북자/NNG+들/XSN+이/JKS
조속히	조속히/MAG
돌아와	돌아오/VV+아/EC
여생을	여생/NNG+을/JKO
편안히	편안히/MAG
살아갈	살아가/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
도와달라"고	돕/VV+아/EC+달/VX+라/EF+"/SS+고/JKQ
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


