# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.137
metadata : {}


# id : NWRW1800000048.137.1.1
아바우드 은신처 급습…1명 사살·여성 1명 자폭

아바우드	아바우드/NNP
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.137.6.8
버려진 휴대전화에서 테러 당일이었던 13일 “가자”라고 적힌 문자메시지가 나왔다.

버려진	버리/VV+어/EC+지/VX+ㄴ/ETM
휴대전화에서	휴대/NNG+전화/NNG+에서/JKB
테러	테러/NNG
당일이었던	당일/NNG+이/VCP+었/EP+던/ETM
13일	13/SN+일/NNB
“가자”라고	“/SS+가/VV+자/EF+”/SS+라고/JKQ
적힌	적히/VV+ㄴ/ETM
문자메시지가	문자/NNG+메시지/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.137.6.9
경찰은 용의자가 사용했던 휴대전화로 보고 이전 사용 정보를 추적해 은신처를 알아냈다.

경찰은	경찰/NNG+은/JX
용의자가	용의자/NNG+가/JKS
사용했던	사용/NNG+하/XSV+았/EP+던/ETM
휴대전화로	휴대/NNG+전화/NNG+로/JKB
보고	보/VV+고/EC
이전	이전/NNG
사용	사용/NNG
정보를	정보/NNG+를/JKO
추적해	추적/NNG+하/XSV+아/EC
은신처를	은신처/NNG+를/JKO
알아냈다.	알아내/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.137.7.1
이 지역에 사는 언론인 바티스트 마리는 <에이피>(AP) 통신에 “4시께 큰 폭발음이 들렸다.

이	이/MMD
지역에	지역/NNG+에/JKB
사는	살/VV+는/ETM
언론인	언론인/NNG
바티스트	바티스트/NNP
마리는	마리/NNP+는/JX
<에이피>(AP)	</SS+에이피/NNP+>/SS+(/SS+AP/SL+)/SS
통신에	통신/NNG+에/JKB
“4시께	“/SS+4/SN+시/NNB+께/XSN
큰	크/VA+ㄴ/ETM
폭발음이	폭발음/NNG+이/JKS
들렸다.	들리/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.137.7.2
그리고 세번 더 폭발음이 들렸다.

그리고	그리고/MAJ
세번	세/MMN+번/NNB
더	더/MAG
폭발음이	폭발음/NNG+이/JKS
들렸다.	들리/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.137.7.3
그러고 나서 1시간 동안 총소리가 들렸던 것 같다”고 말했다.

그러고	그러/VV+고/EC
나서	나/VX+아서/EC
1시간	1/SN+시간/NNB
동안	동안/NNG
총소리가	총소리/NNG+가/JKS
들렸던	들리/VV+었/EP+던/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.137.7.4
주민 아민 기자니도 “1시간은 총소리가 난 것 같다.

주민	주민/NNG
아민	아민/NNP
기자니도	기자니/NNP+도/JX
“1시간은	“/SS+1/SN+시간/NNB+은/JX
총소리가	총소리/NNG+가/JKS
난	나/VV+ㄴ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000048.137.7.5
수류탄 소리와 자동소총 총격 소리가 들렸다”고 말했다.

수류탄	수류탄/NNG
소리와	소리/NNG+와/JC
자동소총	자동/NNG+소총/NNG
총격	총격/NNG
소리가	소리/NNG+가/JKS
들렸다”고	들리/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.137.7.6
새벽 6시30분께는 생드니 중심가를 뒤흔들 정도로 큰 폭발음이 최소 7차례 들렸다고 통신은 전했다.

새벽	새벽/NNG
6시30분께는	6/SN+시/NNB+30/SN+분/NNB+께/XSN+는/JX
생드니	생드니/NNP
중심가를	중심가/NNG+를/JKO
뒤흔들	뒤흔들/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
큰	크/VA+ㄴ/ETM
폭발음이	폭발음/NNG+이/JKS
최소	최소/NNG
7차례	7/SN+차례/NNG
들렸다고	들리/VV+었/EP+다고/EC
통신은	통신/NNG+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.137.7.7
프랑스 정부는 군인 50명을 생드니에 배치했다.

프랑스	프랑스/NNP
정부는	정부/NNG+는/JX
군인	군인/NNG
50명을	50/SN+명/NNB+을/JKO
생드니에	생드니/NNP+에/JKB
배치했다.	배치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.137.7.8
경찰은 작전 전 아파트 인근 거리를 봉쇄했으며, 생드니 학교는 휴교했다.

경찰은	경찰/NNG+은/JX
작전	작전/NNG
전	전/NNG
아파트	아파트/NNG
인근	인근/NNG
거리를	거리/NNG+를/JKO
봉쇄했으며,	봉쇄/NNG+하/XSV+았/EP+으며/EC+,/SP
생드니	생드니/NNP
학교는	학교/NNG+는/JX
휴교했다.	휴교/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.137.8.1
아바우드는 벨기에인으로 2013년 시리아에 가서 이슬람 수니파 극단주의 무장단체 이슬람국가(IS)에 가담했다.

아바우드는	아바우드/NNP+는/JX
벨기에인으로	벨기에인/NNG+으로/JKB
2013년	2013/SN+년/NNB
시리아에	시리아/NNP+에/JKB
가서	가/VV+아서/EC
이슬람	이슬람/NNG
수니파	수니파/NNG
극단주의	극단주의/NNG
무장단체	무장/NNG+단체/NNG
이슬람국가(IS)에	이슬람국가/NNP+(/SS+IS/SL+)/SS+에/JKB
가담했다.	가담/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.137.8.2
그동안은 아바우드가 시리아에 있으면서 이번 테러를 기획한 것 아니냐는 추정이 많았다.

그동안은	그동안/NNG+은/JX
아바우드가	아바우드/NNP+가/JKS
시리아에	시리아/NNP+에/JKB
있으면서	있/VA+으면서/EC
이번	이번/NNG
테러를	테러/NNG+를/JKO
기획한	기획/NNG+하/XSV+ㄴ/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
추정이	추정/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000048.137.8.3
아바우드는 올해 초에도 벨기에에 몰래 잠입해 테러를 기획한 적이 있었다고 벨기에 정부는 추정한다.

아바우드는	아바우드/NNP+는/JX
올해	올해/NNG
초에도	초/NNB+에/JKB+도/JX
벨기에에	벨기에/NNP+에/JKB
몰래	몰래/MAG
잠입해	잠입/NNG+하/XSV+아/EC
테러를	테러/NNG+를/JKO
기획한	기획/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있었다고	있/VA+었/EP+다고/EC
벨기에	벨기에/NNP
정부는	정부/NNG+는/JX
추정한다.	추정/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.137.9.1
애초 이번 테러를 현장에서 실행한 이는 8명으로 알려졌으나 프랑스 정부는 1명 더 있었던 것으로 추정하고 있다.

애초	애초/NNG
이번	이번/NNG
테러를	테러/NNG+를/JKO
현장에서	현장/NNG+에서/JKB
실행한	실행/NNG+하/XSV+ㄴ/ETM
이는	이/NNB+는/JX
8명으로	8/SN+명/NNB+으로/JKB
알려졌으나	알려지/VV+었/EP+으나/EC
프랑스	프랑스/NNP
정부는	정부/NNG+는/JX
1명	1/SN+명/NNB
더	더/MAG
있었던	있/VA+었/EP+던/ETM
것으로	것/NNB+으로/JKB
추정하고	추정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.137.9.2
지난 13일 밤 파리 10구와 11구 식당 및 카페 테러 현장 모습이 담긴 영상에는 검은색 세아트 차가 찍혀 있었는데, 차에 타고 있는 인물이 지금까지 알려진 2명이 아니라 3명으로 나타났기 때문이다.

지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
밤	밤/NNG
파리	파리/NNP
10구와	10/SN+구/NNG+와/JC
11구	11/SN+구/NNG
식당	식당/NNG
및	및/MAG
카페	카페/NNG
테러	테러/NNG
현장	현장/NNG
모습이	모습/NNG+이/JKS
담긴	담기/VV+ㄴ/ETM
영상에는	영상/NNG+에/JKB+는/JX
검은색	검은색/NNG
세아트	세아트/NNP
차가	차/NNG+가/JKS
찍혀	찍히/VV+어/EC
있었는데,	있/VX+었/EP+는데/EC+,/SP
차에	차/NNG+에/JKB
타고	타/VV+고/EC
있는	있/VX+는/ETM
인물이	인물/NNG+이/JKS
지금까지	지금/NNG+까지/JX
알려진	알려지/VV+ㄴ/ETM
2명이	2/SN+명/NNB+이/JKC
아니라	아니/VCN+라/EC
3명으로	3/SN+명/NNB+으로/JKB
나타났기	나타나/VV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.137.10.1
테러 공포도 여전하다.

테러	테러/NNG
공포도	공포/NNG+도/JX
여전하다.	여전하/VA+다/EF+./SF


# id : NWRW1800000048.137.10.2
에어프랑스는 17일 미국 로스앤젤레스와 댈러스에서 출발해 파리로 향하던 자사 여객기가 테러 위협을 받아서, 각각 미국 솔트레이크시티 공항과 캐나다 핼리팩스에 긴급 착륙했다고 밝혔다.

에어프랑스는	에어프랑스/NNP+는/JX
17일	17/SN+일/NNB
미국	미국/NNP
로스앤젤레스와	로스앤젤레스/NNP+와/JC
댈러스에서	댈러스/NNP+에서/JKB
출발해	출발/NNG+하/XSV+아/EC
파리로	파리/NNP+로/JKB
향하던	향하/VV+던/ETM
자사	자사/NNG
여객기가	여객기/NNG+가/JKS
테러	테러/NNG
위협을	위협/NNG+을/JKO
받아서,	받/VV+아서/EC+,/SP
각각	각각/MAG
솔트레이크시티	솔트레이크시티/NNP
공항과	공항/NNG+과/JC
캐나다	캐나다/NNP
핼리팩스에	핼리팩스/NNP+에/JKB
긴급	긴급/NNG
착륙했다고	착륙/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.137.10.3
이날 독일 하노버에서 열릴 예정이었던 독일과 네덜란드 축구 대표팀 친선경기도 테러 우려로 취소됐다.

이날	이날/NNG
독일	독일/NNP
하노버에서	하노버/NNP+에서/JKB
열릴	열리/VV+ㄹ/ETM
예정이었던	예정/NNG+이/VCP+었/EP+던/ETM
독일과	독일/NNP+과/JC
네덜란드	네덜란드/NNP
축구	축구/NNG
대표팀	대표/NNG+팀/NNG
친선경기도	친선/NNG+경기/NNG+도/JX
테러	테러/NNG
우려로	우려/NNG+로/JKB
취소됐다.	취소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000048.137.10.4
하노버 경찰은 폭탄 테러 공격 가능성에 대한 정보를 입수했다며, 경기 시작 1시간30분 전에 경기를 취소했다.

하노버	하노버/NNP
경찰은	경찰/NNG+은/JX
폭탄	폭탄/NNG
테러	테러/NNG
공격	공격/NNG
가능성에	가능/NNG+성/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
정보를	정보/NNG+를/JKO
입수했다며,	입수/NNG+하/XSV+았/EP+다며/EC+,/SP
경기	경기/NNG
시작	시작/NNG
1시간30분	1/SN+시간/NNB+30/SN+분/NNB
전에	전/NNG+에/JKB
경기를	경기/NNG+를/JKO
취소했다.	취소/NNG+하/XSV+았/EP+다/EF+./SF


