# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.22
metadata : {}


# id : NWRW1800000028.22.1.1
중소기업도 세종시 부지 싼값에 입주

중소기업도	중소기업/NNG+도/JX
대학·연구타운	대학/NNG+·/SP+연구/NNG+타운/NNG
존	존/NNG
안	안/MAG
산학단지	산학/NNG+단지/NNG
등에도	등/NNB+에/JKB+도/JX
중소기업이	중소기업/NNG+이/JKS
일부	일부/NNG
입주할	입주/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.22.6.1
김 회장은 이번에 확정된 부지에 중소기업 300~500곳이 입주할 것으로 예상했다.

김	김/NNP
회장은	회장/NNG+은/JX
이번에	이번/NNG+에/JKB
확정된	확정/NNG+되/XSV+ㄴ/ETM
부지에	부지/NNG+에/JKB
중소기업	중소기업/NNG
300~500곳이	300/SN+~/SO+500/SN+곳/NNG+이/JKS
입주할	입주/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상했다.	예상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.22.6.2
그는 “중소기업에 평균 9900㎡가 필요하지만, 연구시설 등이 있어 300곳 이상이 입주할 수 있을 것”이라며 “입주 예정 대기업의 협력 중소기업, 녹색 중소기업, 연구시설을 갖춘 벤처기업 등의 차례로 입주 대상이 정해질 것”이라고 밝혔다.

그는	그/NP+는/JX
“중소기업에	“/SS+중소기업/NNG+에/JKB
평균	평균/NNG
9900㎡가	9900/SN+㎡/SW+가/JKS
필요하지만,	필요/NNG+하/XSA+지만/EC+,/SP
연구시설	연구/NNG+시설/NNG
등이	등/NNB+이/JKS
있어	있/VA+어/EC
300곳	300/SN+곳/NNG
이상이	이상/NNG+이/JKS
입주할	입주/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“입주	“/SS+입주/NNG
예정	예정/NNG
대기업의	대/XPN+기업/NNG+의/JKG
협력	협력/NNG
중소기업,	중소기업/NNG+,/SP
녹색	녹색/NNG
연구시설을	연구/NNG+시설/NNG+을/JKO
갖춘	갖추/VV+ㄴ/ETM
벤처기업	벤처/NNG+기업/NNG
등의	등/NNB+의/JKG
차례로	차례/NNG+로/JKB
입주	입주/NNG
대상이	대상/NNG+이/JKS
정해질	정하/VV+아/EC+지/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.22.6.3
다른 시·도에서 기업들을 빼올 수 있다는 우려에 대해서는 “기업은 경쟁력을 찾아서 가는 것”이라며 “어느 공단에서 다른 곳으로 옮길 때는 여러 유형에 따라 경쟁력을 찾아 옮겨가는 것”이라고 말했다.

다른	다른/MMD
시·도에서	시/NNG+·/SP+도/NNG+에서/JKB
기업들을	기업/NNG+들/XSN+을/JKO
빼올	빼오/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
우려에	우려/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“기업은	“/SS+기업/NNG+은/JX
경쟁력을	경쟁력/NNG+을/JKO
찾아서	찾/VV+아서/EC
가는	가/VV+는/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“어느	“/SS+어느/MMD
공단에서	공단/NNG+에서/JKB
곳으로	곳/NNG+으로/JKB
옮길	옮기/VV+ㄹ/ETM
때는	때/NNG+는/JX
여러	여러/MMN
유형에	유형/NNG+에/JKB
따라	따르/VV+아/EC
찾아	찾/VV+아/EC
옮겨가는	옮기/VV+어/EC+가/VX+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


