# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.177
metadata : {}


# id : NWRW1800000054.177.1.1
[사건 인사이드] 大檢 CSI 문서감정실이 말하는 위조 세계

[사건	[/SS+사건/NNG
경찰의	경찰/NNG+의/JKG
의약품	의약품/NNG
불법	불법/NNG
리베이트	리베이트/NNG
수사에서	수사/NNG+에서/JKB
처벌을	처벌/NNG+을/JKO
받지	받/VV+지/EC
않기	않/VX+기/ETN
위해	위하/VV+아/EC
정씨가	정/NNP+씨/NNB+가/JKS
서씨에게	서/NNP+씨/NNB+에게/JKB
뇌물을	뇌물/NNG+을/JKO
줬다는	주/VV+었/EP+다는/ETM
정보를	정보/NNG+를/JKO
입수한	입수/NNG+하/XSV+ㄴ/ETM
상태였지만,	상태/NNG+이/VCP+었/EP+지만/EC+,/SP
'물증'을	'/SS+물증/NNG+'/SS+을/JKO
확보하지	확보/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
상태였다.	상태/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.177.4.1
문서감정실 수사관들이 며칠간 정씨의 수첩 내용을 분석했다.

문서감정실	문서/NNG+감정실/NNG
수사관들이	수사관/NNG+들/XSN+이/JKS
며칠간	며칠/NNG+간/XSN
정씨의	정/NNP+씨/NNB+의/JKG
수첩	수첩/NNG
내용을	내용/NNG+을/JKO
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.177.4.2
날짜별로 기록된 수첩에는 '2016년 10월 14일 서○○ 점심식사'라는 메모가 있었다.

날짜별로	날짜/NNG+별/XSN+로/JKB
기록된	기록/NNG+되/XSV+ㄴ/ETM
수첩에는	수첩/NNG+에/JKB+는/JX
'2016년	'/SS+2016/SN+년/NNB
10월	10/SN+월/NNB
14일	14/SN+일/NNB
서○○	서/NNP+○/SW+○/SW
점심식사'라는	점심/NNG+식사/NNG+'/SS+이/VCP+라는/ETM
메모가	메모/NNG+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.177.4.3
분석에 들어간 지 사흘 만에 실마리가 풀렸다.

분석에	분석/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
지	지/NNB
사흘	사흘/NNG
만에	만/NNB+에/JKB
실마리가	실마리/NNG+가/JKS
풀렸다.	풀리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.177.5.1
문제의 메모 중 '점심식사'의 'ㅈ'이 수첩의 다른 곳에 기재된 정씨의 평소 필적(筆跡)과 모양이 달랐던 것이다.

문제의	문제/NNG+의/JKG
메모	메모/NNG
중	중/NNB
'점심식사'의	'/SS+점심/NNG+식사/NNG+'/SS+의/JKG
'ㅈ'이	'/SS+ㅈ/NNG+'/SS+이/JKS
수첩의	수첩/NNG+의/JKG
다른	다른/MMD
곳에	곳/NNG+에/JKB
기재된	기재/NNG+되/XSV+ㄴ/ETM
정씨의	정/NNP+씨/NNB+의/JKG
평소	평소/NNG
필적(筆跡)과	필적/NNG+(/SS+筆跡/SH+)/SS+과/JC
모양이	모양/NNG+이/JKS
달랐던	다르/VA+았/EP+던/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.177.5.2
수사관들은 즉각 디지털현미경을 사용해 정밀 분석에 들어갔다.

수사관들은	수사관/NNG+들/XSN+은/JX
즉각	즉각/MAG
디지털현미경을	디지털/NNG+현미경/NNG+을/JKO
사용해	사용/NNG+하/XSV+아/EC
정밀	정밀/NNG
분석에	분석/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.177.5.3
그 결과 원래는 숫자 '7'을 적었다가 획을 하나 더해 'ㅈ'으로 고친 사실이 드러났다.

그	그/MMD
결과	결과/NNG
원래는	원래/NNG+는/JX
숫자	숫자/NNG
'7'을	'/SS+7/SN+'/SS+을/JKO
적었다가	적/VV+었/EP+다가/EC
획을	획/NNG+을/JKO
하나	하나/NR
더해	더/MAG+하/XSV+아/EC
'ㅈ'으로	'/SS+ㅈ/NNG+'/SS+으로/JKB
고친	고치/VV+ㄴ/ETM
사실이	사실/NNG+이/JKS
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.177.5.4
정씨가 원래는 '서○○ 7'이라고 메모했다가 '서○○ 점심식사'로 둔갑시킨 것이다.

정씨가	정/NNP+씨/NNB+가/JKS
원래는	원래/NNG+는/JX
'서○○	'/SS+서/NNP+○/SW+○/SW
7'이라고	7/SN+'/SS+이라고/JKQ
메모했다가	메모/NNG+하/XSV+았/EP+다가/EC
점심식사'로	점심/NNG+식사/NNG+'/SS+로/JKB
둔갑시킨	둔갑/NNG+시키/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.177.6.1
대검으로부터 이 같은 문서 감정 결과를 넘겨받은 광주지검은 정씨로부터 "서씨에게 경찰의 수사 정보를 듣는 대가로 뇌물 700만원을 줬고, 이를 감추기 위해 수첩의 메모를 조작한 것"이라는 진술을 확보했다.

대검으로부터	대검/NNG+으로부터/JKB
이	이/NP
같은	같/VA+은/ETM
문서	문서/NNG
감정	감정/NNG
결과를	결과/NNG+를/JKO
넘겨받은	넘겨받/VV+은/ETM
광주지검은	광주지검/NNP+은/JX
정씨로부터	정/NNP+씨/NNB+로부터/JKB
"서씨에게	"/SS+서/NNP+씨/NNB+에게/JKB
경찰의	경찰/NNG+의/JKG
수사	수사/NNG
정보를	정보/NNG+를/JKO
듣는	듣/VV+는/ETM
대가로	대가/NNG+로/JKB
뇌물	뇌물/NNG
700만원을	700/SN+만/NR+원/NNB+을/JKO
줬고,	주/VV+었/EP+고/EC+,/SP
이를	이/NP+를/JKO
감추기	감추/VV+기/ETN
위해	위하/VV+아/EC
수첩의	수첩/NNG+의/JKG
메모를	메모/NNG+를/JKO
조작한	조작/NNG+하/XSV+ㄴ/ETM
것"이라는	것/NNB+"/SS+이/VCP+라는/ETM
진술을	진술/NNG+을/JKO
확보했다.	확보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.177.6.2
서씨는 지난 27일 1심에서 뇌물수수죄가 유죄로 인정돼 징역 1년을 선고받았다.

서씨는	서/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
27일	27/SN+일/NNB
1심에서	1심/NNG+에서/JKB
뇌물수수죄가	뇌물/NNG+수수죄/NNG+가/JKS
유죄로	유죄/NNG+로/JKB
인정돼	인정/NNG+되/XSV+어/EC
징역	징역/NNG
1년을	1/SN+년/NNB+을/JKO
선고받았다.	선고/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.177.7.1
기술 발달과 함께 범죄자들의 문서 위조(僞造) 수법도 갈수록 교묘해지고 있다.

기술	기술/NNG
발달과	발달/NNG+과/JKB
함께	함께/MAG
범죄자들의	범죄자/NNG+들/XSN+의/JKG
문서	문서/NNG
위조(僞造)	위조/NNG+(/SS+僞造/SH+)/SS
수법도	수법/NNG+도/JX
갈수록	갈수록/MAG
교묘해지고	교묘하/VA+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.177.7.2
정씨처럼 손으로 쓴 수기(手記) 위조는 옛말이고 지문(指紋) 위조, 인영(印影·도장 자국) 위조 등 컴퓨터를 활용한 문서 위·변조 사례가 전체의 20%에 달할 정도다.

정씨처럼	정/NNP+씨/NNB+처럼/JKB
손으로	손/NNG+으로/JKB
쓴	쓰/VV+ㄴ/ETM
수기(手記)	수기/NNG+(/SS+手記/SH+)/SS
위조는	위조/NNG+는/JX
옛말이고	옛말/NNG+이/VCP+고/EC
지문(指紋)	지문/NNG+(/SS+指紋/SH+)/SS
위조,	위조/NNG+,/SP
인영(印影·도장	인영/NNG+(/SS+印影/SH+·/SP+도장/NNG
자국)	자국/NNG+)/SS
위조	위조/NNG
등	등/NNB
컴퓨터를	컴퓨터/NNG+를/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
문서	문서/NNG
위·변조	위·변조/NNG
사례가	사례/NNG+가/JKS
전체의	전체/NNG+의/JKG
20%에	20/SN+%/SW+에/JKB
달할	달하/VV+ㄹ/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.177.7.3
그에 따라 수사기관도 각종 첨단 기기를 활용해 위조를 잡아낸다.

그에	그/NP+에/JKB
따라	따르/VV+아/EC
수사기관도	수사/NNG+기관/NNG+도/JX
각종	각종/NNG
첨단	첨단/NNG
기기를	기기/NNG+를/JKO
활용해	활용/NNG+하/XSV+아/EC
위조를	위조/NNG+를/JKO
잡아낸다.	잡아내/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.177.8.1
대검 문서감정실은 2009년 최대 10만배까지 확대 관찰이 가능한 주사전자(走査電子)현미경을 들였다.

대검	대검/NNG
문서감정실은	문서/NNG+감정실/NNG+은/JX
2009년	2009/SN+년/NNB
최대	최대/NNG
10만배까지	10/SN+만/NR+배/NNG+까지/JX
확대	확대/NNG
관찰이	관찰/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
주사전자(走査電子)현미경을	주사/NNG+전자/NNG+(/SS+走査電子/SH+)/SS+현미경/NNG+을/JKO
들였다.	들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.177.8.2
이 장비 도입 전까지는 500배 확대가 가능한 광학현미경을 썼다.

이	이/MMD
장비	장비/NNG
도입	도입/NNG
전까지는	전/NNG+까지/JX+는/JX
500배	500/SN+배/NNG
확대가	확대/NNG+가/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
광학현미경을	광학/NNG+현미경/NNG+을/JKO
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.177.8.3
주사전자현미경은 인쇄된 종이의 재질이 어떤 성분으로 돼 있는지까지 가려낼 수 있다고 한다.

주사전자현미경은	주사/NNG+전자/NNG+현미경/NNG+은/JX
인쇄된	인쇄/NNG+되/XSV+ㄴ/ETM
종이의	종이/NNG+의/JKG
재질이	재질/NNG+이/JKS
어떤	어떤/MMD
성분으로	성분/NNG+으로/JKB
돼	되/VV+어/EC
있는지까지	있/VX+는지/EF+까지/JX
가려낼	가려내/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.177.8.4
또 다양한 빛의 파장을 이용해 잉크 성분을 분석해내 위조지폐를 감별하는 데 쓰는 분광(分光)비교측정기, 펜에 눌린 자국이나 썼다가 지운 흔적 등을 복원해내는 필흔(筆痕)재생기 등 50여 개 장비를 갖춰 놓고 있다.

또	또/MAG
다양한	다양/NNG+하/XSA+ㄴ/ETM
빛의	빛/NNG+의/JKG
파장을	파장/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
잉크	잉크/NNG
성분을	성분/NNG+을/JKO
분석해내	분석/NNG+하/XSV+아/EC+내/VX+어/EC
위조지폐를	위조지폐/NNG+를/JKO
감별하는	감별/NNG+하/XSV+는/ETM
데	데/NNB
쓰는	쓰/VV+는/ETM
분광(分光)비교측정기,	분광/NNG+(/SS+分光/SH+)/SS+비교/NNG+측정기/NNG+,/SP
펜에	펜/NNG+에/JKB
눌린	눌리/VV+ㄴ/ETM
자국이나	자국/NNG+이나/JX
썼다가	쓰/VV+었/EP+다가/EC
지운	지우/VV+ㄴ/ETM
흔적	흔적/NNG
등을	등/NNB+을/JKO
복원해내는	복원/NNG+하/XSV+아/EC+내/VX+는/ETM
필흔(筆痕)재생기	필흔/NNG+(/SS+筆痕/SH+)/SS+재생기/NNG
등	등/NNB
50여	50/SN+여/XSN
개	개/NNB
장비를	장비/NNG+를/JKO
갖춰	갖추/VV+어/EC
놓고	놓/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.177.9.1
작년 12월 있었던 어음 사기 사건에선 분광비교측정기가 한몫했다.

작년	작년/NNG
12월	12/SN+월/NNB
있었던	있/VA+었/EP+던/ETM
어음	어음/NNG
사기	사기/NNG
사건에선	사건/NNG+에서/JKB+ㄴ/JX
분광비교측정기가	분광/NNG+비교/NNG+측정기/NNG+가/JKS
한몫했다.	한몫/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.177.9.2
당초 문제가 된 어음은 발행 일자가 '11월 29일'로 적혀 있었는데, 이 장비로 파장이 다른 빛을 여러 각도에서 비추자 '11'의 '1'자 한 개가 혼자서 다른 반사 빛을 냈다.

당초	당초/NNG
문제가	문제/NNG+가/JKC
된	되/VV+ㄴ/ETM
어음은	어음/NNG+은/JX
발행	발행/NNG
일자가	일자/NNG+가/JKS
'11월	'/SS+11/SN+월/NNB
29일'로	29/SN+일/NNB+'/SS+로/JKB
적혀	적히/VV+어/EC
있었는데,	있/VX+었/EP+는데/EC+,/SP
이	이/MMD
장비로	장비/NNG+로/JKB
파장이	파장/NNG+이/JKS
다른	다른/MMD
빛을	빛/NNG+을/JKO
여러	여러/MMN
각도에서	각도/NNG+에서/JKB
비추자	비추/VV+자/EC
'11'의	'/SS+11/SN+'/SS+의/JKG
'1'자	'/SS+1/SN+'/SS+자/NNG
한	한/MMN
개가	개/NNB+가/JKS
혼자서	혼자/NNG+서/JKS
반사	반사/NNG
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.177.9.3
원래는 1월 29일이던 것을 11월 29일로 위조했던 것이다.

원래는	원래/NNG+는/JX
1월	1/SN+월/NNB
29일이던	29/SN+일/NNB+이/VCP+던/ETM
것을	것/NNB+을/JKO
11월	11/SN+월/NNB
29일로	29/SN+일/NNB+로/JKB
위조했던	위조/NNG+하/XSV+았/EP+던/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.177.10.1
작년 4월 발생한 특허 계약서 위조 사건에선 범인들이 특허 계약서에서 사용 기간이 명시된 둘째 쪽만 위조해 특허 유효기간을 마음대로 늘렸다.

작년	작년/NNG
4월	4/SN+월/NNB
발생한	발생/NNG+하/XSV+ㄴ/ETM
특허	특허/NNG
계약서	계약서/NNG
위조	위조/NNG
사건에선	사건/NNG+에서/JKB+ㄴ/JX
범인들이	범인/NNG+들/XSN+이/JKS
계약서에서	계약서/NNG+에서/JKB
사용	사용/NNG
기간이	기간/NNG+이/JKS
명시된	명시/NNG+되/XSV+ㄴ/ETM
둘째	둘째/NR
쪽만	쪽/NNG+만/JX
위조해	위조/NNG+하/XSV+아/EC
유효기간을	유효/NNG+기간/NNG+을/JKO
마음대로	마음대로/MAG
늘렸다.	늘리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.177.10.2
총 세 쪽인 계약서는 눈으로 보기엔 똑같았지만 현미경으로 보니 둘째 쪽에 인쇄된 글자들의 잉크 토너 분사 형태가 다른 쪽들에 담긴 글자들과 다른 것으로 드러났다.

총	총/MMA
세	세/MMN
쪽인	쪽/NNG+이/VCP+ㄴ/ETM
계약서는	계약서/NNG+는/JX
눈으로	눈/NNG+으로/JKB
보기엔	보/VV+기/ETN+에/JKB+ㄴ/JX
똑같았지만	똑같/VA+았/EP+지만/EC
현미경으로	현미경/NNG+으로/JKB
보니	보/VV+니/EC
둘째	둘째/NR
쪽에	쪽/NNG+에/JKB
인쇄된	인쇄/NNG+되/XSV+ㄴ/ETM
글자들의	글자/NNG+들/XSN+의/JKG
잉크	잉크/NNG
토너	토너/NNG
분사	분사/NNG
형태가	형태/NNG+가/JKS
다른	다르/VA+ㄴ/ETM
쪽들에	쪽/NNG+들/XSN+에/JKB
담긴	담기/VV+ㄴ/ETM
글자들과	글자/NNG+들/XSN+과/JKB
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.177.11.1
윤영미(48) 대검 감정관은 "위조범들이 자기도 모르는 사이에 남기는 실수나 주저흔(躊躇痕) 등 숨은 비밀을 놓치지 않아야 증거를 확보할 수 있다"며 "위조범들의 기술이 발달하면서 감정관 구성도 어학 전공자에서 컴퓨터공학, 전자공학, 화학 전공자로 다양해지고 있다"고 말했다.

윤영미(48)	윤영미/NNP+(/SS+48/SN+)/SS
대검	대검/NNG
감정관은	감정관/NNG+은/JX
"위조범들이	"/SS+위조범/NNG+들/XSN+이/JKS
자기도	자기/NP+도/JX
모르는	모르/VV+는/ETM
사이에	사이/NNG+에/JKB
남기는	남기/VV+는/ETM
실수나	실수/NNG+나/JC
주저흔(躊躇痕)	주저흔/NNG+(/SS+躊躇痕/SH+)/SS
등	등/NNB
숨은	숨/VV+은/ETM
비밀을	비밀/NNG+을/JKO
놓치지	놓치/VV+지/EC
않아야	않/VX+아야/EC
증거를	증거/NNG+를/JKO
확보할	확보/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다"며	있/VA+다/EF+"/SS+며/EC
"위조범들의	"/SS+위조범/NNG+들/XSN+의/JKG
기술이	기술/NNG+이/JKS
발달하면서	발달/NNG+하/XSV+면서/EC
감정관	감정관/NNG
구성도	구성/NNG+도/JX
어학	어학/NNG
전공자에서	전공자/NNG+에서/JKB
컴퓨터공학,	컴퓨터/NNG+공학/NNG+,/SP
전자공학,	전자/NNG+공학/NNG+,/SP
화학	화학/NNG
전공자로	전공자/NNG+로/JKB
다양해지고	다양/NNG+하/XSA+아/EC+지/VX+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


