# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.206
metadata : {}


# id : NWRW1800000053.206.1.1
건물관리인 2명 같은 병실 입원… 말 맞춘 의혹 수사

건물관리인	건물/NNG+관리인/NNG
25일 경찰 수사본부에 따르면 건물 관리인 김모 과장(51·체포)과 김모 부장(66)은 21일 화재 발생 직후 제천서울병원으로 이송돼 같은 병실에 입원했다.

25일	25/SN+일/NNB
경찰	경찰/NNG
수사본부에	수사본부/NNG+에/JKB
따르면	따르/VV+면/EC
건물	건물/NNG
관리인	관리인/NNG
김모	김/NNP+모/NP
과장(51·체포)과	과장/NNG+(/SS+51/SN+·/SP+체포/NNG+)/SS+과/JC
부장(66)은	부장/NNG+(/SS+66/SN+)/SS+은/JX
21일	21/SN+일/NNB
화재	화재/NNG
발생	발생/NNG
직후	직후/NNG
제천서울병원으로	제천서울병원/NNP+으로/JKB
이송돼	이송/NNG+되/XSV+어/EC
같은	같/VA+은/ETM
병실에	병실/NNG+에/JKB
입원했다.	입원/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.206.3.2
당시 두 사람과 같은 병실에 있던 A 씨는 “두 사람은 한참 동안 죽은 듯 누워 있다가 밤에 몰래 얘기를 나눴다”며 “그날 밤 둘이 ‘전기 공사를 하다가 누전이 돼 불이 난 것 같다’고 말하는 걸 들었다”고 증언했다.

당시	당시/NNG
두	두/MMN
사람과	사람/NNG+과/JKB
같은	같/VA+은/ETM
병실에	병실/NNG+에/JKB
있던	있/VA+던/ETM
A	A/SL
씨는	씨/NNB+는/JX
“두	“/SS+두/MMN
사람은	사람/NNG+은/JX
한참	한참/NNG
동안	동안/NNG
죽은	죽/VV+은/ETM
듯	듯/NNB
누워	눕/VV+어/EC
있다가	있/VX+다가/EC
밤에	밤/NNG+에/JKB
몰래	몰래/MAG
얘기를	얘기/NNG+를/JKO
나눴다”며	나누/VV+었/EP+다/EF+”/SS+며/EC
“그날	“/SS+그날/NNG
밤	밤/NNG
둘이	둘/NR+이/JKS
‘전기	‘/SS+전기/NNG
공사를	공사/NNG+를/JKO
하다가	하/VV+다가/EC
누전이	누전/NNG+이/JKS
돼	되/VV+어/EC
불이	불/NNG+이/JKS
난	나/VV+ㄴ/ETM
것	것/NNB
같다’고	같/VA+다/EF+’/SS+고/JKQ
말하는	말/NNG+하/XSV+는/ETM
걸	거/NNB+ㄹ/JKO
들었다”고	듣/VV+었/EP+다/EF+”/SS+고/JKQ
증언했다.	증언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.206.3.3
경찰은 화재 다음 날 두 사람이 같은 병실에 있는 사실을 확인하고 김 부장을 다른 병실로 옮기게 했다.

경찰은	경찰/NNG+은/JX
화재	화재/NNG
다음	다음/NNG
날	날/NNG
두	두/MMN
사람이	사람/NNG+이/JKS
같은	같/VA+은/ETM
병실에	병실/NNG+에/JKB
있는	있/VA+는/ETM
사실을	사실/NNG+을/JKO
확인하고	확인/NNG+하/XSV+고/EC
김	김/NNP
부장을	부장/NNG+을/JKO
다른	다른/MMD
병실로	병실/NNG+로/JKB
옮기게	옮기/VV+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.206.4.1
경찰은 또 25일 김 과장의 자택과 차량, 휴대전화 그리고 김 부장의 휴대전화를 압수수색했다.

경찰은	경찰/NNG+은/JX
또	또/MAG
25일	25/SN+일/NNB
김	김/NNP
과장의	과장/NNG+의/JKG
자택과	자택/NNG+과/JC
차량,	차량/NNG+,/SP
휴대전화	휴대/NNG+전화/NNG
그리고	그리고/MAJ
부장의	부장/NNG+의/JKG
휴대전화를	휴대/NNG+전화/NNG+를/JKO
압수수색했다.	압수/NNG+수색/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.206.4.2
건물주 이모 씨(53·체포)의 자택과 차량도 압수수색했다.

건물주	건물주/NNG
이모	이/NNP+모/NP
씨(53·체포)의	씨/NNB+(/SS+53/SN+·/SP+체포/NNG+)/SS+의/JKG
자택과	자택/NNG+과/JC
차량도	차량/NNG+도/JX
압수수색했다.	압수/NNG+수색/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.206.4.3
김 과장은 경찰 조사에서 1층 천장 공사를 했다는 의혹을 부인했다.

김	김/NNP
과장은	과장/NNG+은/JX
경찰	경찰/NNG
조사에서	조사/NNG+에서/JKB
1층	1/SN+층/NNG
천장	천장/NNG
공사를	공사/NNG+를/JKO
했다는	하/VV+았/EP+다는/ETM
의혹을	의혹/NNG+을/JKO
부인했다.	부인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.206.4.4
하지만 경찰이 공사 장면이 찍힌 폐쇄회로(CC)TV 자료를 제시하자 진술을 번복했다.

하지만	하지만/MAJ
경찰이	경찰/NNG+이/JKS
공사	공사/NNG
장면이	장면/NNG+이/JKS
찍힌	찍히/VV+ㄴ/ETM
폐쇄회로(CC)TV	폐쇄/NNG+회로/NNG+(/SS+CC/SL+)/SS+TV/SL
자료를	자료/NNG+를/JKO
제시하자	제시/NNG+하/XSV+자/EC
진술을	진술/NNG+을/JKO
번복했다.	번복/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.206.4.5
김 과장은 “떼어낸 천장판에 서린 얼음을 무릎과 손으로 깼고 막대기로 배관의 얼음을 털어냈다”고 주장했다.

김	김/NNP
과장은	과장/NNG+은/JX
“떼어낸	“/SS+떼/VV+어/EC+내/VX+ㄴ/ETM
천장판에	천장판/NNG+에/JKB
서린	서리/VV+ㄴ/ETM
얼음을	얼음/NNG+을/JKO
무릎과	무릎/NNG+과/JC
손으로	손/NNG+으로/JKB
깼고	깨/VV+었/EP+고/EC
막대기로	막대기/NNG+로/JKB
배관의	배관/NNG+의/JKG
털어냈다”고	털/VV+어/EC+내/VX+었/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.206.4.6
김 부장도 “당시 천장의 얼음을 깨던 중이었다”고 주장했다.

김	김/NNP
부장도	부장/NNG+도/JX
“당시	“/SS+당시/NNG
천장의	천장/NNG+의/JKG
얼음을	얼음/NNG+을/JKO
깨던	깨/VV+던/ETM
중이었다”고	중/NNB+이/VCP+었/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.206.5.1
경찰은 이들의 진술이 거짓일 가능성에 무게를 두고 있다.

경찰은	경찰/NNG+은/JX
이들의	이/NP+들/XSN+의/JKG
진술이	진술/NNG+이/JKS
거짓일	거짓/NNG+이/VCP+ㄹ/ETM
가능성에	가능/NNG+성/XSN+에/JKB
무게를	무게/NNG+를/JKO
두고	두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.206.5.2
CCTV 확인 결과 천장에서 얼음이 떨어지는 모습이 없고 일부 목격자 진술도 다르기 때문이다.

CCTV	CCTV/SL
확인	확인/NNG
결과	결과/NNG
천장에서	천장/NNG+에서/JKB
얼음이	얼음/NNG+이/JKS
떨어지는	떨어지/VV+는/ETM
모습이	모습/NNG+이/JKS
없고	없/VA+고/EC
일부	일부/NNG
목격자	목격자/NNG
진술도	진술/NNG+도/JX
다르기	다르/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.206.5.3
화재 당일 오후 3시경 건물 1층 주차장에 차량을 주차했던 B 씨는 “당시 남성 두 명이 천장을 한두 칸 뜯고 배선 작업 같은 것을 하는 걸 봤다”며 “얼음 깬 건 아닌 것 같고 선을 만지는 것 같았다”고 진술했다.

화재	화재/NNG
당일	당일/NNG
오후	오후/NNG
3시경	3/SN+시/NNB+경/XSN
건물	건물/NNG
1층	1/SN+층/NNG
주차장에	주차장/NNG+에/JKB
차량을	차량/NNG+을/JKO
주차했던	주차/NNG+하/XSV+았/EP+던/ETM
B	B/SL
씨는	씨/NNB+는/JX
“당시	“/SS+당시/NNG
남성	남성/NNG
두	두/MMN
명이	명/NNB+이/JKS
천장을	천장/NNG+을/JKO
한두	한두/MMN
칸	칸/NNG
뜯고	뜯/VV+고/EC
배선	배선/NNG
작업	작업/NNG
같은	같/VA+은/ETM
것을	것/NNB+을/JKO
하는	하/VV+는/ETM
걸	거/NNB+ㄹ/JKO
봤다”며	보/VV+았/EP+다/EF+”/SS+며/EC
“얼음	“/SS+얼음/NNG
깬	깨/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
아닌	아니/VCN+ㄴ/ETM
것	것/NNB
같고	같/VA+고/EC
선을	선/NNG+을/JKO
만지는	만지/VV+는/ETM
같았다”고	같/VA+았/EP+다/EF+”/SS+고/JKQ
진술했다.	진술/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.206.5.4
김 부장은 “오후 2시경 출근하며 김 과장이 천장 작업을 하고 있길래 ‘뭐 하냐’고 물어본 게 전부다.

김	김/NNP
부장은	부장/NNG+은/JX
“오후	“/SS+오후/NNG
2시경	2/SN+시/NNB+경/XSN
출근하며	출근/NNG+하/XSV+며/EC
과장이	과장/NNG+이/JKS
천장	천장/NNG
작업을	작업/NNG+을/JKO
하고	하/VV+고/EC
있길래	있/VX+길래/EC
‘뭐	‘/SS+뭐/NP
하냐’고	하/VV+냐/EF+’/SS+고/JKQ
물어본	물어보/VV+ㄴ/ETM
게	거/NNB+이/JKS
전부다.	전부/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.206.5.5
이후 작업 모습을 보지 못했다”고 진술했다.

이후	이후/NNG
작업	작업/NNG
모습을	모습/NNG+을/JKO
보지	보/VV+지/EC
못했다”고	못하/VX+았/EP+다/EF+”/SS+고/JKQ
진술했다.	진술/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.206.6.1
경찰은 김 과장 등이 천장 위 배관을 덮은 열선과 얽혀 있는 전선 등을 잘못 건드려 불이 났을 가능성이 큰 것으로 보고 있다.

경찰은	경찰/NNG+은/JX
김	김/NNP
과장	과장/NNG
등이	등/NNB+이/JKS
천장	천장/NNG
위	위/NNG
배관을	배관/NNG+을/JKO
덮은	덮/VV+은/ETM
열선과	열선/NNG+과/JC
얽혀	얽히/VV+어/EC
있는	있/VX+는/ETM
전선	전선/NNG
등을	등/NNB+을/JKO
잘못	잘못/MAG
건드려	건드리/VV+어/EC
불이	불/NNG+이/JKS
났을	나/VV+았/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
큰	크/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.206.6.2
화재는 김 과장이 천장 작업을 마치고 50분이 지난 뒤 처음 발견됐다.

화재는	화재/NNG+는/JX
김	김/NNP
과장이	과장/NNG+이/JKS
천장	천장/NNG
작업을	작업/NNG+을/JKO
마치고	마치/VV+고/EC
50분이	50/SN+분/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
뒤	뒤/NNG
처음	처음/NNG
발견됐다.	발견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.206.6.3
경찰은 열선에서 튄 불꽃이 천장으로 튀면서 불이 커졌을 가능성을 수사 중이다.

경찰은	경찰/NNG+은/JX
열선에서	열선/NNG+에서/JKB
튄	튀/VV+ㄴ/ETM
불꽃이	불꽃/NNG+이/JKS
천장으로	천장/NNG+으로/JKB
튀면서	튀/VV+면서/EC
불이	불/NNG+이/JKS
커졌을	커지/VV+었/EP+을/ETM
가능성을	가능/NNG+성/XSN+을/JKO
수사	수사/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


