# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.84
metadata : {}


# id : NWRW1800000046.84.1.1
"얌전하면 랑랑이 아니죠"

"얌전하면	"/SS+얌전/NNG+하/XSA+면/EC
'4개의	'/SS+4/SN+개/NNB+의/JKG
스케르초'	스케르초/NNG+'/SS
2번에선	2/SN+번/NNB+에서/JKB+ㄴ/JX
숨을	숨/NNG+을/JKO
죽였다.	죽이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.84.3.7
콘서트홀 2500석이 가득찬 이날 연주가 끝난 뒤 사인회엔 무려 800명이 줄 섰다.

콘서트홀	콘서트홀/NNG
2500석이	2500/SN+석/NNB+이/JKS
가득찬	가득/MAG+차/VV+ㄴ/ETM
이날	이날/NNG
연주가	연주/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
사인회엔	사인회/NNG+에/JKB+ㄴ/JX
무려	무려/MAG
800명이	800/SN+명/NNB+이/JKS
줄	줄/NNG
섰다.	서/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.84.4.1
"랑랑도 제 나이 때 피아노를 치면서 힘들었던 적이 있었나요?" 공연 전날인 7일 오후 서울시청 근처 그레뱅뮤지엄에서 만난 랑랑은 아홉 살 소녀 해림(부산 명륜초3)이가 던진 질문에 웃음을 지었다.

"랑랑도	"/SS+랑랑/NNP+도/JX
제	저/NP+의/JKG
나이	나이/NNG
때	때/NNG
피아노를	피아노/NNG+를/JKO
치면서	치/VV+면서/EC
힘들었던	힘들/VA+었/EP+던/ETM
적이	적/NNB+이/JKS
있었나요?"	있/VA+었/EP+나/EF+요/JX+?/SF+"/SS
공연	공연/NNG
전날인	전날/NNG+이/VCP+ㄴ/ETM
7일	7/SN+일/NNB
오후	오후/NNG
서울시청	서울시청/NNP
근처	근처/NNG
그레뱅뮤지엄에서	그레뱅뮤지엄/NNP+에서/JKB
만난	만나/VV+ㄴ/ETM
랑랑은	랑랑/NNP+은/JX
아홉	아홉/NR
살	살/NNB
소녀	소녀/NNG
해림(부산	해림/NNP+(/SS+부산/NNP
명륜초3)이가	명륜초/NNP+3/SN+)/SS+이/NA+가/JKS
던진	던지/VV+ㄴ/ETM
질문에	질문/NNG+에/JKB
웃음을	웃음/NNG+을/JKO
지었다.	짓/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.84.4.2
피아노를 전공하는 소년·소녀 25명과 대화하는 자리였다.

피아노를	피아노/NNG+를/JKO
전공하는	전공/NNG+하/XSV+는/ETM
소년·소녀	소년/NNG+·/SP+소녀/NNG
25명과	25/SN+명/NNB+과/JKB
대화하는	대화/NNG+하/XSV+는/ETM
자리였다.	자리/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.84.5.1
랑랑은 "그거 아세요? 실은 제 손엔 힘이 없어요"라고 했다.

랑랑은	랑랑/NNP+은/JX
"그거	"/SS+그거/NP
아세요?	알/VV+시/EP+어요/EF+?/SF
실은	실은/MAG
제	저/NP+의/JKG
손엔	손/NNG+에/JKB+ㄴ/JX
힘이	힘/NNG+이/JKS
없어요"라고	없/VA+어요/EF+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.84.5.2
"라흐마니노프나 리스트를 치기엔 어려운 손이지요.

"라흐마니노프나	"/SS+라흐마니노프/NNP+나/JC
리스트를	리스트/NNP+를/JKO
치기엔	치/VV+기/ETN+에/JKB+ㄴ/JX
어려운	어렵/VA+ㄴ/ETM
손이지요.	손/NNG+이/VCP+지요/EF+./SF


# id : NWRW1800000046.84.5.3
어마어마하게 노력했어요.

어마어마하게	어마어마하/VA+게/EC
노력했어요.	노력/NNG+하/XSV+았/EP+어요/EF+./SF


# id : NWRW1800000046.84.5.4
서양인들처럼 치즈를 먹으면 손에 힘이 붙을까 봐 치즈도 엄청 먹었고요(웃음)."

서양인들처럼	서양인/NNG+들/XSN+처럼/JKB
치즈를	치즈/NNG+를/JKO
먹으면	먹/VV+으면/EC
손에	손/NNG+에/JKB
힘이	힘/NNG+이/JKS
붙을까	붙/VV+을까/EF
봐	보/VX+아/EC
치즈도	치즈/NNG+도/JX
엄청	엄청/MAG
먹었고요(웃음)."	먹/VV+었/EP+고/EC+요/JX+(/SS+웃음/NNG+)/SS+./SF+"/SS


# id : NWRW1800000046.84.5.5
그는 "싫증 날 땐 쉬어라. 잠시 피아노를 놓고 딴걸 해도 된다"고 했다.

그는	그/NP+는/JX
"싫증	"/SS+싫증/NNG
날	나/VV+ㄹ/ETM
땐	때/NNG+ㄴ/JX
쉬어라.	쉬/VV+어라/EF+./SF
잠시	잠시/MAG
피아노를	피아노/NNG+를/JKO
놓고	놓/VV+고/EC
딴걸	딴/MMD+거/NNB+ㄹ/JKO
해도	하/VV+아도/EC
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.84.6.1
랑랑은 뉴욕타임스가 '현재 클래식계를 가장 뜨겁게 달구고 있는 아티스트'라고 손꼽을 만큼 전 세계에서 수많은 팬을 보유한 피아니스트다.

랑랑은	랑랑/NNP+은/JX
뉴욕타임스가	뉴욕타임스/NNP+가/JKS
'현재	'/SS+현재/MAG
클래식계를	클래식/NNG+계/XSN+를/JKO
가장	가장/MAG
뜨겁게	뜨겁/VA+게/EC
달구고	달구/VV+고/EC
있는	있/VX+는/ETM
아티스트'라고	아티스트/NNG+'/SS+라고/JKQ
손꼽을	손꼽/VV+을/ETM
만큼	만큼/NNB
전	전/MMN
세계에서	세계/NNG+에서/JKB
수많은	수많/VA+은/ETM
팬을	팬/NNG+을/JKO
보유한	보유/NNG+하/XSV+ㄴ/ETM
피아니스트다.	피아니스트/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.84.6.2
2008년 베이징올림픽 개막식에 출연해 피아노를 연주했고, 베를린 필·빈 필은 물론 시카고 심포니·뉴욕 필하모닉 등 미국 주요 교향악단과 모두 협연한 연주자다.

2008년	2008/SN+년/NNB
베이징올림픽	베이징/NNP+올림픽/NNG
개막식에	개막식/NNG+에/JKB
출연해	출연/NNG+하/XSV+아/EC
피아노를	피아노/NNG+를/JKO
연주했고,	연주/NNG+하/XSV+았/EP+고/EC+,/SP
베를린	베를린/NNP
필·빈	필/NNP+·/SP+빈/NNP
필은	필/NNP+은/JX
물론	물론/MAG
시카고	시카고/NNP
심포니·뉴욕	심포니/NNG+·/SP+뉴욕/NNP
필하모닉	필하모닉/NNP
등	등/NNB
미국	미국/NNP
주요	주요/NNG
교향악단과	교향악단/NNG+과/JKB
모두	모두/MAG
협연한	협연/NNG+하/XSV+ㄴ/ETM
연주자다.	연주자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.84.6.3
사이먼 래틀, 다니엘 바렌보임, 크리스토프 에셴바흐, 제임스 러바인 등 이름난 지휘자들이 러브콜을 보내는 피아니스트이기도 하다.

사이먼	사이먼/NNP
래틀,	래틀/NNP+,/SP
다니엘	다니엘/NNP
바렌보임,	바렌보임/NNP+,/SP
크리스토프	크리스토프/NNP
에셴바흐,	에셴바흐/NNP+,/SP
제임스	제임스/NNP
러바인	러바인/NNP
등	등/NNB
이름난	이름나/VV+ㄴ/ETM
지휘자들이	지휘자/NNG+들/XSN+이/JKS
러브콜을	러브콜/NNG+을/JKO
보내는	보내/VV+는/ETM
피아니스트이기도	피아니스트/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000046.84.7.1
국내에선 지난해 인천아시안게임 개막식에서 가수 싸이와 협업 무대를 갖고, 2년 전 열린 청룡영화제에선 가수 인순이가 부르는 '거위의 꿈'을 피아노로 반주해 더 잘 알려졌다.

국내에선	국내/NNG+에서/JKB+ㄴ/JX
지난해	지난해/NNG
인천아시안게임	인천/NNP+아시안/NNP+게임/NNG
개막식에서	개막식/NNG+에서/JKB
가수	가수/NNG
싸이와	싸이/NNP+와/JC
협업	협업/NNG
무대를	무대/NNG+를/JKO
갖고,	갖/VV+고/EC+,/SP
2년	2/SN+년/NNB
전	전/NNG
열린	열리/VV+ㄴ/ETM
청룡영화제에선	청룡/NNG+영화제/NNG+에서/JKB+ㄴ/JX
인순이가	인순이/NNP+가/JKS
부르는	부르/VV+는/ETM
'거위의	'/SS+거위/NNG+의/JKG
꿈'을	꿈/NNG+'/SS+을/JKO
피아노로	피아노/NNG+로/JKB
반주해	반주/NNG+하/XSV+아/EC
더	더/MAG
잘	잘/MAG
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.84.7.2
1년에 120차례가 넘는 클래식 연주를 소화하면서 대중음악과 협업을 멈추지 않는 이유가 뭘까.

1년에	1/SN+년/NNB+에/JKB
120차례가	120/SN+차례/NNG+가/JKS
넘는	넘/VV+는/ETM
클래식	클래식/NNG
연주를	연주/NNG+를/JKO
소화하면서	소화/NNG+하/XSV+면서/EC
대중음악과	대중음악/NNG+과/JC
협업을	협업/NNG+을/JKO
멈추지	멈추/VV+지/EC
않는	않/VX+는/ETM
이유가	이유/NNG+가/JKS
뭘까.	뭐/NP+이/VCP+ㄹ까/EF+./SF


# id : NWRW1800000046.84.7.3
"가수 스티비 원더나 싸이같이 창조적인 세계를 만들어내는 작곡가와 프로듀서들을 만나면 요즘 사람들이 어떤 음악을 갈망하고, 어떻게 발전시켜 나가려 하는지를 알 수 있어요.

"가수	"/SS+가수/NNG
스티비	스티비/NNP
원더나	원더/NNP+나/JC
싸이같이	싸이/NNP+같이/JKB
창조적인	창조/NNG+적/XSN+이/VCP+ㄴ/ETM
세계를	세계/NNG+를/JKO
만들어내는	만들/VV+어/EC+내/VX+는/ETM
작곡가와	작곡가/NNG+와/JC
프로듀서들을	프로듀서/NNG+들/XSN+을/JKO
만나면	만나/VV+면/EC
요즘	요즘/NNG
사람들이	사람/NNG+들/XSN+이/JKS
어떤	어떤/MMD
음악을	음악/NNG+을/JKO
갈망하고,	갈망/NNG+하/XSV+고/EC+,/SP
어떻게	어떻/VA+게/EC
발전시켜	발전/NNG+시키/XSV+어/EC
나가려	나가/VX+려/EC
하는지를	하/VX+는지/EC+를/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
있어요.	있/VA+어요/EF+./SF


# id : NWRW1800000046.84.7.4
몇백 년 된 음악을 연주하는 사람으로서 과거와 미래를 맞물려 음미할 수 있지요."

몇백	몇백/NR
년	년/NNB
된	되/VV+ㄴ/ETM
음악을	음악/NNG+을/JKO
연주하는	연주/NNG+하/XSV+는/ETM
사람으로서	사람/NNG+으로서/JKB
과거와	과거/NNG+와/JC
미래를	미래/NNG+를/JKO
맞물려	맞물리/VV+어/EC
음미할	음미/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있지요."	있/VA+지요/EF+./SF+"/SS


# id : NWRW1800000046.84.8.1
랑랑은 "연주자에게 가장 중요한 건 솔직한 감정을 있는 그대로 음악에 싣는 것"이라고 했다.

랑랑은	랑랑/NNP+은/JX
"연주자에게	"/SS+연주자/NNG+에게/JKB
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
건	거/NNB+ㄴ/JX
솔직한	솔직하/VA+ㄴ/ETM
감정을	감정/NNG+을/JKO
있는	있/VA+는/ETM
그대로	그대로/MAG
음악에	음악/NNG+에/JKB
싣는	싣/VV+는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.84.8.2
"누가 뭐라 하든 자신을 맘껏 표현하는 건 예술가의 권리예요.

"누가	"/SS+누구/NP+가/JKS
뭐라	뭐/NP+이/VCP+라/EC
하든	하/VV+든/EC
자신을	자신/NNG+을/JKO
맘껏	맘껏/MAG
표현하는	표현/NNG+하/XSV+는/ETM
건	거/NNB+ㄴ/JX
예술가의	예술가/NNG+의/JKG
권리예요.	권리/NNG+이/VCP+에요/EF+./SF


# id : NWRW1800000046.84.8.3
저도 몇 년간은 고민했어요.

저도	저/NP+도/JX
몇	몇/NR
년간은	년/NNB+간/XSN+은/JX
고민했어요.	고민/NNG+하/XSV+았/EP+어요/EF+./SF


# id : NWRW1800000046.84.8.4
좀 조신하게 해볼까?

좀	좀/MAG
조신하게	조신/NNG+하/XSA+게/EC
해볼까?	하/VX+아/EC+보/VX+ㄹ까/EF+?/SF


# id : NWRW1800000046.84.8.5
그런데 얌전하면 랑랑이 아니더라고요."

그런데	그런데/MAJ
얌전하면	얌전/NNG+하/XSA+면/EC
랑랑이	랑랑/NNP+이/JKC
아니더라고요."	아니/VCN+더라고/EF+요/JX+./SF+"/SS


# id : NWRW1800000046.84.9.1
그는 "아이들을 보면 몇 년 전 같은 질문을 하던 내 모습이 떠오른다"고 했다.

그는	그/NP+는/JX
"아이들을	"/SS+아이/NNG+들/XSN+을/JKO
보면	보/VV+면/EC
몇	몇/NR
년	년/NNB
전	전/NNG
같은	같/VA+은/ETM
질문을	질문/NNG+을/JKO
하던	하/VV+던/ETM
내	나/NP+의/JKG
모습이	모습/NNG+이/JKS
떠오른다"고	떠오르/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.84.9.2
"형편이 나빠지면 동서양을 막론하고 음악 수업부터 잘라버리고 마는 요즘, 아이들이 올바른 방향으로 더 많은 기회를 가질 수 있게 모든 걸 아낌없이 바치고 싶다"고 했다.

"형편이	"/SS+형편/NNG+이/JKS
나빠지면	나빠지/VV+면/EC
동서양을	동서양/NNG+을/JKO
막론하고	막론하/VV+고/EC
음악	음악/NNG
수업부터	수업/NNG+부터/JX
잘라버리고	자르/VV+아/EC+버리/VX+고/EC
마는	말/VX+는/ETM
요즘,	요즘/NNG+,/SP
아이들이	아이/NNG+들/XSN+이/JKS
올바른	올바르/VA+ㄴ/ETM
방향으로	방향/NNG+으로/JKB
더	더/MAG
많은	많/VA+은/ETM
기회를	기회/NNG+를/JKO
가질	가지/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
모든	모든/MMN
걸	거/NNB+ㄹ/JKO
아낌없이	아낌없이/MAG
바치고	바치/VV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


