# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.126
metadata : {}


# id : NWRW1800000049.126.1.1
객석의자 한 개 가격이 100만원… 명품 클래식 공연장이 온다

객석의자	객석/NNG+의자/NNG
▽2억	▽/SW+2/SN+억/NR
원대	원/NNB+대/XSN
피아노	피아노/NNG
6대=세계적으로	6/SN+대/NNB+=/SW+세계/NNG+적/XSN+으로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
스타인웨이	스타인웨이/NNP
사의	사/NNG+의/JKG
피아노가	피아노/NNG+가/JKS
무려	무려/MAG
6대나	6/SN+대/NNB+나/JX
비치돼	비치/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.126.6.2
무대용 4대, 연습용 2대다.

무대용	무대/NNG+용/XSN
4대,	4/SN+대/NNB+,/SP
연습용	연습/NNG+용/XSN
2대다.	2/SN+대/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.126.6.3
연주자의 취향에 따라 악기 선택이 가능하다.

연주자의	연주자/NNG+의/JKG
취향에	취향/NNG+에/JKB
따라	따르/VV+아/EC
악기	악기/NNG
선택이	선택/NNG+이/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000049.126.6.4
피아니스트 손열음이 독일 함부르크에 있는 스타인웨이 본사에 직접 가서 골랐다.

피아니스트	피아니스트/NNG
손열음이	손열음/NNP+이/JKS
독일	독일/NNP
함부르크에	함부르크/NNP+에/JKB
있는	있/VA+는/ETM
스타인웨이	스타인웨이/NNP
본사에	본사/NNG+에/JKB
직접	직접/MAG
가서	가/VV+아서/EC
골랐다.	고르/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.126.7.1
▽전후면 스크린 설치=객석 어디에서나 자막 등이 나오는 스크린을 볼 수 있다.

▽전후면	▽/SW+전후면/NNG
스크린	스크린/NNG
설치=객석	설치/NNG+=/SW+객석/NNG
어디에서나	어디/NP+에서/JKB+나/JX
자막	자막/NNG
등이	등/NNB+이/JKS
나오는	나오/VV+는/ETM
스크린을	스크린/NNG+을/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.126.7.2
롯데콘서트홀에는 합창석 앞에 1개, 파이프오르간 앞에 1개, 객석 2층 앞에 1개 등 총 3개의 스크린이 있다.

롯데콘서트홀에는	롯데콘서트홀/NNP+에/JKB+는/JX
합창석	합창석/NNG
앞에	앞/NNG+에/JKB
1개,	1/SN+개/NNB+,/SP
파이프오르간	파이프/NNG+오르간/NNG
객석	객석/NNG
2층	2/SN+층/NNG
1개	1/SN+개/NNB
등	등/NNB
총	총/MMA
3개의	3/SN+개/NNB+의/JKG
스크린이	스크린/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.126.7.3
전후면 어디에서도 볼 수 있다.

전후면	전후면/NNG
어디에서도	어디/NP+에서/JKB+도/JX
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.126.8.1
▽객석 의자의 비밀=기본적으로 개당 100만 원에 달하는 일본 고도부키 사의 객석 의자2000개가 설치됐다.

▽객석	▽/SW+객석/NNG
의자의	의자/NNG+의/JKG
비밀=기본적으로	비밀/NNG+=/SW+기본/NNG+적/XSN+으로/JKB
개당	개/NNB+당/XSN
100만	100/SN+만/NR
원에	원/NNB+에/JKB
달하는	달하/VV+는/ETM
일본	일본/NNP
고도부키	고도부키/NNP
사의	사/NNG+의/JKG
객석	객석/NNG
의자2000개가	의자/NNG+2000/SN+개/NNB+가/JKS
설치됐다.	설치/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.126.8.2
1층보다 2층 의자의 등받이가 10cm 더 높다.

1층보다	1/SN+층/NNG+보다/JKB
2층	2/SN+층/NNG
의자의	의자/NNG+의/JKG
등받이가	등받이/NNG+가/JKS
10cm	10/SN+cm/SW
더	더/MAG
높다.	높/VA+다/EF+./SF


# id : NWRW1800000049.126.8.3
위층으로 갈수록 경사가 높아지기 때문에 2층 의자는 좀 더 깊숙이 기댈 수 있도록 한 것이다.

위층으로	위층/NNG+으로/JKB
갈수록	가/VV+ㄹ수록/EC
경사가	경사/NNG+가/JKS
높아지기	높아지/VV+기/ETN
때문에	때문/NNB+에/JKB
2층	2/SN+층/NNG
의자는	의자/NNG+는/JX
좀	좀/MAG
더	더/MAG
깊숙이	깊숙이/MAG
기댈	기대/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
한	하/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.126.8.4
색상도 네 가지의 붉은 색상이 뒤로 갈수록 엷어진다.

색상도	색상/NNG+도/JX
네	네/MMN
가지의	가지/NNB+의/JKG
붉은	붉/VA+은/ETM
색상이	색상/NNG+이/JKS
뒤로	뒤/NNG+로/JKB
갈수록	가/VV+ㄹ수록/EC
엷어진다.	엷어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.126.8.5
무대에서 객석으로 소리가 퍼져 나가는 느낌을 형상화했다.

무대에서	무대/NNG+에서/JKB
객석으로	객석/NNG+으로/JKB
소리가	소리/NNG+가/JKS
퍼져	퍼지/VV+어/EC
나가는	나가/VX+는/ETM
느낌을	느낌/NNG+을/JKO
형상화했다.	형상/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.126.8.6
팔걸이가 옆으로 젖혀져 휠체어에서 편하게 앉을 수 있게 한 장애인 전용 특수 의자도 마련돼 있다.

팔걸이가	팔걸이/NNG+가/JKS
옆으로	옆/NNG+으로/JKB
젖혀져	젖혀지/VV+어/EC
휠체어에서	휠체어/NNG+에서/JKB
편하게	편하/VA+게/EC
앉을	앉/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
한	하/VX+ㄴ/ETM
장애인	장애인/NNG
전용	전용/NNG
특수	특수/NNG
의자도	의자/NNG+도/JX
마련돼	마련/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.126.9.1
▽야외 콘서트 무대=콘서트홀 로비 외부에는 석촌호수를 볼 수 있는 테라스가 있다.

▽야외	▽/SW+야외/NNG
콘서트	콘서트/NNG
무대=콘서트홀	무대/NNG+=/SW+콘서트홀/NNG
로비	로비/NNG
외부에는	외부/NNG+에/JKB+는/JX
석촌호수를	석촌호수/NNP+를/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
테라스가	테라스/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.126.9.2
이곳에서는 150여 명의 관람이 가능해 ‘미니 콘서트’가 열릴 예정이다.

이곳에서는	이곳/NP+에서/JKB+는/JX
150여	150/SN+여/XSN
명의	명/NNB+의/JKG
관람이	관람/NNG+이/JKS
가능해	가능/NNG+하/XSA+아/EC
‘미니	‘/SS+미니/NNG
콘서트’가	콘서트/NNG+’/SS+가/JKS
열릴	열리/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.126.10.1
▽개인 방음 연습실=연주자들이 공연 전까지 편안하게 연습할 수 있는 개인 연습실이 5개나 있다.

▽개인	▽/SW+개인/NNG
방음	방음/NNG
연습실=연주자들이	연습실/NNG+=/SW+연주자/NNG+들/XSN+이/JKS
공연	공연/NNG
전까지	전/NNG+까지/JX
편안하게	편안/NNG+하/XSA+게/EC
연습할	연습/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
개인	개인/NNG
연습실이	연습실/NNG+이/JKS
5개나	5/SN+개/NNB+나/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.126.10.2
여기에 타악기 연습실과 베이스 연습실까지 갖췄다.

여기에	여기/NP+에/JKB
타악기	타악기/NNG
연습실과	연습실/NNG+과/JC
베이스	베이스/NNG
연습실까지	연습실/NNG+까지/JX
갖췄다.	갖추/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.126.10.3
연주자들의 기량 유지와 컨디션 조절에 큰 도움이 될 것으로 기대된다.

연주자들의	연주자/NNG+들/XSN+의/JKG
기량	기량/NNG
유지와	유지/NNG+와/JC
컨디션	컨디션/NNG
조절에	조절/NNG+에/JKB
큰	크/VA+ㄴ/ETM
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대된다.	기대/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.126.11.1
▽맥주 마시며 휴식=클래식 공연장으로는 드물게 라운지 바에서 맥주를 판매한다.

▽맥주	▽/SW+맥주/NNG
마시며	마시/VV+며/EC
휴식=클래식	휴식/NNG+=/SW+클래식/NNG
공연장으로는	공연장/NNG+으로/JKB+는/JX
드물게	드물/VA+게/EC
라운지	라운지/NNG
바에서	바/NNG+에서/JKB
맥주를	맥주/NNG+를/JKO
판매한다.	판매/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.126.11.2
롯데콘서트홀은 ‘새로운 공연 문화’를 만들기 위해 15∼20분인 중간 휴식시간을 30∼40분으로 늘릴 계획이다.

롯데콘서트홀은	롯데콘서트홀/NNP+은/JX
‘새로운	‘/SS+새롭/VA+ㄴ/ETM
공연	공연/NNG
문화’를	문화/NNG+’/SS+를/JKO
만들기	만들/VV+기/ETN
위해	위하/VV+아/EC
15∼20분인	15/SN+∼/SO+20/SN+분/NNB+이/VCP+ㄴ/ETM
중간	중간/NNG
휴식시간을	휴식/NNG+시간/NNG+을/JKO
30∼40분으로	30/SN+∼/SO+40/SN+분/NNB+으로/JKB
늘릴	늘리/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.126.11.3
그 시간에 간단한 스낵과 함께 맥주를 즐길 수 있다.

그	그/MMD
시간에	시간/NNG+에/JKB
간단한	간단하/VA+ㄴ/ETM
스낵과	스낵/NNG+과/JKB
함께	함께/MAG
맥주를	맥주/NNG+를/JKO
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.126.12.1
롯데콘서트홀의 마지막 ‘숨은 1인치’는 앞으로 공연장이 만들어낼 소리다.

롯데콘서트홀의	롯데콘서트홀/NNP+의/JKG
마지막	마지막/NNG
‘숨은	‘/SS+숨/VV+은/ETM
1인치’는	1/SN+인치/NNB+’/SS+는/JX
앞으로	앞/NNG+으로/JKB
공연장이	공연장/NNG+이/JKS
만들어낼	만들/VV+어/EC+내/VX+ㄹ/ETM
소리다.	소리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.126.12.2
이제 막 걸음마를 떼는 콘서트홀의 소리는 다듬어지는 과정에 있다.

이제	이제/MAG
막	막/MAG
걸음마를	걸음마/NNG+를/JKO
떼는	떼/VV+는/ETM
콘서트홀의	콘서트홀/NNG+의/JKG
소리는	소리/NNG+는/JX
다듬어지는	다듬어지/VV+는/ETM
과정에	과정/NNG+에/JKB
있다.	있/VA+다/EF+./SF


