# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.136
metadata : {}


# id : NWRW1800000029.136.1.1
‘미식축구 전설’ 무너뜨린 거짓말

‘미식축구	‘/SS+미식축구/NNG
트레슬 감독은 이날 “내가 물러나는 것이 오하이오주립대를 위한 최상의 선택이라는 판단을 하게 됐다”고 밝혔다.

트레슬	트레슬/NNP
감독은	감독/NNG+은/JX
이날	이날/NNG
“내가	“/SS+내/NP+가/JKS
물러나는	물러나/VV+는/ETM
것이	것/NNB+이/JKS
오하이오주립대를	오하이오주립대/NNP+를/JKO
위한	위하/VV+ㄴ/ETM
최상의	최상/NNG+의/JKG
선택이라는	선택/NNG+이/VCP+라는/ETM
판단을	판단/NNG+을/JKO
하게	하/VV+게/EC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.136.8.1
그러나 그의 사임이 선수들의 만연한 규정 위반에 대한 근본 처방이 되기는 어렵다는 지적이 많다.

그러나	그러나/MAJ
그의	그/NP+의/JKG
사임이	사임/NNG+이/JKS
선수들의	선수/NNG+들/XSN+의/JKG
만연한	만연/NNG+하/XSV+ㄴ/ETM
규정	규정/NNG
위반에	위반/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
근본	근본/NNG
처방이	처방/NNG+이/JKS
되기는	되/VV+기/ETN+는/JX
어렵다는	어렵/VA+다는/ETM
지적이	지적/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000029.136.8.2
비위 행위를 털어놓은 전직 수비수 로버트 로즈 씨는 “나이키 후원금 등으로 학교는 많은 돈을 벌지만 나와 내 어머니는 너무나 가난했다.

비위	비위/NNG
행위를	행위/NNG+를/JKO
털어놓은	털어놓/VV+은/ETM
전직	전직/NNG
수비수	수비수/NNG
로버트	로버트/NNP
로즈	로즈/NNP
씨는	씨/NNB+는/JX
“나이키	“/SS+나이키/NNP
후원금	후원금/NNG
등으로	등/NNB+으로/JKB
학교는	학교/NNG+는/JX
많은	많/VA+은/ETM
돈을	돈/NNG+을/JKO
벌지만	벌/VV+지만/EC
나와	나/NP+와/JC
내	나/NP+의/JKG
어머니는	어머니/NNG+는/JX
너무나	너무나/MAG
가난했다.	가난/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000029.136.8.3
나는 무언가 해야만 했다”고 말했다.

나는	나/NP+는/JX
무언가	무어/NP+이/VCP+ㄴ가/EF
해야만	하/VV+아야/EC+만/JX
했다”고	하/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


