# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.77
metadata : {}


# id : NWRW1800000030.77.1.1
[동인문학상 1955~2011] 권여선·최제훈·편혜영·최수철 최종 후보에

[동인문학상	[/SS+동인/NNP+문학상/NNG
성숙해졌다"고	성숙/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.77.4.4
한 심사위원은 "고전적인 스타일이라 답답함도 있지만, 시골의 넉넉한 고모를 만나는 듯 정답고 애착이 가는 작품들"이라고 평했다.

한	한/MMN
심사위원은	심사/NNG+위원/NNG+은/JX
"고전적인	"/SS+고전/NNG+적/XSN+이/VCP+ㄴ/ETM
스타일이라	스타일/NNG+이/VCP+라/EC
답답함도	답답하/VA+ㅁ/ETN+도/JX
있지만,	있/VA+지만/EC+,/SP
시골의	시골/NNG+의/JKG
넉넉한	넉넉하/VA+ㄴ/ETM
고모를	고모/NNG+를/JKO
만나는	만나/VV+는/ETM
듯	듯/NNB
정답고	정/NNG+답/XSA+고/EC
애착이	애착/NNG+이/JKS
가는	가/VV+는/ETM
작품들"이라고	작품/NNG+들/XSN+"/SS+이라고/JKQ
평했다.	평/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.77.5.1
올해 단편집과 장편 소설 두 권을 모두 후보에 올리며 문학적 돌풍을 예고했던 최제훈의 작품 중에서는 장편 '일곱 개의 고양이 눈'이 4강 진출작으로 꼽혔다.

올해	올해/NNG
단편집과	단편집/NNG+과/JC
장편	장편/NNG
소설	소설/NNG
두	두/MMN
권을	권/NNB+을/JKO
모두	모두/MAG
후보에	후보/NNG+에/JKB
올리며	올리/VV+며/EC
문학적	문학/NNG+적/XSN
돌풍을	돌풍/NNG+을/JKO
예고했던	예고/NNG+하/XSV+았/EP+던/ETM
최제훈의	최제훈/NNP+의/JKG
작품	작품/NNG
중에서는	중/NNB+에서/JKB+는/JX
'일곱	'/SS+일곱/NR
개의	개/NNB+의/JKG
고양이	고양이/NNG
눈'이	눈/NNG+'/SS+이/JKS
4강	4/SN+강/NNB
진출작으로	진출작/NNG+으로/JKB
꼽혔다.	꼽히/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.77.5.2
얼핏 보면 추리 기법으로 담아낸 소설 쓰기에 관한 소설이지만, 그 기저에는 존재의 무의미에 대한 철학적 탐구가 입체적으로 펼쳐지고 있다는 심사위원들의 평이다.

얼핏	얼핏/MAG
보면	보/VV+면/EC
추리	추리/NNG
기법으로	기법/NNG+으로/JKB
담아낸	담아내/VV+ㄴ/ETM
소설	소설/NNG
쓰기에	쓰/VV+기/ETN+에/JKB
관한	관하/VV+ㄴ/ETM
소설이지만,	소설/NNG+이/VCP+지만/EC+,/SP
그	그/MMD
기저에는	기저/NNG+에/JKB+는/JX
존재의	존재/NNG+의/JKG
무의미에	무/XPN+의미/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
철학적	철학/NNG+적/XSN
탐구가	탐구/NNG+가/JKS
입체적으로	입체/NNG+적/XSN+으로/JKB
펼쳐지고	펼쳐지/VV+고/EC
있다는	있/VX+다는/ETM
심사위원들의	심사/NNG+위원/NNG+들/XSN+의/JKG
평이다.	평/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.77.5.3
심사위원회는 "현대과학으로 비유하자면 평행 우주 안에 모든 인물들이 한꺼번에 모여 있어서 삶의 무의미를 다층적·다면적으로 비추는 장점이 있다"면서 "보이지 않는 곳에서 여러 이야기들을 맺고 끊는 구성력이 절묘하다"고 평했다.

심사위원회는	심사/NNG+위원회/NNG+는/JX
"현대과학으로	"/SS+현대/NNG+과학/NNG+으로/JKB
비유하자면	비유/NNG+하/XSV+자면/EC
평행	평행/NNG
우주	우주/NNG
안에	안/NNG+에/JKB
모든	모든/MMN
인물들이	인물/NNG+들/XSN+이/JKS
한꺼번에	한꺼번에/MAG
모여	모이/VV+어/EC
있어서	있/VX+어서/EC
삶의	삶/NNG+의/JKG
무의미를	무/XPN+의미/NNG+를/JKO
다층적·다면적으로	다층/NNG+적/XSN+·/SP+다면/NNG+적/XSN+으로/JKB
비추는	비추/VV+는/ETM
장점이	장점/NNG+이/JKS
있다"면서	있/VA+다/EF+"/SS+면서/EC
"보이지	"/SS+보이/VV+지/EC
않는	않/VX+는/ETM
곳에서	곳/NNG+에서/JKB
여러	여러/MMN
이야기들을	이야기/NNG+들/XSN+을/JKO
맺고	맺/VV+고/EC
끊는	끊/VV+는/ETM
구성력이	구성력/NNG+이/JKS
절묘하다"고	절묘하/VA+다/EF+"/SS+고/JKQ
평했다.	평/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.77.5.4
"오랜 시간에 걸쳐 머리 쓰며 제대로 바둑 한 판을 둔 느낌"이라는 소회도 있었다.

"오랜	"/SS+오랜/MMA
시간에	시간/NNG+에/JKB
걸쳐	걸치/VV+어/EC
머리	머리/NNG
쓰며	쓰/VV+며/EC
제대로	제대로/MAG
바둑	바둑/NNG
한	한/MMN
판을	판/NNB+을/JKO
둔	두/VV+ㄴ/ETM
느낌"이라는	느낌/NNG+"/SS+이/VCP+라는/ETM
소회도	소회/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.77.6.1
현대인의 상실과 박탈을 차고 건조한 언어로 그려낸 편혜영의 소설집 '저녁의 구애'는 탄탄한 문장과 일관된 집요함이 높은 평가를 받았다.

현대인의	현대인/NNG+의/JKG
상실과	상실/NNG+과/JC
박탈을	박탈/NNG+을/JKO
차고	차/VA+고/EC
건조한	건조/NNG+하/XSA+ㄴ/ETM
언어로	언어/NNG+로/JKB
그려낸	그리/VV+어/EC+내/VX+ㄴ/ETM
편혜영의	편혜영/NNP+의/JKG
소설집	소설집/NNG
'저녁의	'/SS+저녁/NNG+의/JKG
구애'는	구애/NNG+'/SS+는/JX
탄탄한	탄탄하/VA+ㄴ/ETM
문장과	문장/NNG+과/JC
일관된	일관/NNG+되/XSV+ㄴ/ETM
집요함이	집요하/VA+ㅁ/ETN+이/JKS
높은	높/VA+은/ETM
평가를	평가/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.77.6.2
카프카 이후 '동일성의 지옥'에 갇혀 버린 현대 사회의 구조적 모순을 섬뜩하면서도 암시적으로 그려내고 있다는 것이다.

카프카	카프카/NNP
이후	이후/NNG
'동일성의	'/SS+동일/NNG+성/XSN+의/JKG
지옥'에	지옥/NNG+'/SS+에/JKB
갇혀	갇히/VV+어/EC
버린	버리/VX+ㄴ/ETM
현대	현대/NNG
사회의	사회/NNG+의/JKG
구조적	구조/NNG+적/XSN
모순을	모순/NNG+을/JKO
섬뜩하면서도	섬뜩/MAG+하/XSA+면서/EC+도/JX
암시적으로	암시/NNG+적/XSN+으로/JKB
그려내고	그리/VV+어/EC+내/VX+고/EC
있다는	있/VX+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.77.6.3
심사위원회는 "작가는 한국 소설에 판타지를 도입하는 데 주도적 역할을 했다"면서 "환상과 현실 사이의 긴장을 끝까지 놓치지 않으면서 판타지를 인간의 욕망과 연결하는 데 성공하고 있다"고 평했다.

심사위원회는	심사/NNG+위원회/NNG+는/JX
"작가는	"/SS+작가/NNG+는/JX
한국	한국/NNP
소설에	소설/NNG+에/JKB
판타지를	판타지/NNG+를/JKO
도입하는	도입/NNG+하/XSV+는/ETM
데	데/NNB
주도적	주도/NNG+적/XSN
역할을	역할/NNG+을/JKO
했다"면서	하/VV+았/EP+다/EF+"/SS+면서/EC
"환상과	"/SS+환상/NNG+과/JC
현실	현실/NNG
사이의	사이/NNG+의/JKG
긴장을	긴장/NNG+을/JKO
끝까지	끝/NNG+까지/JX
놓치지	놓치/VV+지/EC
않으면서	않/VX+으면서/EC
인간의	인간/NNG+의/JKG
욕망과	욕망/NNG+과/JKB
연결하는	연결/NNG+하/XSV+는/ETM
성공하고	성공/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
평했다.	평/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.77.6.4
"등단 초기에는 너무 지독한 세계를 그려낸다고 생각했는데, 이제는 그 지독함이 자리를 잡아가는 느낌"이라면서 "읽고 나면 불유쾌한 느낌이 지배하지만 이 역시 소설이 가지는 힘이자 매력"이라는 평도 있었다.

"등단	"/SS+등단/NNG
초기에는	초기/NNG+에/JKB+는/JX
너무	너무/MAG
지독한	지독하/VA+ㄴ/ETM
세계를	세계/NNG+를/JKO
그려낸다고	그리/VV+어/EC+내/VX+ㄴ다고/EC
생각했는데,	생각/NNG+하/XSV+았/EP+는데/EC+,/SP
이제는	이제/NNG+는/JX
그	그/MMD
지독함이	지독하/VA+ㅁ/ETN+이/JKS
자리를	자리/NNG+를/JKO
잡아가는	잡아가/VV+는/ETM
느낌"이라면서	느낌/NNG+"/SS+이/VCP+라면서/EC
"읽고	"/SS+읽/VV+고/EC
나면	나/VX+면/EC
불유쾌한	불유쾌하/VA+ㄴ/ETM
느낌이	느낌/NNG+이/JKS
지배하지만	지배/NNG+하/XSV+지만/EC
이	이/MMD
역시	역시/MAG
소설이	소설/NNG+이/JKS
가지는	가지/VV+는/ETM
힘이자	힘/NNG+이/VCP+자/EC
매력"이라는	매력/NNG+"/SS+이/VCP+라는/ETM
평도	평/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.77.7.1
최수철의 '침대'는 우리 주변의 침대를 매개로 신화적 상상력과 한국사 100년을 연결시킨 장편.

최수철의	최수철/NNP+의/JKG
'침대'는	'/SS+침대/NNP+'/SS+는/JX
우리	우리/NP
주변의	주변/NNG+의/JKG
침대를	침대/NNG+를/JKO
매개로	매개/NNG+로/JKB
신화적	신화/NNG+적/XSN
상상력과	상상력/NNG+과/JC
한국사	한국사/NNG
100년을	100/SN+년/NNB+을/JKO
연결시킨	연결/NNG+시키/XSV+ㄴ/ETM
장편.	장편/NNG+./SF


# id : NWRW1800000030.77.7.2
침대라는 사물로부터 아이디어를 얻은 장구한 드라마다.

침대라는	침대/NNG+이/VCP+라는/ETM
사물로부터	사물/NNG+로부터/JKB
아이디어를	아이디어/NNG+를/JKO
얻은	얻/VV+은/ETM
장구한	장구하/VA+ㄴ/ETM
드라마다.	드라마/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.77.7.3
난해문학의 한 상징처럼 여겨졌던 최수철 문학의 새로운 변화와 모색을 엿보게 하는 작품이라는 평가가 이어졌다.

난해문학의	난해/XR+문학/NNG+의/JKG
한	한/MMN
상징처럼	상징/NNG+처럼/JKB
여겨졌던	여기/VV+어/EC+지/VX+었/EP+던/ETM
최수철	최수철/NNP
문학의	문학/NNG+의/JKG
새로운	새롭/VA+ㄴ/ETM
변화와	변화/NNG+와/JC
모색을	모색/NNG+을/JKO
엿보게	엿보/VV+게/EC
하는	하/VX+는/ETM
작품이라는	작품/NNG+이/VCP+라는/ETM
평가가	평가/NNG+가/JKS
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.77.7.4
심사위원회는 플로베르와 스탕달식 소설이 있다고 할 때, '침대'는 스탕달의 문학적 매력을 떠올리게 하는 작품이라고 했다.

심사위원회는	심사/NNG+위원회/NNG+는/JX
플로베르와	플로베르/NNP+와/JC
스탕달식	스탕달식/NNG
소설이	소설/NNG+이/JKS
있다고	있/VA+다고/EC
할	하/VV+ㄹ/ETM
때,	때/NNG+,/SP
'침대'는	'/SS+침대/NNP+'/SS+는/JX
스탕달의	스탕달/NNP+의/JKG
문학적	문학/NNG+적/XSN
매력을	매력/NNG+을/JKO
떠올리게	떠올리/VV+게/EC
하는	하/VX+는/ETM
작품이라고	작품/NNG+이/VCP+라고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.77.7.5
정교한 플롯과 조탁한 문장으로 대표되는 플로베르가 아니라 가다듬지 않은 원석이지만 단숨에 써내려가는 스탕달의 자유분방함.

정교한	정교하/VA+ㄴ/ETM
플롯과	플롯/NNG+과/JC
조탁한	조탁/NNG+하/XSA+ㄴ/ETM
문장으로	문장/NNG+으로/JKB
대표되는	대표/NNG+되/XSV+는/ETM
플로베르가	플로베르/NNP+가/JKC
아니라	아니/VCN+라/EC
가다듬지	가다듬/VV+지/EC
않은	않/VX+은/ETM
원석이지만	원석/NNG+이/VCP+지만/EC
단숨에	단숨에/MAG
써내려가는	쓰/VV+어/EC+내려가/VV+는/ETM
스탕달의	스탕달/NNP+의/JKG
자유분방함.	자유분방/NNG+하/XSA+ㅁ/ETN+./SF


# id : NWRW1800000030.77.7.6
한 심사위원은 "침대가 출렁출렁거리며 수많은 이야기들을 끌어들이는 힘이 있다"면서 "방대한 장편의 재미는 이런 것"이라고 했다.

한	한/MMN
심사위원은	심사/NNG+위원/NNG+은/JX
"침대가	"/SS+침대/NNG+가/JKS
출렁출렁거리며	출렁출렁/MAG+거리/VV+며/EC
수많은	수많/VA+은/ETM
이야기들을	이야기/NNG+들/XSN+을/JKO
끌어들이는	끌어들이/VV+는/ETM
힘이	힘/NNG+이/JKS
있다"면서	있/VA+다/EF+"/SS+면서/EC
"방대한	"/SS+방대하/VA+ㄴ/ETM
장편의	장편/NNG+의/JKG
재미는	재미/NNG+는/JX
이런	이런/MMD
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.77.8.1
심사위원들의 투표로 결정한 이번 4강 진출작에서 단 한 표 차로 탈락한 김이설의 '환영'에 대해서는 심사위원들의 애정 릴레이가 이어졌다.

심사위원들의	심사/NNG+위원/NNG+들/XSN+의/JKG
투표로	투표/NNG+로/JKB
결정한	결정/NNG+하/XSV+ㄴ/ETM
이번	이번/NNG
4강	4/SN+강/NNB
진출작에서	진출작/NNG+에서/JKB
단	단/MMA
한	한/MMN
표	표/NNG
차로	차/NNG+로/JKB
탈락한	탈락/NNG+하/XSV+ㄴ/ETM
김이설의	김이설/NNP+의/JKG
'환영'에	'/SS+환영/NNG+'/SS+에/JKB
대해서는	대하/VV+아서/EC+는/JX
애정	애정/NNG
릴레이가	릴레이/NNG+가/JKS
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.77.8.2
하지만 심사위원회는 "짧지만 단단한 김이설 장편의 힘을 높이 평가하지만 전작 '나쁜 피' 이후 동어반복의 우려와 세태소설의 한계가 우려스럽다"면서 "다음번에는 좀 더 새로운 작품으로 만나기를 기대한다"고 주문했다.

하지만	하지만/MAJ
심사위원회는	심사/NNG+위원회/NNG+는/JX
"짧지만	"/SS+짧/VA+지만/EC
단단한	단단하/VA+ㄴ/ETM
김이설	김이설/NNP
장편의	장편/NNG+의/JKG
힘을	힘/NNG+을/JKO
높이	높이/MAG
평가하지만	평가/NNG+하/XSV+지만/EC
전작	전작/NNG
'나쁜	'/SS+나쁘/VA+ㄴ/ETM
피'	피/NNG+'/SS
이후	이후/NNG
동어반복의	동어/NNG+반복/NNG+의/JKG
우려와	우려/NNG+와/JC
세태소설의	세태/NNG+소설/NNG+의/JKG
한계가	한계/NNG+가/JKS
우려스럽다"면서	우려/NNG+스럽/XSA+다/EF+"/SS+면서/EC
"다음번에는	"/SS+다음번/NNG+에/JKB+는/JX
좀	좀/MAG
더	더/MAG
새로운	새롭/VA+ㄴ/ETM
작품으로	작품/NNG+으로/JKB
만나기를	만나/VV+기/ETN+를/JKO
기대한다"고	기대/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


