# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.20
metadata : {}


# id : NWRW1800000048.20.1.1
성창기업, 소액주주 추천 감사 출근 저지

성창기업,	성창기업/NNP+,/SP
것은	것/NNB+은/JX
납득이	납득/NNG+이/JKS
가지	가/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000048.20.10.2
상장사의 경우 상법상 지배구조 규정을 준수하지 않으면 경고·벌점을 받을 수 있고 이는 상장폐지 요건에도 해당된다.

상장사의	상장사/NNG+의/JKG
경우	경우/NNG
상법상	상법/NNG+상/XSN
지배구조	지배/NNG+구조/NNG
규정을	규정/NNG+을/JKO
준수하지	준수/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
경고·벌점을	경고/NNG+·/SP+벌점/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있고	있/VA+고/EC
이는	이/NP+는/JX
상장폐지	상장/NNG+폐지/NNG
요건에도	요건/NNG+에/JKB+도/JX
해당된다.	해당/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.20.10.3
회사와 새 감사가 협의를 해 업무를 시작해야 한다”고 말했다.

회사와	회사/NNG+와/JC
새	새/MMA
감사가	감사/NNG+가/JKS
협의를	협의/NNG+를/JKO
해	하/VV+아/EC
업무를	업무/NNG+를/JKO
시작해야	시작/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


