# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.281
metadata : {}


# id : NWRW1800000028.281.1.1
6.신구대학 식물원 /고향 떠난 단양쑥부쟁이 ‘제2 안식처’

6.신구대학	6/SN+./SP+신구대학/NNP
원예디자인과	원예/NNG+디자인과/NNG
교수는	교수/NNG+는/JX
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.281.7.1
그렇다고 단양쑥부쟁이가 억센 생명력을 지닌 것 같지는 않다.

그렇다고	그렇/VA+다고/EC
단양쑥부쟁이가	단양쑥부쟁이/NNG+가/JKS
억센	억세/VA+ㄴ/ETM
생명력을	생명력/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
것	것/NNB
같지는	같/VA+지/EC+는/JX
않다.	않/VX+다/EF+./SF


# id : NWRW1800000028.281.7.2
이 식물은 햇빛을 아주 좋아해 그늘이 드리운 곳에선 살지 못한다.

이	이/MMD
식물은	식물/NNG+은/JX
햇빛을	햇빛/NNG+을/JKO
아주	아주/MAG
좋아해	좋아하/VV+아/EC
그늘이	그늘/NNG+이/JKS
드리운	드리우/VV+ㄴ/ETM
곳에선	곳/NNG+에서/JKB+ㄴ/JX
살지	살/VV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.281.7.3
유기물이 많은 기름진 땅에서는 다른 식물과의 경쟁에서 이기지 못한다.

유기물이	유기물/NNG+이/JKS
많은	많/VA+은/ETM
기름진	기름지/VA+ㄴ/ETM
땅에서는	땅/NNG+에서/JKB+는/JX
다른	다른/MMD
식물과의	식물/NNG+과/JKB+의/JKG
경쟁에서	경쟁/NNG+에서/JKB
이기지	이기/VV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.281.7.4
결국 홍수로 모래와 자갈이 뒤덮여 다른 식물이 없는 삭막한 강변에서만 단양쑥부쟁이가 근근이 살 수 있었던 것이다.

결국	결국/MAG
홍수로	홍수/NNG+로/JKB
모래와	모래/NNG+와/JC
자갈이	자갈/NNG+이/JKS
뒤덮여	뒤덮이/VV+어/EC
다른	다른/MMD
식물이	식물/NNG+이/JKS
없는	없/VA+는/ETM
삭막한	삭막하/VA+ㄴ/ETM
강변에서만	강변/NNG+에서/JKB+만/JX
단양쑥부쟁이가	단양쑥부쟁이/NNG+가/JKS
근근이	근근이/MAG
살	살/VV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.281.7.5
경쟁을 회피하는 약한 모습과 억센 잡초의 얼굴 모두를 지닌 식물인 셈이다.

경쟁을	경쟁/NNG+을/JKO
회피하는	회피/NNG+하/XSV+는/ETM
약한	약하/VA+ㄴ/ETM
모습과	모습/NNG+과/JC
억센	억세/VA+ㄴ/ETM
잡초의	잡초/NNG+의/JKG
얼굴	얼굴/NNG
모두를	모두/NNG+를/JKO
지닌	지니/VV+ㄴ/ETM
식물인	식물/NNG+이/VCP+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.281.8.1
신구대학 식물원은 강천섬의 훼손 예정지 두 곳에서 씨앗을 받은 단양쑥부쟁이를 약 1만 개체로 증식시켰다.

신구대학	신구대학/NNP
식물원은	식물원/NNG+은/JX
강천섬의	강천섬/NNP+의/JKG
훼손	훼손/NNG
예정지	예정지/NNG
두	두/MMN
곳에서	곳/NNG+에서/JKB
씨앗을	씨앗/NNG+을/JKO
받은	받/VV+은/ETM
단양쑥부쟁이를	단양쑥부쟁이/NNG+를/JKO
약	약/MMA
1만	1/SN+만/NR
개체로	개체/NNG+로/JKB
증식시켰다.	증식/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.281.8.2
4대강 사업뿐 아니라 대규모 홍수로 여주의 자생지가 송두리째 사라져도 현지에 다시 이식할 수 있는 ‘예비 유전자’를 보유하고 있는 것이다.

4대강	4/SN+대/NNG+강/NNG
사업뿐	사업/NNG+뿐/JX
아니라	아니/VCN+라/EC
대규모	대/XPN+규모/NNG
홍수로	홍수/NNG+로/JKB
여주의	여주/NNP+의/JKG
자생지가	자생지/NNG+가/JKS
송두리째	송두리/NNG+째/XSN
사라져도	사라지/VV+어도/EC
현지에	현지/NNG+에/JKB
다시	다시/MAG
이식할	이식/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VX+는/ETM
‘예비	‘/SS+예비/NNG
유전자’를	유전자/NNG+’/SS+를/JKO
보유하고	보유/NNG+하/XSV+고/EC
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.281.8.3
두 집단 사이에 교잡이 일어나 유전다양성이 단순화하지 않도록 철저히 격리하고 있기도 하다.

두	두/MMN
집단	집단/NNG
사이에	사이/NNG+에/JKB
교잡이	교잡/NNG+이/JKS
일어나	일어나/VV+아/EC
유전다양성이	유전/NNG+다양/NNG+성/XSN+이/JKS
단순화하지	단순/NNG+화/XSN+하/XSV+지/EC
않도록	않/VX+도록/EC
철저히	철저히/MAG
격리하고	격리/NNG+하/XSV+고/EC
있기도	있/VX+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000028.281.9.1
전 교수는 “단양쑥부쟁이는 척박한 환경에 살면서도 1년생이 아닌 2년생 전략을 채택하고 있고, 형질이 고정돼 있지 않은 것처럼 보이는 등 앞으로 연구과제가 많다”며 “인공증식이 잘 되더라도, 자생지 보전이 보다 중요하다”고 말했다.

전	전/NNP
교수는	교수/NNG+는/JX
“단양쑥부쟁이는	“/SS+단양쑥부쟁이/NNG+는/JX
척박한	척박하/VA+ㄴ/ETM
환경에	환경/NNG+에/JKB
살면서도	살/VV+면서/EC+도/JX
1년생이	1/SN+년/NNB+생/XSN+이/JKC
아닌	아니/VCN+ㄴ/ETM
2년생	2/SN+년/NNB+생/XSN
전략을	전략/NNG+을/JKO
채택하고	채택/NNG+하/XSV+고/EC
있고,	있/VX+고/EC+,/SP
형질이	형질/NNG+이/JKS
고정돼	고정/NNG+되/XSV+어/EC
있지	있/VX+지/EC
않은	않/VX+은/ETM
것처럼	것/NNB+처럼/JKB
보이는	보이/VV+는/ETM
등	등/NNB
앞으로	앞/NNG+으로/JKB
연구과제가	연구/NNG+과제/NNG+가/JKS
많다”며	많/VA+다/EF+”/SS+며/EC
“인공증식이	“/SS+인공/NNG+증식/NNG+이/JKC
잘	잘/MAG
되더라도,	되/VV+더라도/EC+,/SP
자생지	자생지/NNG
보전이	보전/NNG+이/JKS
보다	보다/MAG
중요하다”고	중요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.281.9.2
한편, 신구대학 식물원은 올해 초 환경부로부터 멸종위기종의 서식지 외 보전기관으로 지정돼 가시연, 백부자, 섬시호, 나도승마, 독미나리 등 8종의 증식과 복원 등을 맡고 있다.

한편,	한편/MAG+,/SP
신구대학	신구대학/NNP
식물원은	식물원/NNG+은/JX
올해	올해/NNG
초	초/NNB
환경부로부터	환경부/NNG+로부터/JKB
멸종위기종의	멸종/NNG+위기종/NNG+의/JKG
서식지	서식지/NNG
외	외/NNB
보전기관으로	보전/NNG+기관/NNG+으로/JKB
지정돼	지정/NNG+되/XSV+어/EC
가시연,	가시연/NNG+,/SP
백부자,	백부자/NNG+,/SP
섬시호,	섬시호/NNG+,/SP
나도승마,	나도승마/NNG+,/SP
독미나리	독미나리/NNG
등	등/NNB
8종의	8/SN+종/NNG+의/JKG
증식과	증식/NNG+과/JC
복원	복원/NNG
등을	등/NNB+을/JKO
맡고	맡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.281.9.3
현재 나도승마, 개병풍, 가시연꽃의 생활사에 관한 연구가 진행중이다.

현재	현재/MAG
나도승마,	나도승마/NNG+,/SP
개병풍,	개병풍/NNG+,/SP
가시연꽃의	가시연꽃/NNG+의/JKG
생활사에	생활사/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
연구가	연구/NNG+가/JKS
진행중이다.	진행/NNG+중/NNB+이/VCP+다/EF+./SF


