# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.433
metadata : {}


# id : NWRW1800000038.433.1.1
中, 성장보다 개혁 우선(淡化增長, 突出改革: 성장은 약하게, 개혁은 두드러지게)… 'GDP 영웅론' 접는다

中,	中/SH+,/SP
참석한	참석/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
경제공작회의를	경제/NNG+공작/NNG+회의/NNG+를/JKO
열어	열/VV+어/EC
내년도	내년도/NNG
경제성장률과	경제/NNG+성장/NNG+률/XSN+과/JC
물가상승률	물가/NNG+상승/NNG+률/XSN
목표치	목표/NNG+치/XSN
등을	등/NNB+을/JKO
논의한다.	논의/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.433.5.1
베이징에서 발행되는 신경보(新京報)는 이날 "2014년 거시경제정책 기조는 '담화증장(淡化增長·성장을 약하게 하고), 돌출개혁(突出改革·개혁을 두드러지게 한다)'이 될 것"이라며 "성장의 '양'보다 '질'을 높이는 것이 개혁의 관건"이라고 밝혔다.

베이징에서	베이징/NNP+에서/JKB
발행되는	발행/NNG+되/XSV+는/ETM
신경보(新京報)는	신경보/NNP+(/SS+新京報/SH+)/SS+는/JX
이날	이날/NNG
"2014년	"/SS+2014/SN+년/NNB
거시경제정책	거시/NNG+경제/NNG+정책/NNG
기조는	기조/NNG+는/JX
'담화증장(淡化增長·성장을	'/SS+담화/NNG+증장/NNG+(/SS+淡化增長/SH+·/SP+성장/NNG+을/JKO
약하게	약하/VA+게/EC
하고),	하/VX+고/EC+)/SS+,/SP
돌출개혁(突出改革·개혁을	돌출/NNG+개혁/NNG+(/SS+突出改革/SH+·/SP+개혁/NNG+을/JKO
두드러지게	두드러지/VV+게/EC
한다)'이	하/VX+ㄴ다/EF+)/SS+'/SS+이/JKC
될	되/VV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"성장의	"/SS+성장/NNG+의/JKG
'양'보다	'/SS+양/NNG+'/SS+보다/JKB
'질'을	'/SS+질/NNG+'/SS+을/JKO
높이는	높이/VV+는/ETM
것이	것/NNB+이/JKS
개혁의	개혁/NNG+의/JKG
관건"이라고	관건/NNG+"/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.433.5.2
이 때문에 중국이 올해 7.5%였던 국내총생산(GDP) 성장률 목표치를 내년에는 다소 낮출 수 있다는 분석이 제기된다.

이	이/NP
때문에	때문/NNB+에/JKB
중국이	중국/NNP+이/JKS
올해	올해/NNG
7.5%였던	7/SN+./SP+5/SN+%/SW+이/VCP+었/EP+던/ETM
국내총생산(GDP)	국내/NNG+총생산/NNG+(/SS+GDP/SL+)/SS
성장률	성장/NNG+률/XSN
목표치를	목표/NNG+치/XSN+를/JKO
내년에는	내년/NNG+에/JKB+는/JX
다소	다소/MAG
낮출	낮추/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
분석이	분석/NNG+이/JKS
제기된다.	제기/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.433.5.3
신경보는 이날 "중앙조직부(인사 담당)가 경제성장률로 지방 관리의 업적을 평가하던 'GDP 영웅론'에서 탈피하겠다는 뜻을 밝혔다"고 전했다.

신경보는	신경보/NNP+는/JX
이날	이날/NNG
"중앙조직부(인사	"/SS+중앙/NNG+조직부/NNG+(/SS+인사/NNG
담당)가	담당/NNG+)/SS+가/JKS
경제성장률로	경제/NNG+성장/NNG+률/XSN+로/JKB
지방	지방/NNG
관리의	관리/NNG+의/JKG
업적을	업적/NNG+을/JKO
평가하던	평가/NNG+하/XSV+던/ETM
'GDP	'/SS+GDP/SL
영웅론'에서	영웅/NNG+론/XSN+'/SS+에서/JKB
탈피하겠다는	탈피/NNG+하/XSV+겠/EP+다는/ETM
뜻을	뜻/NNG+을/JKO
밝혔다"고	밝히/VV+었/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.433.6.1
또 공산당 정치국 회의는 지난 3일 "스모그 등 환경오염을 유발하는 성장 방식도 바꿔야 한다"고 결의했다.

또	또/MAG
공산당	공산당/NNP
정치국	정치국/NNG
회의는	회의/NNG+는/JX
지난	지나/VV+ㄴ/ETM
3일	3/SN+일/NNB
"스모그	"/SS+스모그/NNG
등	등/NNB
환경오염을	환경/NNG+오염/NNG+을/JKO
유발하는	유발/NNG+하/XSV+는/ETM
성장	성장/NNG
방식도	방식/NNG+도/JX
바꿔야	바꾸/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
결의했다.	결의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.433.6.2
시진핑 지도부의 '반(反)부패 운동'도 중국 소비시장에 영향을 줄 수 있다.

시진핑	시진핑/NNP
지도부의	지도부/NNG+의/JKG
'반(反)부패	'/SS+반/XPN+(/SS+反/SH+)/SS+부패/NNG
운동'도	운동/NNG+'/SS+도/JX
중국	중국/NNP
소비시장에	소비/NNG+시장/NNG+에/JKB
영향을	영향/NNG+을/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.433.6.3
중국의 내년도 GDP 성장률 목표가 7%로 하향 조정될 것이란 분석은 이런 맥락에서 나온다.

중국의	중국/NNP+의/JKG
내년도	내년도/NNG
GDP	GDP/SL
성장률	성장/NNG+률/XSN
목표가	목표/NNG+가/JKS
7%로	7/SN+%/SW+로/JKB
하향	하향/NNG
조정될	조정/NNG+되/XSV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
분석은	분석/NNG+은/JX
이런	이런/MMD
맥락에서	맥락/NNG+에서/JKB
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.433.6.4
성장을 다소 희생하더라도 경제 구조조정 등 개혁에 매진할 것이란 관측이다.

성장을	성장/NNG+을/JKO
다소	다소/MAG
희생하더라도	희생/NNG+하/XSV+더라도/EC
경제	경제/NNG
구조조정	구조/NNG+조정/NNG
등	등/NNB
개혁에	개혁/NNG+에/JKB
매진할	매진/NNG+하/XSV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
관측이다.	관측/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.433.7.1
그러나 중국 사회과학원은 "내년도 GDP 성장률 목표는 7.5%"라고 예측했다.

그러나	그러나/MAJ
중국	중국/NNP
사회과학원은	사회/NNG+과학원/NNG+은/JX
"내년도	"/SS+내년도/NNG
GDP	GDP/SL
성장률	성장/NNG+률/XSN
목표는	목표/NNG+는/JX
7.5%"라고	7/SN+./SP+5/SN+%/SW+"/SS+라고/JKQ
예측했다.	예측/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.433.7.2
사회 안정 등을 위해 성장률을 유지할 필요가 있다는 것이다.

사회	사회/NNG
안정	안정/NNG
등을	등/NNB+을/JKO
위해	위하/VV+아/EC
성장률을	성장/NNG+률/XSN+을/JKO
유지할	유지/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다는	있/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.433.7.3
중국 경제를 총괄하는 리커창(李克强) 총리는 최근 "중국 경제성장률이 7.2%를 유지하면 연간 1000만개의 일자리를 창출해 도시 지역 실업률을 4% 수준으로 관리할 수 있다"고 했었다.

중국	중국/NNP
경제를	경제/NNG+를/JKO
총괄하는	총괄/NNG+하/XSV+는/ETM
리커창(李克强)	리커창/NNP+(/SS+李克强/SH+)/SS
총리는	총리/NNG+는/JX
최근	최근/NNG
"중국	"/SS+중국/NNP
경제성장률이	경제/NNG+성장/NNG+률/XSN+이/JKS
7.2%를	7/SN+./SP+2/SN+%/SW+를/JKO
유지하면	유지/NNG+하/XSV+면/EC
연간	연간/NNG
1000만개의	1000/SN+만/NR+개/NNB+의/JKG
일자리를	일자리/NNG+를/JKO
창출해	창출/NNG+하/XSV+아/EC
도시	도시/NNG
지역	지역/NNG
실업률을	실업/NNG+률/XSN+을/JKO
4%	4/SN+%/SW
수준으로	수준/NNG+으로/JKB
관리할	관리/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
했었다.	하/VV+았었/EP+다/EF+./SF


# id : NWRW1800000038.433.7.4
전병서 경희대 교수는 "내년 성장률을 발표한다면 7.5%로 갈 확률이 높다"며 "7%는 외부에서 볼 때 중국 경제에 대한 우려를 심어줄 수 있기 때문"이라고 말했다.

전병서	전병서/NNP
경희대	경희대/NNP
교수는	교수/NNG+는/JX
"내년	"/SS+내년/NNG
성장률을	성장/NNG+률/XSN+을/JKO
발표한다면	발표/NNG+하/XSV+ㄴ다면/EC
7.5%로	7/SN+./SP+5/SN+%/SW+로/JKB
갈	가/VV+ㄹ/ETM
확률이	확률/NNG+이/JKS
높다"며	높/VA+다/EF+"/SS+며/EC
"7%는	"/SS+7/SN+%/SW+는/JX
외부에서	외부/NNG+에서/JKB
볼	보/VV+ㄹ/ETM
때	때/NNG
중국	중국/NNP
경제에	경제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
우려를	우려/NNG+를/JKO
심어줄	심/VV+어/EC+주/VX+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문"이라고	때문/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.433.7.5
중국이 이번 회의에서 구체적인 목표치를 밝히지 않고 '7~7.5% 수준'이라고 얼버무릴 가능성도 있다.

중국이	중국/NNP+이/JKS
이번	이번/NNG
회의에서	회의/NNG+에서/JKB
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
목표치를	목표/NNG+치/XSN+를/JKO
밝히지	밝히/VV+지/EC
않고	않/VX+고/EC
'7~7.5%	'/SS+7/SN+~/SO+7/SN+./SP+5/SN+%/SW
수준'이라고	수준/NNG+'/SS+이라고/JKQ
얼버무릴	얼버무리/VV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.433.7.6
리 총리는 "중국은 7~7.5% 수준의 중·고 성장률 시대로 진입했다"고 밝힌 바 있다.

리	리/NNP
총리는	총리/NNG+는/JX
"중국은	"/SS+중국/NNP+은/JX
7~7.5%	7/SN+~/SO+7/SN+./SP+5/SN+%/SW
수준의	수준/NNG+의/JKG
중·고	중/NNG+·/SP+고/NNG
성장률	성장/NNG+률/XSN
시대로	시대/NNG+로/JKB
진입했다"고	진입/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.433.8.1
베이징의 정가 소식통은 이날 "중국 지방정부의 부채 문제가 집중적으로 논의될 수 있다"고 말했다.

베이징의	베이징/NNP+의/JKG
정가	정가/NNG
소식통은	소식통/NNG+은/JX
이날	이날/NNG
"중국	"/SS+중국/NNP
지방정부의	지방/NNG+정부/NNG+의/JKG
부채	부채/NNG
문제가	문제/NNG+가/JKS
집중적으로	집중/NNG+적/XSN+으로/JKB
논의될	논의/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.433.8.2
중국 정부가 공식적으로 밝힌 지방부채는 2010년 말 기준 10조7000억위안이다.

중국	중국/NNP
정부가	정부/NNG+가/JKS
공식적으로	공식/NNG+적/XSN+으로/JKB
밝힌	밝히/VV+ㄴ/ETM
지방부채는	지방/NNG+부채/NNG+는/JX
2010년	2010/SN+년/NNB
말	말/NNB
기준	기준/NNG
10조7000억위안이다.	10/SN+조/NR+7000/SN+억/NR+위안/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.433.8.3
그러나 올해 부채 규모는 20조위안을 넘어 중국 전체 GDP의 40%에 육박할 것이란 분석이 많다.

그러나	그러나/MAJ
올해	올해/NNG
부채	부채/NNG
규모는	규모/NNG+는/JX
20조위안을	20/SN+조/NR+위안/NNB+을/JKO
넘어	넘/VV+어/EC
중국	중국/NNP
전체	전체/NNG
GDP의	GDP/SL+의/JKG
40%에	40/SN+%/SW+에/JKB
육박할	육박/NNG+하/XSV+ㄹ/ETM
것이란	것/NNB+이/VCP+란/ETM
분석이	분석/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000038.433.9.1
중국 심계서(감사원)는 지난 8월 지방정부 부채에 대한 일제 조사를 시작했으며 최근 전체 부채 규모를 파악한 것으로 알려졌다.

중국	중국/NNP
심계서(감사원)는	심계서/NNP+(/SS+감사원/NNG+)/SS+는/JX
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
지방정부	지방/NNG+정부/NNG
부채에	부채/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
일제	일제/NNG
조사를	조사/NNG+를/JKO
시작했으며	시작/NNG+하/XSV+았/EP+으며/EC
최근	최근/NNG
전체	전체/NNG
부채	부채/NNG
규모를	규모/NNG+를/JKO
파악한	파악/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.433.9.2
소식통은 "새 지도부는 지방정부 간의 과도한 GDP 성장률 경쟁이 과잉 생산 등의 문제를 불러온 것으로 본다"며 "지방정부 재정 건전성 확보가 이번 회의의 주요 이슈가 됐을 것"이라고 말했다.

소식통은	소식통/NNG+은/JX
"새	"/SS+새/MMA
지도부는	지도부/NNG+는/JX
지방정부	지방/NNG+정부/NNG
간의	간/NNB+의/JKG
과도한	과도/NNG+하/XSA+ㄴ/ETM
GDP	GDP/SL
성장률	성장/NNG+률/XSN
경쟁이	경쟁/NNG+이/JKS
과잉	과잉/NNG
생산	생산/NNG
등의	등/NNB+의/JKG
문제를	문제/NNG+를/JKO
불러온	불러오/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
본다"며	보/VV+ㄴ다/EF+"/SS+며/EC
"지방정부	"/SS+지방/NNG+정부/NNG
재정	재정/NNG
건전성	건전/NNG+성/XSN
확보가	확보/NNG+가/JKS
이번	이번/NNG
회의의	회의/NNG+의/JKG
주요	주요/NNG
이슈가	이슈/NNG+가/JKC
됐을	되/VV+었/EP+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.433.9.3
이치훈 국제금융센터 부장은 "중국은 이번 경제공작회의에서 논의한 거시경제 정책과 지표를 내년 3월 전국인민대표대회(전인대)에서 확정한 뒤 발표할 가능성이 크다"고 했다.

이치훈	이치훈/NNP
국제금융센터	국제금융센터/NNP
부장은	부장/NNG+은/JX
"중국은	"/SS+중국/NNP+은/JX
이번	이번/NNG
경제공작회의에서	경제/NNG+공작/NNG+회의/NNG+에서/JKB
논의한	논의/NNG+하/XSV+ㄴ/ETM
거시경제	거시/NNG+경제/NNG
정책과	정책/NNG+과/JC
지표를	지표/NNG+를/JKO
내년	내년/NNG
3월	3/SN+월/NNB
전국인민대표대회(전인대)에서	전국인민대표대회/NNP+(/SS+전인대/NNP+)/SS+에서/JKB
확정한	확정/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
발표할	발표/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다"고	크/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


