# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.239
metadata : {}


# id : NWRW1800000024.239.1.1
“작년 국세 감면율, 법정한도 넘겼다”

“작년	“/SS+작년/NNG
축소하고	축소/NNG+하/XSV+고/EC
추가적인	추가/NNG+적/XSN+이/VCP+ㄴ/ETM
감세에	감세/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
신중할	신중/NNG+하/XSA+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.239.4.2
보고서는 또 전국 가구의 가계소득 지니계수가 2006년 0.338, 2007년 0.344, 2008년 0.348로 계속 증가하는 등 소득 격차가 심화했다고 밝혔다.

보고서는	보고서/NNG+는/JX
또	또/MAG
전국	전국/NNG
가구의	가구/NNG+의/JKG
가계소득	가계/NNG+소득/NNG
지니계수가	지니/NNG+계수/NNG+가/JKS
2006년	2006/SN+년/NNB
0.338,	0/SN+./SP+338/SN+,/SP
2007년	2007/SN+년/NNB
0.344,	0/SN+./SP+344/SN+,/SP
2008년	2008/SN+년/NNB
0.348로	0/SN+./SP+348/SN+로/JKB
계속	계속/MAG
증가하는	증가/NNG+하/XSV+는/ETM
등	등/NNB
소득	소득/NNG
격차가	격차/NNG+가/JKS
심화했다고	심화/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.239.5.1
이에 대해 기획재정부 관계자는 “국가재정법에는 예산에 한정 지어서 국세 감면율의 한도를 정했는데, 예산정책처가 지적한 대로 결산 부분에도 한도가 적용될 수 있는지 법률을 검토하겠다”고 밝혔다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
기획재정부	기획/NNG+재정부/NNG
관계자는	관계자/NNG+는/JX
“국가재정법에는	“/SS+국가/NNG+재정법/NNG+에/JKB+는/JX
예산에	예산/NNG+에/JKB
한정	한정/NNG
지어서	짓/VV+어서/EC
국세	국세/NNG
감면율의	감면/NNG+율/XSN+의/JKG
한도를	한도/NNG+를/JKO
정했는데,	정하/VV+았/EP+는데/EC+,/SP
예산정책처가	예산/NNG+정책처/NNG+가/JKS
지적한	지적/NNG+하/XSV+ㄴ/ETM
대로	대로/NNB
결산	결산/NNG
부분에도	부분/NNG+에/JKB+도/JX
한도가	한도/NNG+가/JKS
적용될	적용/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있는지	있/VA+는지/EC
법률을	법률/NNG+을/JKO
검토하겠다”고	검토/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


