# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.178
metadata : {}


# id : NWRW1800000033.178.1.1
캄보디아서 北종업원 탈출시킨 한국인 체포

캄보디아서	캄보디아/NNP+서/JKB
# id : NWRW1800000033.178.6.3
북측은 문 씨가 사라진 뒤 이 사건에 대한 수사를 요청했고, 한때 김 씨가 한국 국적자라는 이유로 “한국 대사관이 관여한 것 아니냐”고 항의하기도 했다.

북측은	북측/NNG+은/JX
문	문/NNP
씨가	씨/NNB+가/JKS
사라진	사라지/VV+ㄴ/ETM
뒤	뒤/NNG
이	이/MMD
사건에	사건/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
수사를	수사/NNG+를/JKO
요청했고,	요청/NNG+하/XSV+았/EP+고/EC+,/SP
한때	한때/MAG
김	김/NNP
한국	한국/NNP
국적자라는	국적자/NNG+이/VCP+라는/ETM
이유로	이유/NNG+로/JKB
“한국	“/SS+한국/NNP
대사관이	대사관/NNG+이/JKS
관여한	관여/NNG+하/XSV+ㄴ/ETM
것	것/NNB
아니냐”고	아니/VCN+냐/EF+”/SS+고/JKQ
항의하기도	항의/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.178.7.1
김 씨는 문 씨가 실종되기 직전 프놈펜의 한 호텔에서 문 씨와 함께 나가는 장면이 폐쇄회로(CC)TV에 포착된 것으로 알려졌다.

김	김/NNP
씨는	씨/NNB+는/JX
문	문/NNP
씨가	씨/NNB+가/JKS
실종되기	실종/NNG+되/XSV+기/ETN
직전	직전/NNG
프놈펜의	프놈펜/NNP+의/JKG
한	한/MMN
호텔에서	호텔/NNG+에서/JKB
씨와	씨/NNB+와/JKB
함께	함께/MAG
나가는	나가/VV+는/ETM
장면이	장면/NNG+이/JKS
폐쇄회로(CC)TV에	폐쇄/NNG+회로/NNG+(/SS+CC/SL+)/SS+TV/SL+에/JKB
포착된	포착/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.178.7.2
김 씨는 “당시 캄보디아 국경까지만 문 씨와 동행하고 헤어져 이후 행방은 모른다”고 주장하고 있다고 한다.

김	김/NNP
씨는	씨/NNB+는/JX
“당시	“/SS+당시/NNG
캄보디아	캄보디아/NNP
국경까지만	국경/NNG+까지/JX+만/JX
문	문/NNP
씨와	씨/NNB+와/JKB
동행하고	동행/NNG+하/XSV+고/EC
헤어져	헤어지/VV+어/EC
이후	이후/NNG
행방은	행방/NNG+은/JX
모른다”고	모르/VV+ㄴ다/EF+”/SS+고/JKQ
주장하고	주장/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


