# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.214
metadata : {}


# id : NWRW1800000025.214.1.1
[전북]익산시, 청사 신축 대신 리모델링

[전북]익산시,	[/SS+전북/NNP+]/SS+익산시/NNP+,/SP
건립된	건립/NNG+되/XSV+ㄴ/ETM
익산시	익산시/NNP
청사는	청사/NNG+는/JX
2003년	2003/SN+년/NNB
정밀안전진단에서	정밀/NNG+안전/NNG+진단/NNG+에서/JKB
붕괴위험이	붕괴/NNG+위험/NNG+이/JKS
있는	있/VA+는/ETM
D급	D/SL+급/NNG
판정을	판정/NNG+을/JKO
받아	받/VV+아/EC
그동안	그동안/NNG
재건립	재/XPN+건립/NNG
방안이	방안/NNG+이/JKS
거론돼	거론/NNG+되/XSV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.214.4.1
그러나 시는 신축 대신 리모델링을 통해 구조적으로 취약한 건물의 주요 구조부를 철골 H빔과 탄소섬유 보강 공법으로 안정화해 건축물의 상태를 D급에서 C급으로 향상시켰다.

그러나	그러나/MAJ
시는	시/NNG+는/JX
신축	신축/NNG
대신	대신/NNG
리모델링을	리모델링/NNG+을/JKO
통해	통하/VV+아/EC
구조적으로	구조/NNG+적/XSN+으로/JKB
취약한	취약/NNG+하/XSA+ㄴ/ETM
건물의	건물/NNG+의/JKG
주요	주요/NNG
구조부를	구조부/NNG+를/JKO
철골	철골/NNG
H빔과	H/SL+빔/NNG+과/JC
탄소섬유	탄소/NNG+섬유/NNG
보강	보강/NNG
공법으로	공법/NNG+으로/JKB
안정화해	안정/NNG+화/XSN+하/XSV+아/EC
건축물의	건축물/NNG+의/JKG
상태를	상태/NNG+를/JKO
D급에서	D/SL+급/NNG+에서/JKB
C급으로	C/SL+급/NNG+으로/JKB
향상시켰다.	향상/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.214.4.2
또 보수 과정에서 108m²(약 32평)였던 시장 집무실의 크기를 절반인 54m²로, 부시장 집무실은 67.5m²에서 50.5m²로 각각 줄였다.

또	또/MAG
보수	보수/NNG
과정에서	과정/NNG+에서/JKB
108m²(약	108/SN+m²/SW+(/SS+약/MMA
32평)였던	32/SN+평/NNB+)/SS+이/VCP+었/EP+던/ETM
시장	시장/NNG
집무실의	집무실/NNG+의/JKG
크기를	크기/NNG+를/JKO
절반인	절반/NNG+이/VCP+ㄴ/ETM
54m²로,	54/SN+m²/SW+로/JKB+,/SP
부시장	부시장/NNG
집무실은	집무실/NNG+은/JX
67.5m²에서	67/SN+./SP+5/SN+m²/SW+에서/JKB
50.5m²로	50/SN+./SP+5/SN+m²/SW+로/JKB
각각	각각/MAG
줄였다.	줄이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.214.4.3
줄인 공간은 민원상담실로 조성해 현재 상담실 및 소회의실 등으로 활용하고 있다.

줄인	줄이/VV+ㄴ/ETM
공간은	공간/NNG+은/JX
민원상담실로	민원/NNG+상담실/NNG+로/JKB
조성해	조성/NNG+하/XSV+아/EC
현재	현재/MAG
상담실	상담실/NNG
및	및/MAG
소회의실	소/XPN+회의실/NNG
등으로	등/NNB+으로/JKB
활용하고	활용/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.214.5.1
이한수 시장은 “어려운 재정 형편을 고려해 거액을 들여 새 건물을 짓는 대신 리모델링하고 집무실을 축소했다”며 “불필요한 예산을 줄여 일자리를 만드는 데 활용하겠다”고 말했다.

이한수	이한수/NNP
시장은	시장/NNG+은/JX
“어려운	“/SS+어렵/VA+ㄴ/ETM
재정	재정/NNG
형편을	형편/NNG+을/JKO
고려해	고려/NNG+하/XSV+아/EC
거액을	거액/NNG+을/JKO
들여	들이/VV+어/EC
새	새/MMA
건물을	건물/NNG+을/JKO
짓는	짓/VV+는/ETM
대신	대신/NNG
리모델링하고	리모델링/NNG+하/XSV+고/EC
집무실을	집무실/NNG+을/JKO
축소했다”며	축소/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“불필요한	“/SS+불/XPN+필요/NNG+하/XSA+ㄴ/ETM
예산을	예산/NNG+을/JKO
줄여	줄이/VV+어/EC
일자리를	일자리/NNG+를/JKO
만드는	만들/VV+는/ETM
데	데/NNB
활용하겠다”고	활용/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


