# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.337
metadata : {}


# id : NWRW1800000030.337.1.1
'나경원 지원' 뜸들이는 박근혜, 왜?

'나경원	'/SS+나경원/NNP
전	전/MMD
대표는	대표/NNG+는/JX
서울시의	서울시/NNP+의/JKG
무상급식	무상/NNG+급식/NNG
주민투표(8월	주민/NNG+투표/NNG+(/SS+8/SN+월/NNB
24일)가	24/SN+일/NNB+)/SS+가/JKS
무산된	무산/NNG+되/XSV+ㄴ/ETM
직후인	직후/NNG+이/VCP+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
31일	31/SN+일/NNB
서울시장	서울시장/NNG
보선	보선/NNG
지원	지원/NNG
가능성에	가능/NNG+성/XSN+에/JKB
대해	대하/VV+아/EC
"복지에	"/SS+복지/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
당의	당/NNG+의/JKG
방향,	방향/NNG+,/SP
정책이	정책/NNG+이/JKS
재정립돼	재/XPN+정립/NNG+되/XSV+어/EC
당론이	당론/NNG+이/JKS
정리되는	정리/NNG+되/XSV+는/ETM
게	거/NNB+이/JKS
우선"이라고	우선/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.337.4.3
따지고 보면 박 전 대표의 대선 전략에서 10·26 서울시장 보선(補選)은 예상치 못했던 돌발 변수다.

따지고	따지/VV+고/EC
보면	보/VX+면/EC
박	박/NNP
전	전/MMD
대표의	대표/NNG+의/JKG
대선	대선/NNG
전략에서	전략/NNG+에서/JKB
10·26	10/SN+·/SP+26/SN
서울시장	서울시장/NNG
보선(補選)은	보선/NNG+(/SS+補選/SH+)/SS+은/JX
예상치	예상/NNG+하/XSV+지/EC
못했던	못하/VX+았/EP+던/ETM
돌발	돌발/NNG
변수다.	변수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.337.5.1
박 전 대표는 오세훈 전 시장의 무상급식 반대 주민투표에 처음부터 부정적이었다.

박	박/NNP
전	전/MMD
대표는	대표/NNG+는/JX
오세훈	오세훈/NNP
시장의	시장/NNG+의/JKG
무상급식	무상/NNG+급식/NNG
반대	반대/NNG
주민투표에	주민/NNG+투표/NNG+에/JKB
처음부터	처음/NNG+부터/JX
부정적이었다.	부정/NNG+적/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.337.5.2
"재정자립도 1위인 서울시가 주민투표까지 하면서 반대할 사안은 아니었다"는 것이다.

"재정자립도	"/SS+재정/NNG+자립도/NNG
1위인	1/SN+위/NNB+이/VCP+ㄴ/ETM
서울시가	서울시/NNP+가/JKS
주민투표까지	주민/NNG+투표/NNG+까지/JX
하면서	하/VV+면서/EC
반대할	반대/NNG+하/XSV+ㄹ/ETM
사안은	사안/NNG+은/JX
아니었다"는	아니/VCN+었/EP+다/EF+"/SS+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.337.5.3
반면 나 후보는 서울시의 무상급식 주민투표 지원에 앞장서 왔다.

반면	반면/NNG
나	나/NNP
후보는	후보/NNG+는/JX
서울시의	서울시/NNP+의/JKG
무상급식	무상/NNG+급식/NNG
주민투표	주민/NNG+투표/NNG
지원에	지원/NNG+에/JKB
앞장서	앞장서/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.337.5.4
이래저래 박 전 대표가 선뜻 나서기 힘든 상황으로 진행돼 왔다는 것이다.

이래저래	이래저래/MAG
박	박/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
선뜻	선뜻/MAG
나서기	나서/VV+기/ETN
힘든	힘들/VA+ㄴ/ETM
상황으로	상황/NNG+으로/JKB
진행돼	진행/NNG+되/XSV+어/EC
왔다는	오/VX+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.337.6.1
그런데도 당 안팎에서 박 전 대표의 선거 지원 압박이 거세지자 박 전 대표는 이번 기회에 자신의 복지정책과 엇박자를 보여온 한나라당의 '복지 당론'을 정리하고, 선거 지원에 나서도 나서겠다는 쪽으로 입장을 정리했다고 한다.

그런데도	그런데/MAJ+도/JX
당	당/NNG
안팎에서	안팎/NNG+에서/JKB
박	박/NNP
전	전/MMD
대표의	대표/NNG+의/JKG
선거	선거/NNG
지원	지원/NNG
압박이	압박/NNG+이/JKS
거세지자	거세지/VV+자/EC
대표는	대표/NNG+는/JX
이번	이번/NNG
기회에	기회/NNG+에/JKB
자신의	자신/NNG+의/JKG
복지정책과	복지/NNG+정책/NNG+과/JKB
엇박자를	엇박자/NNG+를/JKO
보여온	보이/VV+어/EC+오/VX+ㄴ/ETM
한나라당의	한나라당/NNP+의/JKG
'복지	'/SS+복지/NNG
당론'을	당론/NNG+'/SS+을/JKO
정리하고,	정리/NNG+하/XSV+고/EC+,/SP
지원에	지원/NNG+에/JKB
나서도	나서/VV+어도/EC
나서겠다는	나서/VV+겠/EP+다는/ETM
쪽으로	쪽/NNB+으로/JKB
입장을	입장/NNG+을/JKO
정리했다고	정리/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.337.6.2
친박 관계자는 "복지는 남북문제와 더불어 그동안 박 전 대표가 가장 준비를 많이해 온 분야이자 대선의 핵심 전략"이라고 했다.

친박	친/XPN+박/NNP
관계자는	관계자/NNG+는/JX
"복지는	"/SS+복지/NNG+는/JX
남북문제와	남북문제/NNG+와/JKB
더불어	더불/VV+어/EC
그동안	그동안/NNG
박	박/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
가장	가장/MAG
준비를	준비/NNG+를/JKO
많이해	많이/MAG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
분야이자	분야/NNG+이/VCP+자/EC
대선의	대선/NNG+의/JKG
핵심	핵심/NNG
전략"이라고	전략/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.337.7.1
일각에서는 박 전 대표가 같은 여성 후보인 나 후보에 대해 거부감을 갖고 있어서 선뜻 선거 지원 결정을 내리지 못한다는 말도 나온다.

일각에서는	일각/NNG+에서/JKB+는/JX
박	박/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
같은	같/VA+은/ETM
여성	여성/NNG
후보인	후보/NNG+이/VCP+ㄴ/ETM
나	나/NNP
후보에	후보/NNG+에/JKB
대해	대하/VV+아/EC
거부감을	거부감/NNG+을/JKO
갖고	갖/VV+고/EC
있어서	있/VX+어서/EC
선뜻	선뜻/MAG
선거	선거/NNG
지원	지원/NNG
결정을	결정/NNG+을/JKO
내리지	내리/VV+지/EC
못한다는	못하/VX+ㄴ다는/ETM
말도	말/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.337.7.2
실제 일부 친박 인사는 나 후보가 최근 "첫 여성 서울시장이 첫 여성 대통령의 길을 열겠다"고 했을 때 적잖은 불쾌감을 보이기도 했다.

실제	실제/MAG
일부	일부/NNG
친박	친/XPN+박/NNP
인사는	인사/NNG+는/JX
나	나/NNP
후보가	후보/NNG+가/JKS
최근	최근/MAG
"첫	"/SS+첫/MMN
여성	여성/NNG
서울시장이	서울시장/NNG+이/JKS
첫	첫/MMN
대통령의	대통령/NNG+의/JKG
길을	길/NNG+을/JKO
열겠다"고	열/VV+겠/EP+다/EF+"/SS+고/JKQ
했을	하/VV+았/EP+을/ETM
때	때/NNG
적잖은	적잖/VA+은/ETM
불쾌감을	불쾌감/NNG+을/JKO
보이기도	보이/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.337.8.1
그러나 친박 관계자는 "박 전 대표는 그런 문제에 전혀 개의치 않으며 오히려 여성 후보의 등장을 반긴다"고 했다.

그러나	그러나/MAJ
친박	친/XPN+박/NNP
관계자는	관계자/NNG+는/JX
"박	"/SS+박/NNP
전	전/MMD
대표는	대표/NNG+는/JX
그런	그런/MMD
문제에	문제/NNG+에/JKB
전혀	전혀/MAG
개의치	개의/NNG+하/XSV+지/EC
않으며	않/VX+으며/EC
오히려	오히려/MAG
여성	여성/NNG
후보의	후보/NNG+의/JKG
등장을	등장/NNG+을/JKO
반긴다"고	반기/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


