# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.146
metadata : {}


# id : NWRW1800000045.146.1.1
“이중환의 ‘택리지’는 구비문학과 스토리텔링의 보고”

“이중환의	“/SS+이중환/NNP+의/JKG
줄지어	줄짓/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.146.3.6
호수 밑바닥에는 아직도 기와 조각과 그릇 따위가 있어서 자맥질하는 이들이 가끔 줍는다.” 》

호수	호수/NNG
밑바닥에는	밑바닥/NNG+에/JKB+는/JX
아직도	아직/MAG+도/JX
기와	기와/NNG
조각과	조각/NNG+과/JC
그릇	그릇/NNG
따위가	따위/NNB+가/JKS
있어서	있/VA+어서/EC
자맥질하는	자맥질/NNG+하/XSV+는/ETM
이들이	이/NNB+들/XSN+이/JKS
가끔	가끔/MAG
줍는다.”	줍/VV+는다/EF+./SF+”/SS
》	》/SS


# id : NWRW1800000045.146.4.1
이 얘기는 강원 강릉시 경포호에 얽힌 전설로 조선 후기 이중환(1690∼1752)이 쓴 택리지(擇里志)에 나온다.

이	이/MMD
얘기는	얘기/NNG+는/JX
강원	강원/NNP
강릉시	강릉시/NNP
경포호에	경포호/NNP+에/JKB
얽힌	얽히/VV+ㄴ/ETM
전설로	전설/NNG+로/JKB
조선	조선/NNP
후기	후기/NNG
이중환(1690∼1752)이	이중환/NNP+(/SS+1690/SN+∼/SO+1752/SN+)/SS+이/JKS
쓴	쓰/VV+ㄴ/ETM
택리지(擇里志)에	택리지/NNP+(/SS+擇里志/SH+)/SS+에/JKB
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.146.4.2
인색한 부자가 스님에게 똥을 시주했다가 벌을 받아 집이 연못이 됐다는 ‘장자못’ 전설은 전국 곳곳의 호수에도 전해 내려오지만 이 전설은 조개와 관련된 점이 특별하다.

인색한	인색/NNG+하/XSA+ㄴ/ETM
부자가	부자/NNG+가/JKS
스님에게	스님/NNG+에게/JKB
똥을	똥/NNG+을/JKO
시주했다가	시주/NNG+하/XSV+았/EP+다가/EC
벌을	벌/NNG+을/JKO
받아	받/VV+아/EC
집이	집/NNG+이/JKS
연못이	연못/NNG+이/JKC
됐다는	되/VV+었/EP+다는/ETM
‘장자못’	‘/SS+장자못/NNP+’/SS
전설은	전설/NNG+은/JX
전국	전국/NNG
곳곳의	곳곳/NNG+의/JKG
호수에도	호수/NNG+에/JKB+도/JX
전해	전하/VV+아/EC
내려오지만	내려오/VV+지만/EC
이	이/MMD
조개와	조개/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
점이	점/NNG+이/JKS
특별하다.	특별/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000045.146.5.1
1751년 저술된 최초의 인문지리서 택리지의 문학적 성격에 주목한 논문이 처음 나왔다.

1751년	1751/SN+년/NNB
저술된	저술/NNG+되/XSV+ㄴ/ETM
최초의	최초/NNG+의/JKG
인문지리서	인문/NNG+지리서/NNG
택리지의	택리지/NNP+의/JKG
문학적	문학/NNG+적/XSN
성격에	성격/NNG+에/JKB
주목한	주목/NNG+하/XSV+ㄴ/ETM
논문이	논문/NNG+이/JKS
처음	처음/NNG
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.146.5.2
16일 서울 성균관대에서 경기도 실학박물관과 성균관대 대동문화연구원이 공동 주최한 심포지엄 ‘사람과 땅, 택리지가 그리는 인문지리’에서 안대회 성균관대 한문학과 교수는 “각 지역의 전설과 설화를 적극 기록한 택리지는 구비문학과 스토리텔링의 보고(寶庫)”라고 말했다.

16일	16/SN+일/NNB
서울	서울/NNP
성균관대에서	성균관대/NNP+에서/JKB
경기도	경기도/NNP
실학박물관과	실학/NNG+박물관/NNG+과/JC
성균관대	성균관대/NNP
대동문화연구원이	대동문화연구원/NNP+이/JKS
공동	공동/NNG
주최한	주최/NNG+하/XSV+ㄴ/ETM
심포지엄	심포지엄/NNG
‘사람과	‘/SS+사람/NNG+과/JC
땅,	땅/NNG+,/SP
택리지가	택리지/NNP+가/JKS
그리는	그리/VV+는/ETM
인문지리’에서	인문/NNG+지리/NNG+’/SS+에서/JKB
안대회	안대회/NNP
한문학과	한문학과/NNG
교수는	교수/NNG+는/JX
“각	“/SS+각/MMD
지역의	지역/NNG+의/JKG
전설과	전설/NNG+과/JC
설화를	설화/NNG+를/JKO
적극	적극/NNG
기록한	기록/NNG+하/XSV+ㄴ/ETM
택리지는	택리지/NNP+는/JX
구비문학과	구비/NNG+문학/NNG+과/JC
스토리텔링의	스토리텔링/NNG+의/JKG
보고(寶庫)”라고	보고/NNG+(/SS+寶庫/SH+)/SS+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.146.6.1
안 교수의 발표문 ‘택리지의 구전 지식 반영과 지역전설 서술’에 따르면 택리지에 줄거리가 조리 있고 분량이 일정 수준 이상인 전설은 약 40개다.

안	안/NNP
교수의	교수/NNG+의/JKG
발표문	발표문/NNG
‘택리지의	‘/SS+택리지/NNP+의/JKG
구전	구전/NNG
지식	지식/NNG
반영과	반영/NNG+과/JC
지역전설	지역/NNG+전설/NNG
서술’에	서술/NNG+’/SS+에/JKB
따르면	따르/VV+면/EC
택리지에	택리지/NNP+에/JKB
줄거리가	줄거리/NNG+가/JKS
조리	조리/NNG
있고	있/VA+고/EC
분량이	분량/NNG+이/JKS
일정	일정/NNG
수준	수준/NNG
이상인	이상/NNG+이/VCP+ㄴ/ETM
전설은	전설/NNG+은/JX
약	약/MMA
40개다.	40/SN+개/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.146.6.2
개중에는 지금은 전해지지 않는 얘기도 적지 않다.

개중에는	개중/NNG+에/JKB+는/JX
지금은	지금/NNG+은/JX
전해지지	전하/VV+아/EC+지/VX+지/EC
않는	않/VX+는/ETM
얘기도	얘기/NNG+도/JX
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000045.146.7.1
“강경에 채운산 한 개 봉우리가 들판 가운데 우뚝 솟아 있다.

“강경에	“/SS+강경/NNP+에/JKB
채운산	채운산/NNP
한	한/MMN
개	개/NNB
봉우리가	봉우리/NNG+가/JKS
들판	들판/NNG
가운데	가운데/NNG
우뚝	우뚝/MAG
솟아	솟/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.146.7.2
봉우리 위에는 정기를 길러주는 영천(靈泉)이 있어서 백제 때 의자왕이 연회를 베풀며 놀던 곳이라 전해 온다.”

봉우리	봉우리/NNG
위에는	위/NNG+에/JKB+는/JX
정기를	정기/NNG+를/JKO
길러주는	기르/VV+어/EC+주/VX+는/ETM
영천(靈泉)이	영천/NNG+(/SS+靈泉/SH+)/SS+이/JKS
있어서	있/VA+어서/EC
백제	백제/NNP
때	때/NNG
의자왕이	의자왕/NNP+이/JKS
연회를	연회/NNG+를/JKO
베풀며	베풀/VV+며/EC
놀던	놀/VV+던/ETM
곳이라	곳/NNG+이/VCP+라/EC
전해	전하/VV+아/EC
온다.”	오/VX+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000045.146.8.1
충남 논산시 강경읍 채운산에 관한 서술이다.

충남	충남/NNP
논산시	논산시/NNP
강경읍	강경읍/NNP
채운산에	채운산/NNP+에/JKB
관한	관하/VV+ㄴ/ETM
서술이다.	서술/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.146.8.2
백마강 주변 명승들에 의자왕이 연회를 열었다고 전해지는 곳이 꽤 많지만 지금 채운산에는 관련 전설이 없다.

백마강	백마강/NNP
주변	주변/NNG
명승들에	명승/NNG+들/XSN+에/JKB
의자왕이	의자왕/NNP+이/JKS
연회를	연회/NNG+를/JKO
열었다고	열/VV+었/EP+다고/EC
전해지는	전하/VV+아/EC+지/VX+는/ETM
곳이	곳/NNG+이/JKS
꽤	꽤/MAG
많지만	많/VA+지만/EC
지금	지금/MAG
채운산에는	채운산/NNP+에/JKB+는/JX
관련	관련/NNG
전설이	전설/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000045.146.8.3
그는 “이 지역에는 우물이 없어 땅에 독을 묻어 빗물을 침전시켰다가 마시는데, 물맛이 좋고 병이 낫는다”는 얘기도 실었다.

그는	그/NP+는/JX
“이	“/SS+이/MMD
지역에는	지역/NNG+에/JKB+는/JX
우물이	우물/NNG+이/JKS
없어	없/VA+어/EC
땅에	땅/NNG+에/JKB
독을	독/NNG+을/JKO
묻어	묻/VV+어/EC
빗물을	빗물/NNG+을/JKO
침전시켰다가	침전/NNG+시키/XSV+었/EP+다가/EC
마시는데,	마시/VV+는데/EC+,/SP
물맛이	물맛/NNG+이/JKS
좋고	좋/VA+고/EC
병이	병/NNG+이/JKS
낫는다”는	낫/VV+는다/EF+”/SS+는/ETM
얘기도	얘기/NNG+도/JX
실었다.	싣/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.146.8.4
안 교수는 “이중환이 강경에 상당 기간 머물렀던 적이 있다”며 “택리지에는 이중환이 현지에서 직접 채록한 이야기가 대부분”이라고 말했다.

안	안/NNP
교수는	교수/NNG+는/JX
“이중환이	“/SS+이중환/NNP+이/JKS
강경에	강경/NNP+에/JKB
상당	상당/NNG
기간	기간/NNG
머물렀던	머무르/VV+었/EP+던/ETM
적이	적/NNB+이/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“택리지에는	“/SS+택리지/NNP+에/JKB+는/JX
이중환이	이중환/NNP+이/JKS
현지에서	현지/NNG+에서/JKB
직접	직접/MAG
채록한	채록/NNG+하/XSV+ㄴ/ETM
이야기가	이야기/NNG+가/JKS
대부분”이라고	대/XPN+부분/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.146.9.1
택리지에 은둔자에 관한 전설이 많다는 것도 주목된다.

택리지에	택리지/NNP+에/JKB
은둔자에	은둔자/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
전설이	전설/NNG+이/JKS
많다는	많/VA+다는/ETM
것도	것/NNB+도/JX
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.146.9.2
그중에서도 통일신라 말기 학자 최치원과 관련된 얘기가 여섯 군데나 나온다.

그중에서도	그중/NNG+에서/JKB+도/JX
통일신라	통일신라/NNP
말기	말기/NNG
학자	학자/NNG
최치원과	최치원/NNP+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
얘기가	얘기/NNG+가/JKS
여섯	여섯/NR
군데나	군데/NNB+나/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.146.9.3
택리지는 경남 남해군을 설명하며 “섬 안에는 금산(錦山)이 있고, 그 골짜기는 바로 최고운(孤雲은 최치원의 자)이 노닐던 곳이며, 고운이 쓴 큰 글씨가 아직도 석벽에 남아 있다”고 적었다.

택리지는	택리지/NNP+는/JX
경남	경남/NNP
남해군을	남해군/NNP+을/JKO
설명하며	설명/NNG+하/XSV+며/EC
“섬	“/SS+섬/NNG
안에는	안/NNG+에/JKB+는/JX
금산(錦山)이	금산/NNP+(/SS+錦山/SH+)/SS+이/JKS
있고,	있/VA+고/EC+,/SP
그	그/MMD
골짜기는	골짜기/NNG+는/JX
바로	바로/MAG
최고운(孤雲은	최/NNP+고운/NNP+(/SS+孤雲/SH+은/JX
최치원의	최치원/NNP+의/JKG
자)이	자/NNG+)/SS+이/JKS
노닐던	노닐/VV+던/ETM
곳이며,	곳/NNG+이/VCP+며/EC+,/SP
고운이	고운/NNP+이/JKS
쓴	쓰/VV+ㄴ/ETM
큰	크/VA+ㄴ/ETM
글씨가	글씨/NNG+가/JKS
아직도	아직/MAG+도/JX
석벽에	석벽/NNG+에/JKB
남아	남/VV+아/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
적었다.	적/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.146.9.4
안 교수는 “최치원은 정치·경제적 지위를 상실한 사대부가 서울을 벗어나 살 만한 곳(士大夫可居處)을 찾을 때 참고한 가장 오래되고 전형적인 모델”이라며 “남인 간관(諫官)으로 투옥을 거듭하다 평생 금고(禁錮·벼슬에 나아가지 못하는 벌) 된 이중환 자신의 처지도 택리지 서술에 투영됐다”고 말했다.

안	안/NNP
교수는	교수/NNG+는/JX
“최치원은	“/SS+최치원/NNP+은/JX
정치·경제적	정치/NNG+·/SP+경제/NNG+적/XSN
지위를	지위/NNG+를/JKO
상실한	상실/NNG+하/XSV+ㄴ/ETM
사대부가	사대부/NNG+가/JKS
서울을	서울/NNP+을/JKO
벗어나	벗어나/VV+아/EC
살	살/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
곳(士大夫可居處)을	곳/NNG+(/SS+士大夫可居處/SH+)/SS+을/JKO
찾을	찾/VV+을/ETM
때	때/NNG
참고한	참고/NNG+하/XSV+ㄴ/ETM
가장	가장/MAG
오래되고	오래/MAG+되/XSA+고/EC
전형적인	전형/NNG+적/XSN+이/VCP+ㄴ/ETM
모델”이라며	모델/NNG+”/SS+이/VCP+라며/EC
“남인	“/SS+남인/NNG
간관(諫官)으로	간관/NNG+(/SS+諫官/SH+)/SS+으로/JKB
투옥을	투옥/NNG+을/JKO
거듭하다	거듭/MAG+하/XSV+다/EC
평생	평생/NNG
금고(禁錮·벼슬에	금고/NNG+(/SS+禁錮/SH+·/SP+벼슬/NNG+에/JKB
나아가지	나아가/VV+지/EC
못하는	못하/VX+는/ETM
벌)	벌/NNG+)/SS
된	되/VV+ㄴ/ETM
이중환	이중환/NNP
자신의	자신/NNG+의/JKG
처지도	처지/NNG+도/JX
택리지	택리지/NNP
서술에	서술/NNG+에/JKB
투영됐다”고	투영/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.146.10.1
최근 산책로로 사랑받는 서울 성곽에 얽힌 얘기도 흥미롭다.

최근	최근/NNG
산책로로	산책로/NNG+로/JKB
사랑받는	사랑/NNG+받/XSV+는/ETM
서울	서울/NNP
성곽에	성곽/NNG+에/JKB
얽힌	얽히/VV+ㄴ/ETM
얘기도	얘기/NNG+도/JX
흥미롭다.	흥미/NNG+롭/XSA+다/EF+./SF


# id : NWRW1800000045.146.10.2
택리지에는 “외성을 쌓으려고 했으나 둘레를 미처 못 정했다.

택리지에는	택리지/NNP+에/JKB+는/JX
“외성을	“/SS+외성/NNG+을/JKO
쌓으려고	쌓/VV+으려고/EC
했으나	하/VX+았/EP+으나/EC
둘레를	둘레/NNG+를/JKO
미처	미처/MAG
못	못/MAG
정했다.	정하/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.146.10.3
어느 밤 큰눈이 내렸는데 바깥쪽은 눈이 쌓이고 안쪽은 녹았다.

어느	어느/MMD
밤	밤/NNG
큰눈이	크/VA+ㄴ/ETM+눈/NNG+이/JKS
내렸는데	내리/VV+었/EP+는데/EC
바깥쪽은	바깥쪽/NNG+은/JX
눈이	눈/NNG+이/JKS
쌓이고	쌓이/VV+고/EC
안쪽은	안쪽/NNG+은/JX
녹았다.	녹/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.146.10.4
태조가 기이하게 여겨 눈을 따라 성터를 정하도록 명했다”고 나온다.

태조가	태조/NNP+가/JKS
기이하게	기이하/VA+게/EC
여겨	여기/VV+어/EC
눈을	눈/NNG+을/JKO
따라	따르/VV+아/EC
성터를	성터/NNG+를/JKO
정하도록	정하/VV+도록/EC
명했다”고	명/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.146.11.1
안 교수는 “이중환은 신이성(神異性)과 허구성을 경계하는 사대부 의식, 유가적 합리성에서 벗어나 사라질 뻔한 이야기들을 적극적으로 채록한 구비문학의 기여자”라고 강조했다.

안	안/NNP
교수는	교수/NNG+는/JX
“이중환은	“/SS+이중환/NNP+은/JX
신이성(神異性)과	신이성/NNG+(/SS+神異性/SH+)/SS+과/JC
허구성을	허구/NNG+성/XSN+을/JKO
경계하는	경계/NNG+하/XSV+는/ETM
사대부	사대부/NNG
의식,	의식/NNG+,/SP
유가적	유가/NNG+적/XSN
합리성에서	합리/NNG+성/XSN+에서/JKB
벗어나	벗어나/VV+아/EC
사라질	사라지/VV+ㄹ/ETM
뻔한	뻔/NNB+하/XSA+ㄴ/ETM
이야기들을	이야기/NNG+들/XSN+을/JKO
적극적으로	적극/NNG+적/XSN+으로/JKB
채록한	채록/NNG+하/XSV+ㄴ/ETM
구비문학의	구비/NNG+문학/NNG+의/JKG
기여자”라고	기여자/NNG+”/SS+라고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


