# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.45
metadata : {}


# id : NWRW1800000037.45.1.1
런민일보 “中 6·25전쟁 참전은 안보 지키기 위한 결정”

런민일보	런민일보/NNP
위세를	위세/NNG+를/JKO
과시했고	과시/NNG+하/XSV+았/EP+고/EC
동북아의	동북아/NNP+의/JKG
60년	60/SN+년/NNB
평화를	평화/NNG+를/JKO
이끌었다”고	이끌/VV+었/EP+다/EF+”/SS+고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.45.5.1
신문은 참전의 이유로 미국의 위협을 들었다.

신문은	신문/NNG+은/JX
참전의	참전/NNG+의/JKG
이유로	이유/NNG+로/JKB
미국의	미국/NNP+의/JKG
위협을	위협/NNG+을/JKO
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.45.5.2
“조선을 침략한 미군이 중국 영토를 폭격하고 기총소사를 퍼부어 압록강에 이른 전화(戰火)가 중국의 안전을 직접적으로 위협했다”는 것.

“조선을	“/SS+조선/NNP+을/JKO
침략한	침략/NNG+하/XSV+ㄴ/ETM
미군이	미군/NNG+이/JKS
중국	중국/NNP
영토를	영토/NNG+를/JKO
폭격하고	폭격/NNG+하/XSV+고/EC
기총소사를	기총/NNG+소사/NNG+를/JKO
퍼부어	퍼붓/VV+어/EC
압록강에	압록강/NNP+에/JKB
이른	이르/VV+ㄴ/ETM
전화(戰火)가	전화/NNG+(/SS+戰火/SH+)/SS+가/JKS
중국의	중국/NNP+의/JKG
안전을	안전/NNG+을/JKO
직접적으로	직접/NNG+적/XSN+으로/JKB
위협했다”는	위협/NNG+하/XSV+았/EP+다/EF+”/SS+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000037.45.5.3
그러면서 “미국의 군사 개입은 공산주의 확장 저지와 아시아 패권 확보를 위한 것”이라며 “중국의 항미원조(抗美援朝·미국에 대항하고 북한을 돕는다) 전쟁은 국가 보위와 평화를 지키기 위한 것이었다”고 주장했다.

그러면서	그러/VV+면서/EC
“미국의	“/SS+미국/NNP+의/JKG
군사	군사/NNG
개입은	개입/NNG+은/JX
공산주의	공산주의/NNG
확장	확장/NNG
저지와	저지/NNG+와/JC
아시아	아시아/NNP
패권	패권/NNG
확보를	확보/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“중국의	“/SS+중국/NNP+의/JKG
항미원조(抗美援朝·미국에	항미원조/NNG+(/SS+抗美援朝/SH+·/SP+미국/NNP+에/JKB
대항하고	대항/NNG+하/XSV+고/EC
북한을	북한/NNP+을/JKO
돕는다)	돕/VV+는다/EF+)/SS
전쟁은	전쟁/NNG+은/JX
국가	국가/NNG
보위와	보위/NNG+와/JC
평화를	평화/NNG+를/JKO
지키기	지키/VV+기/ETN
것이었다”고	것/NNB+이/VCP+었/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.45.6.1
칼럼은 중국의 참전이 북한에 대한 지원보다는 미국과의 대결구도에서 선택할 수밖에 없었던 자위권 발동이었음을 강조했다.

칼럼은	칼럼/NNG+은/JX
중국의	중국/NNP+의/JKG
참전이	참전/NNG+이/JKS
북한에	북한/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
지원보다는	지원/NNG+보다/JKB+는/JX
미국과의	미국/NNP+과/JKB+의/JKG
대결구도에서	대결/NNG+구도/NNG+에서/JKB
선택할	선택/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없었던	없/VA+었/EP+던/ETM
자위권	자위/NNG+권/XSN
발동이었음을	발동/NNG+이/VCP+었/EP+음/ETN+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.45.7.1
하지만 이 글에 달린 1100여 개의 부정적인 댓글은 참전에 대한 여론이 우호적이지 않음을 보여줬다.

하지만	하지만/MAJ
이	이/MMD
글에	글/NNG+에/JKB
달린	달리/VV+ㄴ/ETM
1100여	1100/SN+여/XSN
개의	개/NNB+의/JKG
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
댓글은	댓글/NNG+은/JX
참전에	참전/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
여론이	여론/NNG+이/JKS
우호적이지	우호/NNG+적/XSN+이/VCP+지/EC
않음을	않/VX+음/ETN+을/JKO
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.45.7.2
왕쑤(王蘇)라는 아이디의 누리꾼은 “조선전쟁은 북조선이 한국을 먼저 공격해 발발한 것이다.

왕쑤(王蘇)라는	왕쑤/NNP+(/SS+王蘇/SH+)/SS+이/VCP+라는/ETM
아이디의	아이디/NNG+의/JKG
누리꾼은	누리/NNG+꾼/XSN+은/JX
“조선전쟁은	“/SS+조선/NNP+전쟁/NNG+은/JX
북조선이	북조선/NNP+이/JKS
한국을	한국/NNP+을/JKO
먼저	먼저/MAG
공격해	공격/NNG+하/XSV+아/EC
발발한	발발/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.45.7.3
참전이 정당하다고 말하기 어렵다”고 지적했다.

참전이	참전/NNG+이/JKS
정당하다고	정당하/VA+다고/EC
말하기	말/NNG+하/XSV+기/ETN
어렵다”고	어렵/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.45.7.4
“전쟁 때문에 우리가 지불한 대가가 얼마나 많은가”라는 비판도 나왔다.

“전쟁	“/SS+전쟁/NNG
때문에	때문/NNB+에/JKB
우리가	우리/NP+가/JKS
지불한	지불/NNG+하/XSV+ㄴ/ETM
대가가	대가/NNG+가/JKS
얼마나	얼마나/MAG
많은가”라는	많/VA+은가/EF+”/SS+이/VCP+라는/ETM
비판도	비판/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


