# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.63
metadata : {}


# id : NWRW1800000048.63.1.1
‘미친 전셋값’ 뒤엔 ‘부실한 공공임대정책’ 있다

‘미친	‘/SS+미치/VV+ㄴ/ETM
4일 국토교통부 자료를 종합하면, 박근혜 정부는 2013~2014년 공공임대주택 18만2000가구를 공급한 데 이어 임기 내 52만7000가구의 공공임대주택 공급을 추진중이다.

4일	4/SN+일/NNB
국토교통부	국토/NNG+교통부/NNG
자료를	자료/NNG+를/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
박근혜	박근혜/NNP
정부는	정부/NNG+는/JX
2013~2014년	2013/SN+~/SO+2014/SN+년/NNB
공공임대주택	공공/NNG+임대/NNG+주택/NNG
18만2000가구를	18/SN+만/NR+2000/SN+가구/NNG+를/JKO
공급한	공급/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
임기	임기/NNG
내	내/NNB
52만7000가구의	52/SN+만/NR+7000/SN+가구/NNG+의/JKG
공급을	공급/NNG+을/JKO
추진중이다.	추진/NNG+중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.63.9.2
국토부는 참여정부가 39만가구, 이명박 정부가 46만가구를 공급했다는 수치를 제시하면서 이번 정부가 더 많은 공공임대주택을 공급할 것이라고 강조하고 있다.

국토부는	국토부/NNG+는/JX
참여정부가	참여/NNG+정부/NNG+가/JKS
39만가구,	39/SN+만/NR+가구/NNG+,/SP
이명박	이명박/NNP
정부가	정부/NNG+가/JKS
46만가구를	46/SN+만/NR+가구/NNG+를/JKO
공급했다는	공급/NNG+하/XSV+았/EP+다는/ETM
수치를	수치/NNG+를/JKO
제시하면서	제시/NNG+하/XSV+면서/EC
이번	이번/NNG
더	더/MAG
많은	많/VA+은/ETM
공공임대주택을	공공/NNG+임대/NNG+주택/NNG+을/JKO
공급할	공급/NNG+하/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
강조하고	강조/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.63.9.3
특히 국토교통부는 최근 국정감사 업무보고를 통해 올해 공공임대주택 공급 물량이 12만가구(준공 기준)로 역대 최대치에 이를 전망이라고 밝혔다.

특히	특히/MAG
국토교통부는	국토/NNG+교통부/NNG+는/JX
최근	최근/NNG
국정감사	국정/NNG+감사/NNG
업무보고를	업무/NNG+보고/NNG+를/JKO
통해	통하/VV+아/EC
올해	올해/NNG
공공임대주택	공공/NNG+임대/NNG+주택/NNG
공급	공급/NNG
물량이	물량/NNG+이/JKS
12만가구(준공	12/SN+만/NR+가구/NNG+(/SS+준공/NNG
기준)로	기준/NNG+)/SS+로/JKB
역대	역대/NNG
최대치에	최대/NNG+치/XSN+에/JKB
이를	이르/VV+ㄹ/ETM
전망이라고	전망/NNG+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.63.10.1
하지만 이 가운데 41.7%인 5만가구는 한국토지주택공사(LH) 등 공공기관이 다가구주택 등 기존 민간주택을 매입하거나 장기간 빌려 공공임대로 활용하는 ‘매입·전세임대주택’이 차지하고 있다.

하지만	하지만/MAJ
이	이/MMD
가운데	가운데/NNG
41.7%인	41/SN+./SP+7/SN+%/SW+이/VCP+ㄴ/ETM
5만가구는	5/SN+만/NR+가구/NNG+는/JX
한국토지주택공사(LH)	한국토지주택공사/NNP+(/SS+LH/SL+)/SS
등	등/NNB
공공기관이	공공/NNG+기관/NNG+이/JKS
다가구주택	다가구/NNG+주택/NNG
기존	기존/NNG
민간주택을	민간/NNG+주택/NNG+을/JKO
매입하거나	매입/NNG+하/XSV+거나/EC
장기간	장기간/NNG
빌려	빌리/VV+어/EC
공공임대로	공공/NNG+임대/NNG+로/JKB
활용하는	활용/NNG+하/XSV+는/ETM
‘매입·전세임대주택’이	‘/SS+매입/NNG+·/SP+전세/NNG+임대/NNG+주택/NNG+’/SS+이/JKS
차지하고	차지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.63.11.1
매입·전세임대주택은 한국토지주택공사와 지방자치단체가 기존 다가구·다세대주택을 매입하거나 빌려 저소득층에게 임대주택으로 제공하는 것이다.

매입·전세임대주택은	매입/NNG+·/SP+전세/NNG+임대/NNG+주택/NNG+은/JX
한국토지주택공사와	한국토지주택공사/NNP+와/JC
지방자치단체가	지방/NNG+자치/NNG+단체/NNG+가/JKS
기존	기존/NNG
다가구·다세대주택을	다가구/NNG+·/SP+다세대/NNG+주택/NNG+을/JKO
매입하거나	매입/NNG+하/XSV+거나/EC
빌려	빌리/VV+어/EC
저소득층에게	저/XPN+소득/NNG+층/XSN+에게/JKB
임대주택으로	임대/NNG+주택/NNG+으로/JKB
제공하는	제공/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.63.11.2
매입임대주택은 다세대·다가구주택을 매입해 국민임대주택으로 사용하며, 전세임대주택은 임차인이 전셋집을 구해 오면 공공기관이 전세 계약한 뒤 임차인에게 시세보다 낮은 가격에 재임대하는 방식이다.

매입임대주택은	매입/NNG+임대/NNG+주택/NNG+은/JX
다세대·다가구주택을	다세대/NNG+·/SP+다가구/NNG+주택/NNG+을/JKO
매입해	매입/NNG+하/XSV+아/EC
국민임대주택으로	국민/NNG+임대/NNG+주택/NNG+으로/JKB
사용하며,	사용/NNG+하/XSV+며/EC+,/SP
전세임대주택은	전세/NNG+임대/NNG+주택/NNG+은/JX
임차인이	임차인/NNG+이/JKS
전셋집을	전셋집/NNG+을/JKO
구해	구하/VV+아/EC
오면	오/VX+면/EC
공공기관이	공공/NNG+기관/NNG+이/JKS
전세	전세/NNG
계약한	계약/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
임차인에게	임차인/NNG+에게/JKB
시세보다	시세/NNG+보다/JKB
낮은	낮/VA+은/ETM
가격에	가격/NNG+에/JKB
재임대하는	재/XPN+임대/NNG+하/XSV+는/ETM
방식이다.	방식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.63.11.3
최민섭 서울벤처대학원대학교 교수(부동산학과)는 “매입·전세임대는 정부가 공공임대에 편입하지 않더라도 서민들에게 임대로 제공되는 주택이어서, 건설임대 대신 이 물량을 늘려 전월세시장 안전판 구실을 기대하는 것은 한계가 있다”고 말했다.

최민섭	최민섭/NNP
서울벤처대학원대학교	서울벤처대학원대학교/NNP
교수(부동산학과)는	교수/NNG+(/SS+부동산학과/NNG+)/SS+는/JX
“매입·전세임대는	“/SS+매입/NNG+·/SP+전세/NNG+임대/NNG+는/JX
정부가	정부/NNG+가/JKS
공공임대에	공공/NNG+임대/NNG+에/JKB
편입하지	편입/NNG+하/XSV+지/EC
않더라도	않/VX+더라도/EC
서민들에게	서민/NNG+들/XSN+에게/JKB
임대로	임대/NNG+로/JKB
제공되는	제공/NNG+되/XSV+는/ETM
주택이어서,	주택/NNG+이/VCP+어서/EC+,/SP
건설임대	건설/NNG+임대/NNG
대신	대신/NNG
이	이/MMD
물량을	물량/NNG+을/JKO
늘려	늘리/VV+어/EC
전월세시장	전월세/NNG+시장/NNG
안전판	안전판/NNG
구실을	구실/NNG+을/JKO
기대하는	기대/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
한계가	한계/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.63.12.1
매입·전세임대주택은 도입 초기인 참여정부 때는 연간 공급물량이 줄곧 1만가구 이하였으나 박근혜 정부 들어 전월세 대책의 단골메뉴로 등장하면서 2013년 3만9000가구, 지난해 4만4000가구에 이르렀다.

매입·전세임대주택은	매입/NNG+·/SP+전세/NNG+임대/NNG+주택/NNG+은/JX
도입	도입/NNG
초기인	초기/NNG+이/VCP+ㄴ/ETM
참여정부	참여/NNG+정부/NNG
때는	때/NNG+는/JX
연간	연간/NNG
공급물량이	공급/NNG+물량/NNG+이/JKS
줄곧	줄곧/MAG
1만가구	1/SN+만/NR+가구/NNG
이하였으나	이하/NNG+이/VCP+었/EP+으나/EC
박근혜	박근혜/NNP
정부	정부/NNG
들어	들/VV+어/EC
전월세	전월세/NNG
대책의	대책/NNG+의/JKG
단골메뉴로	단골/NNG+메뉴/NNG+로/JKB
등장하면서	등장/NNG+하/XSV+면서/EC
2013년	2013/SN+년/NNB
3만9000가구,	3/SN+만/NR+9000/SN+가구/NNG+,/SP
지난해	지난해/NNG
4만4000가구에	4/SN+만/NR+4000/SN+가구/NNG+에/JKB
이르렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.63.12.2
올해는 처음으로 5만가구를 넘어선다.

올해는	올해/NNG+는/JX
처음으로	처음/NNG+으로/JKB
5만가구를	5/SN+만/NR+가구/NNG+를/JKO
넘어선다.	넘어서/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.63.13.1
반면 서민 주거안정 파급효과가 큰 건설임대주택은 2010년 공급량이 7만4000가구에 이르렀으나, 2012년 2만1000가구까지 줄었다.

반면	반면/NNG
서민	서민/NNG
주거안정	주거/NNG+안정/NNG
파급효과가	파급/NNG+효과/NNG+가/JKS
큰	크/VA+ㄴ/ETM
건설임대주택은	건설/NNG+임대/NNG+주택/NNG+은/JX
2010년	2010/SN+년/NNB
공급량이	공급량/NNG+이/JKS
7만4000가구에	7/SN+만/NR+4000/SN+가구/NNG+에/JKB
이르렀으나,	이르/VV+었/EP+으나/EC+,/SP
2012년	2012/SN+년/NNB
2만1000가구까지	2/SN+만/NR+1000/SN+가구/NNG+까지/JX
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.63.13.2
2013년 4만2000가구, 지난해 5만8000가구로 조금 늘었지만, 여전히 2009~2011년의 연평균 7만1000가구 수준을 크게 밑돌았다.

2013년	2013/SN+년/NNB
4만2000가구,	4/SN+만/NR+2000/SN+가구/NNG+,/SP
지난해	지난해/NNG
5만8000가구로	5/SN+만/NR+8000/SN+가구/NNG+로/JKB
조금	조금/MAG
늘었지만,	늘/VV+었/EP+지만/EC+,/SP
여전히	여전히/MAG
2009~2011년의	2009/SN+~/SO+2011/SN+년/NNB+의/JKG
연평균	연평균/NNG
7만1000가구	7/SN+만/NR+1000/SN+가구/NNG
수준을	수준/NNG+을/JKO
크게	크/VA+게/EC
밑돌았다.	밑돌/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.63.13.3
올해는 그나마 7만가구를 공급한다는 게 정부 계획이다.

올해는	올해/NNG+는/JX
그나마	그나마/MAG
7만가구를	7/SN+만/NR+가구/NNG+를/JKO
공급한다는	공급/NNG+하/XSV+ㄴ다는/ETM
게	거/NNB+이/JKS
정부	정부/NNG
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.63.13.4
매입·전세임대 물량이 늘었음에도 이처럼 건설임대주택이 크게 줄어, 공공임대주택의 총공급량은 2009~2011년 연평균 9만6000채에서 2012~2014년 연평균 8만2000채로 줄어든 바 있다.

매입·전세임대	매입/NNG+·/SP+전세/NNG+임대/NNG
물량이	물량/NNG+이/JKS
늘었음에도	늘/VV+었/EP+음/ETN+에/JKB+도/JX
이처럼	이/NP+처럼/JKB
건설임대주택이	건설/NNG+임대/NNG+주택/NNG+이/JKS
크게	크/VA+게/EC
줄어,	줄/VV+어/EC+,/SP
공공임대주택의	공공/NNG+임대/NNG+주택/NNG+의/JKG
총공급량은	총공급량/NNG+은/JX
2009~2011년	2009/SN+~/SO+2011/SN+년/NNB
연평균	연평균/NNG
9만6000채에서	9/SN+만/NR+6000/SN+채/NNB+에서/JKB
2012~2014년	2012/SN+~/SO+2014/SN+년/NNB
8만2000채로	8/SN+만/NR+2000/SN+채/NNB+로/JKB
줄어든	줄어들/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.63.14.1
최근 공공임대주택 물량이 크게 늘어난 것처럼 보이는 것에는 통계상 착시도 있다.

최근	최근/NNG
공공임대주택	공공/NNG+임대/NNG+주택/NNG
물량이	물량/NNG+이/JKS
크게	크/VA+게/EC
늘어난	늘어나/VV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
보이는	보이/VV+는/ETM
것에는	것/NNB+에/JKB+는/JX
통계상	통계/NNG+상/XSN
착시도	착시/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.63.14.2
박근혜 정부는 출범 직후인 2013년 ‘4·1 부동산대책’을 통해 공공임대주택 ‘공급’ 기준을 기존의 ‘사업승인’에서 ‘준공’(입주)으로 변경했다.

박근혜	박근혜/NNP
정부는	정부/NNG+는/JX
출범	출범/NNG
직후인	직후/NNG+이/VCP+ㄴ/ETM
2013년	2013/SN+년/NNB
‘4·1	‘/SS+4/SN+·/SP+1/SN
부동산대책’을	부동산/NNG+대책/NNG+’/SS+을/JKO
통해	통하/VV+아/EC
공공임대주택	공공/NNG+임대/NNG+주택/NNG
‘공급’	‘/SS+공급/NNG+’/SS
기준을	기준/NNG+을/JKO
기존의	기존/NNG+의/JKG
‘사업승인’에서	‘/SS+사업/NNG+승인/NNG+’/SS+에서/JKB
‘준공’(입주)으로	‘/SS+준공/NNG+’/SS+(/SS+입주/NNG+)/SS+으로/JKB
변경했다.	변경/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.63.14.3
이에 따라 과거 참여정부(56만1873가구), 이명박 정부(53만2106가구) 당시 사업승인을 받은 물량이라도 2013년 이후 준공되면 신규 공급량에 포함시킬 수 있게 됐다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
과거	과거/NNG
참여정부(56만1873가구),	참여/NNG+정부/NNG+(/SS+56/SN+만/NR+1873/SN+가구/NNG+)/SS+,/SP
이명박	이명박/NNP
정부(53만2106가구)	정부/NNG+(/SS+53/SN+만/NR+2106/SN+가구/NNG+)/SS
당시	당시/NNG
사업승인을	사업/NNG+승인/NNG+을/JKO
받은	받/VV+은/ETM
물량이라도	물량/NNG+이/VCP+라도/EC
2013년	2013/SN+년/NNB
이후	이후/NNG
준공되면	준공/NNG+되/XSV+면/EC
신규	신규/NNG
공급량에	공급량/NNG+에/JKB
포함시킬	포함/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.63.14.4
금융위기 여파와 토지주택공사 재정난으로 공공주택의 사업승인부터 준공까지의 기간이 장기화되고 있는 점을 활용한 것이다.

금융위기	금융/NNG+위기/NNG
여파와	여파/NNG+와/JC
토지주택공사	토지주택공사/NNP
재정난으로	재정난/NNG+으로/JKB
공공주택의	공공/NNG+주택/NNG+의/JKG
사업승인부터	사업/NNG+승인/NNG+부터/JX
준공까지의	준공/NNG+까지/JX+의/JKG
기간이	기간/NNG+이/JKS
장기화되고	장기/NNG+화/XSN+되/XSV+고/EC
있는	있/VX+는/ETM
점을	점/NNG+을/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.63.14.5
매입·전세임대주택의 경우는 사업계획을 수립한 뒤 이르면 6개월 안에도 공급이 가능하다.

매입·전세임대주택의	매입/NNG+·/SP+전세/NNG+임대/NNG+주택/NNG+의/JKG
경우는	경우/NNG+는/JX
사업계획을	사업/NNG+계획/NNG+을/JKO
수립한	수립/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
이르면	이르/VA+면/EC
6개월	6/SN+개월/NNB
안에도	안/NNG+에/JKB+도/JX
공급이	공급/NNG+이/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000048.63.15.1
정부가 토지주택공사 재무구조 개선을 강력히 요구하면서, 사업승인을 받았는데도 미착공 상태인 공공주택은 급증하고 있다.

정부가	정부/NNG+가/JKS
토지주택공사	토지주택공사/NNP
재무구조	재무/NNG+구조/NNG
개선을	개선/NNG+을/JKO
강력히	강력히/MAG
요구하면서,	요구/NNG+하/XSV+면서/EC+,/SP
사업승인을	사업/NNG+승인/NNG+을/JKO
받았는데도	받/VV+았/EP+는데/EC+도/JX
미착공	미/XPN+착공/NNG
상태인	상태/NNG+이/VCP+ㄴ/ETM
공공주택은	공공/NNG+주택/NNG+은/JX
급증하고	급증/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.63.15.2
지난해 말 현재 41만3000가구로, 이 가운데 분양주택을 뺀 공공임대가 절반을 넘는 22만6000가구에 이른다.

지난해	지난해/NNG
말	말/NNB
현재	현재/MAG
41만3000가구로,	41/SN+만/NR+3000/SN+가구/NNG+로/JKB+,/SP
이	이/MMD
가운데	가운데/NNG
분양주택을	분양/NNG+주택/NNG+을/JKO
뺀	빼/VV+ㄴ/ETM
공공임대가	공공/NNG+임대/NNG+가/JKS
절반을	절반/NNG+을/JKO
넘는	넘/VV+는/ETM
22만6000가구에	22/SN+만/NR+6000/SN+가구/NNG+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


