# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.420
metadata : {}


# id : NWRW1800000021.420.1.1
■ ‘바람의 아들’ 이종범 4할 문턱서 눈물… 美 MLB 커루-브렛-그윈도 아슬아슬 대기록 놓쳐

■	■/SW
5월 초반에 4할을 훌쩍 넘겼던 그는 8월까지 0.390대를 유지하며 가능성을 보였지만 선수 노조의 파업으로 45경기를 치르지 못하는 바람에 0.394로 시즌을 마쳤다.

5월	5/SN+월/NNB
초반에	초반/NNG+에/JKB
4할을	4/SN+할/NNB+을/JKO
훌쩍	훌쩍/MAG
넘겼던	넘기/VV+었/EP+던/ETM
그는	그/NP+는/JX
8월까지	8/SN+월/NNB+까지/JX
0.390대를	0/SN+./SP+390/SN+대/XSN+를/JKO
유지하며	유지/NNG+하/XSV+며/EC
가능성을	가능/NNG+성/XSN+을/JKO
보였지만	보이/VV+었/EP+지만/EC
선수	선수/NNG
노조의	노조/NNG+의/JKG
파업으로	파업/NNG+으로/JKB
45경기를	45/SN+경기/NNG+를/JKO
치르지	치르/VV+지/EC
못하는	못하/VX+는/ETM
바람에	바람/NNB+에/JKB
0.394로	0/SN+./SP+394/SN+로/JKB
시즌을	시즌/NNG+을/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.420.3.4
그윈은 그해 마지막 10경기에서 타율 0.475를 기록할 정도로 페이스가 좋았기 때문에 더욱 아쉬웠다.

그윈은	그윈/NNP+은/JX
그해	그해/NNG
마지막	마지막/NNG
10경기에서	10/SN+경기/NNG+에서/JKB
타율	타율/NNG
0.475를	0/SN+./SP+475/SN+를/JKO
기록할	기록/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
페이스가	페이스/NNG+가/JKS
좋았기	좋/VA+았/EP+기/ETN
때문에	때문/NNB+에/JKB
더욱	더욱/MAG
아쉬웠다.	아쉽/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.420.4.1
국내에서는 ‘바람의 아들’ 이종범(KIA)이 백인천(0.412) 이후 가장 4할에 근접했던 타자다.

국내에서는	국내/NNG+에서/JKB+는/JX
‘바람의	‘/SS+바람/NNG+의/JKG
아들’	아들/NNG+’/SS
이종범(KIA)이	이종범/NNP+(/SS+KIA/SL+)/SS+이/JKS
백인천(0.412)	백인천/NNP+(/SS+0/SN+./SP+412/SN+)/SS
이후	이후/NNG
가장	가장/MAG
4할에	4/SN+할/NNB+에/JKB
근접했던	근접/NNG+하/XSV+았/EP+던/ETM
타자다.	타자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.420.4.2
데뷔한 1993년에 신인 최다 안타(133개)를 때렸던 그는 이듬해 8월 21일 쌍방울전에서 4타수 4안타를 몰아쳐 0.400을 채웠지만 결국 0.393으로 시즌을 마쳤다.

데뷔한	데뷔/NNG+하/XSV+ㄴ/ETM
1993년에	1993/SN+년/NNB+에/JKB
신인	신인/NNG
최다	최다/NNG
안타(133개)를	안타/NNG+(/SS+133/SN+개/NNB+)/SS+를/JKO
때렸던	때리/VV+었/EP+던/ETM
그는	그/NP+는/JX
이듬해	이듬해/NNG
8월	8/SN+월/NNB
21일	21/SN+일/NNB
쌍방울전에서	쌍방울전/NNG+에서/JKB
4타수	4/SN+타수/NNG
4안타를	4/SN+안타/NNG+를/JKO
몰아쳐	몰아치/VV+어/EC
0.400을	0/SN+./SP+400/SN+을/JKO
채웠지만	채우/VV+었/EP+지만/EC
결국	결국/MAG
0.393으로	0/SN+./SP+393/SN+으로/JKB
시즌을	시즌/NNG+을/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.420.5.1
73년 역사의 일본프로야구에서는 4할 타자가 한 명도 나오지 않았다.

73년	73/SN+년/NNB
역사의	역사/NNG+의/JKG
일본프로야구에서는	일본/NNP+프로/NNG+야구/NNG+에서/JKB+는/JX
4할	4/SN+할/NNB
타자가	타자/NNG+가/JKS
한	한/MMN
명도	명/NNB+도/JX
나오지	나오/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.420.5.2
1980년대 한신에서 활약한 외국인 선수 랜디 바스가 1986년 타격 3관왕 2연패를 이루면서 기록한 0.389가 최고 타율이다.

1980년대	1980/SN+년대/NNB
한신에서	한신/NNP+에서/JKB
활약한	활약/NNG+하/XSV+ㄴ/ETM
외국인	외국인/NNG
선수	선수/NNG
랜디	랜디/NNP
바스가	바스/NNP+가/JKS
1986년	1986/SN+년/NNB
타격	타격/NNG
3관왕	3관왕/NNG
2연패를	2/SN+연패/NNG+를/JKO
이루면서	이루/VV+면서/EC
기록한	기록/NNG+하/XSV+ㄴ/ETM
0.389가	0/SN+./SP+389/SN+가/JKS
최고	최고/NNG
타율이다.	타율/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.420.5.3
1967년부터 3년 연속 퍼시픽리그 타격왕에 올랐던 장훈은 기세?

1967년부터	1967/SN+년/NNB+부터/JX
3년	3/SN+년/NNB
연속	연속/NNG
퍼시픽리그	퍼시픽리그/NNG
타격왕에	타격왕/NNG+에/JKB
올랐던	오르/VV+았/EP+던/ETM
장훈은	장훈/NNP+은/JX
기세?	기세/NNG+?/SF


# id : NWRW1800000021.420.5.4
몰아 1970년 4할 타율에 도전했지만 자신의 최고 타율(0.383)을 기록하는 데 만족해야 했다.

몰아	몰/VV+아/EC
1970년	1970/SN+년/NNB
4할	4/SN+할/NNB
타율에	타율/NNG+에/JKB
도전했지만	도전/NNG+하/XSV+았/EP+지만/EC
자신의	자신/NNG+의/JKG
최고	최고/NNG
타율(0.383)을	타율/NNG+(/SS+0/SN+./SP+383/SN+)/SS+을/JKO
기록하는	기록/NNG+하/XSV+는/ETM
데	데/NNB
만족해야	만족/NNG+하/XSA+아야/EC
했다.	하/VX+았/EP+다/EF+./SF


