# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.191
metadata : {}


# id : NWRW1800000038.191.1.1
면접관이 상사·동료 딸 합격시키고 성적 조작까지 하는 지방 공기업들

면접관이	면접관/NNG+이/JKS
정부·지자체	정부/NNG+·/SP+지자체/NNG
출연기관들이	출연/NNG+기관/NNG+들/XSN+이/JKS
잇따라	잇따르/VV+아/EC
경찰	경찰/NNG
수사를	수사/NNG+를/JKO
받아	받/VV+아/EC
10여명이	10/SN+여/XSN+명/NNB+이/JKS
구속되거나	구속/NNG+되/XSV+거나/EC
불구속	불/XPN+구속/NNG
입건됐다.	입건/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.191.8.2
대부분 직원을 부정 채용하거나 공금·연구비 등을 빼돌렸다가 수사망에 걸렸다.

대부분	대/XPN+부분/NNG
직원을	직원/NNG+을/JKO
부정	부정/NNG
채용하거나	채용/NNG+하/XSV+거나/EC
공금·연구비	공금/NNG+·/SP+연구비/NNG
등을	등/NNB+을/JKO
빼돌렸다가	빼돌리/VV+었/EP+다가/EC
수사망에	수사망/NNG+에/JKB
걸렸다.	걸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.191.9.1
지난해 서울시 산하 기관인 서울신용보증재단은 지급 근거도 없이 특별성과급 22억3033만원을 7년간 부당 지급했다가 적발됐다.

지난해	지난해/NNG
서울시	서울시/NNP
산하	산하/NNG
기관인	기관/NNG+이/VCP+ㄴ/ETM
서울신용보증재단은	서울신용보증재단/NNP+은/JX
지급	지급/NNG
근거도	근거/NNG+도/JX
없이	없이/MAG
특별성과급	특별/NNG+성과급/NNG
22억3033만원을	22/SN+억/NR+3033/SN+만/NR+원/NNB+을/JKO
7년간	7/SN+년/NNB+간/XSN
부당	부당/NNG
지급했다가	지급/NNG+하/XSV+았/EP+다가/EC
적발됐다.	적발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.191.9.2
또 재단이사장과 이사, 지점장 등 간부들이 개인 용도로 법인카드 1583만원어치를 썼다가 문제가 되기도 했다.

또	또/MAG
재단이사장과	재단/NNG+이사장/NNG+과/JC
이사,	이사/NNG+,/SP
지점장	지점장/NNG
등	등/NNB
간부들이	간부/NNG+들/XSN+이/JKS
개인	개인/NNG
용도로	용도/NNG+로/JKB
법인카드	법인/NNG+카드/NNG
1583만원어치를	1583/SN+만/NR+원/NNB+어치/XSN+를/JKO
썼다가	쓰/VV+었/EP+다가/EC
문제가	문제/NNG+가/JKC
되기도	되/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.191.9.3
2009년부터 2012년까지 계약직 415명을 채용하면서 약 30%인 124명을 채용 부서장의 추천만으로 불법 채용한 사실도 나타났다.

2009년부터	2009/SN+년/NNB+부터/JX
2012년까지	2012/SN+년/NNB+까지/JX
계약직	계약직/NNG
415명을	415/SN+명/NNB+을/JKO
채용하면서	채용/NNG+하/XSV+면서/EC
약	약/MMA
30%인	30/SN+%/SW+이/VCP+ㄴ/ETM
124명을	124/SN+명/NNB+을/JKO
채용	채용/NNG
부서장의	부서장/NNG+의/JKG
추천만으로	추천/NNG+만/JX+으로/JKB
불법	불법/NNG
채용한	채용/NNG+하/XSV+ㄴ/ETM
사실도	사실/NNG+도/JX
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.191.10.1
경기도 안산도시공사의 경우 지난 2일 채용 비리와 관련해 인사 총괄부서 임원 서모(47)씨와 인사 담당 직원 등 7명이 업무방해 혐의로 기소됐다.

경기도	경기도/NNP
안산도시공사의	안산도시공사/NNP+의/JKG
경우	경우/NNG
지난	지나/VV+ㄴ/ETM
2일	2/SN+일/NNB
채용	채용/NNG
비리와	비리/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
인사	인사/NNG
총괄부서	총괄/NNG+부서/NNG
임원	임원/NNG
서모(47)씨와	서/NNP+모/NP+(/SS+47/SN+)/SS+씨/NNB+와/JC
담당	담당/NNG
직원	직원/NNG
등	등/NNB
7명이	7/SN+명/NNB+이/JKS
업무방해	업무/NNG+방해/NNG
혐의로	혐의/NNG+로/JKB
기소됐다.	기소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.191.10.2
서씨 등은 2011년 4월~지난해 4월까지 4차례에 걸쳐 신규 직원 22명을 채용하면서 시의원 등 외부인으로부터 청탁을 받고 9명을 부정 채용한 혐의를 받고 있다.

서씨	서/NNP+씨/NNB
등은	등/NNB+은/JX
2011년	2011/SN+년/NNB
4월~지난해	4/SN+월/NNB+~/SO+지난해/NNG
4월까지	4/SN+월/NNB+까지/JX
4차례에	4/SN+차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
신규	신규/NNG
직원	직원/NNG
22명을	22/SN+명/NNB+을/JKO
채용하면서	채용/NNG+하/XSV+면서/EC
시의원	시/NNG+의원/NNG
등	등/NNB
외부인으로부터	외부인/NNG+으로부터/JKB
청탁을	청탁/NNG+을/JKO
받고	받/VV+고/EC
9명을	9/SN+명/NNB+을/JKO
부정	부정/NNG
채용한	채용/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.191.10.3
이들은 서류심사와 필기시험, 인성검사 등을 거쳐 점수에 따라 응시자의 3배수를 선발해 면접심사를 하는데, 이미 서류심사나 필기시험 등에서 탈락한 응시자의 성적을 조작해 면접심사를 받게 한 혐의다.

이들은	이/NP+들/XSN+은/JX
서류심사와	서류/NNG+심사/NNG+와/JC
필기시험,	필기시험/NNG+,/SP
인성검사	인성/NNG+검사/NNG
등을	등/NNB+을/JKO
거쳐	거치/VV+어/EC
점수에	점수/NNG+에/JKB
따라	따르/VV+아/EC
응시자의	응시자/NNG+의/JKG
3배수를	3/SN+배수/NNG+를/JKO
선발해	선발/NNG+하/XSV+아/EC
면접심사를	면접/NNG+심사/NNG+를/JKO
하는데,	하/VV+는데/EC+,/SP
이미	이미/MAG
서류심사나	서류/NNG+심사/NNG+나/JC
필기시험	필기시험/NNG
등에서	등/NNB+에서/JKB
탈락한	탈락/NNG+하/XSV+ㄴ/ETM
성적을	성적/NNG+을/JKO
조작해	조작/NNG+하/XSV+아/EC
받게	받/VV+게/EC
한	하/VX+ㄴ/ETM
혐의다.	혐의/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.191.11.1
대구경실련 조광현 사무처장은 "대구과학관의 직원 부정 채용 사태는 눈에 잘 띄지 않는 작은 기관을 통해 공무원들이 공정한 질서를 무너뜨린 본보기"라고 말했다.

대구경실련	대구경실련/NNP
조광현	조광현/NNP
사무처장은	사무처장/NNG+은/JX
"대구과학관의	"/SS+대구과학관/NNP+의/JKG
직원	직원/NNG
부정	부정/NNG
채용	채용/NNG
사태는	사태/NNG+는/JX
눈에	눈/NNG+에/JKB
잘	잘/MAG
띄지	띄/VV+지/EC
않는	않/VX+는/ETM
작은	작/VA+은/ETM
기관을	기관/NNG+을/JKO
통해	통하/VV+아/EC
공무원들이	공무원/NNG+들/XSN+이/JKS
공정한	공정/NNG+하/XSA+ㄴ/ETM
질서를	질서/NNG+를/JKO
무너뜨린	무너뜨리/VV+ㄴ/ETM
본보기"라고	본보기/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


