# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.189
metadata : {}


# id : NWRW1800000038.189.1.1
학생들이 낸 등록금 1860억원… 39개大, 사학연금에 부당 지원

학생들이	학생/NNG+들/XSN+이/JKS
# id : NWRW1800000038.189.3.1
대학 교직원은 퇴직 후 사학연금을 받기 위해 재직 33년 동안 소득의 7%를 개인부담금으로 내야 한다.

대학	대학/NNG
교직원은	교직원/NNG+은/JX
퇴직	퇴직/NNG
후	후/NNG
사학연금을	사학/NNG+연금/NNG+을/JKO
받기	받/VV+기/ETN
위해	위하/VV+아/EC
재직	재직/NNG
33년	33/SN+년/NNB
동안	동안/NNG
소득의	소득/NNG+의/JKG
7%를	7/SN+%/SW+를/JKO
개인부담금으로	개인/NNG+부담금/NNG+으로/JKB
내야	내/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.189.3.2
그러나 이번 감사에서 사립대들이 학생 등록금으로 구성된 교비회계나 법인·부속병원 회계 등에서 이 개인부담금을 지원해 온 것이 적발됐다.

그러나	그러나/MAJ
이번	이번/NNG
감사에서	감사/NNG+에서/JKB
사립대들이	사립대/NNG+들/XSN+이/JKS
학생	학생/NNG
등록금으로	등록금/NNG+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
교비회계나	교비/NNG+회계/NNG+나/JC
법인·부속병원	법인/NNG+·/SP+부속/NNG+병원/NNG
회계	회계/NNG
등에서	등/NNB+에서/JKB
이	이/MMD
개인부담금을	개인/NNG+부담금/NNG+을/JKO
지원해	지원/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
것이	것/NNB+이/JKS
적발됐다.	적발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.189.4.1
이 대학들은 교직원 노조와 체결한 단체협약을 근거로 지난 1993년부터 2012년까지 20년간 총 1860억원을 사학연금 개인부담금으로 부당 지원한 것으로 드러났다.

이	이/MMD
대학들은	대학/NNG+들/XSN+은/JX
교직원	교직원/NNG
노조와	노조/NNG+와/JKB
체결한	체결/NNG+하/XSV+ㄴ/ETM
단체협약을	단체/NNG+협약/NNG+을/JKO
근거로	근거/NNG+로/JKB
지난	지나/VV+ㄴ/ETM
1993년부터	1993/SN+년/NNB+부터/JX
2012년까지	2012/SN+년/NNB+까지/JX
20년간	20/SN+년/NNB+간/XSN
총	총/MMA
1860억원을	1860/SN+억/NR+원/NNB+을/JKO
사학연금	사학/NNG+연금/NNG
개인부담금으로	개인/NNG+부담금/NNG+으로/JKB
부당	부당/NNG
지원한	지원/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.189.4.2
한 대학은 사학연금 개인부담금을 다 채운 교직원들이 "다른 직원들과 형평성이 어긋난다"고 주장하는 바람에 이들에게 별도로 3900여만원을 지급한 사실도 적발됐다.

한	한/MMN
대학은	대학/NNG+은/JX
사학연금	사학/NNG+연금/NNG
개인부담금을	개인/NNG+부담금/NNG+을/JKO
다	다/MAG
채운	채우/VV+ㄴ/ETM
교직원들이	교직원/NNG+들/XSN+이/JKS
"다른	"/SS+다른/MMD
직원들과	직원/NNG+들/XSN+과/JKB
형평성이	형평/NNG+성/XSN+이/JKS
어긋난다"고	어긋나/VV+ㄴ다/EF+"/SS+고/JKQ
주장하는	주장/NNG+하/XSV+는/ETM
바람에	바람/NNB+에/JKB
이들에게	이/NP+들/XSN+에게/JKB
별도로	별도/NNG+로/JKB
3900여만원을	3900/SN+여/XSN+만/NR+원/NNB+을/JKO
지급한	지급/NNG+하/XSV+ㄴ/ETM
사실도	사실/NNG+도/JX
적발됐다.	적발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.189.5.1
교육부는 이 39개 대학에 개인부담금을 더 지급하지 못하게 하고, 기관 경고 처분을 내렸다.

교육부는	교육부/NNG+는/JX
이	이/MMD
39개	39/SN+개/NNB
대학에	대학/NNG+에/JKB
개인부담금을	개인/NNG+부담금/NNG+을/JKO
더	더/MAG
지급하지	지급/NNG+하/XSV+지/EC
못하게	못하/VX+게/EC
하고,	하/VX+고/EC+,/SP
기관	기관/NNG
경고	경고/NNG
처분을	처분/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.189.5.2
또 개인부담금 지급을 결정한 교직원과 간부들에 대해서는 학교 측에 징계를 요구했다.

또	또/MAG
개인부담금	개인/NNG+부담금/NNG
지급을	지급/NNG+을/JKO
결정한	결정/NNG+하/XSV+ㄴ/ETM
교직원과	교직원/NNG+과/JC
간부들에	간부/NNG+들/XSN+에/JKB
대해서는	대하/VV+아서/EC+는/JX
학교	학교/NNG
측에	측/NNB+에/JKB
징계를	징계/NNG+를/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.189.6.1
교육부 정준영 기획감사담당관은 "그동안 사학연금 개인부담금 지급에 엉뚱하게 사용됐던 교비회계는 학생이 낸 등록금으로 조성된 것으로, 이 돈이 제자리를 찾으면 등록금이 인하될 수 있을 것"이라고 말했다.

교육부	교육부/NNG
정준영	정준영/NNP
기획감사담당관은	기획/NNG+감사/NNG+담당관/NNG+은/JX
"그동안	"/SS+그동안/NNG
사학연금	사학/NNG+연금/NNG
개인부담금	개인/NNG+부담금/NNG
지급에	지급/NNG+에/JKB
엉뚱하게	엉뚱하/VA+게/EC
사용됐던	사용/NNG+되/XSV+었/EP+던/ETM
교비회계는	교비/NNG+회계/NNG+는/JX
학생이	학생/NNG+이/JKS
낸	내/VV+ㄴ/ETM
등록금으로	등록금/NNG+으로/JKB
조성된	조성/NNG+되/XSV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
이	이/MMD
돈이	돈/NNG+이/JKS
제자리를	제자리/NNG+를/JKO
찾으면	찾/VV+으면/EC
등록금이	등록금/NNG+이/JKS
인하될	인하/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


