# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.229
metadata : {}


# id : NWRW1800000036.229.1.1
“30년만에 형님 장례, 억울한 희생 없길”

“30년만에	“/SS+30/SN+년/NNB+만/NNB+에/JKB
인권침해	인권/NNG+침해/NNG
구제를	구제/NNG+를/JKO
진정한	진정/NNG+하/XSV+ㄴ/ETM
지	지/NNB
3년	3/SN+년/NNB
만에	만/NNB+에/JKB
국가를	국가/NNG+를/JKO
상대로	상대/NNG+로/JKB
손해배상	손해/NNG+배상/NNG
청구소송을	청구/NNG+소송/NNG+을/JKO
제기할	제기/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000036.229.9.2
이에 따라 최근 경찰·행정·의료 등 가해기관 3곳에서 공식 사과를 받고 재발 방지를 약속하자 이날 뒤늦게 형의 ‘슬픈 장례’를 치렀다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
최근	최근/MAG
경찰·행정·의료	경찰/NNG+·/SP+행정/NNG+·/SP+의료/NNG
등	등/NNB
가해기관	가해/NNG+기관/NNG
3곳에서	3/SN+곳/NNG+에서/JKB
공식	공식/NNG
사과를	사과/NNG+를/JKO
받고	받/VV+고/EC
재발	재발/NNG
방지를	방지/NNG+를/JKO
약속하자	약속/NNG+하/XSV+자/EC
이날	이날/NNG
뒤늦게	뒤늦/VA+게/EC
형의	형/NNG+의/JKG
‘슬픈	‘/SS+슬프/VA+ㄴ/ETM
장례’를	장례/NNG+’/SS+를/JKO
치렀다.	치르/VV+었/EP+다/EF+./SF


