# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.135
metadata : {}


# id : NWRW1800000056.135.1.1
‘내가 쓸 물건은 내가 만든다’…무크지 ‘메이커스’ 창간

‘내가	‘/SS+내/NP+가/JKS
동아시아 출판사는 18일 서울 중구 한국프레스센터에서 <메이커스: 어른의 과학> 창간기념 기자간담회를 열었다.

동아시아	동아시아/NNP
출판사는	출판사/NNG+는/JX
18일	18/SN+일/NNB
서울	서울/NNP
중구	중구/NNP
한국프레스센터에서	한국프레스센터/NNP+에서/JKB
<메이커스:	</SS+메이커스/NNP+:/SP
어른의	어른/NNG+의/JKG
과학>	과학/NNG+>/SS
창간기념	창간/NNG+기념/NNG
기자간담회를	기자/NNG+간담회/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.135.5.3
이 잡지는 비정규적으로 발간되는 무크지 형식으로, 직접 만들 수 있는 키트를 함께 주는 것이 특징이다.

이	이/MMD
잡지는	잡지/NNG+는/JX
비정규적으로	비/XPN+정규/NNG+적/XSN+으로/JKB
발간되는	발간/NNG+되/XSV+는/ETM
무크지	무크지/NNG
형식으로,	형식/NNG+으로/JKB+,/SP
직접	직접/MAG
만들	만들/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
키트를	키트/NNG+를/JKO
함께	함께/MAG
주는	주/VV+는/ETM
것이	것/NNB+이/JKS
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.135.5.4
일본 가켄교육출판사에서 2003년 창간해 60여편이 나온 <어른의 과학> 한국어판이지만, 내용의 절반은 동아시아 출판사에서 자체적으로 제작한 컨텐츠로 채운다.

일본	일본/NNP
가켄교육출판사에서	가켄교육출판사/NNP+에서/JKB
2003년	2003/SN+년/NNB
창간해	창간/NNG+하/XSV+아/EC
60여편이	60/SN+여/XSN+편/NNB+이/JKS
나온	나오/VV+ㄴ/ETM
<어른의	</SS+어른/NNG+의/JKG
과학>	과학/NNG+>/SS
한국어판이지만,	한국어판/NNG+이/VCP+지만/EC+,/SP
내용의	내용/NNG+의/JKG
절반은	절반/NNG+은/JX
동아시아	동아시아/NNP
출판사에서	출판사/NNG+에서/JKB
자체적으로	자체/NNG+적/XSN+으로/JKB
제작한	제작/NNG+하/XSV+ㄴ/ETM
컨텐츠로	컨텐츠/NNG+로/JKB
채운다.	채우/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.135.5.5
계절 마다 발매할 계획으로 가격대는 키트에 따라 매호 마다 3만5천원에서 5만원 사이에서 유동적으로 결정할 예정이다.

계절	계절/NNG
마다	마다/JX
발매할	발매/NNG+하/XSV+ㄹ/ETM
계획으로	계획/NNG+으로/JKB
가격대는	가격대/NNG+는/JX
키트에	키트/NNG+에/JKB
따라	따르/VV+아/EC
매호	매호/NNG
3만5천원에서	3/SN+만/NR+5/SN+천/NR+원/NNB+에서/JKB
5만원	5/SN+만/NR+원/NNB
사이에서	사이/NNG+에서/JKB
유동적으로	유동/NNG+적/XSN+으로/JKB
결정할	결정/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.135.5.6
창간호 가격은 4만8천원이다.

창간호	창간호/NNG
가격은	가격/NNG+은/JX
4만8천원이다.	4/SN+만/NR+8/SN+천/NR+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.135.6.1
창간호에선 플라네타리움(천체투영관)를 다뤘다.

창간호에선	창간호/NNG+에서/JKB+ㄴ/JX
플라네타리움(천체투영관)를	플라네타리움/NNG+(/SS+천체/NNG+투영관/NNG+)/SS+를/JKO
다뤘다.	다루/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.135.6.2
이미 일본에선 100만개가 나간 인기 키트다.

이미	이미/MAG
일본에선	일본/NNP+에서/JKB+ㄴ/JX
100만개가	100/SN+만/NR+개/NNB+가/JKS
나간	나가/VV+ㄴ/ETM
인기	인기/NNG
키트다.	키트/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.135.6.3
2시간 가량 플라네타리움 키트를 조립해 어두운 방안에서 켜면, 88개 전체 별자리와 함께 육안 보다 더 자세한 천체의 모습이 벽에 비춰진다.

2시간	2/SN+시간/NNB
가량	가량/XSN
플라네타리움	플라네타리움/NNG
키트를	키트/NNG+를/JKO
조립해	조립/NNG+하/XSV+아/EC
어두운	어둡/VA+ㄴ/ETM
방안에서	방안/NNG+에서/JKB
켜면,	켜/VV+면/EC+,/SP
88개	88/SN+개/NNB
전체	전체/NNG
별자리와	별자리/NNG+와/JKB
함께	함께/MAG
육안	육안/NNG
보다	보다/JKB
더	더/MAG
자세한	자세하/VA+ㄴ/ETM
천체의	천체/NNG+의/JKG
모습이	모습/NNG+이/JKS
벽에	벽/NNG+에/JKB
비춰진다.	비추/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000056.135.6.4
12월에 나올 다음호엔 카메라 키트를 낼 예정으로, 앞으로 전자기타, 드론, 스피커, 키네틱 아트(움직이는 예술작품) 등 일본에서 발매된 키트 중 15~20개를 선정해 낼 계획이다.

12월에	12/SN+월/NNB+에/JKB
나올	나오/VV+ㄹ/ETM
다음호엔	다음/NNG+호/NNB+에/JKB+ㄴ/JX
카메라	카메라/NNG
키트를	키트/NNG+를/JKO
낼	내/VX+ㄹ/ETM
예정으로,	예정/NNG+으로/JKB+,/SP
앞으로	앞/NNG+으로/JKB
전자기타,	전자/NNG+기타/NNG+,/SP
드론,	드론/NNG+,/SP
스피커,	스피커/NNG+,/SP
키네틱	키네틱/NNG
아트(움직이는	아트/NNG+(/SS+움직이/VV+는/ETM
예술작품)	예술/NNG+작품/NNG+)/SS
등	등/NNB
일본에서	일본/NNP+에서/JKB
발매된	발매/NNG+되/XSV+ㄴ/ETM
키트	키트/NNG
중	중/NNB
15~20개를	15/SN+~/SO+20/SN+개/NNB+를/JKO
선정해	선정/NNG+하/XSV+아/EC
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.135.6.5
한성봉 동아시아 출판사 대표는 “잡지의 발간으로 메이커 문화가 한국에도 더욱 확산돼 3~5년 내로 국내에서 개발한 키트를 실을 수 있게 되리라 생각한다”고 말했다.

한성봉	한성봉/NNP
동아시아	동아시아/NNP
출판사	출판사/NNG
대표는	대표/NNG+는/JX
“잡지의	“/SS+잡지/NNG+의/JKG
발간으로	발간/NNG+으로/JKB
메이커	메이커/NNG
문화가	문화/NNG+가/JKS
한국에도	한국/NNP+에/JKB+도/JX
더욱	더욱/MAG
확산돼	확산/NNG+되/XSV+어/EC
3~5년	3/SN+~/SO+5/SN+년/NNB
내로	내/NNB+로/JKB
국내에서	국내/NNG+에서/JKB
개발한	개발/NNG+하/XSV+ㄴ/ETM
키트를	키트/NNG+를/JKO
실을	싣/VV+을/ETM
수	수/NNB
있게	있/VA+게/EC
되리라	되/VV+리라/EF
생각한다”고	생각/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


