# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.404
metadata : {}


# id : NWRW1800000046.404.1.1
朴대통령, YS 영결식 참석 불투명

朴대통령,	朴/SH+대통령/NNG+,/SP
"그날	"/SS+그날/NNG
날씨가	날씨/NNG+가/JKS
영하권이라고	영하/NNG+권/XSN+이/VCP+라고/EC
하는데	하/VV+는데/EC
소화할	소화/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EF
모르겠다"고	모르/VV+겠/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.404.5.2
박 대통령은 조만간 또 다른 해외 순방도 잡혀 있다.

박	박/NNP
대통령은	대통령/NNG+은/JX
조만간	조만간/MAG
또	또/MAG
다른	다른/MMD
해외	해외/NNG
순방도	순방/NNG+도/JX
잡혀	잡히/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.404.5.3
박 대통령은 이날 오전 국무회의에서도 힘들어하는 모습을 보였다.

박	박/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
오전	오전/NNG
국무회의에서도	국무/NNG+회의/NNG+에서/JKB+도/JX
힘들어하는	힘들/VA+어/EC+하/VX+는/ETM
모습을	모습/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.404.5.4
평소보다 잠긴 목소리였고 중간에 말이 끊기면서 침을 삼키기도 했다.

평소보다	평소/NNG+보다/JKB
잠긴	잠기/VV+ㄴ/ETM
목소리였고	목소리/NNG+이/VCP+었/EP+고/EC
중간에	중간/NNG+에/JKB
말이	말/NNG+이/JKS
끊기면서	끊기/VV+면서/EC
침을	침/NNG+을/JKO
삼키기도	삼키/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.404.5.5
박 대통령은 지난 4월 중남미 순방 때도 고산병과 시차 등으로 어려움을 겪은 바 있다.

박	박/NNP
대통령은	대통령/NNG+은/JX
지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
중남미	중남미/NNP
순방	순방/NNG
때도	때/NNG+도/JX
고산병과	고산병/NNG+과/JC
시차	시차/NNG
등으로	등/NNB+으로/JKB
어려움을	어려움/NNG+을/JKO
겪은	겪/VV+은/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.404.5.6
과로로 위경련과 인두염 증상을 보여 매일 링거를 맞았다.

과로로	과로/NNG+로/JKB
위경련과	위경련/NNG+과/JC
인두염	인두염/NNG
증상을	증상/NNG+을/JKO
보여	보이/VV+어/EC
매일	매일/MAG
링거를	링거/NNG+를/JKO
맞았다.	맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.404.5.7
귀국 이후엔 1주일간 대외 활동을 중단했다.

귀국	귀국/NNG
이후엔	이후/NNG+에/JKB+ㄴ/JX
1주일간	1/SN+주일/NNB+간/XSN
대외	대외/NNG
활동을	활동/NNG+을/JKO
중단했다.	중단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.404.6.1
'YS 영결식'의 정치적 의미가 가볍지 않은 만큼 청와대는 막판까지 참석 여부를 고민할 것으로 보인다.

'YS	'/SS+YS/SL
영결식'의	영결식/NNG+'/SS+의/JKG
정치적	정치/NNG+적/XSN
의미가	의미/NNG+가/JKS
가볍지	가볍/VA+지/EC
않은	않/VX+은/ETM
만큼	만큼/NNB
청와대는	청와대/NNP+는/JX
막판까지	막판/NNG+까지/JX
참석	참석/NNG
여부를	여부/NNG+를/JKO
고민할	고민/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


