# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.5
metadata : {}


# id : NWRW1800000021.5.1.1
[대구/경북]대구 청년취업 ‘3색 지원’

[대구/경북]대구	[/SS+대구/NNP+//SP+경북/NNP+]/SS+대구/NNP
수당을	수당/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.5.6.1
또 직장체험 프로그램은 2월부터 취업 희망자 3000여 명을 공공기관과 비영리법인, 기업 등에 연수생으로 보내 2개월에서 최장 6개월간 진로교육을 실시하는 서비스.

또	또/MAG
직장체험	직장/NNG+체험/NNG
프로그램은	프로그램/NNG+은/JX
2월부터	2/SN+월/NNB+부터/JX
취업	취업/NNG
희망자	희망자/NNG
3000여	3000/SN+여/XSN
명을	명/NNB+을/JKO
공공기관과	공공/NNG+기관/NNG+과/JC
비영리법인,	비/XPN+영리/NNG+법인/NNG+,/SP
기업	기업/NNG
등에	등/NNB+에/JKB
연수생으로	연수/NNG+생/XSN+으로/JKB
보내	보내/VV+어/EC
2개월에서	2/SN+개월/NNB+에서/JKB
최장	최장/NNG
6개월간	6/SN+개월/NNB+간/XSN
진로교육을	진로/NNG+교육/NNG+을/JKO
실시하는	실시/NNG+하/XSV+는/ETM
서비스.	서비스/NNG+./SF


# id : NWRW1800000021.5.7.1
중소기업 청년인턴제는 지역 중소기업이 미취업 청년층을 채용할 경우 임금의 50%를 지원하는 것으로 희망 기업은 다음 달부터 참여할 수 있다.

중소기업	중소기업/NNG
청년인턴제는	청년/NNG+인턴/NNG+제/XSN+는/JX
지역	지역/NNG
중소기업이	중소기업/NNG+이/JKS
미취업	미/XPN+취업/NNG
청년층을	청년/NNG+층/XSN+을/JKO
채용할	채용/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
임금의	임금/NNG+의/JKG
50%를	50/SN+%/SW+를/JKO
지원하는	지원/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
희망	희망/NNG
기업은	기업/NNG+은/JX
다음	다음/NNG
달부터	달/NNG+부터/JX
참여할	참여/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.5.8.1
대구종합고용지원센터 관계자는 “구직자 눈높이에 맞는 취업지원 서비스를 제공하기 위해 고용 전문기관이나 사업자에게 관련 업무를 위탁할 계획”이라고 말했다.

대구종합고용지원센터	대구종합고용지원센터/NNP
관계자는	관계자/NNG+는/JX
“구직자	“/SS+구직자/NNG
눈높이에	눈높이/NNG+에/JKB
맞는	맞/VV+는/ETM
취업지원	취업/NNG+지원/NNG
서비스를	서비스/NNG+를/JKO
제공하기	제공/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
고용	고용/NNG
전문기관이나	전문/NNG+기관/NNG+이나/JC
사업자에게	사업자/NNG+에게/JKB
관련	관련/NNG
업무를	업무/NNG+를/JKO
위탁할	위탁/NNG+하/XSV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.5.8.2
053-667-6186

053-667-6186	053/SN+-/SO+667/SN+-/SO+6186/SN


