# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.201
metadata : {}


# id : NWRW1800000036.201.1.1
[이사람] 노비·유모…그대들은 내 가족이었소

[이사람]	[/SS+이/MMD+사람/NNG+]/SS
애제문(哀祭文)>(보고사	애제문/NNG+(/SS+哀祭文/SH+)/SS+>/SS+(/SS+보고사/NNP
펴냄)은	펴내/VV+ㅁ/ETN+)/SS+은/JX
‘가족’이라는	‘/SS+가족/NNG+’/SS+이/VCP+라는/ETM
인연을	인연/NNG+을/JKO
죽음	죽음/NNG
때문에	때문/NNB+에/JKB
떠나보낸	떠나보내/VV+ㄴ/ETM
슬픔을	슬픔/NNG+을/JKO
담은	담/VV+은/ETM
책이다.	책/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.201.7.2
조선의 옛 선비 76명이 쓴 100편 글엔 부모와 형제, 친지뿐 아니라 노비, 첩 등과의 생전 인연도 스며 있다.

조선의	조선/NNP+의/JKG
옛	옛/MMA
선비	선비/NNG
76명이	76/SN+명/NNB+이/JKS
쓴	쓰/VV+ㄴ/ETM
100편	100/SN+편/NNB
글엔	글/NNG+에/JKB+ㄴ/JX
부모와	부모/NNG+와/JC
형제,	형제/NNG+,/SP
친지뿐	친지/NNG+뿐/JX
아니라	아니/VCN+라/EC
노비,	노비/NNG+,/SP
첩	첩/NNG
등과의	등/NNB+과/JKB+의/JKG
생전	생전/NNG
인연도	인연/NNG+도/JX
스며	스미/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.201.7.3
송시열(1607~1689)은 1682년 5월17일 여종이었던 구춘의 묘에 고하는 글을 남겼다.

송시열(1607~1689)은	송시열/NNP+(/SS+1607/SN+~/SO+1689/SN+)/SS+은/JX
1682년	1682/SN+년/NNB
5월17일	5/SN+월/NNB+17/SN+일/NNB
여종이었던	여종/NNG+이/VCP+었/EP+던/ETM
구춘의	구춘/NNP+의/JKG
묘에	묘/NNG+에/JKB
고하는	고하/VV+는/ETM
글을	글/NNG+을/JKO
남겼다.	남기/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.201.7.4
중인 출신 시인 홍세태(1653~1725)는 “명목상으로야 노비와 주인이었을지라도 정은 친동기 같았다”며 노비를 떠올렸다.

중인	중인/NNG
출신	출신/NNG
시인	시인/NNG
홍세태(1653~1725)는	홍세태/NNP+(/SS+1653/SN+~/SO+1725/SN+)/SS+는/JX
“명목상으로야	“/SS+명목/NNG+상/XSN+으로/JKB+야/JX
노비와	노비/NNG+와/JC
주인이었을지라도	주인/NNG+이/VCP+었/EP+을지라도/EC
정은	정/NNG+은/JX
친동기	친/XPN+동기/NNG
같았다”며	같/VA+았/EP+다/EF+”/SS+며/EC
노비를	노비/NNG+를/JKO
떠올렸다.	떠올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.201.8.1
“당시가 계급·계층사회였지만, 노비와 첩까지도 사람 대접을 했던 것을 알 수 있습니다.

“당시가	“/SS+당시/NNG+가/JKS
계급·계층사회였지만,	계급/NNG+·/SP+계층/NNG+사회/NNG+이/VCP+었/EP+지만/EC+,/SP
노비와	노비/NNG+와/JC
첩까지도	첩/NNG+까지/JX+도/JX
사람	사람/NNG
대접을	대접/NNG+을/JKO
했던	하/VV+았/EP+던/ETM
것을	것/NNB+을/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
있습니다.	있/VA+습니다/EF+./SF


# id : NWRW1800000036.201.8.2
떠나보낼 때 아쉬워하며 사람됨의 도리를 다했던 것이지요.

떠나보낼	떠나보내/VV+ㄹ/ETM
때	때/NNG
아쉬워하며	아쉬워하/VV+며/EC
사람됨의	사람됨/NNG+의/JKG
도리를	도리/NNG+를/JKO
다했던	다/MAG+하/XSV+았/EP+던/ETM
것이지요.	것/NNB+이/VCP+지요/EF+./SF


# id : NWRW1800000036.201.8.3
그런데 요즘 현대인들은 물질적 욕망만 좇을 뿐, 사람다운 구실을 못하는 경우도 많잖아요?”

그런데	그런데/MAJ
요즘	요즘/NNG
현대인들은	현대인/NNG+들/XSN+은/JX
물질적	물질/NNG+적/XSN
욕망만	욕망/NNG+만/JX
좇을	좇/VV+을/ETM
뿐,	뿐/NNB+,/SP
사람다운	사람/NNG+답/XSA+ㄴ/ETM
구실을	구실/NNG+을/JKO
못하는	못/MAG+하/XSV+는/ETM
경우도	경우/NNG+도/JX
많잖아요?”	많/VA+잖아요/EF+?/SF+”/SS


# id : NWRW1800000036.201.9.1
신 교수는 21일 “근엄한 존재로만 떠올리기 쉬운 선비들의 애제문에는 입체적이고 종합적인 인간상이 그려져 있다”고 말했다.

신	신/NNP
교수는	교수/NNG+는/JX
21일	21/SN+일/NNB
“근엄한	“/SS+근엄하/VA+ㄴ/ETM
존재로만	존재/NNG+로/JKB+만/JX
떠올리기	떠올리/VV+기/ETN
쉬운	쉽/VA+ㄴ/ETM
선비들의	선비/NNG+들/XSN+의/JKG
애제문에는	애제문/NNG+에/JKB+는/JX
입체적이고	입체/NNG+적/XSN+이/VCP+고/EC
종합적인	종합/NNG+적/XSN+이/VCP+ㄴ/ETM
인간상이	인간상/NNG+이/JKS
그려져	그리/VV+어/EC+지/VX+어/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.201.10.1
성리학자 점필재 김종직(1431~1492)이 아내를 생각하고 쓴 제문엔 평범한 일상인 같은 소회가 절절하다.

성리학자	성리학자/NNG
점필재	점필재/NNP
김종직(1431~1492)이	김종직/NNP+(/SS+1431/SN+~/SO+1492/SN+)/SS+이/JKS
아내를	아내/NNG+를/JKO
생각하고	생각/NNG+하/XSV+고/EC
쓴	쓰/VV+ㄴ/ETM
제문엔	제문/NNG+에/JKB+ㄴ/JX
평범한	평범하/VA+ㄴ/ETM
일상인	일상인/NNG
같은	같/VA+은/ETM
소회가	소회/NNG+가/JKS
절절하다.	절절하/VA+다/EF+./SF


# id : NWRW1800000036.201.10.2
“가난을 잘 견디고 전혀 이익을 도모하지 않았으며, 변변찮은 음식을 먹고 너절한 의복을 입어도 끝내 변함이 없었소.…

“가난을	“/SS+가난/NNG+을/JKO
잘	잘/MAG
견디고	견디/VV+고/EC
전혀	전혀/MAG
이익을	이익/NNG+을/JKO
도모하지	도모/NNG+하/XSV+지/EC
않았으며,	않/VX+았/EP+으며/EC+,/SP
변변찮은	변변찮/VA+은/ETM
음식을	음식/NNG+을/JKO
먹고	먹/VV+고/EC
너절한	너절하/VA+ㄴ/ETM
의복을	의복/NNG+을/JKO
입어도	입/VV+어도/EC
끝내	끝내/MAG
변함이	변하/VV+ㅁ/ETN+이/JKS
없었소.…	없/VA+었/EP+소/EF+./SF+…/SE


# id : NWRW1800000036.201.10.3
그대가 짜고 신 맛을 맞추어 조리하니 콩잎무침 아욱국조차도 맛이 좋았었소.”

그대가	그대/NP+가/JKS
짜고	짜/VA+고/EC
신	시/VA+ㄴ/ETM
맛을	맛/NNG+을/JKO
맞추어	맞추/VV+어/EC
조리하니	조리/NNG+하/XSV+니/EC
콩잎무침	콩잎/NNG+무침/NNG
아욱국조차도	아욱국/NNG+조차/JX+도/JX
맛이	맛/NNG+이/JKS
좋았었소.”	좋/VA+았었/EP+소/EF+./SF+”/SS


# id : NWRW1800000036.201.10.4
“벼슬살이를 그만두고 산나물이나 캐며 낚시질이나 하면서” 살려던 점필재는 “적막하고 쓸쓸한 서편 방”에 놓인 아내의 옷과 이불을 쓸쓸하게 바라보는 심경을 제문에 적었다.

“벼슬살이를	“/SS+벼슬살이/NNG+를/JKO
그만두고	그만두/VV+고/EC
산나물이나	산나물/NNG+이나/JX
캐며	캐/VV+며/EC
낚시질이나	낚시/NNG+질/XSN+이나/JX
하면서”	하/VV+면서/EC+”/SS
살려던	살/VV+려던/ETM
점필재는	점필재/NNP+는/JX
“적막하고	“/SS+적막/NNG+하/XSA+고/EC
쓸쓸한	쓸쓸하/VA+ㄴ/ETM
서편	서편/NNG
방”에	방/NNG+”/SS+에/JKB
놓인	놓이/VV+ㄴ/ETM
아내의	아내/NNG+의/JKG
옷과	옷/NNG+과/JC
이불을	이불/NNG+을/JKO
쓸쓸하게	쓸쓸하/VA+게/EC
바라보는	바라보/VV+는/ETM
심경을	심경/NNG+을/JKO
제문에	제문/NNG+에/JKB
적었다.	적/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.201.11.1
이 책엔 조선시대 여인의 삶 등 생활사가 오롯이 묻어난다.

이	이/MMD
책엔	책/NNG+에/JKB+ㄴ/JX
조선시대	조선시대/NNG
여인의	여인/NNG+의/JKG
삶	삶/NNG
등	등/NNB
생활사가	생활사/NNG+가/JKS
오롯이	오롯이/MAG
묻어난다.	묻어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.201.11.2
신 교수는 “사소한 인물의 생몰연대인 숫자 8개를 알기 위해 문중에 여러 차례 전화하고 ‘대동보’와 ‘족보’도 샅샅이 뒤졌다”고 말했다.

신	신/NNP
교수는	교수/NNG+는/JX
“사소한	“/SS+사소하/VA+ㄴ/ETM
인물의	인물/NNG+의/JKG
생몰연대인	생몰/NNG+연대/NNG+이/VCP+ㄴ/ETM
숫자	숫자/NNG
8개를	8/SN+개/NNB+를/JKO
알기	알/VV+기/ETN
위해	위하/VV+아/EC
문중에	문중/NNG+에/JKB
여러	여러/MMN
차례	차례/NNG
전화하고	전화/NNG+하/XSV+고/EC
‘대동보’와	‘/SS+대동보/NNG+’/SS+와/JC
‘족보’도	‘/SS+족보/NNG+’/SS+도/JX
샅샅이	샅샅이/MAG
뒤졌다”고	뒤지/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.201.11.3
독자들의 이해를 도우려 각주를 꼼꼼히 달고 등장 인물의 삶을 재구성했다.

독자들의	독자/NNG+들/XSN+의/JKG
이해를	이해/NNG+를/JKO
도우려	돕/VV+으려/EC
각주를	각주/NNG+를/JKO
꼼꼼히	꼼꼼히/MAG
달고	달/VV+고/EC
등장	등장/NNG
인물의	인물/NNG+의/JKG
삶을	삶/NNG+을/JKO
재구성했다.	재/XPN+구성/NNG+하/XSV+았/EP+다/EF+./SF


