# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.409
metadata : {}


# id : NWRW1800000021.409.1.1
[동아일보 속의 근대 100경]<62> 범죄

[동아일보	[/SS+동아일보/NNP
‘78만	‘/SS+78/SN+만/NR
원	원/NNB
도난사건’은	도난/NNG+사건/NNG+’/SS+은/JX
당시로서는	당시/NNG+로서/JKB+는/JX
상상하기	상상/NNG+하/XSV+기/ETN
힘든	힘들/VA+ㄴ/ETM
액수로,	액수/NNG+로/JKB+,/SP
서민들의	서민/NNG+들/XSN+의/JKG
혀를	혀/NNG+를/JKO
내두르게	내두르/VV+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.409.5.2
평양의 한 은행에 침입한 범인들은 철제 비상문에 구멍을 뚫고 들어가 금고를 연 뒤 거액을 집어들었으나 ‘너무 많다’고 생각해 40만 원은 도로 두고 나머지를 훔쳐 달아났다.

평양의	평양/NNP+의/JKG
한	한/MMN
은행에	은행/NNG+에/JKB
침입한	침입/NNG+하/XSV+ㄴ/ETM
범인들은	범인/NNG+들/XSN+은/JX
철제	철제/NNG
비상문에	비상문/NNG+에/JKB
구멍을	구멍/NNG+을/JKO
뚫고	뚫/VV+고/EC
들어가	들어가/VV+아/EC
금고를	금고/NNG+를/JKO
연	열/VV+ㄴ/ETM
뒤	뒤/NNG
거액을	거액/NNG+을/JKO
집어들었으나	집/VV+어/EC+들/VV+었/EP+으나/EC
‘너무	‘/SS+너무/MAG
많다’고	많/VA+다/EF+’/SS+고/JKQ
생각해	생각/NNG+하/XSV+아/EC
40만	40/SN+만/NR
원은	원/NNB+은/JX
도로	도로/MAG
두고	두/VV+고/EC
나머지를	나머지/NNG+를/JKO
훔쳐	훔치/VV+어/EC
달아났다.	달아나/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.409.5.3
1932년 1월 22일 동아일보는 “검거된 범인 2명은 일본인으로, 3일간이나 방에 불조차 때지 못하는 생활고에 시달리던 형편이었다”고 전했다.

1932년	1932/SN+년/NNB
1월	1/SN+월/NNB
22일	22/SN+일/NNB
동아일보는	동아일보/NNP+는/JX
“검거된	“/SS+검거/NNG+되/XSV+ㄴ/ETM
범인	범인/NNG
2명은	2/SN+명/NNB+은/JX
일본인으로,	일본인/NNG+으로/JKB+,/SP
3일간이나	3/SN+일/NNB+간/XSN+이나/JX
방에	방/NNG+에/JKB
불조차	불/NNG+조차/JX
때지	때/VV+지/EC
못하는	못하/VX+는/ETM
생활고에	생활고/NNG+에/JKB
시달리던	시달리/VV+던/ETM
형편이었다”고	형편/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.409.6.1
보험제도의 도입과 보급에 따른 보험사기 범죄도 급증했다.

보험제도의	보험/NNG+제도/NNG+의/JKG
도입과	도입/NNG+과/JC
보급에	보급/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
보험사기	보험/NNG+사기/NNG
범죄도	범죄/NNG+도/JX
급증했다.	급증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.409.6.2
1932년 12월에는 평양 근처에서 보험금을 타내기 위해 아버지를 살해했다는 오천일 사건이 드러나 세상을 떠들썩하게 했다.

1932년	1932/SN+년/NNB
12월에는	12/SN+월/NNB+에/JKB+는/JX
평양	평양/NNP
근처에서	근처/NNG+에서/JKB
보험금을	보험금/NNG+을/JKO
타내기	타/VV+아/EC+내/VX+기/ETN
위해	위하/VV+아/EC
아버지를	아버지/NNG+를/JKO
살해했다는	살해/NNG+하/XSV+았/EP+다는/ETM
오천일	오천일/NNP
사건이	사건/NNG+이/JKS
드러나	드러나/VV+아/EC
세상을	세상/NNG+을/JKO
떠들썩하게	떠들썩하/VA+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.409.6.3
증인들은 범인 오천일이 거금을 주며 아버지를 살해하라고 사주했다고 증언했다.

증인들은	증인/NNG+들/XSN+은/JX
범인	범인/NNG
오천일이	오천일/NNP+이/JKS
거금을	거금/NNG+을/JKO
주며	주/VV+며/EC
아버지를	아버지/NNG+를/JKO
살해하라고	살해/NNG+하/XSV+라고/EC
사주했다고	사주/NNG+하/XSV+았/EP+다고/EC
증언했다.	증언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.409.6.4
그러나 피고인은 절대 무죄라고 주장했고 증거 불충분으로 재판 연기와 상소가 이어졌다.

그러나	그러나/MAJ
피고인은	피고인/NNG+은/JX
절대	절대/NNG
무죄라고	무죄/NNG+이/VCP+라고/EC
주장했고	주장/NNG+하/XSV+았/EP+고/EC
증거	증거/NNG
불충분으로	불충분/NNG+으로/JKB
재판	재판/NNG
연기와	연기/NNG+와/JC
상소가	상소/NNG+가/JKS
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.409.6.5
1심 법정은 무기징역을 선고했으나 2심에서는 무죄 판결이 나왔다.

1심	1심/NNG
법정은	법정/NNG+은/JX
무기징역을	무기/NNG+징역/NNG+을/JKO
선고했으나	선고/NNG+하/XSV+았/EP+으나/EC
2심에서는	2심/NNG+에서/JKB+는/JX
무죄	무죄/NNG
판결이	판결/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.409.6.6
오천일은 최종심에서 사형을 언도받고 처형됐지만 당시 일제 법원이 결정적 증거가 없는 상황에서 그를 희생시켰다는 지적도 있었다.

오천일은	오천일/NNP+은/JX
최종심에서	최종심/NNG+에서/JKB
사형을	사형/NNG+을/JKO
언도받고	언도/NNG+받/XSV+고/EC
처형됐지만	처형/NNG+되/XSV+었/EP+지만/EC
당시	당시/NNG
일제	일제/NNG
법원이	법원/NNG+이/JKS
결정적	결정/NNG+적/XSN
증거가	증거/NNG+가/JKS
없는	없/VA+는/ETM
상황에서	상황/NNG+에서/JKB
그를	그/NP+를/JKO
희생시켰다는	희생/NNG+시키/XSV+었/EP+다는/ETM
지적도	지적/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.409.7.1
요즘엔 단순절도 등 생계형 범죄는 줄었지만 보이스피싱 사기나 불법 사금융 같은 금융 범죄는 급증세다.

요즘엔	요즘/NNG+에/JKB+ㄴ/JX
단순절도	단순/NNG+절도/NNG
등	등/NNB
생계형	생계/NNG+형/XSN
범죄는	범죄/NNG+는/JX
줄었지만	줄/VV+었/EP+지만/EC
보이스피싱	보이스피싱/NNG
사기나	사기/NNG+나/JC
불법	불법/NNG
사금융	사금융/NNG
같은	같/VA+은/ETM
금융	금융/NNG
급증세다.	급증세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.409.7.2
경찰청은 올해 7월부터 11월까지 입건한 보험사기 사범이 1만1545명으로 지난해 같은 기간보다 406%나 늘어났다고 밝혔다.

경찰청은	경찰청/NNG+은/JX
올해	올해/NNG
7월부터	7/SN+월/NNB+부터/JX
11월까지	11/SN+월/NNB+까지/JX
입건한	입건/NNG+하/XSV+ㄴ/ETM
보험사기	보험/NNG+사기/NNG
사범이	사범/NNG+이/JKS
1만1545명으로	1/SN+만/NR+1545/SN+명/NNB+으로/JKB
지난해	지난해/NNG
같은	같/VA+은/ETM
기간보다	기간/NNG+보다/JKB
406%나	406/SN+%/SW+나/JX
늘어났다고	늘어나/VV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.409.7.3
고리사채 등 불법 사금융 사범은 64% 늘었다.

고리사채	고리/NNG+사채/NNG
등	등/NNB
불법	불법/NNG
사금융	사금융/NNG
사범은	사범/NNG+은/JX
64%	64/SN+%/SW
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.409.7.4
지난해 발생한 범죄는 총 218만9452건, 검거건수는 191만4469건으로 87.4%를 검거했지만 2007년보다는 22만3475건의 범죄가 더 발생했다.

지난해	지난해/NNG
발생한	발생/NNG+하/XSV+ㄴ/ETM
범죄는	범죄/NNG+는/JX
총	총/MMA
218만9452건,	218/SN+만/NR+9452/SN+건/NNB+,/SP
검거건수는	검거/NNG+건수/NNG+는/JX
191만4469건으로	191/SN+만/NR+4469/SN+건/NNB+으로/JKB
87.4%를	87/SN+./SP+4/SN+%/SW+를/JKO
검거했지만	검거/NNG+하/XSV+았/EP+지만/EC
2007년보다는	2007/SN+년/NNB+보다/JKB+는/JX
22만3475건의	22/SN+만/NR+3475/SN+건/NNB+의/JKG
범죄가	범죄/NNG+가/JKS
더	더/MAG
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.409.7.5
가장 많이 발생한 범죄 유형은 절도 사기 횡령 등 재산범죄로 총 50만3302건이었다.

가장	가장/MAG
많이	많이/MAG
발생한	발생/NNG+하/XSV+ㄴ/ETM
범죄	범죄/NNG
유형은	유형/NNG+은/JX
절도	절도/NNG
사기	사기/NNG
횡령	횡령/NNG
등	등/NNB
재산범죄로	재산/NNG+범죄/NNG+로/JKB
총	총/MMA
50만3302건이었다.	50/SN+만/NR+3302/SN+건/NNB+이/VCP+었/EP+다/EF+./SF


