# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.233
metadata : {}


# id : NWRW1800000030.233.1.1
천재 가드 폴, 클리퍼스로… 볼만해진 LA 더비

천재	천재/NNG
레이커스는 윌트 체임벌린, 카림 압둘자바, 매직 존슨 등 수많은 전설이 거쳐 간 명문.

레이커스는	레이커스/NNP+는/JX
윌트	윌트/NNP
체임벌린,	체임벌린/NNP+,/SP
카림	카림/NNP
압둘자바,	압둘자바/NNP+,/SP
매직	매직/NNP
존슨	존슨/NNP
등	등/NNB
수많은	수많/VA+은/ETM
전설이	전설/NNG+이/JKS
거쳐	거치/VV+어/EC
간	가/VX+ㄴ/ETM
명문.	명문/NNG+./SF


# id : NWRW1800000030.233.4.3
보스턴 셀틱스(17회)에 이어 리그 역대 최다 우승 2위(16회)에 올라 있다.

보스턴	보스턴/NNP
셀틱스(17회)에	셀틱스/NNP+(/SS+17/SN+회/NNB+)/SS+에/JKB
이어	잇/VV+어/EC
리그	리그/NNG
역대	역대/NNG
최다	최다/NNG
우승	우승/NNG
2위(16회)에	2/SN+위/NNB+(/SS+16/SN+회/NNB+)/SS+에/JKB
올라	오르/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.233.5.1
클리퍼스는 1970년 버펄로 브레이브스로 창단해 샌디에이고, LA로 연고지를 옮기며 41시즌 동안 플레이오프에 단 7번 나갔던 만년 하위팀이다.

클리퍼스는	클리퍼스/NNP+는/JX
1970년	1970/SN+년/NNB
버펄로	버펄로/NNP
브레이브스로	브레이브스/NNP+로/JKB
창단해	창단/NNG+하/XSV+아/EC
샌디에이고,	샌디에이고/NNP+,/SP
LA로	LA/SL+로/JKB
연고지를	연고지/NNG+를/JKO
옮기며	옮기/VV+며/EC
41시즌	41/SN+시즌/NNG
동안	동안/NNG
플레이오프에	플레이오프/NNG+에/JKB
단	단/MMA
7번	7/SN+번/NNB
나갔던	나가/VV+았/EP+던/ETM
만년	만년/NNG
하위팀이다.	하위/NNG+팀/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.233.5.2
하지만 레이커스의 그늘에 늘 가려 있던 클리퍼스에 드디어 '볕'이 들었다.

하지만	하지만/MAJ
레이커스의	레이커스/NNP+의/JKG
그늘에	그늘/NNG+에/JKB
늘	늘/MAG
가려	가리/VV+어/EC
있던	있/VX+던/ETM
클리퍼스에	클리퍼스/NNP+에/JKB
드디어	드디어/MAG
'볕'이	'/SS+볕/NNG+'/SS+이/JKS
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.233.5.3
뉴올리언스 호니츠로부터 크리스 폴(26)을 영입한 것이다.

뉴올리언스	뉴올리언스/NNP
호니츠로부터	호니츠/NNP+로부터/JKB
크리스	크리스/NNP
폴(26)을	폴/NNP+(/SS+26/SN+)/SS+을/JKO
영입한	영입/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.233.5.4
폴은 어시스트왕 2회, 스틸왕 3회, 올스타 4회 선정에 빛나는 리그 최고 수준의 포인트 가드다.

폴은	폴/NNP+은/JX
어시스트왕	어시스트왕/NNG
2회,	2/SN+회/NNB+,/SP
스틸왕	스틸왕/NNG
3회,	3/SN+회/NNB+,/SP
올스타	올스타/NNG
4회	4/SN+회/NNB
선정에	선정/NNG+에/JKB
빛나는	빛나/VV+는/ETM
리그	리그/NNG
최고	최고/NNG
수준의	수준/NNG+의/JKG
포인트	포인트/NNG
가드다.	가드/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.233.5.5
그는 고3 졸업반 시절 외할아버지와의 아름다운 사연이 언론에 소개되면서 유명해졌다.

그는	그/NP+는/JX
고3	고/NNG+3/SN
졸업반	졸업반/NNG
시절	시절/NNG
외할아버지와의	외할아버지/NNG+와/JKB+의/JKG
아름다운	아름답/VA+ㄴ/ETM
사연이	사연/NNG+이/JKS
언론에	언론/NNG+에/JKB
소개되면서	소개/NNG+되/XSV+면서/EC
유명해졌다.	유명/NNG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.233.6.1
폴은 자신이 원하던 웨이크 포레스트대학에 입학하게 되자 어린 시절 농구를 가르쳐 준 외할아버지에게 가장 먼저 전화를 걸어 기쁨을 나눴다.

폴은	폴/NNP+은/JX
자신이	자신/NNG+이/JKS
원하던	원/NNG+하/XSV+던/ETM
웨이크	웨이크/NNP
포레스트대학에	포레스트/NNP+대학/NNG+에/JKB
입학하게	입학/NNG+하/XSV+게/EC
되자	되/VV+자/EC
어린	어리/VA+ㄴ/ETM
시절	시절/NNG
농구를	농구/NNG+를/JKO
가르쳐	가르치/VV+어/EC
준	주/VX+ㄴ/ETM
외할아버지에게	외할아버지/NNG+에게/JKB
가장	가장/MAG
먼저	먼저/MAG
전화를	전화/NNG+를/JKO
걸어	걸/VV+어/EC
기쁨을	기쁨/NNG+을/JKO
나눴다.	나누/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.233.6.2
하지만 합격 다음 날 외할아버지는 집 앞에서 식료품을 들고 내리다 10대들에게 돈을 뺏기고 폭행을 당하고 나서 심장 이상으로 숨졌다.

하지만	하지만/MAJ
합격	합격/NNG
다음	다음/NNG
날	날/NNG
외할아버지는	외할아버지/NNG+는/JX
집	집/NNG
앞에서	앞/NNG+에서/JKB
식료품을	식료품/NNG+을/JKO
들고	들/VV+고/EC
내리다	내리/VV+다/EC
10대들에게	10/SN+대/NNB+들/XSN+에게/JKB
돈을	돈/NNG+을/JKO
뺏기고	뺏기/VV+고/EC
폭행을	폭행/NNG+을/JKO
당하고	당하/VV+고/EC
나서	나/VX+아서/EC
심장	심장/NNG
이상으로	이상/NNG+으로/JKB
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.233.7.1
장례식을 치른 뒤 다음 경기에서 폴은 61득점을 올리겠다고 결심했다.

장례식을	장례식/NNG+을/JKO
치른	치르/VV+ㄴ/ETM
뒤	뒤/NNG
다음	다음/NNG
경기에서	경기/NNG+에서/JKB
폴은	폴/NNP+은/JX
61득점을	61/SN+득점/NNG+을/JKO
올리겠다고	올리/VV+겠/EP+다고/EC
결심했다.	결심/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.233.7.2
사망 당시 외할아버지의 나이가 61세였기 때문이다.

사망	사망/NNG
당시	당시/NNG
외할아버지의	외할아버지/NNG+의/JKG
나이가	나이/NNG+가/JKS
61세였기	61/SN+세/NNB+이/VCP+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.233.7.3
폴은 경기 종료 2분 전 61득점에 성공했다.

폴은	폴/NNP+은/JX
경기	경기/NNG
종료	종료/NNG
2분	2/SN+분/NNB
전	전/NNG
61득점에	61/SN+득점/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.233.7.4
추가 자유투를 얻어내 자유투 라인에 섰지만 고의로 실패한 폴이 아버지의 품에 안겨 우는 장면은 팬들에게 큰 감동을 선사했다.

추가	추가/NNG
자유투를	자유투/NNG+를/JKO
얻어내	얻/VV+어/EC+내/VX+어/EC
자유투	자유투/NNG
라인에	라인/NNG+에/JKB
섰지만	서/VV+었/EP+지만/EC
고의로	고의/NNG+로/JKB
실패한	실패/NNG+하/XSV+ㄴ/ETM
폴이	폴/NNP+이/JKS
아버지의	아버지/NNG+의/JKG
품에	품/NNG+에/JKB
안겨	안기/VV+어/EC
우는	울/VV+는/ETM
장면은	장면/NNG+은/JX
팬들에게	팬/NNG+들/XSN+에게/JKB
큰	크/VA+ㄴ/ETM
감동을	감동/NNG+을/JKO
선사했다.	선사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.233.7.5
평소 자선 활동에 적극적으로 참여하는 폴은 지난해 아이티 지진 구호성금을 낼 때도 '61'에 맞춰 6만1616.61달러를 기부했다.

평소	평소/NNG
자선	자선/NNG
활동에	활동/NNG+에/JKB
적극적으로	적극/NNG+적/XSN+으로/JKB
참여하는	참여/NNG+하/XSV+는/ETM
폴은	폴/NNP+은/JX
지난해	지난해/NNG
아이티	아이티/NNP
지진	지진/NNG
구호성금을	구호/NNG+성금/NNG+을/JKO
낼	내/VV+ㄹ/ETM
때도	때/NNG+도/JX
'61'에	'/SS+61/SN+'/SS+에/JKB
맞춰	맞추/VV+어/EC
6만1616.61달러를	6/SN+만/NR+1616/SN+./SP+61/SN+달러/NNB+를/JKO
기부했다.	기부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.233.8.1
'천재 가드' 폴의 가세로 클리퍼스는 단숨에 강호로 부상했다.

'천재	'/SS+천재/NNG
가드'	가드/NNG+'/SS
폴의	폴/NNP+의/JKG
가세로	가세/NNG+로/JKB
클리퍼스는	클리퍼스/NNP+는/JX
단숨에	단숨에/MAG
강호로	강호/NNG+로/JKB
부상했다.	부상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.233.8.2
야후스포츠는 "팬들은 벌써 지난 시즌 슬램덩크 콘테스트 챔피언 블레이크 그리핀(클리퍼스)이 폴의 그림 같은 패스를 앨리웁 덩크로 연결하는 장면을 상상하며 즐거워하고 있다"고 전했다.

야후스포츠는	야후스포츠/NNP+는/JX
"팬들은	"/SS+팬/NNG+들/XSN+은/JX
벌써	벌써/MAG
지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
슬램덩크	슬램/NNG+덩크/NNG
콘테스트	콘테스트/NNG
챔피언	챔피언/NNG
블레이크	블레이크/NNP
그리핀(클리퍼스)이	그리핀/NNP+(/SS+클리퍼스/NNP+)/SS+이/JKS
폴의	폴/NNP+의/JKG
그림	그림/NNG
같은	같/VA+은/ETM
패스를	패스/NNG+를/JKO
앨리웁	앨리/NNG+웁/NNG
덩크로	덩크/NNG+로/JKB
연결하는	연결/NNG+하/XSV+는/ETM
장면을	장면/NNG+을/JKO
상상하며	상상/NNG+하/XSV+며/EC
즐거워하고	즐거워하/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


