# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.238
metadata : {}


# id : NWRW1800000029.238.1.1
법정으로 가는 ‘不孝’… “자식에게 생활비 받아달라” 소송 9년새 3배로 늘어

법정으로	법정/NNG+으로/JKB
신청했지만	신청/NNG+하/XSV+았/EP+지만/EC
거부당했다.	거부/NNG+당하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.238.5.2
권 씨의 장남이 5000만 원의 재산을 보유하고 있는 데다 월 소득이 700만 원이 넘어 자격이 되지 않는다는 게 이유였다.

권	권/NNP
씨의	씨/NNB+의/JKG
장남이	장남/NNG+이/JKS
5000만	5000/SN+만/NR
원의	원/NNB+의/JKG
재산을	재산/NNG+을/JKO
보유하고	보유/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
데다	데/NNB+다/JX
월	월/NNG
소득이	소득/NNG+이/JKS
700만	700/SN+만/NR
원이	원/NNB+이/JKS
넘어	넘/VV+어/EC
자격이	자격/NNG+이/JKC
되지	되/VV+지/EC
않는다는	않/VX+는다는/ETM
게	거/NNB+이/JKS
이유였다.	이유/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.238.5.3
권 씨는 “장남 부부와 껄끄러운 관계에 있고 아들이 부양을 기피하고 있다”며 항변했지만 구청은 이를 받아들이지 않았고, 결국 법원에 소송을 냈다.

권	권/NNP
씨는	씨/NNB+는/JX
“장남	“/SS+장남/NNG
부부와	부부/NNG+와/JKB
껄끄러운	껄끄럽/VA+ㄴ/ETM
관계에	관계/NNG+에/JKB
있고	있/VA+고/EC
아들이	아들/NNG+이/JKS
부양을	부양/NNG+을/JKO
기피하고	기피/NNG+하/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
항변했지만	항변/NNG+하/XSV+았/EP+지만/EC
구청은	구청/NNG+은/JX
이를	이/NP+를/JKO
받아들이지	받아들이/VV+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
결국	결국/NNG
법원에	법원/NNG+에/JKB
소송을	소송/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.238.6.1
1심 법원은 청구를 기각했지만 항소심 재판부는 “권 씨와 장남의 관계가 악화돼 연락과 왕래가 끊겼다”며 권 씨에게 사회보장서비스를 제공해야 한다고 판결했다.

1심	1심/NNG
법원은	법원/NNG+은/JX
청구를	청구/NNG+를/JKO
기각했지만	기각/NNG+하/XSV+았/EP+지만/EC
항소심	항소심/NNG
재판부는	재판부/NNG+는/JX
“권	“/SS+권/NNP
씨와	씨/NNB+와/JC
장남의	장남/NNG+의/JKG
관계가	관계/NNG+가/JKS
악화돼	악화/NNG+되/XSV+어/EC
연락과	연락/NNG+과/JC
왕래가	왕래/NNG+가/JKS
끊겼다”며	끊기/VV+었/EP+다/EF+”/SS+며/EC
권	권/NNP
씨에게	씨/NNB+에게/JKB
사회보장서비스를	사회/NNG+보장/NNG+서비스/NNG+를/JKO
제공해야	제공/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
판결했다.	판결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.238.6.2
부양의무가 있는 아들이 있어도 부양을 명백히 거부하거나 기피한 점이 인정되면 부모를 기초생활보장 수급권자로 인정해야 한다는 것.

부양의무가	부양/NNG+의무/NNG+가/JKS
있는	있/VA+는/ETM
아들이	아들/NNG+이/JKS
있어도	있/VA+어도/EC
부양을	부양/NNG+을/JKO
명백히	명백히/MAG
거부하거나	거부/NNG+하/XSV+거나/EC
기피한	기피/NNG+하/XSV+ㄴ/ETM
점이	점/NNG+이/JKS
인정되면	인정/NNG+되/XSV+면/EC
부모를	부모/NNG+를/JKO
기초생활보장	기초/NNG+생활/NNG+보장/NNG
수급권자로	수급권자/NNG+로/JKB
인정해야	인정/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000029.238.6.3
이와 관련해 정부는 올 8월 기초생활보장 급여수급자 157만 명을 조사해 부양가족이 있어 급여가 취소될 뻔한 2만2000명에 대해서는 오랫동안 교류가 없었던 점을 인정해 이들의 자격을 유지한 바 있다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
정부는	정부/NNG+는/JX
올	올/NNG
8월	8/SN+월/NNB
기초생활보장	기초/NNG+생활/NNG+보장/NNG
급여수급자	급여/NNG+수급자/NNG
157만	157/SN+만/NR
명을	명/NNB+을/JKO
조사해	조사/NNG+하/XSV+아/EC
부양가족이	부양가족/NNG+이/JKS
있어	있/VA+어/EC
급여가	급여/NNG+가/JKS
취소될	취소/NNG+되/XSV+ㄹ/ETM
뻔한	뻔/NNB+하/XSA+ㄴ/ETM
2만2000명에	2/SN+만/NR+2000/SN+명/NNB+에/JKB
대해서는	대하/VV+아서/EC+는/JX
오랫동안	오랫동안/NNG
교류가	교류/NNG+가/JKS
없었던	없/VA+었/EP+던/ETM
점을	점/NNG+을/JKO
인정해	인정/NNG+하/XSV+아/EC
이들의	이/NP+들/XSN+의/JKG
자격을	자격/NNG+을/JKO
유지한	유지/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.238.6.4
반면 부양가족이 있는 것으로 드러난 3만3000명의 급여 수급자격은 취소했다.

반면	반면/NNG
부양가족이	부양가족/NNG+이/JKS
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
드러난	드러나/VV+ㄴ/ETM
3만3000명의	3/SN+만/NR+3000/SN+명/NNB+의/JKG
급여	급여/NNG
수급자격은	수급/NNG+자격/NNG+은/JX
취소했다.	취소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.238.7.1
최근에는 연로한 부모가 부양을 기피하는 자녀를 상대로 부양료 청구 소송을 내 법원에서 인정되는 사례도 늘고 있다.

최근에는	최근/NNG+에/JKB+는/JX
연로한	연로/NNG+하/XSA+ㄴ/ETM
부모가	부모/NNG+가/JKS
부양을	부양/NNG+을/JKO
기피하는	기피/NNG+하/XSV+는/ETM
자녀를	자녀/NNG+를/JKO
상대로	상대/NNG+로/JKB
부양료	부양료/NNG
청구	청구/NNG
소송을	소송/NNG+을/JKO
내	내/VV+어/EC
법원에서	법원/NNG+에서/JKB
인정되는	인정/NNG+되/XSV+는/ETM
사례도	사례/NNG+도/JX
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.238.7.2
올 4월 서울가정법원에서는 60대 어머니가 성형외과 의사인 아들을 상대로 생활비를 달라며 낸 부양료 청구소송에서 “어머니가 돌아가실 때까지 매달 부양료 50만 원을 지급하라”는 판결이 나왔다.

올	올/NNG
4월	4/SN+월/NNB
서울가정법원에서는	서울가정법원/NNP+에서/JKB+는/JX
60대	60/SN+대/NNB
어머니가	어머니/NNG+가/JKS
성형외과	성형외과/NNG
의사인	의사/NNG+이/VCP+ㄴ/ETM
아들을	아들/NNG+을/JKO
상대로	상대/NNG+로/JKB
생활비를	생활비/NNG+를/JKO
달라며	달/VV+라며/EC
낸	내/VV+ㄴ/ETM
부양료	부양료/NNG
청구소송에서	청구/NNG+소송/NNG+에서/JKB
“어머니가	“/SS+어머니/NNG+가/JKS
돌아가실	돌아가/VV+시/EP+ㄹ/ETM
때까지	때/NNG+까지/JX
매달	매달/MAG
50만	50/SN+만/NR
원을	원/NNB+을/JKO
지급하라”는	지급/NNG+하/XSV+라/EF+”/SS+는/ETM
판결이	판결/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.238.7.3
이 같은 부양료 청구 소송은 2002년 68건에서 지난해 203건으로 9년 만에 3배 수준으로 급증했다.

이	이/NP
같은	같/VA+은/ETM
부양료	부양료/NNG
청구	청구/NNG
소송은	소송/NNG+은/JX
2002년	2002/SN+년/NNB
68건에서	68/SN+건/NNB+에서/JKB
지난해	지난해/NNG
203건으로	203/SN+건/NNB+으로/JKB
9년	9/SN+년/NNB
만에	만/NNB+에/JKB
3배	3/SN+배/NNG
수준으로	수준/NNG+으로/JKB
급증했다.	급증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.238.8.1
또 양아들이 손자들의 유학비용을 주지 않는다며 5년간 부양과 왕래를 끊자 양부모가 양아들을 상대로 파양 소송을 내 양친자 관계를 정리한 사례도 있었다.

또	또/MAG
양아들이	양아들/NNG+이/JKS
손자들의	손자/NNG+들/XSN+의/JKG
유학비용을	유학/NNG+비용/NNG+을/JKO
주지	주/VV+지/EC
않는다며	않/VX+는다며/EC
5년간	5/SN+년/NNB+간/XSN
부양과	부양/NNG+과/JC
왕래를	왕래/NNG+를/JKO
끊자	끊/VV+자/EC
양부모가	양부모/NNG+가/JKS
양아들을	양아들/NNG+을/JKO
상대로	상대/NNG+로/JKB
파양	파양/NNG
소송을	소송/NNG+을/JKO
내	내/VV+어/EC
양친자	양친자/NNG
관계를	관계/NNG+를/JKO
정리한	정리/NNG+하/XSV+ㄴ/ETM
사례도	사례/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000029.238.8.2
입양한 아들에게 친부모 못지않은 애정을 쏟았는데도 양아들이 학교를 자퇴하고 게임에만 몰두하자 양부모가 파양 소송을 내 이긴 판결도 나왔다.

입양한	입양/NNG+하/XSV+ㄴ/ETM
아들에게	아들/NNG+에게/JKB
친부모	친/XPN+부모/NNG
못지않은	못지않/VA+은/ETM
애정을	애정/NNG+을/JKO
쏟았는데도	쏟/VV+았/EP+는데/EC+도/JX
양아들이	양아들/NNG+이/JKS
학교를	학교/NNG+를/JKO
자퇴하고	자퇴/NNG+하/XSV+고/EC
게임에만	게임/NNG+에/JKB+만/JX
몰두하자	몰두/NNG+하/XSV+자/EC
양부모가	양부모/NNG+가/JKS
파양	파양/NNG
소송을	소송/NNG+을/JKO
내	내/VV+어/EC
이긴	이기/VV+ㄴ/ETM
판결도	판결/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


