# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.9
metadata : {}


# id : NWRW1800000022.9.1.1
"국가 대표로 누군가를 설득하는 경험에 매료됐어요";제1회 아시아청소년모의국회(AYP) 참가해보니…

"국가	"/SS+국가/NNG
국제모의유엔회의(THIMUN)	국제/NNG+모의/NNG+유엔/NNP+회의/NNG+(/SS+THIMUN/SL+)/SS
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
모의회의에	모의/NNG+회의/NNG+에/JKB
참가	참가/NNG
경력이	경력/NNG+이/JKS
있는	있/VA+는/ETM
실력파.	실력파/NNG+./SF


# id : NWRW1800000022.9.4.2
특히 김현규군은 대원외고에 다니던 사촌누나의 권유로 중3 때부터 국제모의회의에 참가했다.

특히	특히/MAG
김현규군은	김현규/NNP+군/NNB+은/JX
대원외고에	대원외고/NNP+에/JKB
다니던	다니/VV+던/ETM
사촌누나의	사촌/NNG+누나/NNG+의/JKG
권유로	권유/NNG+로/JKB
중3	중/NNG+3/SN
때부터	때/NNG+부터/JX
국제모의회의에	국제/NNG+모의/NNG+회의/NNG+에/JKB
참가했다.	참가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.9.4.3
“‘내’가 아닌 ‘국가’를 대표해 의견을 제시하는 새로운 경험에 매료됐다”고 했다.

“‘내’가	“/SS+‘/SS+내/NP+’/SS+가/JKC
아닌	아니/VCN+ㄴ/ETM
‘국가’를	‘/SS+국가/NNG+’/SS+를/JKO
대표해	대표/NNG+하/XSV+아/EC
의견을	의견/NNG+을/JKO
제시하는	제시/NNG+하/XSV+는/ETM
새로운	새롭/VA+ㄴ/ETM
경험에	경험/NNG+에/JKB
매료됐다”고	매료/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.9.5.1
“수백 명 앞에서 영어로 ‘연설’하는 것은 정말 어려운 일이에요.

“수백	“/SS+수백/NR
명	명/NNB
앞에서	앞/NNG+에서/JKB
영어로	영어/NNP+로/JKB
‘연설’하는	‘/SS+연설/NNG+’/SS+하/XSV+는/ETM
것은	것/NNB+은/JX
정말	정말/MAG
어려운	어렵/VA+ㄴ/ETM
일이에요.	일/NNG+이/VCP+에요/EF+./SF


# id : NWRW1800000022.9.5.2
저는 링컨 대통령, 킹 목사 등 명사들의 명연설을 많이 따라 외우며 연습했어요.

저는	저/NP+는/JX
링컨	링컨/NNP
대통령,	대통령/NNG+,/SP
킹	킹/NNP
목사	목사/NNG
등	등/NNB
명사들의	명사/NNG+들/XSN+의/JKG
명연설을	명연설/NNG+을/JKO
많이	많이/MAG
따라	따르/VV+아/EC
외우며	외우/VV+며/EC
연습했어요.	연습/NNG+하/XSV+았/EP+어요/EF+./SF


# id : NWRW1800000022.9.5.3
또 제한된 시간 내에 제 생각을 효과적으로 전달하는 방법도 배우게 됐어요.”

또	또/MAG
제한된	제한/NNG+되/XSV+ㄴ/ETM
시간	시간/NNG
내에	내/NNB+에/JKB
제	저/NP+의/JKG
생각을	생각/NNG+을/JKO
효과적으로	효과/NNG+적/XSN+으로/JKB
전달하는	전달/NNG+하/XSV+는/ETM
방법도	방법/NNG+도/JX
배우게	배우/VV+게/EC
됐어요.”	되/VV+었/EP+어요/EF+./SF+”/SS


# id : NWRW1800000022.9.6.1
정재원양은 고1 때 그리스에서 열린 HMCE(Harvard Model Congress Europe)에 처음 참가했다.

정재원양은	정재원/NNP+양/NNB+은/JX
고1	고/NNG+1/SN
때	때/NNG
그리스에서	그리스/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
HMCE(Harvard	HMCE/SL+(/SS+Harvard/SL
Model	Model/SL
Congress	Congress/SL
Europe)에	Europe/SL+)/SS+에/JKB
처음	처음/NNG
참가했다.	참가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.9.6.2
“처음에는 단순히 ‘해외여행’이라고만 생각했어요.

“처음에는	“/SS+처음/NNG+에/JKB+는/JX
단순히	단순히/MAG
‘해외여행’이라고만	‘/SS+해외여행/NNG+’/SS+이/VCP+라고/EC+만/JX
생각했어요.	생각/NNG+하/XSV+았/EP+어요/EF+./SF


# id : NWRW1800000022.9.6.3
하지만 막상 참가해보니 제 생각과는 전혀 달랐죠.

하지만	하지만/MAJ
막상	막상/MAG
참가해보니	참가/NNG+하/XSV+아/EC+보/VX+니/EC
제	저/NP+의/JKG
생각과는	생각/NNG+과/JKB+는/JX
전혀	전혀/MAG
달랐죠.	다르/VA+았/EP+죠/EF+./SF


# id : NWRW1800000022.9.6.4
같은 학년의 외국학생들이 유창한 영어로 자신의 생각을 논리적으로 풀어내는 데 놀랐고, 또 저와 전혀 다른 사고방식을 가졌다는 점에서 문화적 충격도 받았어요.

같은	같/VA+은/ETM
학년의	학년/NNG+의/JKG
외국학생들이	외국/NNG+학생/NNG+들/XSN+이/JKS
유창한	유창하/VA+ㄴ/ETM
영어로	영어/NNP+로/JKB
자신의	자신/NNG+의/JKG
생각을	생각/NNG+을/JKO
논리적으로	논리/NNG+적/XSN+으로/JKB
풀어내는	풀어내/VV+는/ETM
데	데/NNB
놀랐고,	놀라/VV+았/EP+고/EC+,/SP
또	또/MAG
저와	저/NP+와/JKB
전혀	전혀/MAG
다른	다르/VA+ㄴ/ETM
사고방식을	사고방식/NNG+을/JKO
가졌다는	가지/VV+었/EP+다는/ETM
점에서	점/NNG+에서/JKB
문화적	문화/NNG+적/XSN
충격도	충격/NNG+도/JX
받았어요.	받/VV+았/EP+어요/EF+./SF


# id : NWRW1800000022.9.6.5
그런 매력 때문에 국제모의회의에 계속 참가하게 됐고, 다양한 경험을 하면서 제 스스로도 많이 성장했어요.”

그런	그런/MMD
매력	매력/NNG
때문에	때문/NNB+에/JKB
국제모의회의에	국제/NNG+모의/NNG+회의/NNG+에/JKB
계속	계속/MAG
참가하게	참가/NNG+하/XSV+게/EC
됐고,	되/VV+었/EP+고/EC+,/SP
다양한	다양/NNG+하/XSA+ㄴ/ETM
경험을	경험/NNG+을/JKO
하면서	하/VV+면서/EC
제	제/NP
스스로도	스스로/NNG+도/JX
많이	많이/MAG
성장했어요.”	성장/NNG+하/XSV+았/EP+어요/EF+./SF+”/SS


# id : NWRW1800000022.9.7.1
청소년들이 참가하는 모의회의지만, 열기는 실제 국제회의 못지않다.

청소년들이	청소년/NNG+들/XSN+이/JKS
참가하는	참가/NNG+하/XSV+는/ETM
모의회의지만,	모의/NNG+회의/NNG+이/VCP+지만/EC+,/SP
열기는	열기/NNG+는/JX
실제	실제/NNG
국제회의	국제회의/NNG
못지않다.	못지않/VA+다/EF+./SF


# id : NWRW1800000022.9.7.2
그만큼 참가하는 학생들은 자신의 생각을 강하게 주장할 수 있는 토론실력과 리더십, 자신감을 갖춰야 한다.

그만큼	그만큼/MAG
참가하는	참가/NNG+하/XSV+는/ETM
학생들은	학생/NNG+들/XSN+은/JX
자신의	자신/NNG+의/JKG
생각을	생각/NNG+을/JKO
강하게	강하/VA+게/EC
주장할	주장/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
토론실력과	토론/NNG+실력/NNG+과/JC
리더십,	리더십/NNG+,/SP
자신감을	자신감/NNG+을/JKO
갖춰야	갖추/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000022.9.7.3
네 명의 학생들도 어릴 때부터 생활 속에서 이런 능력을 키워왔다.

네	네/MMN
명의	명/NNB+의/JKG
학생들도	학생/NNG+들/XSN+도/JX
어릴	어리/VA+ㄹ/ETM
때부터	때/NNG+부터/JX
생활	생활/NNG
속에서	속/NNG+에서/JKB
이런	이런/MMD
능력을	능력/NNG+을/JKO
키워왔다.	키우/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.9.8.1
김현규군의 토론실력은 ‘독서’에서 나왔다.

김현규군의	김현규/NNP+군/NNB+의/JKG
토론실력은	토론/NNG+실력/NNG+은/JX
‘독서’에서	‘/SS+독서/NNG+’/SS+에서/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.9.8.2
김군의 부모는 어릴 때부터 아들이 뭔가를 물어보면 답 대신 책을 한권씩 사줬다.

김군의	김/NNP+군/NNB+의/JKG
부모는	부모/NNG+는/JX
어릴	어리/VA+ㄹ/ETM
때부터	때/NNG+부터/JX
아들이	아들/NNG+이/JKS
뭔가를	뭐/NP+이/VCP+ㄴ가/EF+를/JKO
물어보면	물어보/VV+면/EC
답	답/NNG
대신	대신/NNG
책을	책/NNG+을/JKO
한권씩	한/MMN+권/NNB+씩/XSN
사줬다.	사/VV+아/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.9.8.3
먼저 책을 읽어보고 스스로 답을 찾도록 유도한 것이다.

먼저	먼저/MAG
책을	책/NNG+을/JKO
읽어보고	읽/VV+어/EC+보/VX+고/EC
스스로	스스로/MAG
답을	답/NNG+을/JKO
찾도록	찾/VV+도록/EC
유도한	유도/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.9.8.4
요즘도 그는 호기심을 풀기 위해 책을 뒤지는 습관을 갖게 됐다.

요즘도	요즘/NNG+도/JX
그는	그/NP+는/JX
호기심을	호기심/NNG+을/JKO
풀기	풀/VV+기/ETN
위해	위하/VV+아/EC
책을	책/NNG+을/JKO
뒤지는	뒤지/VV+는/ETM
습관을	습관/NNG+을/JKO
갖게	갖/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.9.8.5
과학시간에 배운 내용이 잘 이해되지 않으면 서점에서 그 단원에 관련된 책을 구해 읽는다.

과학시간에	과학/NNG+시간/NNG+에/JKB
배운	배우/VV+ㄴ/ETM
내용이	내용/NNG+이/JKS
잘	잘/MAG
이해되지	이해/NNG+되/XSV+지/EC
않으면	않/VX+으면/EC
서점에서	서점/NNG+에서/JKB
그	그/MMD
단원에	단원/NNG+에/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
책을	책/NNG+을/JKO
구해	구하/VV+아/EC
읽는다.	읽/VV+는다/EF+./SF


# id : NWRW1800000022.9.8.6
덕분에 독서능력도 높아졌다.

덕분에	덕분/NNG+에/JKB
독서능력도	독서/NNG+능력/NNG+도/JX
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.9.8.7
“모의회의에 나갈 때는 읽어야 할 자료가 무척 많은데 굉장히 빨리 읽고 이해할 수 있어 더 유리했다”고 했다.

“모의회의에	“/SS+모의/NNG+회의/NNG+에/JKB
나갈	나가/VV+ㄹ/ETM
때는	때/NNG+는/JX
읽어야	읽/VV+어야/EC
할	하/VX+ㄹ/ETM
자료가	자료/NNG+가/JKS
무척	무척/MAG
많은데	많/VA+은데/EC
굉장히	굉장히/MAG
빨리	빨리/MAG
읽고	읽/VV+고/EC
이해할	이해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
더	더/MAG
유리했다”고	유리/NNG+하/XSA+았/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.9.9.1
백혜린양은 초등학교 4학년 때 교환연구원이 된 이모 부부를 따라 캐나다에서 1년 6개월을 보냈다.

백혜린양은	백혜린/NNP+양/NNB+은/JX
초등학교	초등학교/NNG
4학년	4/SN+학년/NNG
때	때/NNG
교환연구원이	교환/NNG+연구원/NNG+이/JKC
된	되/VV+ㄴ/ETM
이모	이모/NNG
부부를	부부/NNG+를/JKO
따라	따르/VV+아/EC
캐나다에서	캐나다/NNP+에서/JKB
1년	1/SN+년/NNB
6개월을	6/SN+개월/NNB+을/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.9.9.2
그 시기 부족한 영어실력을 키우고, 손을 내밀어 새로운 친구를 사귀었다.

그	그/MMD
시기	시기/NNG
부족한	부족/NNG+하/XSA+ㄴ/ETM
영어실력을	영어/NNP+실력/NNG+을/JKO
키우고,	키우/VV+고/EC+,/SP
손을	손/NNG+을/JKO
내밀어	내밀/VV+어/EC
새로운	새롭/VA+ㄴ/ETM
친구를	친구/NNG+를/JKO
사귀었다.	사귀/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.9.9.3
어디를 갈 때도 지도를 보며 혼자 다녔다.

어디를	어디/NP+를/JKO
갈	가/VV+ㄹ/ETM
때도	때/NNG+도/JX
지도를	지도/NNG+를/JKO
보며	보/VV+며/EC
혼자	혼자/MAG
다녔다.	다니/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.9.9.4
스스로 공부계획을 세우고 프로젝트식 수업을 준비하는 등 모든 문제를 혼자 해결하며 자립심을 키웠다.

스스로	스스로/MAG
공부계획을	공부/NNG+계획/NNG+을/JKO
세우고	세우/VV+고/EC
프로젝트식	프로젝트식/NNG
수업을	수업/NNG+을/JKO
준비하는	준비/NNG+하/XSV+는/ETM
등	등/NNB
모든	모든/MMN
문제를	문제/NNG+를/JKO
혼자	혼자/MAG
해결하며	해결/NNG+하/XSV+며/EC
자립심을	자립심/NNG+을/JKO
키웠다.	키우/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.9.9.5
“이런 경험을 하면서 소심했던 성격이 바뀌었고, 모의회의에서 의장을 맡을 정도로 스스로에게 자신감이 생겼다”고 했다.

“이런	“/SS+이런/MMD
경험을	경험/NNG+을/JKO
하면서	하/VV+면서/EC
소심했던	소심하/VA+았/EP+던/ETM
성격이	성격/NNG+이/JKS
바뀌었고,	바뀌/VV+었/EP+고/EC+,/SP
모의회의에서	모의/NNG+회의/NNG+에서/JKB
의장을	의장/NNG+을/JKO
맡을	맡/VV+을/ETM
정도로	정도/NNG+로/JKB
스스로에게	스스로/NNG+에게/JKB
자신감이	자신감/NNG+이/JKS
생겼다”고	생기/VV+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.9.10.1
국제모의회의는 전 과정이 영어로 진행된다.

국제모의회의는	국제/NNG+모의/NNG+회의/NNG+는/JX
전	전/MMN
과정이	과정/NNG+이/JKS
영어로	영어/NNP+로/JKB
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.9.10.2
열띤 토론에서 상대방에게 뒤지지 않으려면 뛰어난 영어실력은 필수다.

열띤	열띠/VA+ㄴ/ETM
토론에서	토론/NNG+에서/JKB
상대방에게	상대방/NNG+에게/JKB
뒤지지	뒤지/VV+지/EC
않으려면	않/VX+으려면/EC
뛰어난	뛰어나/VA+ㄴ/ETM
영어실력은	영어/NNP+실력/NNG+은/JX
필수다.	필수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.9.10.3
박성우군의 영어비법 중 하나는 바로 ‘영화’.

박성우군의	박성우/NNP+군/NNB+의/JKG
영어비법	영어/NNP+비법/NNG
중	중/NNB
하나는	하나/NR+는/JX
바로	바로/MAG
‘영화’.	‘/SS+영화/NNG+’/SS+./SF


# id : NWRW1800000022.9.10.4
영화를 보면서 마음에 드는 캐릭터를 따라 하면서 재미있게 공부했다.

영화를	영화/NNG+를/JKO
보면서	보/VV+면서/EC
마음에	마음/NNG+에/JKB
드는	들/VV+는/ETM
캐릭터를	캐릭터/NNG+를/JKO
따라	따르/VV+아/EC
하면서	하/VV+면서/EC
재미있게	재미있/VA+게/EC
공부했다.	공부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.9.10.5
대사는 물론 억양, 말투, 행동까지 그대로 따라 하면서 영어발음과 회화실력이 몰라보게 늘었다.

대사는	대사/NNG+는/JX
물론	물론/MAG
억양,	억양/NNG+,/SP
말투,	말투/NNG+,/SP
행동까지	행동/NNG+까지/JX
그대로	그대로/MAG
따라	따르/VV+아/EC
하면서	하/VV+면서/EC
영어발음과	영어/NNP+발음/NNG+과/JC
회화실력이	회화/NNG+실력/NNG+이/JKS
몰라보게	몰라보/VV+게/EC
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.9.11.1
백혜린양은 좋아하는 책들을 영어버전으로 읽었다.

백혜린양은	백혜린/NNP+양/NNB+은/JX
좋아하는	좋아하/VV+는/ETM
책들을	책/NNG+들/XSN+을/JKO
영어버전으로	영어/NNP+버전/NNG+으로/JKB
읽었다.	읽/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.9.11.2
이미 줄거리를 아는 만큼 단어를 몰라도 멈추지 않고 계속 읽어나갔다.

이미	이미/MAG
줄거리를	줄거리/NNG+를/JKO
아는	알/VV+는/ETM
만큼	만큼/NNB
단어를	단어/NNG+를/JKO
몰라도	모르/VV+아도/EC
멈추지	멈추/VV+지/EC
않고	않/VX+고/EC
계속	계속/MAG
읽어나갔다.	읽/VV+어/EC+나가/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.9.11.3
모르는 단어는 다 읽은 뒤 외웠다.

모르는	모르/VV+는/ETM
단어는	단어/NNG+는/JX
다	다/MAG
읽은	읽/VV+은/ETM
뒤	뒤/NNG
외웠다.	외우/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.9.11.4
또 영어뉴스와 내셔널지오그래픽 등 영어잡지를 보면서 영어실력을 키웠다.

또	또/MAG
영어뉴스와	영어/NNP+뉴스/NNG+와/JC
내셔널지오그래픽	내셔널지오그래픽/NNP
등	등/NNB
영어잡지를	영어/NNP+잡지/NNG+를/JKO
보면서	보/VV+면서/EC
영어실력을	영어/NNP+실력/NNG+을/JKO
키웠다.	키우/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.9.11.5
김현규군과 정재원양은 집에서 동생과 영어로 대화하는 방법을 썼다.

김현규군과	김현규/NNP+군/NNB+과/JC
정재원양은	정재원/NNP+양/NNB+은/JX
집에서	집/NNG+에서/JKB
동생과	동생/NNG+과/JKB
영어로	영어/NNP+로/JKB
대화하는	대화/NNG+하/XSV+는/ETM
방법을	방법/NNG+을/JKO
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.9.11.6
이들은 “한국에서는 실제로 영어를 활용할 기회가 적다”며 “집에서 하루에 몇 시간씩 영어로 대화하는 것이 학원보다 훨씬 효과적”이라고 입을 모았다.

이들은	이/NP+들/XSN+은/JX
“한국에서는	“/SS+한국/NNP+에서/JKB+는/JX
실제로	실제로/MAG
영어를	영어/NNP+를/JKO
활용할	활용/NNG+하/XSV+ㄹ/ETM
기회가	기회/NNG+가/JKS
적다”며	적/VA+다/EF+”/SS+며/EC
“집에서	“/SS+집/NNG+에서/JKB
하루에	하루/NNG+에/JKB
몇	몇/NR
시간씩	시간/NNB+씩/XSN
영어로	영어/NNP+로/JKB
대화하는	대화/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
학원보다	학원/NNG+보다/JKB
훨씬	훨씬/MAG
효과적”이라고	효과/NNG+적/XSN+”/SS+이라고/JKQ
입을	입/NNG+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.9.12.1
국제모의회의에 참가해 국제문제에 관심을 가지면서 장래희망도 많이 바뀌었다.

국제모의회의에	국제/NNG+모의/NNG+회의/NNG+에/JKB
참가해	참가/NNG+하/XSV+아/EC
국제문제에	국제/NNG+문제/NNG+에/JKB
관심을	관심/NNG+을/JKO
가지면서	가지/VV+면서/EC
장래희망도	장래/NNG+희망/NNG+도/JX
많이	많이/MAG
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.9.12.2
한국이 아닌 국제세계를 바라보며 장차 자신이 인류를 위해 어떤 일을 할 수 있는가를 생각하게 됐다.

한국이	한국/NNP+이/JKC
아닌	아니/VCN+ㄴ/ETM
국제세계를	국제/NNG+세계/NNG+를/JKO
바라보며	바라보/VV+며/EC
장차	장차/MAG
자신이	자신/NNG+이/JKS
인류를	인류/NNG+를/JKO
위해	위하/VV+아/EC
어떤	어떤/MMD
일을	일/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는가를	있/VA+는가/EF+를/JKO
생각하게	생각/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.9.12.3
박성우군은 “한 사람이 얼마나 큰 힘을 발휘할 수 있는가를 깨달았다”고 했다.

박성우군은	박성우/NNP+군/NNB+은/JX
“한	“/SS+한/MMN
사람이	사람/NNG+이/JKS
얼마나	얼마나/MAG
큰	크/VA+ㄴ/ETM
힘을	힘/NNG+을/JKO
발휘할	발휘/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는가를	있/VA+는가/EF+를/JKO
깨달았다”고	깨닫/VV+았/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.9.13.1
“저 혼자는 약하지만, 다른 사람을 설득하면서 작은 의견이 거대한 힘이 되는 과정을 느꼈어요.

“저	“/SS+저/NP
혼자는	혼자/NNG+는/JX
약하지만,	약하/VA+지만/EC+,/SP
