# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.91
metadata : {}


# id : NWRW1800000038.91.1.1
김민기·김광석 생각나는 편안한 목소리

김민기·김광석	김민기/NNP+·/SP+김광석/NNP
꿈꿨으나	꿈꾸/VV+었/EP+으나/EC
우연히	우연히/MAG
음악의	음악/NNG+의/JKG
길에	길/NNG+에/JKB
들어섰다.	들어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.91.6.1
"초등학교 때 체르니 30번까지 피아노를 쳤어요.

"초등학교	"/SS+초등학교/NNG
때	때/NNG
체르니	체르니/NNP
30번까지	30/SN+번/NNB+까지/JX
피아노를	피아노/NNG+를/JKO
쳤어요.	치/VV+었/EP+어요/EF+./SF


# id : NWRW1800000038.91.6.2
그 뒤로는 잊어버리지 않을 정도로 연습만 했고요.

그	그/MMD
뒤로는	뒤/NNG+로/JKB+는/JX
잊어버리지	잊어버리/VV+지/EC
않을	않/VX+을/ETM
정도로	정도/NNG+로/JKB
연습만	연습/NNG+만/JX
했고요.	하/VV+았/EP+고/EC+요/JX+./SF


# id : NWRW1800000038.91.6.3
그렇지만 어려서 노래를 즐겨 하거나 잘한다는 말을 들은 적은 없어요." 그 말대로 김목인은 절창(絶唱)의 가수가 아니다.

그렇지만	그렇지만/MAJ
어려서	어리/VA+어서/EC
노래를	노래/NNG+를/JKO
즐겨	즐기/VV+어/EC
하거나	하/VX+거나/EC
잘한다는	잘/MAG+하/XSV+ㄴ다는/ETM
말을	말/NNG+을/JKO
들은	듣/VV+은/ETM
적은	적/NNB+은/JX
없어요."	없/VA+어요/EF+./SF+"/SS
그	그/MMD
말대로	말/NNG+대로/JX
김목인은	김목인/NNP+은/JX
절창(絶唱)의	절창/NNG+(/SS+絶唱/SH+)/SS+의/JKG
가수가	가수/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000038.91.6.4
그러나 자신의 저음(低音)을 매우 잘 이해하고 있다.

그러나	그러나/MAJ
자신의	자신/NNG+의/JKG
저음(低音)을	저음/NNG+(/SS+低音/SH+)/SS+을/JKO
매우	매우/MAG
잘	잘/MAG
이해하고	이해/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.91.6.5
마이클 부블레를 처음 들었을 때만큼이나 신선했다.

마이클	마이클/NNP
부블레를	부블레/NNP+를/JKO
처음	처음/NNG
들었을	듣/VV+었/EP+을/ETM
때만큼이나	때/NNG+만큼/JKB+이나/JX
신선했다.	신선하/VA+았/EP+다/EF+./SF


# id : NWRW1800000038.91.6.6
특히 이번 앨범은 1집에 비해 사운드 프러덕션이 훨씬 좋아졌다.

특히	특히/MAG
이번	이번/NNG
앨범은	앨범/NNG+은/JX
1집에	1/SN+집/NNB+에/JKB
비해	비/NNG+하/XSV+아/EC
사운드	사운드/NNG
프러덕션이	프러덕션/NNG+이/JKS
훨씬	훨씬/MAG
좋아졌다.	좋/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.91.6.7
리버브(reverb·殘響)를 일절 넣지 않은 그의 음색과 창법은 전래동화를 전문으로 낭독하는 성우처럼 회화적이며 친근하다.

리버브(reverb·殘響)를	리버브/NNG+(/SS+reverb/SL+·/SP+殘響/SH+)/SS+를/JKO
일절	일절/MAG
넣지	넣/VV+지/EC
않은	않/VX+은/ETM
그의	그/NP+의/JKG
음색과	음색/NNG+과/JC
창법은	창법/NNG+은/JX
전래동화를	전래/NNG+동화/NNG+를/JKO
전문으로	전문/NNG+으로/JKB
낭독하는	낭독/NNG+하/XSV+는/ETM
성우처럼	성우/NNG+처럼/JKB
회화적이며	회화/NNG+적/XSN+이/VCP+며/EC
친근하다.	친근하/VA+다/EF+./SF


# id : NWRW1800000038.91.7.1
가사를 빼놓고 김목인의 노래를 설명할 수 없다.

가사를	가사/NNG+를/JKO
빼놓고	빼놓/VV+고/EC
김목인의	김목인/NNP+의/JKG
노래를	노래/NNG+를/JKO
설명할	설명/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000038.91.7.2
'정오의 병실'은 주로 교통사고 환자들이 입원한 어느 병실의 풍경을 묘사하고 있다.

'정오의	'/SS+정오/NNG+의/JKG
병실'은	병실/NNG+'/SS+은/JX
주로	주로/MAG
교통사고	교통사고/NNG
환자들이	환자/NNG+들/XSN+이/JKS
입원한	입원/NNG+하/XSV+ㄴ/ETM
어느	어느/MMD
병실의	병실/NNG+의/JKG
풍경을	풍경/NNG+을/JKO
묘사하고	묘사/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.91.7.3
쉴 새 없이 전화하는 청년과 몰래 빠져나가 영업하는 택시기사, 병원에 상주하며 공짜 링거를 맞는 보험사 직원이 등장하는 이 노래는 상상력을 좀 보태면 담백한 단편소설 한 편이 될 것 같다.

쉴	쉬/VV+ㄹ/ETM
새	새/NNG
없이	없이/MAG
전화하는	전화/NNG+하/XSV+는/ETM
청년과	청년/NNG+과/JKB
몰래	몰래/MAG
빠져나가	빠져나가/VV+아/EC
영업하는	영업/NNG+하/XSV+는/ETM
택시기사,	택시/NNG+기사/NNG+,/SP
병원에	병원/NNG+에/JKB
상주하며	상주/NNG+하/XSV+며/EC
공짜	공짜/NNG
링거를	링거/NNG+를/JKO
맞는	맞/VV+는/ETM
보험사	보험사/NNG
직원이	직원/NNG+이/JKS
등장하는	등장/NNG+하/XSV+는/ETM
이	이/MMD
노래는	노래/NNG+는/JX
상상력을	상상력/NNG+을/JKO
좀	좀/MAG
보태면	보태/VV+면/EC
담백한	담백하/VA+ㄴ/ETM
단편소설	단편/NNG+소설/NNG
한	한/MMN
편이	편/NNB+이/JKC
될	되/VV+ㄹ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000038.91.7.4
피아노의 8분음표가 행진하는 가운데 베이스와 어쿠스틱 기타가 피아노 선율의 어깨와 허리춤을 간질이는 이 노래는 근래 들어본 음악 중 가장 돋보이는 소품이다.

피아노의	피아노/NNG+의/JKG
8분음표가	8/SN+분/XSN+음표/NNG+가/JKS
행진하는	행진/NNG+하/XSV+는/ETM
가운데	가운데/NNG
베이스와	베이스/NNG+와/JC
어쿠스틱	어쿠스틱/NNG
기타가	기타/NNG+가/JKS
피아노	피아노/NNG
선율의	선율/NNG+의/JKG
어깨와	어깨/NNG+와/JC
허리춤을	허리춤/NNG+을/JKO
간질이는	간질이/VV+는/ETM
이	이/MMD
노래는	노래/NNG+는/JX
근래	근래/NNG
들어본	듣/VV+어/EC+보/VX+ㄴ/ETM
음악	음악/NNG
중	중/NNB
가장	가장/MAG
돋보이는	돋보이/VV+는/ETM
소품이다.	소품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.91.8.1
재즈 문법이 앨범 전반을 흐르고 있고 심지어 어떤 파트엔 오보에나 클라리넷을 썼더라면 더 좋았을 것 같기도 하다.

재즈	재즈/NNG
문법이	문법/NNG+이/JKS
앨범	앨범/NNG
전반을	전반/NNG+을/JKO
흐르고	흐르/VV+고/EC
있고	있/VX+고/EC
심지어	심지어/MAG
어떤	어떤/MMD
파트엔	파트/NNG+에/JKB+ㄴ/JX
오보에나	오보에/NNG+나/JX
클라리넷을	클라리넷/NNG+을/JKO
썼더라면	쓰/VV+었/EP+더라면/EC
더	더/MAG
좋았을	좋/VA+았/EP+을/ETM
것	것/NNB
같기도	같/VA+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000038.91.8.2
김목인은 "재즈를 공부한 적은 없지만 1930~40년대 스윙재즈를 좋아하다 보니 영향받은 모양"이라며 "그러나 하고 싶은 이야기를 먼저 정하고 그에 어울리는 장르와 멜로디를 맞추는 포크의 작법을 따르고 있다"고 말했다.

김목인은	김목인/NNP+은/JX
"재즈를	"/SS+재즈/NNG+를/JKO
공부한	공부/NNG+하/XSV+ㄴ/ETM
적은	적/NNB+은/JX
없지만	없/VA+지만/EC
1930~40년대	1930/SN+~/SO+40/SN+년대/NNB
스윙재즈를	스윙/NNG+재즈/NNG+를/JKO
좋아하다	좋아하/VV+다/EC
보니	보/VX+니/EC
영향받은	영향/NNG+받/XSV+은/ETM
모양"이라며	모양/NNG+"/SS+이/VCP+라며/EC
"그러나	"/SS+그러나/MAJ
하고	하/VV+고/EC
싶은	싶/VX+은/ETM
이야기를	이야기/NNG+를/JKO
먼저	먼저/MAG
정하고	정하/VV+고/EC
그에	그/NP+에/JKB
어울리는	어울리/VV+는/ETM
장르와	장르/NNG+와/JC
멜로디를	멜로디/NNG+를/JKO
맞추는	맞추/VV+는/ETM
포크의	포크/NNG+의/JKG
작법을	작법/NNG+을/JKO
따르고	따르/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.91.8.3
그의 음악에서 김민기 뮤지컬이나 동물원 가사를 떠올리게 한 것은 바로 그 포크 정신이었다.

그의	그/NP+의/JKG
음악에서	음악/NNG+에서/JKB
김민기	김민기/NNP
뮤지컬이나	뮤지컬/NNG+이나/JC
동물원	동물원/NNP
가사를	가사/NNG+를/JKO
떠올리게	떠올리/VV+게/EC
한	하/VX+ㄴ/ETM
것은	것/NNB+은/JX
바로	바로/MAG
그	그/MMD
포크	포크/NNG
정신이었다.	정신/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.91.9.1
세계 청년들의 가출을 충동한 잭 케루악의 '길 위에서'를 스물다섯 살 때 원서로 읽고 "번역해보고 싶을 만큼" 좋아했단다.

세계	세계/NNG
청년들의	청년/NNG+들/XSN+의/JKG
가출을	가출/NNG+을/JKO
충동한	충동/NNG+하/XSV+ㄴ/ETM
잭	잭/NNP
케루악의	케루악/NNP+의/JKG
'길	'/SS+길/NNG
위에서'를	위/NNG+에서/JKB+'/SS+를/JKO
스물다섯	스물다섯/NR
살	살/NNB
때	때/NNG
원서로	원서/NNG+로/JKB
읽고	읽/VV+고/EC
"번역해보고	"/SS+번역/NNG+하/XSV+아/EC+보/VX+고/EC
싶을	싶/VX+을/ETM
만큼"	만큼/NNB+"/SS
좋아했단다.	좋아하/VV+았/EP+단다/EF+./SF


# id : NWRW1800000038.91.9.2
읽고 쓰기에 관심이 많아 5년쯤 전부터 일기를 쓰고 있다고 한다.

읽고	읽/VV+고/EC
쓰기에	쓰/VV+기에/EC
관심이	관심/NNG+이/JKS
많아	많/VA+아/EC
5년쯤	5/SN+년/NNB+쯤/XSN
전부터	전/NNG+부터/JX
일기를	일기/NNG+를/JKO
쓰고	쓰/VV+고/EC
있다고	있/VX+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.91.9.3
1년 전 결혼해 갓난 딸을 둔 그가 여전히 길 위에 있는 것 같지는 않았다.

1년	1/SN+년/NNB
전	전/NNG
결혼해	결혼/NNG+하/XSV+아/EC
갓난	갓난/MMA
딸을	딸/NNG+을/JKO
둔	두/VV+ㄴ/ETM
그가	그/NP+가/JKS
여전히	여전히/MAG
길	길/NNG
위에	위/NNG+에/JKB
있는	있/VA+는/ETM
것	것/NNB
같지는	같/VA+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.91.9.4
그러나 먼 길을 걸어와 땀을 씻고 책상에 앉은 사람의 가사와 목소리를, 김목인은 들려주고 있다.

그러나	그러나/MAJ
먼	멀/VA+ㄴ/ETM
길을	길/NNG+을/JKO
걸어와	걸어오/VV+아/EC
땀을	땀/NNG+을/JKO
씻고	씻/VV+고/EC
책상에	책상/NNG+에/JKB
앉은	앉/VV+은/ETM
사람의	사람/NNG+의/JKG
가사와	가사/NNG+와/JC
목소리를,	목소리/NNG+를/JKO+,/SP
김목인은	김목인/NNP+은/JX
들려주고	들려주/VV+고/EC
있다.	있/VX+다/EF+./SF


