# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.184
metadata : {}


# id : NWRW1800000048.184.1.1
‘심산상’에 김중배 선생…“민주화 희망 살린 명칼럼 평가”

‘심산상’에	‘/SS+심산상/NNP+’/SS+에/JKB
국제관에서	국제관/NNG+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.184.4.3
1회 때는 송건호 한겨레신문사 초대 회장이 수상했고, 고 김수환 추기경과 백낙청·강만길 교수 등 독재 시절에 민주화를 위해 헌신했던 여러 인사들이 상을 받았다.

1회	1/SN+회/NNB
때는	때/NNG+는/JX
송건호	송건호/NNP
한겨레신문사	한겨레신문사/NNP
초대	초대/NNG
회장이	회장/NNG+이/JKS
수상했고,	수상/NNG+하/XSV+았/EP+고/EC+,/SP
고	고/MMA
김수환	김수환/NNP
추기경과	추기경/NNG+과/JC
백낙청·강만길	백낙청/NNP+·/SP+강만길/NNP
교수	교수/NNG
등	등/NNB
독재	독재/NNG
시절에	시절/NNG+에/JKB
민주화를	민주/NNG+화/XSN+를/JKO
위해	위하/VV+아/EC
헌신했던	헌신/NNG+하/XSV+았/EP+던/ETM
여러	여러/MMN
인사들이	인사/NNG+들/XSN+이/JKS
상을	상/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.184.5.1
심산김창숙연구회는 선정 사유로, 김 전 사장이 80년 초·중반 ‘김중배 칼럼’을 통해 독재정권과 펜으로 맞서다 몇 차례 필화를 겪은 점을 적시했다.

심산김창숙연구회는	심산김창숙연구회/NNP+는/JX
선정	선정/NNG
사유로,	사유/NNG+로/JKB+,/SP
김	김/NNP
전	전/MMD
사장이	사장/NNG+이/JKS
80년	80/SN+년/NNB
초·중반	초·중반/NNG
‘김중배	‘/SS+김중배/NNP
칼럼’을	칼럼/NNG+’/SS+을/JKO
통해	통하/VV+아/EC
독재정권과	독재/NNG+정권/NNG+과/JKB
펜으로	펜/NNG+으로/JKB
맞서다	맞서/VV+다/EC
몇	몇/NR
차례	차례/NNG
필화를	필화/NNG+를/JKO
겪은	겪/VV+은/ETM
점을	점/NNG+을/JKO
적시했다.	적시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.184.5.2
김정탁 회장은 “김 전 사장이 암울한 시절에 칼럼을 통해 국민에게 민주화에 대한 희망을 일깨워준 점을 심사위원들이 평가했다”고 밝혔다.

김정탁	김정탁/NNP
회장은	회장/NNG+은/JX
“김	“/SS+김/NNP
전	전/MMD
사장이	사장/NNG+이/JKS
암울한	암울/NNG+하/XSA+ㄴ/ETM
시절에	시절/NNG+에/JKB
칼럼을	칼럼/NNG+을/JKO
통해	통하/VV+아/EC
국민에게	국민/NNG+에게/JKB
민주화에	민주/NNG+화/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
희망을	희망/NNG+을/JKO
일깨워준	일깨우/VV+어/EC+주/VX+ㄴ/ETM
점을	점/NNG+을/JKO
심사위원들이	심사/NNG+위원/NNG+들/XSN+이/JKS
평가했다”고	평가/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.184.6.1
김 전 사장은 이날 전화통화에서 “심산 선생과 같은 삶을 살지 않았음에도 상을 받아 숙연한 마음”이라고 말했다.

김	김/NNP
전	전/MMD
사장은	사장/NNG+은/JX
이날	이날/NNG
전화통화에서	전화/NNG+통화/NNG+에서/JKB
“심산	“/SS+심산/NNP
선생과	선생/NNG+과/JKB
같은	같/VA+은/ETM
삶을	삶/NNG+을/JKO
살지	살/VV+지/EC
않았음에도	않/VX+았/EP+음/ETN+에/JKB+도/JX
상을	상/NNG+을/JKO
받아	받/VV+아/EC
숙연한	숙연하/VA+ㄴ/ETM
마음”이라고	마음/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.184.6.2
그는 “애초 상을 받지 않으려 했으나 이 시대가 심산이 추구했던 독립과 민주주의라는 가치와 조응하는 것 아닌가 하는 생각이 들어 받기로 했다”고 밝혔다.

그는	그/NP+는/JX
“애초	“/SS+애초/NNG
상을	상/NNG+을/JKO
받지	받/VV+지/EC
않으려	않/VX+으려/EC
했으나	하/VX+았/EP+으나/EC
이	이/MMD
시대가	시대/NNG+가/JKS
심산이	심산/NNP+이/JKS
추구했던	추구/NNG+하/XSV+았/EP+던/ETM
독립과	독립/NNG+과/JC
민주주의라는	민주주의/NNG+이/VCP+라는/ETM
가치와	가치/NNG+와/JKB
조응하는	조응/NNG+하/XSV+는/ETM
것	것/NNB
아닌가	아니/VCN+ㄴ가/EF
하는	하/VV+는/ETM
생각이	생각/NNG+이/JKS
들어	들/VV+어/EC
받기로	받/VV+기/ETN+로/JKB
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.184.6.3
역대 수상자들의 면면도 마음을 바꾸는 데 영향을 미쳤다고 했다.

역대	역대/NNG
수상자들의	수상자/NNG+들/XSN+의/JKG
면면도	면면/NNG+도/JX
마음을	마음/NNG+을/JKO
바꾸는	바꾸/VV+는/ETM
데	데/NNB
영향을	영향/NNG+을/JKO
미쳤다고	미치/VV+었/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.184.7.1
그는 “심산 선생은 독재를 했던 이승만의 하야 권고문을 세차례나 냈다.

그는	그/NP+는/JX
“심산	“/SS+심산/NNP
선생은	선생/NNG+은/JX
독재를	독재/NNG+를/JKO
했던	하/VV+았/EP+던/ETM
이승만의	이승만/NNP+의/JKG
하야	하야/NNG
권고문을	권고문/NNG+을/JKO
세차례나	세/MMN+차례/NNG+나/JX
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.184.7.2
자주·민주의 가치가 훼손되고 있는 현 세태를 보면서 심산이 추구했던 독립과 투철한 민주주의라는 가치를 다시 호명하고 있다는 생각이 든다”고 밝혔다.

자주·민주의	자주/NNG+·/SP+민주/NNG+의/JKG
가치가	가치/NNG+가/JKS
훼손되고	훼손/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
현	현/MMD
세태를	세태/NNG+를/JKO
보면서	보/VV+면서/EC
심산이	심산/NNP+이/JKS
추구했던	추구/NNG+하/XSV+았/EP+던/ETM
독립과	독립/NNG+과/JC
투철한	투철하/VA+ㄴ/ETM
민주주의라는	민주주의/NNG+이/VCP+라는/ETM
가치를	가치/NNG+를/JKO
다시	다시/MAG
호명하고	호명/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
생각이	생각/NNG+이/JKS
든다”고	들/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.184.7.3
그는 “지금은 심산이 추구했던 가치가 반동적으로 실현되는 세상 아닌가 그런 생각마저 든다”고 우려했다.

그는	그/NP+는/JX
“지금은	“/SS+지금/NNG+은/JX
심산이	심산/NNP+이/JKS
추구했던	추구/NNG+하/XSV+았/EP+던/ETM
가치가	가치/NNG+가/JKS
반동적으로	반동/NNG+적/XSN+으로/JKB
실현되는	실현/NNG+되/XSV+는/ETM
세상	세상/NNG
아닌가	아니/VCN+ㄴ가/EF
그런	그런/MMD
생각마저	생각/NNG+마저/JX
든다”고	들/VV+ㄴ다/EF+”/SS+고/JKQ
우려했다.	우려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.184.8.1
김 전 사장은 57년 <한국일보> 기자로 언론계에 첫발을 디딘 뒤 63년부터 <동아일보>에서 일했다.

김	김/NNP
전	전/MMD
사장은	사장/NNG+은/JX
57년	57/SN+년/NNB
<한국일보>	</SS+한국일보/NNP+>/SS
기자로	기자/NNG+로/JKB
언론계에	언론/NNG+계/XSN+에/JKB
첫발을	첫발/NNG+을/JKO
디딘	디디/VV+ㄴ/ETM
뒤	뒤/NNG
63년부터	63/SN+년/NNB+부터/JX
<동아일보>에서	</SS+동아일보/NNP+>/SS+에서/JKB
일했다.	일/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.184.8.2
82년 3월부터 ‘그게 이렇지요-김중배 세평’(1985년 이후 ‘김중배 칼럼’)을 연재하면서 필명을 얻는다.

82년	82/SN+년/NNB
3월부터	3/SN+월/NNB+부터/JX
‘그게	‘/SS+그거/NP+이/JKS
이렇지요-김중배	이렇/VA+지요/EF+-/SO+김중배/NNP
세평’(1985년	세평/NNG+’/SS+(/SS+1985/SN+년/NNB
이후	이후/NNG
‘김중배	‘/SS+김중배/NNP
칼럼’)을	칼럼/NNG+’/SS+)/SS+을/JKO
연재하면서	연재/NNG+하/XSV+면서/EC
필명을	필명/NNG+을/JKO
얻는다.	얻/VV+는다/EF+./SF


# id : NWRW1800000048.184.8.3
93년 한겨레신문사 사장, 2001년 문화방송 사장을 지냈다.

93년	93/SN+년/NNB
한겨레신문사	한겨레신문사/NNP
사장,	사장/NNG+,/SP
2001년	2001/SN+년/NNB
문화방송	문화방송/NNP
사장을	사장/NNG+을/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.184.8.4
언론개혁시민연대, 참여연대 대표로 활동하기도 했다.

언론개혁시민연대,	언론/NNG+개혁/NNG+시민/NNG+연대/NNG+,/SP
참여연대	참여연대/NNP
대표로	대표/NNG+로/JKB
활동하기도	활동/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.184.8.5
<하늘이여 땅이여 사람들이여>, <민초여 새벽이 열린다> 등의 저서를 냈다.

<하늘이여	</SS+하늘/NNG+이여/JKV
땅이여	땅/NNG+이여/JKV
사람들이여>,	사람/NNG+들/XSN+이여/JKV+>/SS+,/SP
<민초여	</SS+민초/NNG+여/JKV
새벽이	새벽/NNG+이/JKS
열린다>	열리/VV+ㄴ다/EF+>/SS
등의	등/NNB+의/JKG
저서를	저서/NNG+를/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.184.9.1
김창숙 선생은 일제강점기에 유림 대표로 독립운동을 이끌었다.

김창숙	김창숙/NNP
선생은	선생/NNG+은/JX
일제강점기에	일제/NNG+강점기/NNG+에/JKB
유림	유림/NNG
대표로	대표/NNG+로/JKB
독립운동을	독립운동/NNG+을/JKO
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.184.9.2
만해 한용운, 단재 신채호와 더불어 일제강점기 삼절로 알려져 있다.

만해	만해/NNP
한용운,	한용운/NNP+,/SP
단재	단재/NNP
신채호와	신채호/NNP+와/JKB
더불어	더불/VV+어/EC
일제강점기	일제/NNG+강점기/NNG
삼절로	삼절/NNG+로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


