# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.29
metadata : {}


# id : NWRW1800000054.29.1.1
죽음 앞둔 간암 말기 류샤오보, 왜 "외국 가겠다" 고집부릴까

죽음	죽음/NNG
치료받기를	치료/NNG+받/XSV+기/ETN+를/JKO
간절히	간절히/MAG
바라고	바라/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"그가	"/SS+그/NP+가/JKS
중국을	중국/NNP+을/JKO
떠나고	떠나/VV+고/EC
싶어	싶/VX+어/EC
하는	하/VX+는/ETM
것은	것/NNB+은/JX
아내가	아내/NNG+가/JKS
함께	함께/MAG
나가	나가/VV+아/EC
자유로운	자유/NNG+롭/XSA+ㄴ/ETM
나라에서	나라/NNG+에서/JKB
살길	살/VV+기/ETN+ㄹ/JKO
바라기	바라/VV+기/ETN
때문"이라고	때문/NNB+"/SS+이라고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.29.5.1
류샤오보 내외와 가까운 인권운동가 후지아(胡佳)도 "치료를 위해 중국을 떠나게 해달라고 호소하는 것이 류샤오보가 아내에게 사랑을 표현할 수 있는 길"이라고 했다.

류샤오보	류샤오보/NNP
내외와	내외/NNG+와/JKB
가까운	가깝/VA+ㄴ/ETM
인권운동가	인권/NNG+운동가/NNG
후지아(胡佳)도	후지아/NNP+(/SS+胡佳/SH+)/SS+도/JX
"치료를	"/SS+치료/NNG+를/JKO
위해	위하/VV+아/EC
중국을	중국/NNP+을/JKO
떠나게	떠나/VV+게/EC
해달라고	하/VX+아/EC+달/VX+라고/EC
호소하는	호소/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
류샤오보가	류샤오보/NNP+가/JKS
아내에게	아내/NNG+에게/JKB
사랑을	사랑/NNG+을/JKO
표현할	표현/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
길"이라고	길/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.29.5.2
중국 정부와 랴오닝성 선양(瀋陽)의 중국의대 부속 제1병원은 "류샤오보가 위독해 이동이 불가능한 상태"라며 출국을 불허하고 있다.

중국	중국/NNP
정부와	정부/NNG+와/JC
랴오닝성	랴오닝성/NNP
선양(瀋陽)의	선양/NNP+(/SS+瀋陽/SH+)/SS+의/JKG
중국의대	중국/NNP+의대/NNG
부속	부속/NNG
제1병원은	제/XPN+1/SN+병원/NNG+은/JX
"류샤오보가	"/SS+류샤오보/NNP+가/JKS
위독해	위독하/VA+아/EC
이동이	이동/NNG+이/JKS
불가능한	불/XPN+가능/NNG+하/XSA+ㄴ/ETM
상태"라며	상태/NNG+"/SS+이/VCP+라며/EC
출국을	출국/NNG+을/JKO
불허하고	불허/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.29.6.1
류샤오보는 2008년 인권 개선과 일당 독재 종식 등을 촉구하는 '08 헌장'을 주도한 혐의로 11년형을 선고받고 복역하다 지난달 23일 말기 간암으로 가석방됐다.

류샤오보는	류샤오보/NNP+는/JX
2008년	2008/SN+년/NNB
인권	인권/NNG
개선과	개선/NNG+과/JC
일당	일당/NNG
독재	독재/NNG
종식	종식/NNG
등을	등/NNB+을/JKO
촉구하는	촉구/NNG+하/XSV+는/ETM
'08	'/SS+08/SN
헌장'을	헌장/NNG+'/SS+을/JKO
주도한	주도/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
11년형을	11/SN+년/NNB+형/NNG+을/JKO
선고받고	선고/NNG+받/XSV+고/EC
복역하다	복역/NNG+하/XSV+다/EC
지난달	지난달/NNG
23일	23/SN+일/NNB
말기	말기/NNG
간암으로	간암/NNG+으로/JKB
가석방됐다.	가/XPN+석방/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.29.6.2
2010년 노벨 평화상 수상자이다.

2010년	2010/SN+년/NNB
노벨	노벨/NNP
평화상	평화상/NNG
수상자이다.	수상자/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.29.6.3
그의 아내 류샤는 류샤오보가 노벨 평화상 수상자로 선정된 직후부터 베이징 자택에 연금됐다가, 가석방으로 풀려난 남편과 재회했다.

그의	그/NP+의/JKG
아내	아내/NNG
류샤는	류샤/NNP+는/JX
류샤오보가	류샤오보/NNP+가/JKS
노벨	노벨/NNP
평화상	평화상/NNG
수상자로	수상자/NNG+로/JKB
선정된	선정/NNG+되/XSV+ㄴ/ETM
직후부터	직후/NNG+부터/JX
베이징	베이징/NNP
자택에	자택/NNG+에/JKB
연금됐다가,	연금/NNG+되/XSV+었/EP+다가/EC+,/SP
가석방으로	가/XPN+석방/NNG+으로/JKB
풀려난	풀려나/VV+ㄴ/ETM
남편과	남편/NNG+과/JKB
재회했다.	재회/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.29.7.1
사진작가이자 시인인 류샤는 1996년 다롄(大連)노동교화소 식당에서 류샤오보와 부부의 연을 맺었다.

사진작가이자	사진작가/NNG+이/VCP+자/EC
시인인	시인/NNG+이/VCP+ㄴ/ETM
류샤는	류샤/NNP+는/JX
1996년	1996/SN+년/NNB
다롄(大連)노동교화소	다롄/NNP+(/SS+大連/SH+)/SS+노동/NNG+교화소/NNG
식당에서	식당/NNG+에서/JKB
류샤오보와	류샤오보/NNP+와/JKB
부부의	부부/NNG+의/JKG
연을	연/NNG+을/JKO
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.29.7.2
당시 류샤오보는 톈안먼 사태에 참가한 학생들이 반혁명 분자가 아니라고 주장했다가 3년형을 선고받고 복역 중이었다.

당시	당시/NNG
류샤오보는	류샤오보/NNP+는/JX
톈안먼	톈안먼/NNP
사태에	사태/NNG+에/JKB
참가한	참가/NNG+하/XSV+ㄴ/ETM
학생들이	학생/NNG+들/XSN+이/JKS
반혁명	반/XPN+혁명/NNG
분자가	분자/NNG+가/JKC
아니라고	아니/VCN+라고/EC
주장했다가	주장/NNG+하/XSV+았/EP+다가/EC
3년형을	3/SN+년/NNB+형/NNG+을/JKO
선고받고	선고/NNG+받/XSV+고/EC
복역	복역/NNG
중이었다.	중/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.29.8.1
SCMP는 류샤오보의 해외 치료를 위해 독일 정부가 중국 고위 인사들과 접촉하면서 노력 중이라고 보도했다.

SCMP는	SCMP/SL+는/JX
류샤오보의	류샤오보/NNP+의/JKG
해외	해외/NNG
치료를	치료/NNG+를/JKO
위해	위하/VV+아/EC
독일	독일/NNP
정부가	정부/NNG+가/JKS
중국	중국/NNP
고위	고위/NNG
인사들과	인사/NNG+들/XSN+과/JKB
접촉하면서	접촉/NNG+하/XSV+면서/EC
노력	노력/NNG
중이라고	중/NNB+이/VCP+라고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


