# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.154
metadata : {}


# id : NWRW1800000054.154.1.1
[핫 코너] 탄핵반대 생중계… 중장년도 팟캐스트(인터넷방송) 방송

[핫	[/SS+핫/NNG
예비역	예비역/NNG
공군	공군/NNG
소장	소장/NNG
한성주씨가	한성주/NNP+씨/NNB+가/JKS
진행하는	진행/NNG+하/XSV+는/ETM
인터넷	인터넷/NNG
방송	방송/NNG
'땅굴안보국민연합'도	'/SS+땅굴/NNG+안보/NNG+국민/NNG+연합/NNG+'/SS+도/JX
구독자가	구독자/NNG+가/JKS
1만5000명에	1/SN+만/NR+5000/SN+명/NNB+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.154.6.1
보수 성향 팟캐스트 방송은 주로 탄핵 반대 집회를 생중계하고 있다.

보수	보수/NNG
성향	성향/NNG
팟캐스트	팟캐스트/NNG
방송은	방송/NNG+은/JX
주로	주로/MAG
탄핵	탄핵/NNG
반대	반대/NNG
집회를	집회/NNG+를/JKO
생중계하고	생/XPN+중계/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.154.6.2
집회 일정도 팟캐스트를 통해 공지하고 있다.

집회	집회/NNG
일정도	일정/NNG+도/JX
팟캐스트를	팟캐스트/NNG+를/JKO
통해	통하/VV+아/EC
공지하고	공지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.154.6.3
시청자들은 채팅이나 댓글을 통해 방송 진행에 참여하고, 자발적으로 후원금도 낸다.

시청자들은	시청자/NNG+들/XSN+은/JX
채팅이나	채팅/NNG+이나/JC
댓글을	댓글/NNG+을/JKO
통해	통하/VV+아/EC
방송	방송/NNG
진행에	진행/NNG+에/JKB
참여하고,	참여/NNG+하/XSV+고/EC+,/SP
자발적으로	자발/NNG+적/XSN+으로/JKB
후원금도	후원금/NNG+도/JX
낸다.	내/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.154.6.4
시위 생중계 외에도 보수 논객들이 모여 입담을 겨루거나 보수 성향 시민들의 자유 발언을 담는 콘텐츠도 인기를 끌고 있다.

시위	시위/NNG
생중계	생/XPN+중계/NNG
외에도	외/NNB+에/JKB+도/JX
보수	보수/NNG
논객들이	논객/NNG+들/XSN+이/JKS
모여	모이/VV+어/EC
입담을	입담/NNG+을/JKO
겨루거나	겨루/VV+거나/EC
성향	성향/NNG
시민들의	시민/NNG+들/XSN+의/JKG
자유	자유/NNG
발언을	발언/NNG+을/JKO
담는	담/VV+는/ETM
콘텐츠도	콘텐츠/NNG+도/JX
인기를	인기/NNG+를/JKO
끌고	끌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.154.6.5
회사원 이모(58)씨는 "지금까지 인터넷 방송은 유언비어나 퍼뜨리는 곳이라고 생각했는데 이렇게 인터넷 방송을 즐겨보게 될 줄은 몰랐다"고 말했다.

회사원	회사원/NNG
이모(58)씨는	이/NNP+모/NP+(/SS+58/SN+)/SS+씨/NNB+는/JX
"지금까지	"/SS+지금/NNG+까지/JX
인터넷	인터넷/NNG
방송은	방송/NNG+은/JX
유언비어나	유언비어/NNG+나/JX
퍼뜨리는	퍼뜨리/VV+는/ETM
곳이라고	곳/NNG+이/VCP+라고/EC
생각했는데	생각/NNG+하/XSV+았/EP+는데/EC
이렇게	이렇/VA+게/EC
방송을	방송/NNG+을/JKO
즐겨보게	즐기/VV+어/EC+보/VX+게/EC
될	되/VV+ㄹ/ETM
줄은	줄/NNB+은/JX
몰랐다"고	모르/VV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.154.7.1
미국에서도 보수 성향 인터넷 방송이 인기를 끌고 있다.

미국에서도	미국/NNP+에서/JKB+도/JX
보수	보수/NNG
성향	성향/NNG
인터넷	인터넷/NNG
방송이	방송/NNG+이/JKS
인기를	인기/NNG+를/JKO
끌고	끌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.154.7.2
트럼프 당선의 일등공신으로 불리는 '더 알렉스 존스 채널(The Alex Jones Channel)'이 대표적이다.

트럼프	트럼프/NNP
당선의	당선/NNG+의/JKG
일등공신으로	일등/NNG+공신/NNG+으로/JKB
불리는	불리/VV+는/ETM
'더	'/SS+더/NNP
알렉스	알렉스/NNP
존스	존스/NNP
채널(The	채널/NNP+(/SS+The/SL
Alex	Alex/SL
Jones	Jones/SL
Channel)'이	Channel/SL+)/SS+'/SS+이/JKS
대표적이다.	대표/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000054.154.7.3
영화 제작자 출신인 알렉스 존스가 만든 이 채널은 구독자가 190만명이며, 지난 미 대선 기간에 반(反)클린턴, 반진보주의 성향의 프로그램을 내보냈다.

영화	영화/NNG
제작자	제작자/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
알렉스	알렉스/NNP
존스가	존스/NNP+가/JKS
만든	만들/VV+ㄴ/ETM
이	이/MMD
채널은	채널/NNG+은/JX
구독자가	구독자/NNG+가/JKS
190만명이며,	190/SN+만/NR+명/NNB+이/VCP+며/EC+,/SP
지난	지나/VV+ㄴ/ETM
미	미/NNP
대선	대선/NNG
기간에	기간/NNG+에/JKB
반(反)클린턴,	반/XPN+(/SS+反/SH+)/SS+클린턴/NNP+,/SP
반진보주의	반/XPN+진보주의/NNG
성향의	성향/NNG+의/JKG
프로그램을	프로그램/NNG+을/JKO
내보냈다.	내보내/VV+었/EP+다/EF+./SF


