# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.39
metadata : {}


# id : NWRW1800000032.39.1.1
금산법 따라 에버랜드 지분 20.64% 매각 추진삼성, 지주사 전환·경영권 승계 탄력받나

금산법	금산법/NNG
법과	법/NNG+과/JC
약속을	약속/NNG+을/JKO
지키기	지키/VV+기/ETN
위한	위하/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.39.5.2
삼성은 금융회사의 비금융회사 지분 소유 한도를 5% 미만으로 정한 ‘금융산업의 구조 개선에 관한 법’(금산법)에 따라 금융회사인 삼성카드가 보유한 에버랜드 지분을 내년 4월까지 5% 미만으로 낮춰야 한다.

삼성은	삼성/NNP+은/JX
금융회사의	금융/NNG+회사/NNG+의/JKG
비금융회사	비/XPN+금융/NNG+회사/NNG
지분	지분/NNG
소유	소유/NNG
한도를	한도/NNG+를/JKO
5%	5/SN+%/SW
미만으로	미만/NNG+으로/JKB
정한	정하/VV+ㄴ/ETM
‘금융산업의	‘/SS+금융/NNG+산업/NNG+의/JKG
구조	구조/NNG
개선에	개선/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법’(금산법)에	법/NNG+’/SS+(/SS+금산법/NNG+)/SS+에/JKB
따라	따르/VV+아/EC
금융회사인	금융/NNG+회사/NNG+이/VCP+ㄴ/ETM
삼성카드가	삼성카드/NNP+가/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
에버랜드	에버랜드/NNP
지분을	지분/NNG+을/JKO
내년	내년/NNG
4월까지	4/SN+월/NNB+까지/JX
낮춰야	낮추/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000032.39.5.3
삼성은 또 지난 2008년 ‘삼성 특검’ 당시 순환형으로 돼 있는 지배구조를 4~5년 안에 해소하겠다고 약속한 바 있다.

삼성은	삼성/NNP+은/JX
또	또/MAG
지난	지나/VV+ㄴ/ETM
2008년	2008/SN+년/NNB
‘삼성	‘/SS+삼성/NNP
특검’	특검/NNG+’/SS
당시	당시/NNG
순환형으로	순환/NNG+형/XSN+으로/JKB
돼	되/VV+어/EC
있는	있/VX+는/ETM
지배구조를	지배/NNG+구조/NNG+를/JKO
4~5년	4/SN+~/SO+5/SN+년/NNB
안에	안/NNG+에/JKB
해소하겠다고	해소/NNG+하/XSV+겠/EP+다고/EC
약속한	약속/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.39.5.4
에버랜드 지분 매각작업이 마무리되면, 삼성카드→에버랜드→삼성생명→삼성전자→삼성카드로 이어지는 순환형 지배구조 가운데 삼성카드에서 에버랜드로 이어지는 고리가 약해진다.

에버랜드	에버랜드/NNP
지분	지분/NNG
매각작업이	매각/NNG+작업/NNG+이/JKS
마무리되면,	마무리/NNG+되/XSV+면/EC+,/SP
삼성카드→에버랜드→삼성생명→삼성전자→삼성카드로	삼성카드/NNP+→/SW+에버랜드/NNP+→/SW+삼성생명/NNP+→/SW+삼성전자/NNP+→/SW+삼성카드/NNP+로/JKB
이어지는	이어지/VV+는/ETM
순환형	순환/NNG+형/XSN
지배구조	지배/NNG+구조/NNG
가운데	가운데/NNG
삼성카드에서	삼성카드/NNP+에서/JKB
에버랜드로	에버랜드/NNP+로/JKB
고리가	고리/NNG+가/JKS
약해진다.	약하/VA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000032.39.6.1
문제는 지분 매각 이후 지배구조 변화 여부다.

문제는	문제/NNG+는/JX
지분	지분/NNG
매각	매각/NNG
이후	이후/NNG
지배구조	지배/NNG+구조/NNG
변화	변화/NNG
여부다.	여부/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.39.6.2
이와 관련해 당장 이건희 삼성전자 회장 일가의 삼성그룹 소유·지배 구조엔 변화가 나타나지는 않을 것으로 보인다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
당장	당장/NNG
이건희	이건희/NNP
삼성전자	삼성전자/NNP
회장	회장/NNG
일가의	일가/NNG+의/JKG
삼성그룹	삼성그룹/NNP
소유·지배	소유/NNG+·/SP+지배/NNG
구조엔	구조/NNG+에/JKB+ㄴ/JX
변화가	변화/NNG+가/JKS
나타나지는	나타나/VV+지/EC+는/JX
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.39.6.3
이재용 삼성전자 사장(25.1%)을 비롯한 이 회장 일가의 에버랜드 지분이 모두 45.6%에 이르기 때문이다.

이재용	이재용/NNP
삼성전자	삼성전자/NNP
사장(25.1%)을	사장/NNG+(/SS+25/SN+./SP+1/SN+%/SW+)/SS+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
이	이/NNP
회장	회장/NNG
일가의	일가/NNG+의/JKG
에버랜드	에버랜드/NNP
지분이	지분/NNG+이/JKS
모두	모두/MAG
45.6%에	45/SN+./SP+6/SN+%/SW+에/JKB
이르기	이르/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.39.6.4
김우찬 경제개혁연구소장도 “삼성카드의 에버랜드 지분 매각은 예정돼 있던 것으로, (삼성그룹의) 지배구조에 큰 영향을 끼칠 사안이 아니다”라고 평가했다.

김우찬	김우찬/NNP
경제개혁연구소장도	경제/NNG+개혁/NNG+연구소장/NNG+도/JX
“삼성카드의	“/SS+삼성카드/NNP+의/JKG
에버랜드	에버랜드/NNP
지분	지분/NNG
매각은	매각/NNG+은/JX
예정돼	예정/NNG+되/XSV+어/EC
있던	있/VX+던/ETM
것으로,	것/NNB+으로/JKB+,/SP
(삼성그룹의)	(/SS+삼성그룹/NNP+의/JKG+)/SS
지배구조에	지배/NNG+구조/NNG+에/JKB
큰	크/VA+ㄴ/ETM
영향을	영향/NNG+을/JKO
끼칠	끼치/VV+ㄹ/ETM
사안이	사안/NNG+이/JKC
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.39.7.1
■ 3세 승계작업 신호탄?

■	■/SW
3세	3/SN+세/NNB
승계작업	승계/NNG+작업/NNG
신호탄?	신호탄/NNG+?/SF


# id : NWRW1800000032.39.7.2
다만 이번 지분매각 작업이 장기적으로 삼성그룹 지배구조 개선 및 승계작업의 ‘신호탄’이 될 수 있다는 지적도 있다.

다만	다만/MAG
이번	이번/NNG
지분매각	지분/NNG+매각/NNG
작업이	작업/NNG+이/JKS
장기적으로	장기/NNG+적/XSN+으로/JKB
삼성그룹	삼성그룹/NNP
지배구조	지배/NNG+구조/NNG
개선	개선/NNG
및	및/MAG
승계작업의	승계/NNG+작업/NNG+의/JKG
‘신호탄’이	‘/SS+신호탄/NNG+’/SS+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
지적도	지적/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.39.7.3
삼성 입장에서도 지주회사 체제로 지배구조를 바꿔 경영 투명성을 높여야 한다는 사회적 요구를 마냥 무시하기 힘든데다, 3세로의 경영권 승계 및 상속과 계열 분리 작업을 서둘러야 하는 현실적 필요가 맞물려 있기 때문이다.

삼성	삼성/NNP
입장에서도	입장/NNG+에서/JKB+도/JX
지주회사	지주/NNG+회사/NNG
체제로	체제/NNG+로/JKB
지배구조를	지배/NNG+구조/NNG+를/JKO
바꿔	바꾸/VV+어/EC
경영	경영/NNG
투명성을	투명/NNG+성/XSN+을/JKO
높여야	높이/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
사회적	사회/NNG+적/XSN
요구를	요구/NNG+를/JKO
마냥	마냥/MAG
무시하기	무시/NNG+하/XSV+기/ETN
힘든데다,	힘들/VA+ㄴ/ETM+데/NNB+다/JX+,/SP
3세로의	3/SN+세/NNB+로/JKB+의/JKG
경영권	경영/NNG+권/XSN
승계	승계/NNG
및	및/MAG
상속과	상속/NNG+과/JC
계열	계열/NNG
분리	분리/NNG
작업을	작업/NNG+을/JKO
서둘러야	서두르/VV+어야/EC
하는	하/VX+는/ETM
현실적	현실/NNG+적/XSN
필요가	필요/NNG+가/JKS
맞물려	맞물리/VV+어/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.39.7.4
실제로 재계에선 삼성카드의 에버랜드 지분 매각 방식에 따라 3세로의 경영권 승계와 계열 분리 작업에 속도가 붙을 것이란 전망도 나오고 있다.

실제로	실제로/MAG
재계에선	재계/NNG+에서/JKB+ㄴ/JX
삼성카드의	삼성카드/NNP+의/JKG
에버랜드	에버랜드/NNP
지분	지분/NNG
매각	매각/NNG
방식에	방식/NNG+에/JKB
따라	따르/VV+아/EC
3세로의	3/SN+세/NNB+로/JKB+의/JKG
경영권	경영/NNG+권/XSN
승계와	승계/NNG+와/JC
계열	계열/NNG
분리	분리/NNG
작업에	작업/NNG+에/JKB
속도가	속도/NNG+가/JKS
붙을	붙/VV+을/ETM
것이란	것/NNB+이/VCP+란/ETM
전망도	전망/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.39.8.1
한편 삼성카드의 에버랜드 지분 매각이 이뤄질 경우, 이재용 사장을 비롯한 3세들에 대한 불법·변칙 증여 논란이 다시 불거질 여지도 크다.

한편	한편/MAG
삼성카드의	삼성카드/NNP+의/JKG
에버랜드	에버랜드/NNP
지분	지분/NNG
매각이	매각/NNG+이/JKS
이뤄질	이뤄지/VV+ㄹ/ETM
경우,	경우/NNG+,/SP
이재용	이재용/NNP
사장을	사장/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
3세들에	3/SN+세/NNB+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
불법·변칙	불법/NNG+·/SP+변칙/NNG
증여	증여/NNG
논란이	논란/NNG+이/JKS
다시	다시/MAG
불거질	불거지/VV+ㄹ/ETM
여지도	여지/NNB+도/JX
크다.	크/VA+다/EF+./SF


# id : NWRW1800000032.39.8.2
이재용 사장과 이부진 호텔신라·에버랜드 사장, 이서현 제일모직·제일기획 부사장 등 세 자녀가 지난 1996년 10월 에버랜드 전환사채(CB) 99억원어치를 인수할 당시 전환 가격은 주당 7700원이었다.

이재용	이재용/NNP
사장과	사장/NNG+과/JC
이부진	이부진/NNP
호텔신라·에버랜드	호텔신라/NNP+·/SP+에버랜드/NNP
사장,	사장/NNG+,/SP
이서현	이서현/NNP
제일모직·제일기획	제일모직/NNP+·/SP+제일기획/NNP
부사장	부사장/NNG
등	등/NNB
세	세/MMN
자녀가	자녀/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
1996년	1996/SN+년/NNB
10월	10/SN+월/NNB
에버랜드	에버랜드/NNP
전환사채(CB)	전환/NNG+사채/NNG+(/SS+CB/SL+)/SS
99억원어치를	99/SN+억/NR+원/NNB+어치/XSN+를/JKO
인수할	인수/NNG+하/XSV+ㄹ/ETM
당시	당시/NNG
전환	전환/NNG
가격은	가격/NNG+은/JX
주당	주당/NNG
7700원이었다.	7700/SN+원/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.39.8.3
현재 삼성카드 쪽이 에버랜드의 주당 장부가가 214만원이라고 밝히고 있는 점에 비추면 터무니없이 파격적인 헐값이다.

현재	현재/MAG
삼성카드	삼성카드/NNP
쪽이	쪽/NNB+이/JKS
에버랜드의	에버랜드/NNP+의/JKG
주당	주당/NNG
장부가가	장부/NNG+가/XSN+가/JKS
214만원이라고	214/SN+만/NR+원/NNB+이/VCP+라고/EC
밝히고	밝히/VV+고/EC
있는	있/VX+는/ETM
점에	점/NNG+에/JKB
비추면	비추/VV+면/EC
터무니없이	터무니없이/MAG
파격적인	파격/NNG+적/XSN+이/VCP+ㄴ/ETM
헐값이다.	헐값/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.39.8.4
삼성그룹 불법·변칙 증여 논란의 실마리였음을 삼성 스스로 인정한 꼴이다.

삼성그룹	삼성그룹/NNP
불법·변칙	불법/NNG+·/SP+변칙/NNG
증여	증여/NNG
논란의	논란/NNG+의/JKG
실마리였음을	실마리/NNG+이/VCP+었/EP+음/ETN+을/JKO
삼성	삼성/NNP
스스로	스스로/MAG
인정한	인정/NNG+하/XSV+ㄴ/ETM
꼴이다.	꼴/NNG+이/VCP+다/EF+./SF


