# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.245
metadata : {}


# id : NWRW1800000052.245.1.1
민족의 영산 ‘태백산’, 국립공원으로 새출발

민족의	민족/NNG+의/JKG
모두	모두/MAG
70.1㎢로	70/SN+./SP+1/SN+㎢/SW+로/JKB
기존	기존/NNG
도립공원	도립/NNG+공원/NNG
면적(17.4㎢)의	면적/NNG+(/SS+17/SN+./SP+4/SN+㎢/SW+)/SS+의/JKG
4배가	4/SN+배/NNG+가/JKS
넘는다.	넘/VV+는다/EF+./SF


# id : NWRW1800000052.245.6.1
태백산은 예로부터 하늘에 천제를 올린 ‘민족의 영산’으로 일컬어져온 곳이다.

태백산은	태백산/NNP+은/JX
예로부터	예/NNG+로부터/JKB
하늘에	하늘/NNG+에/JKB
천제를	천제/NNG+를/JKO
올린	올리/VV+ㄴ/ETM
‘민족의	‘/SS+민족/NNG+의/JKG
영산’으로	영산/NNG+’/SS+으로/JKB
일컬어져온	일컫/VV+어/EC+지/VX+어/EC+오/VX+ㄴ/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.245.6.2
정상에는 삼국시대부터 하늘에 제사를 지내던 국내 최대 규모의 천제단(중요민속문화재 228호)이 있어 해마다 개천절에 제를 올린다.

정상에는	정상/NNG+에/JKB+는/JX
삼국시대부터	삼국/NNG+시대/NNG+부터/JX
하늘에	하늘/NNG+에/JKB
제사를	제사/NNG+를/JKO
지내던	지내/VV+던/ETM
국내	국내/NNG
최대	최대/NNG
규모의	규모/NNG+의/JKG
천제단(중요민속문화재	천제단/NNP+(/SS+중요/NNG+민속/NNG+문화재/NNG
228호)이	228/SN+호/NNB+)/SS+이/JKS
있어	있/VA+어/EC
해마다	해마다/MAG
개천절에	개천절/NNG+에/JKB
제를	제/NNG+를/JKO
올린다.	올리/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.245.6.3
또 백두대간 핵심지역으로 2637종의 야생생물종이 서식하고 있으며, 주목군락지와 한강의 발원지인 검룡소 등이 위치해 생태·경관적으로 높은 가치를 인정받아왔다.

또	또/MAG
백두대간	백두대간/NNP
핵심지역으로	핵심/NNG+지역/NNG+으로/JKB
2637종의	2637/SN+종/NNG+의/JKG
야생생물종이	야생/NNG+생물종/NNG+이/JKS
서식하고	서식/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
주목군락지와	주목/NNG+군락지/NNG+와/JC
한강의	한강/NNP+의/JKG
발원지인	발원지/NNG+이/VCP+ㄴ/ETM
검룡소	검룡소/NNP
등이	등/NNB+이/JKS
위치해	위치/NNG+하/XSV+아/EC
생태·경관적으로	생태/NNG+·/SP+경관/NNG+적/XSN+으로/JKB
높은	높/VA+은/ETM
가치를	가치/NNG+를/JKO
인정받아왔다.	인정/NNG+받/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.245.7.1
태백산국립공원사무소는 올해 하반기부터 자연자원 조사를 벌여 태백산의 자원 현황을 파악하고 탐방로 훼손지 정비 등의 사업을 펼 참이다.

태백산국립공원사무소는	태백산국립공원사무소/NNP+는/JX
올해	올해/NNG
하반기부터	하반기/NNG+부터/JX
자연자원	자연/NNG+자원/NNG
조사를	조사/NNG+를/JKO
벌여	벌이/VV+어/EC
태백산의	태백산/NNP+의/JKG
자원	자원/NNG
현황을	현황/NNG+을/JKO
파악하고	파악/NNG+하/XSV+고/EC
탐방로	탐방로/NNG
훼손지	훼손지/NNG
정비	정비/NNG
등의	등/NNB+의/JKG
사업을	사업/NNG+을/JKO
펼	펴/VV+ㄹ/ETM
참이다.	참/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.245.7.2
특히 일제가 이 일대를 탄광으로 개발하면서 주변의 나무를 마구 베어 낸 뒤 짧은 시간 안에 자라는 일본잎갈나무 등을 마구 심어 삼림을 훼손한 터라 소나무 등 토종나무로 바꾸는 수종갱신 사업도 본격 추진된다.

특히	특히/MAG
일제가	일제/NNG+가/JKS
이	이/MMD
일대를	일대/NNG+를/JKO
탄광으로	탄광/NNG+으로/JKB
개발하면서	개발/NNG+하/XSV+면서/EC
주변의	주변/NNG+의/JKG
나무를	나무/NNG+를/JKO
마구	마구/MAG
베어	베/VV+어/EC
낸	내/VX+ㄴ/ETM
뒤	뒤/NNG
짧은	짧/VA+은/ETM
시간	시간/NNG
안에	안/NNG+에/JKB
자라는	자라/VV+는/ETM
일본잎갈나무	일본잎갈나무/NNG
등을	등/NNB+을/JKO
심어	심/VV+어/EC
삼림을	삼림/NNG+을/JKO
훼손한	훼손/NNG+하/XSV+ㄴ/ETM
터라	터/NNB+이/VCP+라/EC
소나무	소나무/NNG
등	등/NNB
토종나무로	토종/NNG+나무/NNG+로/JKB
바꾸는	바꾸/VV+는/ETM
수종갱신	수종/NNG+갱신/NNG
사업도	사업/NNG+도/JX
본격	본격/NNG
추진된다.	추진/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.245.8.1
김진광 태백산국립공원사무소장은 “국립공원 지정을 계기로 태백산의 자연자원을 체계적으로 보호하고, 지역발전에도 도움이 될 수 있도록 노력하겠다”고 말했다.

김진광	김진광/NNP
태백산국립공원사무소장은	태백산국립공원사무소장/NNG+은/JX
“국립공원	“/SS+국립/NNG+공원/NNG
지정을	지정/NNG+을/JKO
계기로	계기/NNG+로/JKB
태백산의	태백산/NNP+의/JKG
자연자원을	자연/NNG+자원/NNG+을/JKO
체계적으로	체계/NNG+적/XSN+으로/JKB
보호하고,	보호/NNG+하/XSV+고/EC+,/SP
지역발전에도	지역/NNG+발전/NNG+에/JKB+도/JX
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
노력하겠다”고	노력/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


