# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.100
metadata : {}


# id : NWRW1800000053.100.1.1
미세먼지에 꽃가루… 알레르기성 결막염 주의

미세먼지에	미세/NNG+먼지/NNG+에/JKB
건강보험심사평가원에 따르면 2015년 기준 알레르기성 결막염 환자 10명 중 2명(20.4%)이 10세 미만 소아였다.

건강보험심사평가원에	건강/NNG+보험/NNG+심사/NNG+평가원/NNG+에/JKB
따르면	따르/VV+면/EC
2015년	2015/SN+년/NNB
기준	기준/NNG
알레르기성	알레르기/NNG+성/XSN
결막염	결막염/NNG
환자	환자/NNG
10명	10/SN+명/NNB
중	중/NNB
2명(20.4%)이	2/SN+명/NNB+(/SS+20/SN+./SP+4/SN+%/SW+)/SS+이/JKS
10세	10/SN+세/NNB
미만	미만/NNG
소아였다.	소아/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.100.5.3
10세 미만에서는 남자 환자가 더 많았지만 20대 이상부터는 여성 환자가 남성보다 2배 이상 많았다.

10세	10/SN+세/NNB
미만에서는	미만/NNG+에서/JKB+는/JX
남자	남자/NNG
환자가	환자/NNG+가/JKS
더	더/MAG
많았지만	많/VA+았/EP+지만/EC
20대	20/SN+대/NNB
이상부터는	이상/NNG+부터/JX+는/JX
여성	여성/NNG
남성보다	남성/NNG+보다/JKB
2배	2/SN+배/NNG
이상	이상/NNG
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000053.100.5.4
여성이 남성보다 화장품, 인조 속눈썹 사용과 렌즈 착용이 잦기 때문인 것으로 보인다.

여성이	여성/NNG+이/JKS
남성보다	남성/NNG+보다/JKB
화장품,	화장품/NNG+,/SP
인조	인조/NNG
속눈썹	속눈썹/NNG
사용과	사용/NNG+과/JC
렌즈	렌즈/NNG
착용이	착용/NNG+이/JKS
잦기	잦/VA+기/ETN
때문인	때문/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.100.6.1
알레르기성 결막염을 예방하려면 미세먼지, 꽃가루, 황사 등과 접촉하지 않는 게 최선이다.

알레르기성	알레르기/NNG+성/XSN
결막염을	결막염/NNG+을/JKO
예방하려면	예방/NNG+하/XSV+려면/EC
미세먼지,	미세/NNG+먼지/NNG+,/SP
꽃가루,	꽃가루/NNG+,/SP
황사	황사/NNG
등과	등/NNB+과/JKB
접촉하지	접촉/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
게	거/NNB+이/JKS
최선이다.	최선/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.100.6.2
일기예보를 확인해 미세먼지, 황사가 심한 날에는 외출을 삼가야 한다.

일기예보를	일기/NNG+예보/NNG+를/JKO
확인해	확인/NNG+하/XSV+아/EC
미세먼지,	미세/NNG+먼지/NNG+,/SP
황사가	황사/NNG+가/JKS
심한	심하/VA+ㄴ/ETM
날에는	날/NNG+에/JKB+는/JX
외출을	외출/NNG+을/JKO
삼가야	삼가/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.100.6.3
꽃가루 알레르기가 있다면 구체적으로 어떤 꽃가루가 원인인지 검사를 받고 그 꽃가루가 많이 날리는 시기에는 외출을 자제해야 한다.

꽃가루	꽃가루/NNG
알레르기가	알레르기/NNG+가/JKS
있다면	있/VA+다면/EC
구체적으로	구체/NNG+적/XSN+으로/JKB
어떤	어떤/MMD
꽃가루가	꽃가루/NNG+가/JKS
원인인지	원인/NNG+이/VCP+ㄴ지/EC
검사를	검사/NNG+를/JKO
받고	받/VV+고/EC
그	그/MMD
많이	많이/MAG
날리는	날리/VV+는/ETM
시기에는	시기/NNG+에/JKB+는/JX
외출을	외출/NNG+을/JKO
자제해야	자제/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.100.7.1
부득이하게 외출할 때에는 렌즈 대신 안경을 쓰고, 세균 감염 우려가 있는 안대는 되도록 착용하지 않는 게 좋다.

부득이하게	부득이/MAG+하/XSA+게/EC
외출할	외출/NNG+하/XSV+ㄹ/ETM
때에는	때/NNG+에/JKB+는/JX
렌즈	렌즈/NNG
대신	대신/NNG
안경을	안경/NNG+을/JKO
쓰고,	쓰/VV+고/EC+,/SP
세균	세균/NNG
감염	감염/NNG
우려가	우려/NNG+가/JKS
있는	있/VA+는/ETM
안대는	안대/NNG+는/JX
되도록	되도록/MAG
착용하지	착용/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
게	거/NNB+이/JKS
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000053.100.7.2
인공눈물을 사용하는 것도 예방에 도움이 된다.

인공눈물을	인공/NNG+눈물/NNG+을/JKO
사용하는	사용/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
예방에	예방/NNG+에/JKB
도움이	도움/NNG+이/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.100.7.3
현관 앞에서 옷을 털고 귀가 후 바로 샤워를 해 미세먼지, 꽃가루 등 알레르기 유발물질을 제거해 줘야 한다.

현관	현관/NNG
앞에서	앞/NNG+에서/JKB
옷을	옷/NNG+을/JKO
털고	털/VV+고/EC
귀가	귀가/NNG
후	후/NNG
바로	바로/MAG
샤워를	샤워/NNG+를/JKO
해	하/VV+아/EC
미세먼지,	미세/NNG+먼지/NNG+,/SP
꽃가루	꽃가루/NNG
등	등/NNB
알레르기	알레르기/NNG
유발물질을	유발/NNG+물질/NNG+을/JKO
제거해	제거/NNG+하/XSV+아/EC
줘야	주/VX+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.100.8.1
눈이 가렵다고 눈을 만지거나 비비는 것은 금물이다.

눈이	눈/NNG+이/JKS
가렵다고	가렵/VA+다고/EC
눈을	눈/NNG+을/JKO
만지거나	만지/VV+거나/EC
비비는	비비/VV+는/ETM
것은	것/NNB+은/JX
금물이다.	금물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.100.8.2
결막에 상처를 내거나 손에 묻은 알레르기 유발물질이 증상을 악화시킬 수 있기 때문이다.

결막에	결막/NNG+에/JKB
상처를	상처/NNG+를/JKO
내거나	내/VV+거나/EC
손에	손/NNG+에/JKB
묻은	묻/VV+은/ETM
알레르기	알레르기/NNG
유발물질이	유발/NNG+물질/NNG+이/JKS
증상을	증상/NNG+을/JKO
악화시킬	악화/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.100.8.3
그 대신 냉찜질을 하거나 찬물로 눈을 씻으면 가려움이 덜해진다.

그	그/MMD
대신	대신/NNG
냉찜질을	냉찜질/NNG+을/JKO
하거나	하/VV+거나/EC
찬물로	찬물/NNG+로/JKB
눈을	눈/NNG+을/JKO
씻으면	씻/VV+으면/EC
가려움이	가려움/NNG+이/JKS
덜해진다.	덜/MAG+하/XSA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.100.8.4
안약은 병원에서 처방한 것만 사용해야 한다.

안약은	안약/NNG+은/JX
병원에서	병원/NNG+에서/JKB
처방한	처방/NNG+하/XSV+ㄴ/ETM
것만	것/NNB+만/JX
사용해야	사용/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.100.9.1
매년 봄마다 알레르기 증상이 심하다면 꽃가루가 날리기 2, 3주 전부터 약물을 써서 예방하는 방법도 있다.

매년	매년/MAG
봄마다	봄/NNG+마다/JX
알레르기	알레르기/NNG
증상이	증상/NNG+이/JKS
심하다면	심하/VA+다면/EC
꽃가루가	꽃가루/NNG+가/JKS
날리기	날리/VV+기/ETN
2,	2/SN+,/SP
3주	3/SN+주/NNB
전부터	전/NNG+부터/JX
약물을	약물/NNG+을/JKO
써서	쓰/VV+어서/EC
예방하는	예방/NNG+하/XSV+는/ETM
방법도	방법/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.100.9.2
조상헌 서울대병원 알레르기내과 교수는 “미리 약물을 쓰면 심각한 염증으로 진행되는 것을 막아주고 더 적은 용량의 약물로 예방과 치료가 가능하다”고 강조했다.

조상헌	조상헌/NNP
서울대병원	서울대병원/NNP
알레르기내과	알레르기내과/NNG
교수는	교수/NNG+는/JX
“미리	“/SS+미리/MAG
약물을	약물/NNG+을/JKO
쓰면	쓰/VV+면/EC
심각한	심각하/VA+ㄴ/ETM
염증으로	염증/NNG+으로/JKB
진행되는	진행/NNG+되/XSV+는/ETM
것을	것/NNB+을/JKO
막아주고	막/VV+아/EC+주/VX+고/EC
더	더/MAG
적은	적/VA+은/ETM
용량의	용량/NNG+의/JKG
약물로	약물/NNG+로/JKB
예방과	예방/NNG+과/JC
치료가	치료/NNG+가/JKS
가능하다”고	가능/NNG+하/XSA+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


