# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.72
metadata : {}


# id : NWRW1800000054.72.1.1
편혜영 단편 '식물 애호', 美 뉴요커誌에 실려

편혜영	편혜영/NNP
편혜영은 2014년 단편 '식물 애호'를 쓴 뒤 분량을 늘려서 2016년 장편 '홀'을 냈다.

편혜영은	편혜영/NNP+은/JX
2014년	2014/SN+년/NNB
단편	단편/NNG
'식물	'/SS+식물/NNG
애호'를	애호/NNG+'/SS+를/JKO
쓴	쓰/VV+ㄴ/ETM
뒤	뒤/NNG
분량을	분량/NNG+을/JKO
늘려서	늘리/VV+어서/EC
2016년	2016/SN+년/NNB
장편	장편/NNG
'홀'을	'/SS+홀/NNP+'/SS+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.72.3.3
뉴요커는 '홀'의 영어판이 내달 출간되는 것을 맞아 '식물 애호'를 번역해 실은 것.

뉴요커는	뉴요커/NNP+는/JX
'홀'의	'/SS+홀/NNP+'/SS+의/JKG
영어판이	영어판/NNG+이/JKS
내달	내달/NNG
출간되는	출간/NNG+되/XSV+는/ETM
것을	것/NNB+을/JKO
맞아	맞/VV+아/EC
'식물	'/SS+식물/NNG
애호'를	애호/NNG+'/SS+를/JKO
번역해	번역/NNG+하/XSV+아/EC
실은	싣/VV+은/ETM
것.	것/NNB+./SF


# id : NWRW1800000054.72.3.4
무라카미 하루키의 장편도 미국 진출에 앞서 일부가 단편처럼 실려 문단의 주목을 끈 적이 있다.

무라카미	무라카미/NNP
하루키의	하루키/NNP+의/JKG
장편도	장편/NNG+도/JX
미국	미국/NNP
진출에	진출/NNG+에/JKB
앞서	앞서/VV+어/EC
일부가	일부/NNG+가/JKS
단편처럼	단편/NNG+처럼/JKB
실려	실리/VV+어/EC
문단의	문단/NNG+의/JKG
주목을	주목/NNG+을/JKO
끈	끌/VV+ㄴ/ETM
적이	적/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.72.4.1
'식물 애호'를 바탕으로 한 장편 '홀'은 교통사고로 아내를 잃고 전신이 마비된 채 살아남은 대학교수 '오기'의 기괴한 삶을 그린 소설이다.

'식물	'/SS+식물/NNG
애호'를	애호/NNG+'/SS+를/JKO
바탕으로	바탕/NNG+으로/JKB
한	하/VV+ㄴ/ETM
장편	장편/NNG
'홀'은	'/SS+홀/NNP+'/SS+은/JX
교통사고로	교통사고/NNG+로/JKB
아내를	아내/NNG+를/JKO
잃고	잃/VV+고/EC
전신이	전신/NNG+이/JKS
마비된	마비/NNG+되/XSV+ㄴ/ETM
채	채/NNB
살아남은	살아남/VV+은/ETM
대학교수	대학교수/NNG
'오기'의	'/SS+오기/NNP+'/SS+의/JKG
기괴한	기괴하/VA+ㄴ/ETM
삶을	삶/NNG+을/JKO
그린	그리/VV+ㄴ/ETM
소설이다.	소설/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.72.4.2
평생 이기적 속물로 살아온 '오기'가 장모의 간호를 받으며 살지만, 점차 장모와의 관계가 고통스러워지는 가운데 마비된 육체에 갇힌 채 밀폐된 집에서 사는 과정이 마치 '구멍'에 빠진 악몽처럼 전개되는 것.

평생	평생/NNG
이기적	이기/NNG+적/XSN
속물로	속물/NNG+로/JKB
살아온	살아오/VV+ㄴ/ETM
'오기'가	'/SS+오기/NNP+'/SS+가/JKS
장모의	장모/NNG+의/JKG
간호를	간호/NNG+를/JKO
받으며	받/VV+으며/EC
살지만,	살/VV+지만/EC+,/SP
점차	점차/MAG
장모와의	장모/NNG+와/JKB+의/JKG
관계가	관계/NNG+가/JKS
고통스러워지는	고통/NNG+스럽/XSA+어/EC+지/VX+는/ETM
가운데	가운데/NNG
마비된	마비/NNG+되/XSV+ㄴ/ETM
육체에	육체/NNG+에/JKB
갇힌	갇히/VV+ㄴ/ETM
채	채/NNB
밀폐된	밀폐/NNG+되/XSV+ㄴ/ETM
집에서	집/NNG+에서/JKB
사는	살/VV+는/ETM
과정이	과정/NNG+이/JKS
마치	마치/MAG
'구멍'에	'/SS+구멍/NNG+'/SS+에/JKB
빠진	빠지/VV+ㄴ/ETM
악몽처럼	악몽/NNG+처럼/JKB
전개되는	전개/NNG+되/XSV+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000054.72.5.1
편혜영은 뉴요커 인터뷰에서 "세상이 불명료하고 애매모호해지기 때문에 모든 일이 어느 정도 불가사의하고 서스펜스가 넘칠 수밖에 없다고 본다"며 "스티븐 킹의 소설 '미저리'와 비교되는 게 어쩔 수 없지만, 그 덕분에 '미저리' 독자들이 내 책 '홀'에 관심을 가지리라고 본다"고 말했다.

편혜영은	편혜영/NNP+은/JX
뉴요커	뉴요커/NNP
인터뷰에서	인터뷰/NNG+에서/JKB
"세상이	"/SS+세상/NNG+이/JKS
불명료하고	불명료하/VA+고/EC
애매모호해지기	애매모호/NNG+하/XSA+아/EC+지/VX+기/ETN
때문에	때문/NNB+에/JKB
모든	모든/MMN
일이	일/NNG+이/JKS
어느	어느/MMD
정도	정도/NNG
불가사의하고	불가사의/NNG+하/XSA+고/EC
서스펜스가	서스펜스/NNG+가/JKS
넘칠	넘치/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다고	없/VA+다고/EC
본다"며	보/VV+ㄴ다/EF+"/SS+며/EC
"스티븐	"/SS+스티븐/NNP
킹의	킹/NNP+의/JKG
소설	소설/NNG
'미저리'와	'/SS+미저리/NNP+'/SS+와/JKB
비교되는	비교/NNG+되/XSV+는/ETM
게	거/NNB+이/JKS
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없지만,	없/VA+지만/EC+,/SP
그	그/MMD
덕분에	덕분/NNG+에/JKB
'미저리'	'/SS+미저리/NNP+'/SS
독자들이	독자/NNG+들/XSN+이/JKS
내	나/NP+의/JKG
책	책/NNG
'홀'에	'/SS+홀/NNP+'/SS+에/JKB
관심을	관심/NNG+을/JKO
가지리라고	가지/VV+리라고/EC
본다"고	보/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


