# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.98
metadata : {}


# id : NWRW1800000036.98.1.1
‘탈원전’ 한다더니…일, 오마원전 공사 재개

‘탈원전’	‘/SS+탈/XPN+원전/NNG+’/SS
오마원전은 ‘모든 원전은 40년간 가동한 뒤 원칙적으로 폐로한다’는 일본 정부의 방침과, ‘2030년에는 원전을 제로로 하도록 노력한다’는 방침 사이에 모순을 상징하는 처지에도 놓이게 됐다.

오마원전은	오마원전/NNP+은/JX
‘모든	‘/SS+모든/MMN
원전은	원전/NNG+은/JX
40년간	40/SN+년/NNB+간/XSN
가동한	가동/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
원칙적으로	원칙/NNG+적/XSN+으로/JKB
폐로한다’는	폐로/NNG+하/XSV+ㄴ다/EF+’/SS+는/ETM
일본	일본/NNP
정부의	정부/NNG+의/JKG
방침과,	방침/NNG+과/JC+,/SP
‘2030년에는	‘/SS+2030/SN+년/NNB+에/JKB+는/JX
원전을	원전/NNG+을/JKO
제로로	제로/NNG+로/JKB
하도록	하/VV+도록/EC
노력한다’는	노력/NNG+하/XSV+ㄴ다/EF+’/SS+는/ETM
방침	방침/NNG
사이에	사이/NNG+에/JKB
모순을	모순/NNG+을/JKO
상징하는	상징/NNG+하/XSV+는/ETM
처지에도	처지/NNG+에/JKB+도/JX
놓이게	놓이/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.98.8.2
오마원전은 완공돼 40년을 가동할 경우, 2050년대까지도 존속할 가능성이 있는 까닭이다.

오마원전은	오마원전/NNP+은/JX
완공돼	완공/NNG+되/XSV+어/EC
40년을	40/SN+년/NNB+을/JKO
가동할	가동/NNG+하/XSV+ㄹ/ETM
경우,	경우/NNG+,/SP
2050년대까지도	2050/SN+년대/NNB+까지/JX+도/JX
존속할	존속/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있는	있/VA+는/ETM
까닭이다.	까닭/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.98.9.1
원전 보조금을 바라는 지역의 원전 추진파들은 오마원전의 공사 재개를 환영했다.

원전	원전/NNG
보조금을	보조금/NNG+을/JKO
바라는	바라/VV+는/ETM
지역의	지역/NNG+의/JKG
추진파들은	추진파/NNG+들/XSN+은/JX
오마원전의	오마원전/NNP+의/JKG
공사	공사/NNG
재개를	재개/NNG+를/JKO
환영했다.	환영/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.98.9.2
그러나 바다 건너 홋카이도에서는 강한 반대 움직임이 일기 시작했다.

그러나	그러나/MAJ
바다	바다/NNG
건너	건너/NNG
홋카이도에서는	홋카이도/NNP+에서/JKB+는/JX
강한	강하/VA+ㄴ/ETM
반대	반대/NNG
움직임이	움직임/NNG+이/JKS
일기	일/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.98.9.3
공사 현장에서 직선거리로 23㎞ 떨어진 곳에 있는 하코다테시의 구도 도시키 시장은 1일 전원개발 쪽의 설명을 듣고 “오마원전 허가는 후쿠시마 원전사고 이전의 ‘안전신화’에 바탕을 둔 것”이라고 지적하고, 공사 중단을 요구하는 소송을 내겠다고 밝혔다.

공사	공사/NNG
현장에서	현장/NNG+에서/JKB
직선거리로	직선거리/NNG+로/JKB
23㎞	23/SN+㎞/SW
떨어진	떨어지/VV+ㄴ/ETM
곳에	곳/NNG+에/JKB
있는	있/VA+는/ETM
하코다테시의	하코다테시/NNP+의/JKG
구도	구도/NNP
도시키	도시키/NNP
시장은	시장/NNG+은/JX
1일	1/SN+일/NNB
전원개발	전원개발/NNP
쪽의	쪽/NNB+의/JKG
설명을	설명/NNG+을/JKO
듣고	듣/VV+고/EC
“오마원전	“/SS+오마원전/NNP
허가는	허가/NNG+는/JX
후쿠시마	후쿠시마/NNP
원전사고	원전/NNG+사고/NNG
이전의	이전/NNG+의/JKG
‘안전신화’에	‘/SS+안전/NNG+신화/NNG+’/SS+에/JKB
바탕을	바탕/NNG+을/JKO
둔	두/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
지적하고,	지적/NNG+하/XSV+고/EC+,/SP
중단을	중단/NNG+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
소송을	소송/NNG+을/JKO
내겠다고	내/VV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


