# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.363
metadata : {}


# id : NWRW1800000028.363.1.1
유럽의 환율전쟁

유럽의	유럽/NNP+의/JKG
해법은 금리를 올리는 것이었지만 기업 파산과 실업 우려 때문에 시행할 수 없었다.

해법은	해법/NNG+은/JX
금리를	금리/NNG+를/JKO
올리는	올리/VV+는/ETM
것이었지만	것/NNB+이/VCP+었/EP+지만/EC
기업	기업/NNG
파산과	파산/NNG+과/JC
실업	실업/NNG
우려	우려/NNG
때문에	때문/NNB+에/JKB
시행할	시행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000028.363.3.4
영국 경제의 목줄을 프랑스가 틀어쥐게 된 셈이다.

영국	영국/NNP
경제의	경제/NNG+의/JKG
목줄을	목줄/NNG+을/JKO
프랑스가	프랑스/NNP+가/JKS
틀어쥐게	틀어쥐/VV+게/EC
된	되/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.363.3.5
프랑스와 신경전을 벌이던 영국은 견디다 못해 1931년 9월 금본위제를 폐지했다.

프랑스와	프랑스/NNP+와/JKB
신경전을	신경전/NNG+을/JKO
벌이던	벌이/VV+던/ETM
영국은	영국/NNP+은/JX
견디다	견디/VV+다/EC
못해	못하/VX+아/EC
1931년	1931/SN+년/NNB
9월	9/SN+월/NNB
금본위제를	금/NNG+본위/NNG+제/XSN+를/JKO
폐지했다.	폐지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.363.3.6
파운드화의 가치는 며칠 만에 25% 하락했다.

파운드화의	파운드화/NNG+의/JKG
가치는	가치/NNG+는/JX
며칠	며칠/NNG
만에	만/NNB+에/JKB
25%	25/SN+%/SW
하락했다.	하락/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.363.3.7
사실상의 평가절하였다.

사실상의	사실/NNG+상/XSN+의/JKG
평가절하였다.	평가/NNG+절하/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.363.3.8
파운드화를 보유하고 있던 나라들은 큰 손실을 봤다.

파운드화를	파운드화/NNG+를/JKO
보유하고	보유/NNG+하/XSV+고/EC
있던	있/VX+던/ETM
나라들은	나라/NNG+들/XSN+은/JX
큰	크/VA+ㄴ/ETM
손실을	손실/NNG+을/JKO
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.363.3.9
특히 프랑스의 피해가 컸다.

특히	특히/MAG
프랑스의	프랑스/NNP+의/JKG
피해가	피해/NNG+가/JKS
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000028.363.4.1
미국에도 불똥이 튀었다.

미국에도	미국/NNP+에/JKB+도/JX
불똥이	불똥/NNG+이/JKS
튀었다.	튀/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.363.4.2
다음 차례는 미국이라고 판단한 유럽인들이 달러를 금으로 바꾸기 시작했다.

다음	다음/NNG
차례는	차례/NNG+는/JX
미국이라고	미국/NNP+이/VCP+라고/EC
판단한	판단/NNG+하/XSV+ㄴ/ETM
유럽인들이	유럽인/NNG+들/XSN+이/JKS
달러를	달러/NNG+를/JKO
금으로	금/NNG+으로/JKB
바꾸기	바꾸/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.363.4.3
은행들은 지급불능 위기에 몰렸고, 대공황은 더 큰 혼란의 소용돌이에 빠져들었다.

은행들은	은행/NNG+들/XSN+은/JX
지급불능	지급/NNG+불능/NNG
위기에	위기/NNG+에/JKB
몰렸고,	몰리/VV+었/EP+고/EC+,/SP
대공황은	대/XPN+공황/NNG+은/JX
더	더/MAG
큰	크/VA+ㄴ/ETM
혼란의	혼란/NNG+의/JKG
소용돌이에	소용돌이/NNG+에/JKB
빠져들었다.	빠져들/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.363.4.4
프랭클린 루스벨트 대통령은 1933년 4월 금본위제를 폐지해 평가절하를 단행했다.

프랭클린	프랭클린/NNP
루스벨트	루스벨트/NNP
대통령은	대통령/NNG+은/JX
1933년	1933/SN+년/NNB
4월	4/SN+월/NNB
금본위제를	금/NNG+본위/NNG+제/XSN+를/JKO
폐지해	폐지/NNG+하/XSV+아/EC
평가절하를	평가/NNG+절하/NNG+를/JKO
단행했다.	단행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.363.4.5
그렇게 해서 경제회복의 발판을 마련했다.

그렇게	그렇/VA+게/EC
해서	하/VV+아서/EC
경제회복의	경제/NNG+회복/NNG+의/JKG
발판을	발판/NNG+을/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.363.4.6
대공황과 2차대전의 배경에는 이처럼 열강들의 보이지 않는 환율전쟁이 있었다.

대공황과	대/XPN+공황/NNG+과/JC
2차대전의	2/SN+차/NNB+대전/NNG+의/JKG
배경에는	배경/NNG+에/JKB+는/JX
이처럼	이/NP+처럼/JKB
열강들의	열강/NNG+들/XSN+의/JKG
보이지	보이/VV+지/EC
않는	않/VX+는/ETM
환율전쟁이	환율/NNG+전쟁/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000028.363.5.1
미국과 중국을 중심으로 국제적인 환율전쟁이 벌어지고 있다.

미국과	미국/NNP+과/JC
중국을	중국/NNP+을/JKO
중심으로	중심/NNG+으로/JKB
국제적인	국제/NNG+적/XSN+이/VCP+ㄴ/ETM
환율전쟁이	환율/NNG+전쟁/NNG+이/JKS
벌어지고	벌어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.363.5.2
환율전쟁은 보호무역주의와 무역전쟁을 불러 많은 나라를 분쟁의 소용돌이에 몰아넣게 된다.

환율전쟁은	환율/NNG+전쟁/NNG+은/JX
보호무역주의와	보호/NNG+무역주의/NNG+와/JC
무역전쟁을	무역/NNG+전쟁/NNG+을/JKO
불러	부르/VV+어/EC
많은	많/VA+은/ETM
나라를	나라/NNG+를/JKO
분쟁의	분쟁/NNG+의/JKG
소용돌이에	소용돌이/NNG+에/JKB
몰아넣게	몰아넣/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.363.5.3
금융위기 이후의 환율전쟁이 대공황 때의 환율전쟁과 닮은꼴이라는 점이 걱정된다.

금융위기	금융/NNG+위기/NNG
이후의	이후/NNG+의/JKG
환율전쟁이	환율/NNG+전쟁/NNG+이/JKS
대공황	대/XPN+공황/NNG
때의	때/NNG+의/JKG
환율전쟁과	환율/NNG+전쟁/NNG+과/JKB
닮은꼴이라는	닮은꼴/NNG+이/VCP+라는/ETM
점이	점/NNG+이/JKS
걱정된다.	걱정/NNG+되/XSV+ㄴ다/EF+./SF


