# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.389
metadata : {}


# id : NWRW1800000054.389.1.1
'인권 칼' 빼든 미국, 중국에 '무역 칼'까지 만지작

'인권	'/SS+인권/NNG
이는 미국이 인권을 고리로 대북 제재에 미온적인 중국을 압박하겠다는 속내를 드러낸 것으로 풀이된다.

이는	이/NP+는/JX
미국이	미국/NNP+이/JKS
인권을	인권/NNG+을/JKO
고리로	고리/NNG+로/JKB
대북	대북/NNG
제재에	제재/NNG+에/JKB
미온적인	미온/NNG+적/XSN+이/VCP+ㄴ/ETM
중국을	중국/NNP+을/JKO
압박하겠다는	압박/NNG+하/XSV+겠/EP+다는/ETM
속내를	속내/NNG+를/JKO
드러낸	드러내/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.389.4.1
틸러슨 장관은 이날 "5만~8만명의 북한 노동자가 주로 중국과 러시아에서 하루 20시간의 강제 노동에 시달리고 있다"며 "북한 노동자들이 받는 급료는 대부분 몰수돼 북한 정권으로 매년 수억달러가 유입되고 있다"고 했다.

틸러슨	틸러슨/NNP
장관은	장관/NNG+은/JX
이날	이날/NNG
"5만~8만명의	"/SS+5/SN+만/NR+~/SO+8/SN+만/NR+명/NNB+의/JKG
북한	북한/NNP
노동자가	노동자/NNG+가/JKS
주로	주로/MAG
중국과	중국/NNP+과/JC
러시아에서	러시아/NNP+에서/JKB
하루	하루/NNG
20시간의	20/SN+시간/NNB+의/JKG
강제	강제/NNG
노동에	노동/NNG+에/JKB
시달리고	시달리/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"북한	"/SS+북한/NNP
노동자들이	노동자/NNG+들/XSN+이/JKS
받는	받/VV+는/ETM
급료는	급료/NNG+는/JX
대부분	대/XPN+부분/NNG
몰수돼	몰수/NNG+되/XSV+어/EC
정권으로	정권/NNG+으로/JKB
매년	매년/MAG
수억달러가	수억/NR+달러/NNB+가/JKS
유입되고	유입/NNG+되/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.389.4.2
또 "중국의 인신매매 관련 등급이 최하인 3등급으로 떨어진 것은 북한 노동자 문제에 대해 조치를 하지 않은 것이 한 원인"이라고 했다.

또	또/MAG
"중국의	"/SS+중국/NNP+의/JKG
인신매매	인신매매/NNG
관련	관련/NNG
등급이	등급/NNG+이/JKS
최하인	최하/NNG+이/VCP+ㄴ/ETM
3등급으로	3/SN+등급/NNG+으로/JKB
떨어진	떨어지/VV+ㄴ/ETM
것은	것/NNB+은/JX
북한	북한/NNP
노동자	노동자/NNG
문제에	문제/NNG+에/JKB
대해	대하/VV+아/EC
조치를	조치/NNG+를/JKO
하지	하/VV+지/EC
않은	않/VX+은/ETM
것이	것/NNB+이/JKS
한	한/MMN
원인"이라고	원인/NNG+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.389.5.1
미 국무부가 이날 발표한 '2017 인신매매 보고서'는 탈북자 문제 등 북한과 관련한 중국 인권의 사각지대를 지적했다.

미	미/NNP
국무부가	국무부/NNG+가/JKS
이날	이날/NNG
발표한	발표/NNG+하/XSV+ㄴ/ETM
'2017	'/SS+2017/SN
인신매매	인신매매/NNG
보고서'는	보고서/NNG+'/SS+는/JX
탈북자	탈북자/NNG
문제	문제/NNG
등	등/NNB
북한과	북한/NNP+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
중국	중국/NNP
인권의	인권/NNG+의/JKG
사각지대를	사각지대/NNG+를/JKO
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.389.5.2
처형될지도 모르는 탈북자들을 강제로 북송하고, 탈북 여성들이 강제 결혼과 매춘에 내몰리는 상황을 언급했다.

처형될지도	처형/NNG+되/XSV+ㄹ지/EF+도/JX
모르는	모르/VV+는/ETM
탈북자들을	탈북자/NNG+들/XSN+을/JKO
강제로	강제/NNG+로/JKB
북송하고,	북송/NNG+하/XSV+고/EC+,/SP
탈북	탈북/NNG
여성들이	여성/NNG+들/XSN+이/JKS
강제	강제/NNG
결혼과	결혼/NNG+과/JC
매춘에	매춘/NNG+에/JKB
내몰리는	내몰리/VV+는/ETM
상황을	상황/NNG+을/JKO
언급했다.	언급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.389.5.3
탈북자 외에 인권 침해를 당하는 중국인들의 고통도 기록했다.

탈북자	탈북자/NNG
외에	외/NNB+에/JKB
인권	인권/NNG
침해를	침해/NNG+를/JKO
당하는	당하/VV+는/ETM
중국인들의	중국인/NNG+들/XSN+의/JKG
고통도	고통/NNG+도/JX
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.389.5.4
보고서는 '중국 경찰이 인신매매 단체로부터 뇌물을 받고 있으며, 중국에서 인신매매를 당한 여성 중에는 강제 노역 등에 시달리는 경우가 있다'고 했다.

보고서는	보고서/NNG+는/JX
'중국	'/SS+중국/NNP
경찰이	경찰/NNG+이/JKS
인신매매	인신매매/NNG
단체로부터	단체/NNG+로부터/JKB
뇌물을	뇌물/NNG+을/JKO
받고	받/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
중국에서	중국/NNP+에서/JKB
인신매매를	인신매매/NNG+를/JKO
당한	당하/VV+ㄴ/ETM
여성	여성/NNG
중에는	중/NNB+에/JKB+는/JX
강제	강제/NNG
노역	노역/NNG
등에	등/NNB+에/JKB
시달리는	시달리/VV+는/ETM
경우가	경우/NNG+가/JKS
있다'고	있/VA+다/EF+'/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.389.5.5
중국이 민감해하는 신장위구르자치구 소수민족에 대한 인권 침해 사례도 적시했다.

중국이	중국/NNP+이/JKS
민감해하는	민감/NNG+하/XSA+아/EC+하/VX+는/ETM
신장위구르자치구	신장위구르자치구/NNP
소수민족에	소수/NNG+민족/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
인권	인권/NNG
침해	침해/NNG
사례도	사례/NNG+도/JX
적시했다.	적시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.389.6.1
이에 대해 루캉(陸慷) 중국 외교부 대변인은 27일 정례 브리핑에서 "중국은 미국이 자신의 국내법으로 다른 국가의 인신매매 범죄에 대해 제멋대로 이야기하는 것을 결연히 반대한다"며 "인신매매 범죄를 없애기 위한 중국의 의지는 확고하고, 그 성과 역시 명백하다"고 했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
루캉(陸慷)	루캉/NNP+(/SS+陸慷/SH+)/SS
중국	중국/NNP
외교부	외교부/NNG
대변인은	대변인/NNG+은/JX
27일	27/SN+일/NNB
정례	정례/NNG
브리핑에서	브리핑/NNG+에서/JKB
"중국은	"/SS+중국/NNP+은/JX
미국이	미국/NNP+이/JKS
자신의	자신/NNG+의/JKG
국내법으로	국내법/NNG+으로/JKB
다른	다른/MMD
국가의	국가/NNG+의/JKG
인신매매	인신매매/NNG
범죄에	범죄/NNG+에/JKB
제멋대로	제멋대로/MAG
이야기하는	이야기/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
결연히	결연히/MAG
반대한다"며	반대/NNG+하/XSV+ㄴ다/EF+"/SS+며/EC
"인신매매	"/SS+인신매매/NNG
범죄를	범죄/NNG+를/JKO
없애기	없애/VV+기/ETN
위한	위하/VV+ㄴ/ETM
중국의	중국/NNP+의/JKG
의지는	의지/NNG+는/JX
확고하고,	확고하/VA+고/EC+,/SP
그	그/NP
성과	성과/NNG
역시	역시/MAG
명백하다"고	명백하/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.389.6.2
이어 "어떤 국가도 자기만을 생각해서는 안 된다"고 했다.

이어	이어/MAG
"어떤	"/SS+어떤/MMD
국가도	국가/NNG+도/JX
자기만을	자기/NP+만/JX+을/JKO
생각해서는	생각/NNG+하/XSV+아서/EC+는/JX
안	안/MAG
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.389.7.1
미국이 4년 만에 중국을 '최악의 인신매매 국가'로 재지정한 것은 최근 대북 제재에 미온적인 중국의 태도와 관련이 있다는 분석이다.

미국이	미국/NNP+이/JKS
4년	4/SN+년/NNB
만에	만/NNB+에/JKB
중국을	중국/NNP+을/JKO
'최악의	'/SS+최악/NNG+의/JKG
인신매매	인신매매/NNG
국가'로	국가/NNG+'/SS+로/JKB
재지정한	재/XPN+지정/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
최근	최근/NNG
대북	대북/NNG
제재에	제재/NNG+에/JKB
미온적인	미온/NNG+적/XSN+이/VCP+ㄴ/ETM
중국의	중국/NNP+의/JKG
태도와	태도/NNG+와/JKB
관련이	관련/NNG+이/JKS
있다는	있/VA+다는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.389.8.1
트럼프 대통령은 지난 20일 트위터에 '북한에 대한 중국의 도움은 고맙게 생각하지만, 노력이 제대로 통하지 않았다'고 했었다.

트럼프	트럼프/NNP
대통령은	대통령/NNG+은/JX
지난	지나/VV+ㄴ/ETM
20일	20/SN+일/NNB
트위터에	트위터/NNP+에/JKB
'북한에	'/SS+북한/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
중국의	중국/NNP+의/JKG
도움은	도움/NNG+은/JX
고맙게	고맙/VA+게/EC
생각하지만,	생각/NNG+하/XSV+지만/EC+,/SP
노력이	노력/NNG+이/JKS
제대로	제대로/MAG
통하지	통하/VV+지/EC
않았다'고	않/VX+았/EP+다/EF+'/SS+고/JKQ
했었다.	하/VV+았었/EP+다/EF+./SF


# id : NWRW1800000054.389.8.2
트럼프 대통령은 지난 4월 시진핑 중국 국가주석과의 정상회담에서 대중 무역 제재를 보류하는 대신 중국이 대북 압박에 적극적으로 나서 달라고 요청한 것으로 알려졌다.

트럼프	트럼프/NNP
대통령은	대통령/NNG+은/JX
지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
시진핑	시진핑/NNP
중국	중국/NNP
국가주석과의	국가주석/NNG+과/JKB+의/JKG
정상회담에서	정상/NNG+회담/NNG+에서/JKB
대중	대중/NNG
무역	무역/NNG
제재를	제재/NNG+를/JKO
보류하는	보류/NNG+하/XSV+는/ETM
대신	대신/NNG
중국이	중국/NNP+이/JKS
대북	대북/NNG
압박에	압박/NNG+에/JKB
적극적으로	적극/NNG+적/XSN+으로/JKB
나서	나서/VV+어/EC
달라고	달/VX+라고/EC
요청한	요청/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.389.8.3
중국도 나름 노력을 했으나 북한의 탄도미사일 도발 등을 막지는 못했다.

중국도	중국/NNP+도/JX
나름	나름/NNB
노력을	노력/NNG+을/JKO
했으나	하/VV+았/EP+으나/EC
북한의	북한/NNP+의/JKG
탄도미사일	탄도/NNG+미사일/NNG
도발	도발/NNG
등을	등/NNB+을/JKO
막지는	막/VV+지/EC+는/JX
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.389.9.1
로이터 통신은 이날 "도널드 트럼프 대통령이 중국의 대북 문제 해결 노력 부족에 좌절했다"며 "중국에 대한 여러 무역 조치를 검토하고 있다"고 했다.

로이터	로이터/NNP
통신은	통신/NNG+은/JX
이날	이날/NNG
"도널드	"/SS+도널드/NNP
트럼프	트럼프/NNP
대통령이	대통령/NNG+이/JKS
중국의	중국/NNP+의/JKG
대북	대북/NNG
문제	문제/NNG
해결	해결/NNG
노력	노력/NNG
부족에	부족/NNG+에/JKB
좌절했다"며	좌절/NNG+하/XSV+았/EP+다/EF+"/SS+며/EC
"중국에	"/SS+중국/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
여러	여러/MMN
무역	무역/NNG
조치를	조치/NNG+를/JKO
검토하고	검토/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.389.9.2
뉴욕타임스도 "미 상무부가 이번 주에 국가 안보를 이유로 중국산 철강에 대한 상당한 관세를 부과할 수 있다"고 보도했다.

뉴욕타임스도	뉴욕타임스/NNP+도/JX
"미	"/SS+미/NNP
상무부가	상무부/NNG+가/JKS
이번	이번/NNG
주에	주/NNG+에/JKB
국가	국가/NNG
안보를	안보/NNG+를/JKO
이유로	이유/NNG+로/JKB
중국산	중국/NNP+산/XSN
철강에	철강/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
상당한	상당/NNG+하/XSA+ㄴ/ETM
관세를	관세/NNG+를/JKO
부과할	부과/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다"고	있/VA+다/EF+"/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.389.9.3
미국이 그동안 보류했던 대중 경제 제재 카드도 만지작거리는 양상이다.

미국이	미국/NNP+이/JKS
그동안	그동안/NNG
보류했던	보류/NNG+하/XSV+았/EP+던/ETM
대중	대중/NNG
경제	경제/NNG
제재	제재/NNG
카드도	카드/NNG+도/JX
만지작거리는	만지작거리/VV+는/ETM
양상이다.	양상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.389.9.4
워싱턴 외교 소식통은 "미국이 무역과 인권이란 두 개의 칼을 꺼내 들고 북한 문제와 관련해 중국을 압박하려는 것 같다"고 말했다.

워싱턴	워싱턴/NNP
외교	외교/NNG
소식통은	소식통/NNG+은/JX
"미국이	"/SS+미국/NNP+이/JKS
무역과	무역/NNG+과/JC
인권이란	인권/NNG+이/VCP+란/ETM
두	두/MMN
개의	개/NNB+의/JKG
칼을	칼/NNG+을/JKO
꺼내	꺼내/VV+어/EC
들고	들/VV+고/EC
북한	북한/NNP
문제와	문제/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
중국을	중국/NNP+을/JKO
압박하려는	압박/NNG+하/XSV+려는/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.389.10.1
최근 미국은 북핵 문제를 가장 시급한 외교·안보 현안으로 올려놓고 있다.

최근	최근/NNG
미국은	미국/NNP+은/JX
북핵	북핵/NNG
문제를	문제/NNG+를/JKO
가장	가장/MAG
시급한	시급하/VA+ㄴ/ETM
외교·안보	외교/NNG+·/SP+안보/NNG
현안으로	현안/NNG+으로/JKB
올려놓고	올려놓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.389.10.2
마이크 펜스 부통령은 이날 '미국·인도기업위원회' 연설에서 "잔혹한 북한 정권이 인도·태평양 지역의 가장 중대한 위협"이라며 "북한이 영원히 핵과 미사일 프로그램을 완전히 폐기할 때까지 경제·외교적 압박을 해야 한다"고 말했다.

마이크	마이크/NNP
펜스	펜스/NNP
부통령은	부통령/NNG+은/JX
이날	이날/NNG
'미국·인도기업위원회'	'/SS+미국/NNP+·/SP+인도/NNP+기업/NNG+위원회/NNG+'/SS
연설에서	연설/NNG+에서/JKB
"잔혹한	"/SS+잔혹/NNG+하/XSA+ㄴ/ETM
북한	북한/NNP
정권이	정권/NNG+이/JKS
인도·태평양	인도/NNP+·/SP+태평양/NNP
지역의	지역/NNG+의/JKG
가장	가장/MAG
중대한	중대/NNG+하/XSA+ㄴ/ETM
위협"이라며	위협/NNG+"/SS+이/VCP+라며/EC
"북한이	"/SS+북한/NNP+이/JKS
영원히	영원히/MAG
핵과	핵/NNG+과/JC
미사일	미사일/NNG
프로그램을	프로그램/NNG+을/JKO
완전히	완전히/MAG
폐기할	폐기/NNG+하/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
경제·외교적	경제/NNG+·/SP+외교/NNG+적/XSN
압박을	압박/NNG+을/JKO
해야	하/VV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.389.11.1
그러나 중국은 미국의 기대만큼 움직이지 않는 분위기다.

그러나	그러나/MAJ
중국은	중국/NNP+은/JX
미국의	미국/NNP+의/JKG
기대만큼	기대/NNG+만큼/JKB
움직이지	움직이/VV+지/EC
않는	않/VX+는/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.389.11.2
틸러슨 장관은 지난 13일 "중국·러시아 등과 북한에 원유 공급을 차단하는 방안을 논의 중"이라고 했지만, 지난 21일 미국과 중국의 외교·국방장관이 참석한 고위급 회담에선 이와 관련한 발표가 나오지 않았다.

틸러슨	틸러슨/NNP
장관은	장관/NNG+은/JX
지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
"중국·러시아	"/SS+중국/NNP+·/SP+러시아/NNP
등과	등/NNB+과/JC
북한에	북한/NNP+에/JKB
원유	원유/NNG
공급을	공급/NNG+을/JKO
차단하는	차단/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
논의	논의/NNG
중"이라고	중/NNB+"/SS+이라고/JKQ
했지만,	하/VV+았/EP+지만/EC+,/SP
21일	21/SN+일/NNB
미국과	미국/NNP+과/JC
중국의	중국/NNP+의/JKG
외교·국방장관이	외교/NNG+·/SP+국방/NNG+장관/NNG+이/JKS
참석한	참석/NNG+하/XSV+ㄴ/ETM
고위급	고위급/NNG
회담에선	회담/NNG+에서/JKB+ㄴ/JX
이와	이/NP+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
발표가	발표/NNG+가/JKS
나오지	나오/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.389.11.3
또 국무부는 중국 측에 북한과 거래하는 10개 중국 기업에 대한 제재를 요청했다고 밝혔지만, 중국이 이 기업들을 어떻게 처리했는지 알려지지 않았다.

또	또/MAG
국무부는	국무부/NNG+는/JX
중국	중국/NNP
측에	측/NNB+에/JKB
북한과	북한/NNP+과/JKB
거래하는	거래/NNG+하/XSV+는/ETM
10개	10/SN+개/NNB
기업에	기업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
제재를	제재/NNG+를/JKO
요청했다고	요청/NNG+하/XSV+았/EP+다고/EC
밝혔지만,	밝히/VV+었/EP+지만/EC+,/SP
중국이	중국/NNP+이/JKS
이	이/MMD
기업들을	기업/NNG+들/XSN+을/JKO
어떻게	어떻/VA+게/EC
처리했는지	처리/NNG+하/XSV+았/EP+는지/EC
알려지지	알려지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.389.11.4
북한 문제를 놓고 미·중 간에 균열이 시작됐다는 우려가 나온다.

북한	북한/NNP
문제를	문제/NNG+를/JKO
놓고	놓/VV+고/EC
미·중	미/NNP+·/SP+중/NNP
간에	간/NNB+에/JKB
균열이	균열/NNG+이/JKS
시작됐다는	시작/NNG+되/XSV+었/EP+다는/ETM
우려가	우려/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


