# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.414
metadata : {}


# id : NWRW1800000030.414.1.1
[수도권I] 김문수 지사, 택시 몰고 경기도 한 바퀴

[수도권I]	[/SS+수도/NNG+권/XSN+I/SL+]/SS
경기도 택시 영업권역은 모두 25곳인데 안양·군포·의왕·과천, 구리·남양주, 오산·화성, 하남·광주가 영업권역을 같이하고 있다.

경기도	경기도/NNP
택시	택시/NNG
영업권역은	영업/NNG+권역/NNG+은/JX
모두	모두/MAG
25곳인데	25/SN+곳/NNG+이/VCP+ㄴ데/EC
안양·군포·의왕·과천,	안양/NNP+·/SP+군포/NNP+·/SP+의왕/NNP+·/SP+과천/NNP+,/SP
구리·남양주,	구리/NNP+·/SP+남양주/NNP+,/SP
오산·화성,	오산/NNP+·/SP+화성/NNP+,/SP
하남·광주가	하남/NNP+·/SP+광주/NNP+가/JKS
영업권역을	영업/NNG+권역/NNG+을/JKO
같이하고	같이/MAG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.414.4.3
김 지사는 28번의 택시체험 중 수원시에서 3번, 부천시에서 2번 운전했다.

김	김/NNP
지사는	지사/NNG+는/JX
28번의	28/SN+번/NNB+의/JKG
택시체험	택시/NNG+체험/NNG
중	중/NNB
수원시에서	수원시/NNP+에서/JKB
3번,	3/SN+번/NNB+,/SP
부천시에서	부천시/NNP+에서/JKB
2번	2/SN+번/NNB
운전했다.	운전/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.414.5.1
김 지사는 31개 시·군 전역 택시체험 완료를 기념해 이날 오후 1시부터 독거노인과 편부모 어린이, 장애인 등 30여명과 함께 택시를 타고 여주 신륵사와 목아박물관 관광에 나설 계획이다.

김	김/NNP
지사는	지사/NNG+는/JX
31개	31/SN+개/NNB
시·군	시·군/NNG
전역	전역/NNG
택시체험	택시/NNG+체험/NNG
완료를	완료/NNG+를/JKO
기념해	기념/NNG+하/XSV+아/EC
이날	이날/NNG
오후	오후/NNG
1시부터	1/SN+시/NNB+부터/JX
독거노인과	독거노인/NNG+과/JC
편부모	편부모/NNG
어린이,	어린이/NNG+,/SP
장애인	장애인/NNG
등	등/NNB
30여명과	30/SN+여/XSN+명/NNB+과/JKB
함께	함께/MAG
택시를	택시/NNG+를/JKO
타고	타/VV+고/EC
여주	여주/NNP
신륵사와	신륵사/NNP+와/JC
목아박물관	목아박물관/NNP
관광에	관광/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.414.6.1
관광에 필요한 택시운전은 김 지사의 31개 시·군 택시체험 완료를 축하하기 위해 택시 운수 종사자 9명이 함께하기로 했다.

관광에	관광/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
택시운전은	택시/NNG+운전/NNG+은/JX
김	김/NNP
지사의	지사/NNG+의/JKG
31개	31/SN+개/NNB
시·군	시·군/NNG
택시체험	택시/NNG+체험/NNG
완료를	완료/NNG+를/JKO
축하하기	축하/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
택시	택시/NNG
운수	운수/NNG
종사자	종사자/NNG
9명이	9/SN+명/NNB+이/JKS
함께하기로	함께/MAG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.414.7.1
김 지사는 그동안 택시체험을 통해 236시간 동안 운전대를 잡았으며 3080㎞를 달렸다.

김	김/NNP
지사는	지사/NNG+는/JX
그동안	그동안/NNG
택시체험을	택시/NNG+체험/NNG+을/JKO
통해	통하/VV+아/EC
236시간	236/SN+시간/NNB
동안	동안/NNG
운전대를	운전대/NNG+를/JKO
잡았으며	잡/VV+았/EP+으며/EC
3080㎞를	3080/SN+㎞/SW+를/JKO
달렸다.	달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.414.7.2
요금 수입은 177만120원.

요금	요금/NNG
수입은	수입/NNG+은/JX
177만120원.	177/SN+만/NR+120/SN+원/NNB+./SF


# id : NWRW1800000030.414.7.3
하지만 사납비와 가스비 159만8568원을 쓰고 나니 남은 돈은 17만1500원가량에 불과했다.

하지만	하지만/MAJ
사납비와	사납비/NNG+와/JC
가스비	가스비/NNG
159만8568원을	159/SN+만/NR+8568/SN+원/NNB+을/JKO
쓰고	쓰/VV+고/EC
나니	나/VX+니/EC
남은	남/VV+은/ETM
돈은	돈/NNG+은/JX
17만1500원가량에	17/SN+만/NR+1500/SN+원/NNB+가량/XSN+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000030.414.7.4
이렇게 남은 돈은 체험을 했던 택시회사에 모두 기부했다.

이렇게	이렇/VA+게/EC
남은	남/VV+은/ETM
돈은	돈/NNG+은/JX
체험을	체험/NNG+을/JKO
했던	하/VV+았/EP+던/ETM
택시회사에	택시/NNG+회사/NNG+에/JKB
모두	모두/MAG
기부했다.	기부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.414.7.5
내비게이션을 통해 길을 찾는 '초보 택시운전사'인 김 지사는 지금까지 27번의 택시체험 중 12번은 사납금을 채우지 못했다.

내비게이션을	내비게이션/NNG+을/JKO
통해	통하/VV+아/EC
길을	길/NNG+을/JKO
찾는	찾/VV+는/ETM
'초보	'/SS+초보/NNG
택시운전사'인	택시/NNG+운전사/NNG+'/SS+이/VCP+ㄴ/ETM
김	김/NNP
지사는	지사/NNG+는/JX
지금까지	지금/NNG+까지/JX
27번의	27/SN+번/NNB+의/JKG
택시체험	택시/NNG+체험/NNG
중	중/NNB
12번은	12/SN+번/NNB+은/JX
사납금을	사납금/NNG+을/JKO
채우지	채우/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.414.8.1
김 지사는 "택시운전보다 더 깊게 도민들을 만나고, 구석구석을 살펴볼 수 있는 방법은 지금까지 찾지 못했다"며 "택시는 아무나 할 수 있는 쇼가 아니며 분명히 필요한 쇼"라고 말했다.

김	김/NNP
지사는	지사/NNG+는/JX
"택시운전보다	"/SS+택시/NNG+운전/NNG+보다/JKB
더	더/MAG
깊게	깊/VA+게/EC
도민들을	도민/NNG+들/XSN+을/JKO
만나고,	만나/VV+고/EC+,/SP
구석구석을	구석구석/NNG+을/JKO
살펴볼	살펴보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
방법은	방법/NNG+은/JX
지금까지	지금/NNG+까지/JX
찾지	찾/VV+지/EC
못했다"며	못하/VX+았/EP+다/EF+"/SS+며/EC
"택시는	"/SS+택시/NNG+는/JX
아무나	아무/NP+나/JX
할	하/VV+ㄹ/ETM
쇼가	쇼/NNG+가/JKC
아니며	아니/VCN+며/EC
분명히	분명히/MAG
필요한	필요/NNG+하/XSA+ㄴ/ETM
쇼"라고	쇼/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.414.8.2
김 지사는 택시운전 체험을 계속 이어갈 계획이다.

김	김/NNP
지사는	지사/NNG+는/JX
택시운전	택시/NNG+운전/NNG
체험을	체험/NNG+을/JKO
계속	계속/MAG
이어갈	잇/VV+어/EC+가/VX+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


