# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.350
metadata : {}


# id : NWRW1800000033.350.1.1
49년 ‘동네의사’ 안철수 부친, 사회기여 중요성 가르쳐

49년	49/SN+년/NNB
부담을	부담/NNG+을/JKO
느꼈기	느끼/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.350.5.1
안 씨는 부인 박귀남 씨(77)와의 사이에서 장남인 안 후보와 차남 상욱 씨(49), 차녀 선영 씨(46) 등 2남 1녀를 뒀다.

안	안/NNP
씨는	씨/NNB+는/JX
부인	부인/NNG
박귀남	박귀남/NNP
씨(77)와의	씨/NNB+(/SS+77/SN+)/SS+와/JKB+의/JKG
사이에서	사이/NNG+에서/JKB
장남인	장남/NNG+이/VCP+ㄴ/ETM
후보와	후보/NNG+와/JC
차남	차남/NNG
상욱	상욱/NNP
씨(49),	씨/NNB+(/SS+49/SN+)/SS+,/SP
차녀	차녀/NNG
선영	선영/NNP
씨(46)	씨/NNB+(/SS+46/SN+)/SS
등	등/NNB
2남	2/SN+남/NNG
1녀를	1/SN+녀/NNG+를/JKO
뒀다.	두/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.350.5.2
상욱 씨도 한의사로 일하며 ‘의사 가문’의 명맥을 잇고 있다.

상욱	상욱/NNP
씨도	씨/NNB+도/JX
한의사로	한의사/NNG+로/JKB
일하며	일/NNG+하/XSV+며/EC
‘의사	‘/SS+의사/NNG
가문’의	가문/NNG+’/SS+의/JKG
명맥을	명맥/NNG+을/JKO
잇고	잇/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.350.6.1
안 후보는 부인 김미경 서울대 의대 교수(49)와 1988년 결혼해 외동딸 설희 씨(23)를 두고 있다.

안	안/NNP
후보는	후보/NNG+는/JX
부인	부인/NNG
김미경	김미경/NNP
서울대	서울대/NNP
의대	의대/NNG
교수(49)와	교수/NNG+(/SS+49/SN+)/SS+와/JKB
1988년	1988/SN+년/NNB
결혼해	결혼/NNG+하/XSV+아/EC
외동딸	외동딸/NNG
설희	설희/NNP
씨(23)를	씨/NNB+(/SS+23/SN+)/SS+를/JKO
두고	두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.350.6.2
서울대 의대 81학번인 김 교수는 안 후보의 의대 1년 후배다.

서울대	서울대/NNP
의대	의대/NNG
81학번인	81/SN+학번/NNG+이/VCP+ㄴ/ETM
김	김/NNP
교수는	교수/NNG+는/JX
안	안/NNP
후보의	후보/NNG+의/JKG
1년	1/SN+년/NNB
후배다.	후배/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.350.6.3
안 후보는 7월 SBS TV ‘힐링캠프’에서 부인과의 만남에 대해 “도서관 자리를 맡아주며 연애를 시작하게 됐다”고 소개했다.

안	안/NNP
후보는	후보/NNG+는/JX
7월	7/SN+월/NNB
SBS	SBS/SL
TV	TV/SL
‘힐링캠프’에서	‘/SS+힐링캠프/NNG+’/SS+에서/JKB
부인과의	부인/NNG+과/JKB+의/JKG
만남에	만남/NNG+에/JKB
대해	대하/VV+아/EC
“도서관	“/SS+도서관/NNG
자리를	자리/NNG+를/JKO
맡아주며	맡/VV+아/EC+주/VX+며/EC
연애를	연애/NNG+를/JKO
시작하게	시작/NNG+하/XSV+게/EC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.350.7.1
딸 설희 씨는 중학교 1학년 때인 2002년 어머니인 김 교수와 함께 유학을 떠나 미국에서 중고교를 마쳤다.

딸	딸/NNG
설희	설희/NNP
씨는	씨/NNB+는/JX
중학교	중학교/NNG
1학년	1/SN+학년/NNG
때인	때/NNG+이/VCP+ㄴ/ETM
2002년	2002/SN+년/NNB
어머니인	어머니/NNG+이/VCP+ㄴ/ETM
김	김/NNP
교수와	교수/NNG+와/JKB
함께	함께/MAG
유학을	유학/NNG+을/JKO
떠나	떠나/VV+아/EC
미국에서	미국/NNP+에서/JKB
중고교를	중고교/NNG+를/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.350.7.2
현재 스탠퍼드대에서 수학과 화학을 전공하고 있는 것으로 알려졌다.

현재	현재/MAG
스탠퍼드대에서	스탠퍼드대/NNP+에서/JKB
수학과	수학/NNG+과/JC
화학을	화학/NNG+을/JKO
전공하고	전공/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


