# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000034.178
metadata : {}


# id : NWRW1800000034.178.1.1
[술에 너그러운 문화, 범죄 키우는 한국] (23) 운전중 들러 한잔… 국도 휴게소 43곳(경기·강원 조사지역) 중 42곳서 술 팔아

[술에	[/SS+술/NNG+에/JKB
휴게소가	휴게소/NNG+가/JKS
'달리는	'/SS+달리/VV+는/ETM
주폭(酒暴)'이나	주폭/NNG+(/SS+酒暴/SH+)/SS+'/SS+이나/JC
마찬가지인	마찬가지/NNG+이/VCP+ㄴ/ETM
음주운전자들을	음주/NNG+운전자/NNG+들/XSN+을/JKO
양산하는	양산/NNG+하/XSV+는/ETM
'술집'으로	'/SS+술집/NNG+'/SS+으로/JKB
둔갑한	둔갑/NNG+하/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000034.178.5.1
'술집'으로 변질된 국도변 휴게소의 악영향은 수치로도 증명된다.

'술집'으로	'/SS+술집/NNG+'/SS+으로/JKB
변질된	변질/NNG+되/XSV+ㄴ/ETM
국도변	국도/NNG+변/NNG
휴게소의	휴게소/NNG+의/JKG
악영향은	악영향/NNG+은/JX
수치로도	수치/NNG+로/JKB+도/JX
증명된다.	증명/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000034.178.5.2
국토해양부의 도로 통행량 조사에 따르면 작년 일반국도의 일일 평균 통행량은 1만1499대로 고속도로(4만4276대)의 4분의 1 수준이다.

국토해양부의	국토/NNG+해양부/NNG+의/JKG
도로	도로/NNG
통행량	통행량/NNG
조사에	조사/NNG+에/JKB
따르면	따르/VV+면/EC
작년	작년/NNG
일반국도의	일반/NNG+국도/NNG+의/JKG
일일	일일/NNG
평균	평균/NNG
통행량은	통행량/NNG+은/JX
1만1499대로	1/SN+만/NR+1499/SN+대/NNB+로/JKB
고속도로(4만4276대)의	고속/NNG+도로/NNG+(/SS+4/SN+만/NR+4276/SN+대/NNB+)/SS+의/JKG
4분의	4/SN+분/XSN+의/JKG
1	1/SN
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000034.178.5.3
하지만 음주운전 사고건수는 국도가 4605건으로 고속도로(594건)의 7.7배에 달했다.

하지만	하지만/MAJ
음주운전	음주/NNG+운전/NNG
사고건수는	사고/NNG+건수/NNG+는/JX
국도가	국도/NNG+가/JKS
4605건으로	4605/SN+건/NNB+으로/JKB
고속도로(594건)의	고속/NNG+도로/NNG+(/SS+594/SN+건/NNB+)/SS+의/JKG
7.7배에	7/SN+./SP+7/SN+배/NNG+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000034.178.5.4
국도에서 발생한 음주운전으로 인한 사상자 숫자도 고속도로(1208명)에 비해 6.3배가 넘는 8912명을 기록했다.

국도에서	국도/NNG+에서/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
음주운전으로	음주/NNG+운전/NNG+으로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
사상자	사상자/NNG
숫자도	숫자/NNG+도/JX
고속도로(1208명)에	고속/NNG+도로/NNG+(/SS+1208/SN+명/NNB+)/SS+에/JKB
비해	비/NNG+하/XSV+아/EC
6.3배가	6/SN+./SP+3/SN+배/NNG+가/JKS
넘는	넘/VV+는/ETM
8912명을	8912/SN+명/NNB+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000034.178.5.5
한국교통연구원 임재경 박사는 "국도 휴게소는 주민의 생활권에 속해 있기 때문에 현실적으로 술 판매를 막는 것이 어렵다는 게 문제"라고 했다.

한국교통연구원	한국교통연구원/NNP
임재경	임재경/NNP
박사는	박사/NNG+는/JX
"국도	"/SS+국도/NNG
휴게소는	휴게소/NNG+는/JX
주민의	주민/NNG+의/JKG
생활권에	생활/NNG+권/XSN+에/JKB
속해	속하/VV+아/EC
있기	있/VX+기/ETN
때문에	때문/NNB+에/JKB
현실적으로	현실/NNG+적/XSN+으로/JKB
술	술/NNG
판매를	판매/NNG+를/JKO
막는	막/VV+는/ETM
것이	것/NNB+이/JKS
어렵다는	어렵/VA+다는/ETM
게	거/NNB+이/JKS
문제"라고	문제/NNG+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000034.178.6.1
아예 술을 팔지 않는 고속도로 휴게소라고 해서 '금주의 영역'은 아니었다.

아예	아예/MAG
술을	술/NNG+을/JKO
팔지	팔/VV+지/EC
않는	않/VX+는/ETM
고속도로	고속/NNG+도로/NNG
휴게소라고	휴게소/NNG+이/VCP+라고/EC
해서	하/VV+아서/EC
'금주의	'/SS+금주/NNG+의/JKG
영역'은	영역/NNG+'/SS+은/JX
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000034.178.7.1
주차장이 널찍하고, 샤워를 할 수 있는 무료 '휴게텔'이 있어 화물차 운전자들에게 인기가 높은 충북 청원의 옥산휴게소.

주차장이	주차장/NNG+이/JKS
널찍하고,	널찍하/VA+고/EC+,/SP
샤워를	샤워/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
무료	무료/NNG
'휴게텔'이	'/SS+휴게텔/NNG+'/SS+이/JKS
있어	있/VA+어/EC
화물차	화물차/NNG
운전자들에게	운전자/NNG+들/XSN+에게/JKB
인기가	인기/NNG+가/JKS
높은	높/VA+은/ETM
충북	충북/NNP
청원의	청원/NNP+의/JKG
옥산휴게소.	옥산/NNP+휴게소/NNG+./SF


# id : NWRW1800000034.178.7.2
4일 오후 9시쯤 20t이 넘는 화물차 100여대가 주차돼 있었다.

4일	4/SN+일/NNB
오후	오후/NNG
9시쯤	9/SN+시/NNB+쯤/XSN
20t이	20/SN+t/SW+이/JKS
넘는	넘/VV+는/ETM
화물차	화물차/NNG
100여대가	100/SN+여/XSN+대/NNB+가/JKS
주차돼	주차/NNG+되/XSV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000034.178.7.3
여느 휴게소처럼 보였지만 뒤편으로 가보니 마치 교도소처럼 휴게소와 주거지 사이에 철문이 가로막고 있고, 그 위에 철조망이 쳐져 있었다.

여느	여느/MMA
휴게소처럼	휴게소/NNG+처럼/JKB
보였지만	보이/VV+었/EP+지만/EC
뒤편으로	뒤편/NNG+으로/JKB
가보니	가/VV+아/EC+보/VX+니/EC
마치	마치/MAG
교도소처럼	교도소/NNG+처럼/JKB
휴게소와	휴게소/NNG+와/JC
주거지	주거지/NNG
사이에	사이/NNG+에/JKB
철문이	철문/NNG+이/JKS
가로막고	가로막/VV+고/EC
있고,	있/VX+고/EC+,/SP
그	그/MMD
위에	위/NNG+에/JKB
철조망이	철조망/NNG+이/JKS
쳐져	치/VV+어/EC+지/VX+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000034.178.7.4
휴게소 한 직원은 "운전자들이 직원들 전용 출입구를 통해 인근 식당에 가서 술을 먹고 오는 경우가 많아 아예 철조망을 치고 문을 걸어 잠갔다"고 했다.

휴게소	휴게소/NNG
한	한/MMN
직원은	직원/NNG+은/JX
"운전자들이	"/SS+운전자/NNG+들/XSN+이/JKS
직원들	직원/NNG+들/XSN
전용	전용/NNG
출입구를	출입구/NNG+를/JKO
통해	통하/VV+아/EC
인근	인근/NNG
식당에	식당/NNG+에/JKB
가서	가/VV+아서/EC
술을	술/NNG+을/JKO
먹고	먹/VV+고/EC
오는	오/VV+는/ETM
경우가	경우/NNG+가/JKS
많아	많/VA+아/EC
아예	아예/MAG
철조망을	철조망/NNG+을/JKO
치고	치/VV+고/EC
문을	문/NNG+을/JKO
걸어	걸/VV+어/EC
잠갔다"고	잠그/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000034.178.7.5
술을 팔지 않는 고속도로 휴게소에 차를 세운 뒤 휴게소에서 200여m 떨어진 식당에서 술을 마시는 운전자들이 그만큼 많다는 뜻이다.

술을	술/NNG+을/JKO
팔지	팔/VV+지/EC
않는	않/VX+는/ETM
고속도로	고속/NNG+도로/NNG
휴게소에	휴게소/NNG+에/JKB
차를	차/NNG+를/JKO
세운	세우/VV+ㄴ/ETM
뒤	뒤/NNG
휴게소에서	휴게소/NNG+에서/JKB
200여m	200/SN+여/XSN+m/SW
떨어진	떨어지/VV+ㄴ/ETM
식당에서	식당/NNG+에서/JKB
마시는	마시/VV+는/ETM
운전자들이	운전자/NNG+들/XSN+이/JKS
그만큼	그만큼/MAG
많다는	많/VA+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000034.178.8.1
5일 오후 찾은 경북 김천의 추풍령휴게소도 마찬가지였다.

5일	5/SN+일/NNB
오후	오후/NNG
찾은	찾/VV+은/ETM
경북	경북/NNP
김천의	김천/NNP+의/JKG
추풍령휴게소도	추풍령/NNP+휴게소/NNG+도/JX
마찬가지였다.	마찬가지/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000034.178.8.2
경부고속도로와 4번 국도가 맞닿은 곳에 위치한 휴게소에는 누군가 철조망의 일부를 잘라 '개구멍'을 만들어 놨다.

경부고속도로와	경부고속도로/NNP+와/JC
4번	4/SN+번/NNB
국도가	국도/NNG+가/JKS
맞닿은	맞닿/VV+은/ETM
곳에	곳/NNG+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
휴게소에는	휴게소/NNG+에/JKB+는/JX
누군가	누구/NP+이/VCP+ㄴ가/EF
철조망의	철조망/NNG+의/JKG
일부를	일부/NNG+를/JKO
잘라	자르/VV+아/EC
'개구멍'을	'/SS+개구멍/NNG+'/SS+을/JKO
만들어	만들/VV+어/EC
놨다.	놓/VX+았/EP+다/EF+./SF


# id : NWRW1800000034.178.8.3
매일 오후 6시가 되면 인근 식당은 휴게소에 있는 운전자들을 유치하기 위해 승합차를 운영한다.

매일	매일/MAG
오후	오후/NNG
6시가	6/SN+시/NNB+가/JKC
되면	되/VV+면/EC
인근	인근/NNG
식당은	식당/NNG+은/JX
휴게소에	휴게소/NNG+에/JKB
있는	있/VA+는/ETM
운전자들을	운전자/NNG+들/XSN+을/JKO
유치하기	유치/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
승합차를	승합차/NNG+를/JKO
운영한다.	운영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000034.178.8.4
한 화물차 운전자는 "휴게소에 차 세워놓고 식당에서 보내주는 셔틀버스 타고 가서 밥 먹으며 술 마시는 운전자들이 널렸다"고 말했다.

한	한/MMN
화물차	화물차/NNG
운전자는	운전자/NNG+는/JX
"휴게소에	"/SS+휴게소/NNG+에/JKB
차	차/VV+아/EC
세워놓고	세우/VV+어/EC+놓/VX+고/EC
식당에서	식당/NNG+에서/JKB
보내주는	보내/VV+어/EC+주/VX+는/ETM
셔틀버스	셔틀버스/NNG
타고	타/VV+고/EC
가서	가/VV+아서/EC
밥	밥/NNG
먹으며	먹/VV+으며/EC
술	술/NNG
마시는	마시/VV+는/ETM
운전자들이	운전자/NNG+들/XSN+이/JKS
널렸다"고	널리/VV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000034.178.8.5
한국도로공사 추풍령영업소 관계자는 "누가 뚫는지, 개구멍을 막으면 다시 뚫고 막으면 또다시 뚫는 일이 계속된다"고 말했다.

한국도로공사	한국도로공사/NNP
추풍령영업소	추풍령/NNP+영업소/NNG
관계자는	관계자/NNG+는/JX
"누가	"/SS+누구/NP+가/JKS
뚫는지,	뚫/VV+는지/EC+,/SP
개구멍을	개구멍/NNG+을/JKO
막으면	막/VV+으면/EC
다시	다시/MAG
뚫고	뚫/VV+고/EC
또다시	또다시/MAG
뚫는	뚫/VV+는/ETM
일이	일/NNG+이/JKS
계속된다"고	계속/NNG+되/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000034.178.9.1
전문가들은 "국도와 고속도로를 달리는 주폭을 막기 위해선 음주단속을 강화하는 방법이 최선"이라고 하지만 경찰들은 한 입으로 "쉽지가 않다"고 했다.

전문가들은	전문가/NNG+들/XSN+은/JX
"국도와	"/SS+국도/NNG+와/JC
고속도로를	고속/NNG+도로/NNG+를/JKO
달리는	달리/VV+는/ETM
주폭을	주폭/NNG+을/JKO
막기	막/VV+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
음주단속을	음주/NNG+단속/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
방법이	방법/NNG+이/JKS
최선"이라고	최선/NNG+"/SS+이라고/JKQ
하지만	하/VV+지만/EC
경찰들은	경찰/NNG+들/XSN+은/JX
한	한/MMN
입으로	입/NNG+으로/JKB
"쉽지가	"/SS+쉽/VA+지/EC+가/JX
않다"고	않/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000034.178.9.2
4일 오후 8시 30분 옥산휴게소 출구에서 음주단속을 하던 고속도로순찰대는 30분도 채 되지 않아 단속을 끝냈다.

4일	4/SN+일/NNB
오후	오후/NNG
8시	8/SN+시/NNB
30분	30/SN+분/NNB
옥산휴게소	옥산/NNP+휴게소/NNG
출구에서	출구/NNG+에서/JKB
음주단속을	음주/NNG+단속/NNG+을/JKO
하던	하/VV+던/ETM
고속도로순찰대는	고속/NNG+도로/NNG+순찰대/NNG+는/JX
30분도	30/SN+분/NNB+도/JX
채	채/MAG
되지	되/VV+지/EC
않아	않/VX+아/EC
단속을	단속/NNG+을/JKO
끝냈다.	끝내/VV+었/EP+다/EF+./SF


# id : NWRW1800000034.178.9.3
바삐 먼길을 떠나야 하는 100여대의 화물차 중 단속이 진행되는 동안 움직인 화물차는 10대가 채 되지 않았다.

바삐	바삐/MAG
먼길을	멀/VA+ㄴ/ETM+길/NNG+을/JKO
떠나야	떠나/VV+아야/EC
하는	하/VX+는/ETM
100여대의	100/SN+여/XSN+대/NNB+의/JKG
화물차	화물차/NNG
중	중/NNB
단속이	단속/NNG+이/JKS
진행되는	진행/NNG+되/XSV+는/ETM
동안	동안/NNG
움직인	움직이/VV+ㄴ/ETM
화물차는	화물차/NNG+는/JX
10대가	10/SN+대/NNB+가/JKS
채	채/MAG
되지	되/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000034.178.9.4
고속도로순찰대 관계자는 "음주단속이 실시되면 화물차 운전자들은 즉각 워키토키나 휴대전화로 단속 상황을 알려준다"고 말했다.

고속도로순찰대	고속/NNG+도로/NNG+순찰대/NNG
관계자는	관계자/NNG+는/JX
"음주단속이	"/SS+음주/NNG+단속/NNG+이/JKS
실시되면	실시/NNG+되/XSV+면/EC
화물차	화물차/NNG
운전자들은	운전자/NNG+들/XSN+은/JX
즉각	즉각/MAG
워키토키나	워키토키/NNG+나/JC
휴대전화로	휴대/NNG+전화/NNG+로/JKB
단속	단속/NNG
상황을	상황/NNG+을/JKO
알려준다"고	알리/VV+어/EC+주/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


