# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.38
metadata : {}


# id : NWRW1800000030.38.1.1
빈부격차·물가苦… 中 시위 작년 18만건

빈부격차·물가苦…	빈부/NNG+격차/NNG+·/SP+물가/NNG+苦/SH+…/SE
강압적인	강압/NNG+적/XSN+이/VCP+ㄴ/ETM
통제	통제/NNG
앞에	앞/NNG+에/JKB
떨었던	떨/VV+었/EP+던/ETM
중국인들이	중국인/NNG+들/XSN+이/JKS
거리로	거리/NNG+로/JKB
몰려나와	몰려나오/VV+아/EC
당당히	당당히/MAG
목소리를	목소리/NNG+를/JKO
내고	내/VV+고/EC
있으며	있/VX+으며/EC
이제	이제/MAG
집단	집단/NNG
시위가	시위/NNG+가/JKS
일상	일상/NNG
다반사가	다반사/NNG+가/JKC
됐다고	되/VV+었/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.38.5.1
14일 랴오닝(遼寧)성 다롄(大連)에서는 시민 1만2000명이 거리로 쏟아져 나와 유독성 화학 물질을 생산하는 화학 공장 이전을 촉구하는 시위를 벌였다.

14일	14/SN+일/NNB
랴오닝(遼寧)성	랴오닝/NNP+(/SS+遼寧/SH+)/SS+성/NNG
다롄(大連)에서는	다롄/NNP+(/SS+大連/SH+)/SS+에서/JKB+는/JX
시민	시민/NNG
1만2000명이	1/SN+만/NR+2000/SN+명/NNB+이/JKS
거리로	거리/NNG+로/JKB
쏟아져	쏟아지/VV+어/EC
나와	나오/VV+아/EC
유독성	유독/NNG+성/XSN
화학	화학/NNG
물질을	물질/NNG+을/JKO
생산하는	생산/NNG+하/XSV+는/ETM
공장	공장/NNG
이전을	이전/NNG+을/JKO
촉구하는	촉구/NNG+하/XSV+는/ETM
시위를	시위/NNG+를/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.38.5.2
탕쥔(唐軍) 다롄시 당서기가 경찰차에 올라선 채 공장 이전을 약속했지만 시위대는 "시한을 정하라"며 계속 시위를 벌였다.

탕쥔(唐軍)	탕쥔/NNP+(/SS+唐軍/SH+)/SS
다롄시	다롄시/NNP
당서기가	당/NNG+서기/NNG+가/JKS
경찰차에	경찰차/NNG+에/JKB
올라선	올라서/VV+ㄴ/ETM
채	채/NNB
공장	공장/NNG
이전을	이전/NNG+을/JKO
약속했지만	약속/NNG+하/XSV+았/EP+지만/EC
시위대는	시위대/NNG+는/JX
"시한을	"/SS+시한/NNG+을/JKO
정하라"며	정하/VV+라/EF+"/SS+며/EC
계속	계속/MAG
시위를	시위/NNG+를/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.38.5.3
다롄시는 결국 이날 공장 폐쇄 결정을 내렸다.

다롄시는	다롄시/NNP+는/JX
결국	결국/MAG
이날	이날/NNG
공장	공장/NNG
폐쇄	폐쇄/NNG
결정을	결정/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.38.5.4
다롄 시위는 환경오염 문제에 대한 중국인들의 높아진 관심을 보여주고 있으며 다른 지역으로 퍼질 가능성이 크다고 홍콩 사우스차이나모닝포스트가 전했다.

다롄	다롄/NNP
시위는	시위/NNG+는/JX
환경오염	환경/NNG+오염/NNG
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
중국인들의	중국인/NNG+들/XSN+의/JKG
높아진	높아지/VV+ㄴ/ETM
관심을	관심/NNG+을/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
있으며	있/VX+으며/EC
다른	다른/MMD
지역으로	지역/NNG+으로/JKB
퍼질	퍼지/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다고	크/VA+다고/EC
홍콩	홍콩/NNP
사우스차이나모닝포스트가	사우스차이나모닝포스트/NNP+가/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.38.6.1
물가 상승으로 생활고가 깊어지고 빈부 격차가 확산되면서 시위는 곳곳으로 번지고 한층 과격해지고 있다.

물가	물가/NNG
상승으로	상승/NNG+으로/JKB
생활고가	생활고/NNG+가/JKS
깊어지고	깊어지/VV+고/EC
빈부	빈부/NNG
격차가	격차/NNG+가/JKS
확산되면서	확산/NNG+되/XSV+면서/EC
시위는	시위/NNG+는/JX
곳곳으로	곳곳/NNG+으로/JKB
번지고	번지/VV+고/EC
한층	한층/MAG
과격해지고	과격/NNG+하/XSA+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.38.7.1
14일 밤 중국 쓰촨(四川)성 청두(成都)에서는 계속되는 정전 사태에 불만을 품은 저소득층 시민 5000여명이 거리로 몰려나와 도로를 점거하고 시위를 벌였다.

14일	14/SN+일/NNB
밤	밤/NNG
중국	중국/NNP
쓰촨(四川)성	쓰촨/NNP+(/SS+四川/SH+)/SS+성/NNG
청두(成都)에서는	청두/NNP+(/SS+成都/SH+)/SS+에서/JKB+는/JX
계속되는	계속/NNG+되/XSV+는/ETM
정전	정전/NNG
사태에	사태/NNG+에/JKB
불만을	불만/NNG+을/JKO
품은	품/VV+은/ETM
저소득층	저/XPN+소득/NNG+층/XSN
시민	시민/NNG
5000여명이	5000/SN+여/XSN+명/NNB+이/JKS
거리로	거리/NNG+로/JKB
몰려나와	몰려나오/VV+아/EC
도로를	도로/NNG+를/JKO
점거하고	점거/NNG+하/XSV+고/EC
시위를	시위/NNG+를/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.38.7.2
청두 지역은 연일 40도가 넘는 고온이 지속되고 있으며 이날 갑자기 단수가 된 데 이어 정전이 되자 주민들의 분노가 폭발했다.

청두	청두/NNP
지역은	지역/NNG+은/JX
연일	연일/MAG
40도가	40/SN+도/NNB+가/JKS
넘는	넘/VV+는/ETM
고온이	고온/NNG+이/JKS
지속되고	지속/NNG+되/XSV+고/EC
있으며	있/VX+으며/EC
이날	이날/NNG
갑자기	갑자기/MAG
단수가	단수/NNG+가/JKC
된	되/VV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
정전이	정전/NNG+이/JKS
되자	되/VV+자/EC
주민들의	주민/NNG+들/XSN+의/JKG
분노가	분노/NNG+가/JKS
폭발했다.	폭발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.38.8.1
앞서 11일에는 구이저우(貴州)성에서 수천명이 과도한 공권력 행사에 항의하며 시위를 벌였다.

앞서	앞서/MAG
11일에는	11/SN+일/NNB+에/JKB+는/JX
구이저우(貴州)성에서	구이저우/NNP+(/SS+貴州/SH+)/SS+성/NNG+에서/JKB
수천명이	수천/NR+명/NNB+이/JKS
과도한	과도/NNG+하/XSA+ㄴ/ETM
공권력	공권력/NNG
행사에	행사/NNG+에/JKB
항의하며	항의/NNG+하/XSV+며/EC
시위를	시위/NNG+를/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.38.8.2
불법 주차를 한 차량 주인과 이를 단속하려던 지방 관리가 충돌하면서 시작된 다툼은 대규모 시위로 번졌으며 시위대는 경찰을 때리고 차량 10여대를 파손했다.

불법	불법/NNG
주차를	주차/NNG+를/JKO
한	하/VV+ㄴ/ETM
차량	차량/NNG
주인과	주인/NNG+과/JC
이를	이/NP+를/JKO
단속하려던	단속/NNG+하/XSV+려던/ETM
지방	지방/NNG
관리가	관리/NNG+가/JKS
충돌하면서	충돌/NNG+하/XSV+면서/EC
시작된	시작/NNG+되/XSV+ㄴ/ETM
다툼은	다툼/NNG+은/JX
대규모	대/XPN+규모/NNG
시위로	시위/NNG+로/JKB
번졌으며	번지/VV+었/EP+으며/EC
시위대는	시위대/NNG+는/JX
경찰을	경찰/NNG+을/JKO
때리고	때리/VV+고/EC
10여대를	10/SN+여/XSN+대/NNB+를/JKO
파손했다.	파손/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.38.9.1
소수민족의 불만도 높아지고 있다.

소수민족의	소수/NNG+민족/NNG+의/JKG
불만도	불만/NNG+도/JX
높아지고	높아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.38.9.2
15일 쓰촨성에서는 티베트 승려 1명이 "티베트인들은 자유를 원한다"고 외치며 분신자살했다.

15일	15/SN+일/NNB
쓰촨성에서는	쓰촨성/NNP+에서/JKB+는/JX
티베트	티베트/NNP
승려	승려/NNG
1명이	1/SN+명/NNB+이/JKS
"티베트인들은	"/SS+티베트인/NNG+들/XSN+은/JX
자유를	자유/NNG+를/JKO
원한다"고	원/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
외치며	외치/VV+며/EC
분신자살했다.	분신자살/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.38.9.3
뉴욕타임스는 중국국가행정학원의 비공식 통계를 인용, 지난해 중국 전역에서 발생한 집단 시위는 18만여건에 달하며, 이는 최근 5년 새 2배 증가한 것이라고 전했다.

뉴욕타임스는	뉴욕타임스/NNP+는/JX
중국국가행정학원의	중국국가행정학원/NNP+의/JKG
비공식	비/XPN+공식/NNG
통계를	통계/NNG+를/JKO
인용,	인용/NNG+,/SP
지난해	지난해/NNG
중국	중국/NNP
전역에서	전역/NNG+에서/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
집단	집단/NNG
시위는	시위/NNG+는/JX
18만여건에	18/SN+만/NR+여/XSN+건/NNB+에/JKB
달하며,	달하/VV+며/EC+,/SP
이는	이/NP+는/JX
최근	최근/MAG
5년	5/SN+년/NNB
새	새/NNG
2배	2/SN+배/NNG
증가한	증가/NNG+하/XSV+ㄴ/ETM
것이라고	것/NNB+이/VCP+라고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.38.10.1
영국 일간 가디언은 중국의 인터넷 발전으로 당국이 예전처럼 사회를 통제하기 힘든 상황이 됐고 이는 시위가 확산되기 좋은 환경을 만들었다고 전했다.

영국	영국/NNP
일간	일간/NNG
가디언은	가디언/NNP+은/JX
중국의	중국/NNP+의/JKG
인터넷	인터넷/NNG
발전으로	발전/NNG+으로/JKB
당국이	당국/NNG+이/JKS
예전처럼	예전/NNG+처럼/JKB
사회를	사회/NNG+를/JKO
통제하기	통제/NNG+하/XSV+기/ETN
힘든	힘들/VA+ㄴ/ETM
상황이	상황/NNG+이/JKC
됐고	되/VV+었/EP+고/EC
이는	이/NP+는/JX
시위가	시위/NNG+가/JKS
확산되기	확산/NNG+되/XSV+기/ETN
좋은	좋/VA+은/ETM
환경을	환경/NNG+을/JKO
만들었다고	만들/VV+었/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.38.10.2
내년 권력 교체기를 앞두고 중앙정부의 지방 장악력과 사회갈등 조정 능력이 떨어지고 있다는 지적도 나온다.

내년	내년/NNG
권력	권력/NNG
교체기를	교체기/NNG+를/JKO
앞두고	앞두/VV+고/EC
중앙정부의	중앙/NNG+정부/NNG+의/JKG
지방	지방/NNG
장악력과	장악력/NNG+과/JC
사회갈등	사회/NNG+갈등/NNG
조정	조정/NNG
능력이	능력/NNG+이/JKS
떨어지고	떨어지/VV+고/EC
있다는	있/VX+다는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.38.11.1
이런 상황에서 중국 당국도 무차별적인 탄압이 아니라 가능한 범위에서 문제 해결 의지를 보여주는 경우가 늘고 있다.

이런	이런/MMD
상황에서	상황/NNG+에서/JKB
중국	중국/NNP
당국도	당국/NNG+도/JX
무차별적인	무/XPN+차별/NNG+적/XSN+이/VCP+ㄴ/ETM
탄압이	탄압/NNG+이/JKC
아니라	아니/VCN+라/EC
가능한	가능/NNG+하/XSA+ㄴ/ETM
범위에서	범위/NNG+에서/JKB
문제	문제/NNG
해결	해결/NNG
의지를	의지/NNG+를/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
경우가	경우/NNG+가/JKS
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.38.11.2
이번 다롄 시위 때에는 공장 폐쇄 방침을 내렸으며 5월 네이멍구(內蒙古)자치구의 대규모 소수민족 시위사태를 불렀던 한족 석탄트럭 기사 2명에게는 사형과 무기징역의 중형을 내렸었다.

이번	이번/NNG
다롄	다롄/NNP
시위	시위/NNG
때에는	때/NNG+에/JKB+는/JX
공장	공장/NNG
폐쇄	폐쇄/NNG
방침을	방침/NNG+을/JKO
내렸으며	내리/VV+었/EP+으며/EC
5월	5/SN+월/NNB
네이멍구(內蒙古)자치구의	네이멍구/NNP+(/SS+內蒙古/SH+)/SS+자치구/NNG+의/JKG
대규모	대/XPN+규모/NNG
소수민족	소수/NNG+민족/NNG
시위사태를	시위/NNG+사태/NNG+를/JKO
불렀던	부르/VV+었/EP+던/ETM
한족	한족/NNP
석탄트럭	석탄/NNG+트럭/NNG
기사	기사/NNG
2명에게는	2/SN+명/NNB+에게/JKB+는/JX
사형과	사형/NNG+과/JC
무기징역의	무기/NNG+징역/NNG+의/JKG
중형을	중형/NNG+을/JKO
내렸었다.	내리/VV+었었/EP+다/EF+./SF


