# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.219
metadata : {}


# id : NWRW1800000044.219.1.1
경기교육감 인수위 “도민 의견 받습니다”

경기교육감	경기/NNP+교육감/NNG
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
소통이	소통/NNG+이/JKS
필요해	필요/NNG+하/XSA+아/EC
정책제안	정책/NNG+제안/NNG
게시판을	게시판/NNG+을/JKO
마련해	마련/NNG+하/XSV+아/EC
운영하기로	운영/NNG+하/XSV+기/ETN+로/JKB
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.219.4.2
이날 문을 연 정책제안 게시판은 경기도교육청 누리집에 접속한 뒤 ‘열린광장’의 경기도 교육감직 인수위원회 게시판에서 찾을 수 있으며, 누구나 자유롭게 글을 쓸 수 있다.

이날	이날/NNG
문을	문/NNG+을/JKO
연	열/VV+ㄴ/ETM
정책제안	정책/NNG+제안/NNG
게시판은	게시판/NNG+은/JX
경기도교육청	경기도교육청/NNP
누리집에	누리집/NNG+에/JKB
접속한	접속/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
‘열린광장’의	‘/SS+열리/VV+ㄴ/ETM+광장/NNG+’/SS+의/JKG
경기도	경기도/NNP
교육감직	교육감/NNG+직/NNG
인수위원회	인수/NNG+위원회/NNG
게시판에서	게시판/NNG+에서/JKB
찾을	찾/VV+을/ETM
수	수/NNB
있으며,	있/VA+으며/EC+,/SP
누구나	누구/NP+나/JX
자유롭게	자유/NNG+롭/XSA+게/EC
글을	글/NNG+을/JKO
쓸	쓰/VV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000044.219.5.1
한편 지난 11일 첫 회의를 시작으로 본격 활동에 들어간 인수위는 산하에 ‘차별해소 특별위원회’(위원장 김거성)와 ‘단원고 대책 특별위원회’(위원장 황인성) 등 2개 특위를 마련했다.

한편	한편/MAG
지난	지나/VV+ㄴ/ETM
11일	11/SN+일/NNB
첫	첫/MMN
회의를	회의/NNG+를/JKO
시작으로	시작/NNG+으로/JKB
본격	본격/NNG
활동에	활동/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
인수위는	인수위/NNG+는/JX
산하에	산하/NNG+에/JKB
‘차별해소	‘/SS+차별/NNG+해소/NNG
특별위원회’(위원장	특별/NNG+위원회/NNG+’/SS+(/SS+위원장/NNG
김거성)와	김거성/NNP+)/SS+와/JC
‘단원고	‘/SS+단원고/NNP
대책	대책/NNG
황인성)	황인성/NNP+)/SS
등	등/NNB
2개	2/SN+개/NNB
특위를	특위/NNG+를/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.219.5.2
특히 단원고 특위는 단원고 희생자 가족 등이 직접 참가한 가운데 단원고 정상화 대책 마련에 주력하고 있다.

특히	특히/MAG
단원고	단원고/NNP
특위는	특위/NNG+는/JX
희생자	희생자/NNG
가족	가족/NNG
등이	등/NNB+이/JKS
직접	직접/MAG
참가한	참가/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
정상화	정상/NNG+화/XSN
대책	대책/NNG
마련에	마련/NNG+에/JKB
주력하고	주력/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.219.6.1
특위와는 별도로 인수위는 민생분과위원회(위원장 성기선), 교권분과위원회(위원장 손상훈), 혁신분과위원회(위원장 서길원) 등 3개 분과위원회를 두고 있다.

특위와는	특위/NNG+와/JKB+는/JX
별도로	별도/NNG+로/JKB
인수위는	인수위/NNG+는/JX
민생분과위원회(위원장	민생/NNG+분과/NNG+위원회/NNG+(/SS+위원장/NNG
성기선),	성기선/NNP+)/SS+,/SP
교권분과위원회(위원장	교권/NNG+분과/NNG+위원회/NNG+(/SS+위원장/NNG
손상훈),	손상훈/NNP+)/SS+,/SP
혁신분과위원회(위원장	혁신/NNG+분과/NNG+위원회/NNG+(/SS+위원장/NNG
서길원)	서길원/NNP+)/SS
등	등/NNB
3개	3/SN+개/NNB
분과위원회를	분과/NNG+위원회/NNG+를/JKO
두고	두/VV+고/EC
있다.	있/VX+다/EF+./SF


