# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.26
metadata : {}


# id : NWRW1800000049.26.1.1
“세계 최고경쟁력 착각해와” 현대重 플랜트 首長의 반성

“세계	“/SS+세계/NNG
의욕도	의욕/NNG+도/JX
크게	크/VA+게/EC
떨어져	떨어지/VV+어/EC
있음을	있/VX+음/ETN+을/JKO
잘	잘/MAG
알고	알/VV+고/EC
있으며	있/VX+으며/EC
무한	무한/NNG
책임감을	책임감/NNG+을/JKO
느낀다”고	느끼/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.26.5.1
이어 박 대표는 “조선 등 주력 사업의 성과에 묻혀 최근까지도 세계 최고 수준의 경쟁력을 가진 것으로 착각해왔다”며 “2013년 이후 무리한 저가·과잉 수주로 큰 위기에 빠졌다.

이어	이어/MAG
박	박/NNP
대표는	대표/NNG+는/JX
“조선	“/SS+조선/NNG
등	등/NNB
주력	주력/NNG
사업의	사업/NNG+의/JKG
성과에	성과/NNG+에/JKB
묻혀	묻히/VV+어/EC
최근까지도	최근/NNG+까지/JX+도/JX
세계	세계/NNG
최고	최고/NNG
수준의	수준/NNG+의/JKG
경쟁력을	경쟁력/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
착각해왔다”며	착각/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+”/SS+며/EC
“2013년	“/SS+2013/SN+년/NNB
이후	이후/NNG
무리한	무리/NNG+하/XSV+ㄴ/ETM
저가·과잉	저가/NNG+·/SP+과잉/NNG
수주로	수주/NNG+로/JKB
큰	크/VA+ㄴ/ETM
위기에	위기/NNG+에/JKB
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.26.5.2
진행 중인 대형 발전공사들의 공기 준수와 손실 최소화를 위해 노력하고 있지만 어려운 현지 사정으로 추가 손실 우려도 있다”고 설명했다.

진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
대형	대형/NNG
발전공사들의	발전/NNG+공사/NNG+들/XSN+의/JKG
공기	공기/NNG
준수와	준수/NNG+와/JC
손실	손실/NNG
최소화를	최소/NNG+화/XSN+를/JKO
위해	위하/VV+아/EC
노력하고	노력/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
어려운	어렵/VA+ㄴ/ETM
현지	현지/NNG
사정으로	사정/NNG+으로/JKB
추가	추가/NNG
우려도	우려/NNG+도/JX
있다”고	있/VV+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.26.6.1
끝으로 박 대표는 “부족한 역량을 인정하고 전략적 제휴 등을 통한 미래 성장동력 확보가 절실하다”며 “특히 중동에서 경쟁력 강화가 필요하며 전략적 협력과 투자 유치 등 적극적인 방법으로 사업구조를 개선해 나갈 것”이라고 말했다.

끝으로	끝/NNG+으로/JKB
박	박/NNP
대표는	대표/NNG+는/JX
“부족한	“/SS+부족/NNG+하/XSA+ㄴ/ETM
역량을	역량/NNG+을/JKO
인정하고	인정/NNG+하/XSV+고/EC
전략적	전략/NNG+적/XSN
제휴	제휴/NNG
등을	등/NNB+을/JKO
통한	통하/VV+ㄴ/ETM
미래	미래/NNG
성장동력	성장/NNG+동력/NNG
확보가	확보/NNG+가/JKS
절실하다”며	절실하/VA+다/EF+”/SS+며/EC
“특히	“/SS+특히/MAG
중동에서	중동/NNP+에서/JKB
경쟁력	경쟁력/NNG
강화가	강화/NNG+가/JKS
필요하며	필요/NNG+하/XSA+며/EC
협력과	협력/NNG+과/JC
투자	투자/NNG
유치	유치/NNG
등	등/NNB
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
방법으로	방법/NNG+으로/JKB
사업구조를	사업/NNG+구조/NNG+를/JKO
개선해	개선/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.26.7.1
현대중공업 플랜트사업본부는 지난해 12억7300만 달러(약 1조4247억 원)를 수주했지만 올해는 7월 말까지 2억900만 달러를 수주하는 데 그쳐 수주 목표인 10억 달러를 채우지 못할 가능성이 큰 상황이다.

현대중공업	현대중공업/NNP
플랜트사업본부는	플랜트/NNG+사업/NNG+본부/NNG+는/JX
지난해	지난해/NNG
12억7300만	12/SN+억/NR+7300/SN+만/NR
달러(약	달러/NNB+(/SS+약/MMA
1조4247억	1/SN+조/NR+4247/SN+억/NR
원)를	원/NNB+)/SS+를/JKO
수주했지만	수주/NNG+하/XSV+았/EP+지만/EC
올해는	올해/NNG+는/JX
7월	7/SN+월/NNB
말까지	말/NNB+까지/JX
2억900만	2/SN+억/NR+900/SN+만/NR
달러를	달러/NNB+를/JKO
수주하는	수주/NNG+하/XSV+는/ETM
데	데/NNB
그쳐	그치/VV+어/EC
수주	수주/NNG
목표인	목표/NNG+이/VCP+ㄴ/ETM
10억	10/SN+억/NR
채우지	채우/VV+지/EC
못할	못하/VX+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
큰	크/VA+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


